RANK,MOVEMENT,PLAYER_ID,PLAYER,STROKE DIFFERENTIAL,PLAYER'S SCORE,FIELD AVERAGE SCORE
1,0,30925,Dustin Johnson,+2.40,68.54,70.94
2,0,22405,Justin Rose,+2.13,69.03,71.16
3,0,33448,Justin Thomas,+1.83,69.06,70.89
4,0,30911,Tommy Fleetwood,+1.59,69.52,71.11
5,0,08793,Tiger Woods,+1.56,69.56,71.12
6,0,29725,Tony Finau,+1.54,69.53,71.07
6,0,28237,Rory McIlroy,+1.54,69.52,71.06
8,0,28089,Jason Day,+1.53,69.69,71.22
8,0,32102,Rickie Fowler,+1.53,69.41,70.94
10,0,29221,Webb Simpson,+1.45,69.25,70.70
11,0,47959,Bryson DeChambeau,+1.43,69.60,71.03
12,0,21528,Henrik Stenson,+1.42,69.66,71.08
13,0,36689,Brooks Koepka,+1.33,69.39,70.72
14,0,46970,Jon Rahm,+1.18,69.65,70.83
15,0,26499,Rafa Cabrera Bello,+1.13,69.97,71.10
15,0,35450,Patrick Cantlay,+1.13,69.93,71.06
17,0,25364,Paul Casey,+1.12,70.04,71.16
17,0,32839,Hideki Matsuyama,+1.12,69.82,70.94
17,0,25198,Francesco Molinari,+1.12,69.91,71.03
20,0,24024,Zach Johnson,+1.08,69.69,70.77
20,0,34046,Jordan Spieth,+1.08,69.53,70.61
22,0,26596,Ryan Moore,+1.06,69.96,71.02
23,0,27349,Alex Noren,+1.02,70.37,71.39
23,0,34360,Patrick Reed,+1.02,70.21,71.23
25,0,01810,Phil Mickelson,+.97,70.06,71.03
26,0,29420,Billy Horschel,+.94,69.76,70.70
27,0,31646,Emiliano Grillo,+.91,69.98,70.89
28,0,27129,Luke List,+.88,70.31,71.19
29,0,21961,Charles Howell III,+.84,70.11,70.95
30,0,34363,Tyrrell Hatton,+.83,70.41,71.24
31,0,29974,Branden Grace,+.82,70.55,71.37
31,0,34563,Chesson Hadley,+.82,70.11,70.93
33,0,26851,Marc Leishman,+.81,70.13,70.94
34,0,33948,Byeong Hun An,+.79,70.26,71.05
35,0,33141,Keegan Bradley,+.78,70.16,70.94
36,0,27214,Kevin Streelman,+.77,70.10,70.87
36,0,31323,Gary Woodland,+.77,70.21,70.98
38,0,30926,Chris Kirk,+.74,69.92,70.66
38,0,49964,Aaron Wise,+.74,70.06,70.80
40,0,23108,Matt Kuchar,+.72,70.33,71.05
40,0,25396,Kevin Na,+.72,69.90,70.62
42,0,26476,Chez Reavie,+.71,70.19,70.90
42,0,30110,Kyle Stanley,+.71,70.26,70.97
44,0,26329,Louis Oosthuizen,+.70,70.48,71.18
45,0,40026,Daniel Berger,+.68,70.43,71.11
46,0,19846,Brian Gay,+.66,69.92,70.58
46,0,24502,Adam Scott,+.66,70.56,71.22
48,0,30944,Jason Kokrak,+.62,69.97,70.59
49,0,35461,Beau Hossler,+.59,70.21,70.80
49,0,25804,Bubba Watson,+.59,70.08,70.67
51,0,34098,Russell Henley,+.58,70.59,71.17
52,0,46435,Austin Cook,+.57,70.12,70.69
53,0,20229,Stewart Cink,+.56,70.26,70.82
53,0,12716,Charley Hoffman,+.56,70.64,71.20
53,0,24138,Ian Poulter,+.56,70.61,71.17
53,0,35891,Cameron Smith,+.56,70.42,70.98
57,0,24361,Pat Perez,+.55,70.60,71.15
57,0,48081,Xander Schauffele,+.55,70.42,70.97
59,0,29484,Peter Uihlein,+.52,70.45,70.97
60,0,27649,Brandt Snedeker,+.51,70.16,70.67
61,0,26951,Johnson Wagner,+.50,69.94,70.44
62,0,34076,Joel Dahmen,+.49,70.04,70.53
62,0,33399,Adam Hadwin,+.49,70.56,71.05
62,0,29908,C.T. Pan,+.49,70.06,70.55
62,0,34256,Andrew Putnam,+.49,70.10,70.59
66,0,25900,Lucas Glover,+.47,71.23,71.70
67,0,33122,Russell Knox,+.45,70.42,70.87
68,0,45526,Abraham Ancer,+.42,70.26,70.68
68,0,29461,Jamie Lovemark,+.42,70.47,70.89
70,0,23621,Rory Sabbatini,+.41,70.22,70.63
71,0,32333,Kevin Tway,+.40,70.41,70.81
72,0,27644,Brian Harman,+.39,70.46,70.85
72,0,36699,Patrick Rodgers,+.39,70.67,71.06
74,0,39324,J.J. Spaun,+.38,70.09,70.47
75,0,20472,Alex Cejka,+.37,70.32,70.69
75,0,10809,Jim Furyk,+.37,70.58,70.95
75,0,27141,J.B. Holmes,+.37,70.75,71.12
75,0,33204,Shane Lowry,+.37,70.95,71.32
79,0,35421,Brandon Harkins,+.36,70.40,70.76
79,0,27936,Martin Laird,+.36,70.40,70.76
81,0,29268,Bronson Burgoon,+.35,70.22,70.57
81,0,34174,John Huh,+.35,70.32,70.67
81,0,46501,Ollie Schniederjans,+.35,70.61,70.96
84,0,31420,Anirban Lahiri,+.34,70.66,71.00
85,0,30978,Kiradech Aphibarnrat,+.33,71.24,71.57
86,0,30692,Scott Stallings,+.32,70.53,70.85
87,0,32366,Kevin Chappell,+.31,70.85,71.16
87,0,32448,James Hahn,+.31,70.48,70.79
87,0,24781,Hunter Mahan,+.31,70.46,70.77
90,0,25632,Jimmy Walker,+.29,70.86,71.15
91,0,19803,Ryan Armour,+.28,70.23,70.51
92,0,32640,Troy Merritt,+.27,70.51,70.78
93,0,39997,Corey Conners,+.26,70.35,70.61
93,0,25818,Scott Piercy,+.26,70.43,70.69
95,0,23325,Vaughn Taylor,+.24,70.30,70.54
95,0,27095,Nick Watney,+.24,70.51,70.75
97,0,29478,Kevin Kisner,+.23,70.40,70.63
97,0,34466,Peter Malnati,+.23,70.46,70.69
97,0,28252,Seamus Power,+.23,70.38,70.61
100,0,22371,Aaron Baddeley,+.22,70.74,70.96
101,0,28775,Nate Lashley,+.21,70.60,70.81
102,0,47993,Denny McCarthy,+.20,70.35,70.55
102,0,49771,J.T. Poston,+.20,70.41,70.61
102,0,37275,Sam Ryder,+.20,70.15,70.35
102,0,29518,Brendan Steele,+.20,70.96,71.16
106,0,34021,Bud Cauley,+.19,71.23,71.42
106,0,31202,William McGirt,+.19,70.44,70.63
106,0,22056,Cameron Percy,+.19,70.06,70.25
109,0,25572,Graeme McDowell,+.17,71.12,71.29
110,0,35532,Tom Hoge,+.16,70.62,70.78
111,0,46601,Trey Mullinax,+.15,70.61,70.76
112,0,39546,Keith Mitchell,+.14,70.30,70.44
113,0,32757,Patton Kizzire,+.13,70.37,70.50
114,0,29223,Sam Saunders,+.11,70.38,70.49
114,0,37189,Harold Varner III,+.11,70.82,70.93
116,0,23541,Ben Crane,+.10,70.58,70.68
116,0,33413,Ben Martin,+.10,70.83,70.93
116,0,31560,Brian Stuard,+.10,70.67,70.77
119,0,34409,David Lingmerth,+.09,70.65,70.74
120,0,29535,Brice Garnett,+.07,70.69,70.76
121,0,40058,Zac Blair,+.04,70.50,70.54
121,0,24924,Bill Haas,+.04,70.86,70.90
121,0,32150,Michael Thompson,+.04,70.43,70.47
124,0,28679,Fabián Gómez,+.03,70.58,70.61
124,0,29926,Danny Lee,+.03,70.66,70.69
126,0,35545,Blayne Barber,+.01,70.13,70.14
126,0,33418,Shawn Stefani,+.01,70.66,70.67
128,0,29485,Brett Stegmaier,E,70.51,70.51
129,0,27064,Jhonattan Vegas,-.01,71.22,71.21
130,0,26300,Matt Jones,-.03,70.66,70.63
130,0,25493,Nick Taylor,-.03,70.81,70.78
132,0,46402,Talor Gooch,-.04,71.00,70.96
133,0,34099,Harris English,-.06,70.79,70.73
133,0,33410,Andrew Landry,-.06,70.71,70.65
133,0,23320,Ryan Palmer,-.06,70.54,70.48
136,0,45609,Tyler Duncan,-.07,70.77,70.70
136,0,27556,Ted Potter Jr.,-.07,70.93,70.86
138,0,27958,Ryan Blaum,-.08,70.54,70.46
138,0,35310,Lanto Griffin,-.08,70.65,70.57
140,0,47128,Richy Werenski,-.09,70.78,70.69
141,0,50526,Tom Lovelady,-.13,70.85,70.72
142,0,26758,David Hearn,-.14,70.63,70.49
142,0,28132,Tyrone Van Aswegen,-.14,70.91,70.77
144,0,24140,Sean O'Hair,-.16,71.27,71.11
145,0,39327,Ben Silverman,-.17,70.90,70.73
146,0,25686,Jason Dufner,-.20,71.31,71.11
146,0,37455,Si Woo Kim,-.20,71.10,70.90
148,0,35506,Mackenzie Hughes,-.21,70.88,70.67
148,0,26331,Charl Schwartzel,-.21,71.72,71.51
150,0,36799,Stephan Jaeger,-.22,70.88,70.66
151,0,24358,Robert Garrigus,-.23,70.93,70.70
152,0,37454,Whee Kim,-.24,70.99,70.75
153,0,35879,Kelly Kraft,-.25,71.16,70.91
154,0,24925,Jonathan Byrd,-.26,70.68,70.42
154,0,47347,Adam Schenk,-.26,71.04,70.78
156,0,29479,Scott Brown,-.28,70.96,70.68
156,0,23353,J.J. Henry,-.28,70.95,70.67
156,0,37278,Nicholas Lindheim,-.28,70.67,70.39
159,0,20157,Retief Goosen,-.30,71.56,71.26
159,0,34264,Hudson Swafford,-.30,71.04,70.74
161,0,40009,Dominic Bozzelli,-.31,70.82,70.51
161,0,27942,Rob Oppenheim,-.31,71.03,70.72
163,0,24846,Ricky Barnes,-.34,70.83,70.49
164,0,48084,Wesley Bryan,-.35,71.19,70.84
165,0,25892,Steve Wheatcroft,-.37,70.88,70.51
166,0,28500,Martin Flores,-.38,71.07,70.69
167,0,39328,Conrad Shindler,-.41,70.57,70.16
167,0,32254,Xinjun Zhang,-.41,71.07,70.66
169,0,27963,Chris Stroud,-.43,71.16,70.73
170,0,34213,Grayson Murray,-.52,71.89,71.37
171,0,12510,Chad Campbell,-.57,71.29,70.72
172,0,39975,Michael Kim,-.58,71.50,70.92
173,0,29222,Billy Hurley III,-.69,71.33,70.64
174,0,32876,Martin Piller,-.75,71.55,70.80
175,0,35376,Roberto Díaz,-.76,71.28,70.52
175,0,27974,Sung Kang,-.76,71.78,71.02
175,0,34431,Robert Streb,-.76,71.64,70.88
178,0,31416,Derek Fathauer,-.79,71.53,70.74
179,0,47287,Ethan Tracy,-.82,71.43,70.61
180,0,27895,Jonas Blixt,-.84,71.85,71.01
180,0,28307,Matt Every,-.84,71.72,70.88
182,0,39954,Cody Gribble,-.87,71.80,70.93
183,0,47125,Matt Atkins,-.92,71.46,70.54
184,0,34358,Jonathan Randolph,-.93,71.57,70.64
184,0,33419,Cameron Tringale,-.93,71.83,70.90
186,0,20572,Rod Pampling,-1.05,72.14,71.09
187,0,20593,Greg Chalmers,-1.32,72.44,71.12
188,0,32816,Satoshi Kodaira,-1.39,72.23,70.84
189,0,22582,Kyle Thompson,-1.48,71.98,70.50
190,0,37338,Zecheng Dou,-1.55,72.37,70.82
191,0,25240,D.A. Points,-1.76,72.36,70.60
192,0,25834,Daniel Summerhays,-1.78,72.47,70.69
193,0,35544,Andrew Yun,-2.40,72.98,70.58
