RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,19970,Robert Karlsson,71.4,25,35,-7.00
2,0,20850,Daniel Chopra,65.8,25,38,-5.00
3,0,23409,James Driscoll,64.8,57,88,-15.00
4,0,27302,Garth Mulroy,61.5,24,39,-4.00
4,0,10213,Dicky Pride,61.5,24,39,-4.00
6,0,25818,Scott Piercy,60.0,42,70,-14.00
7,0,29478,Kevin Kisner,59.6,28,47,-5.00
8,0,23983,Luke Donald,59.5,25,42,-5.00
9,0,23718,Nathan Green,59.3,35,59,-10.00
10,0,27141,J.B. Holmes,59.2,29,49,-3.00
11,0,25457,Alexandre Rocha,58.8,20,34,-4.00
12,0,24138,Ian Poulter,58.3,14,24,-5.00
13,0,28500,Martin Flores,57.8,48,83,-10.00
14,0,22405,Justin Rose,57.7,30,52,-7.00
15,0,26758,David Hearn,57.5,42,73,-5.00
16,0,27644,Brian Harman,56.6,43,76,-7.00
16,0,29289,S.Y. Noh,56.6,43,76,-5.00
18,0,28455,Will Claxton,56.5,39,69,-6.00
18,0,21961,Charles Howell III,56.5,48,85,-3.00
20,0,01706,Davis Love III,56.4,22,39,-5.00
21,0,21209,Sergio Garcia,55.9,19,34,E
22,0,24490,George McNeill,55.7,34,61,-9.00
23,0,29926,Danny Lee,55.6,35,63,-8.00
24,0,30926,Chris Kirk,55.4,41,74,-7.00
25,0,20229,Stewart Cink,55.1,27,49,-5.00
26,0,28087,Kris Blanks,55.0,33,60,-5.00
26,0,21731,Freddie Jacobson,55.0,33,60,-1.00
28,0,32102,Rickie Fowler,54.9,28,51,-8.00
29,0,25632,Jimmy Walker,54.6,59,108,-9.00
30,0,22582,Kyle Thompson,54.5,12,22,-1.00
31,0,27649,Brandt Snedeker,54.4,37,68,-9.00
32,0,29221,Webb Simpson,54.3,25,46,-9.00
33,0,32698,Bobby Gates,54.2,39,72,-2.00
34,0,06522,Ernie Els,54.0,34,63,-4.00
35,0,24846,Ricky Barnes,53.7,36,67,-3.00
35,0,27064,Jhonattan Vegas,53.7,29,54,-4.00
37,0,10809,Jim Furyk,53.6,15,28,-4.00
38,0,31202,William McGirt,53.4,47,88,-9.00
38,0,23325,Vaughn Taylor,53.4,31,58,-10.00
40,0,25686,Jason Dufner,53.1,26,49,-7.00
40,0,24358,Robert Garrigus,53.1,26,49,-8.00
42,0,28089,Jason Day,52.9,18,34,-4.00
42,0,34099,Harris English,52.9,46,87,-6.00
42,0,12716,Charley Hoffman,52.9,37,70,-3.00
42,0,26596,Ryan Moore,52.9,37,70,-9.00
46,0,30852,Ryo Ishikawa,52.8,19,36,-5.00
47,0,23623,Bo Van Pelt,52.7,29,55,-3.00
48,0,27797,Derek Lamely,52.6,30,57,-1.00
49,0,24494,Erik Compton,52.5,32,61,-10.00
49,0,23320,Ryan Palmer,52.5,31,59,-5.00
51,0,27436,Graham DeLaet,52.3,23,44,-2.00
51,0,06567,Vijay Singh,52.3,34,65,-15.00
53,0,20574,Mathew Goggin,52.2,24,46,-6.00
54,0,29479,Scott Brown,52.1,25,48,-1.00
55,0,34021,Bud Cauley,52.0,51,98,-14.00
55,0,20691,Greg Owen,52.0,39,75,-11.00
57,0,06527,Steve Stricker,51.9,28,54,-5.00
58,0,24924,Bill Haas,51.8,29,56,-9.00
59,0,20098,Stuart Appleby,51.7,30,58,-11.00
59,0,28307,Matt Every,51.7,31,60,-5.00
59,0,29420,Billy Horschel,51.7,15,29,-3.00
62,0,26476,Chez Reavie,51.6,32,62,-8.00
63,0,32200,Roberto Castro,51.5,35,68,-12.00
63,0,24140,Sean O'Hair,51.5,34,66,-7.00
65,0,27120,Troy Matteson,51.4,38,74,-2.00
66,0,10885,Robert Allenby,51.3,39,76,-8.00
67,0,20572,Rod Pampling,51.2,42,82,-2.00
68,0,24925,Jonathan Byrd,51.1,24,47,-2.00
68,0,08075,Jerry Kelly,51.1,24,47,-1.00
