RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,TOTAL HOLES,RELATIVE TO PAR
1,0,06527,Steve Stricker,68.62,538,784,-0.22
2,0,20396,Lee Westwood,67.30,389,578,-0.20
3,0,22621,Ben Curtis,67.13,486,724,-0.21
4,0,25686,Jason Dufner,67.09,632,942,-0.22
5,0,33122,Russell Knox,66.82,568,850,-0.16
6,0,22405,Justin Rose,66.80,517,774,-0.17
7,0,25457,Alexandre Rocha,66.76,502,752,-0.14
8,0,08793,Tiger Woods,66.30,480,724,-0.22
9,0,22293,Heath Slocum,66.19,744,1124,-0.15
10,0,10809,Jim Furyk,66.13,656,992,-0.21
11,0,26289,Boo Weekley,65.92,557,845,-0.13
12,0,26329,Louis Oosthuizen,65.91,462,701,-0.17
13,0,25572,Graeme McDowell,65.82,364,553,-0.20
14,0,23638,Brendon de Jonge,65.79,1004,1526,-0.19
14,0,06036,Scott Dunlap,65.79,448,681,-0.17
16,0,27770,Camilo Villegas,65.76,703,1069,-0.15
17,0,23353,J.J. Henry,65.74,706,1074,-0.16
18,0,24781,Hunter Mahan,65.51,602,919,-0.18
19,0,26679,Kevin Stadler,65.40,673,1029,-0.18
20,0,25804,Bubba Watson,65.31,416,637,-0.15
21,0,29420,Billy Horschel,65.26,449,688,-0.18
22,0,12782,Tim Herron,64.99,735,1131,-0.17
23,0,27933,John Merrick,64.91,688,1060,-0.15
24,0,33141,Keegan Bradley,64.82,645,995,-0.19
25,0,29221,Webb Simpson,64.79,611,943,-0.23
26,0,28237,Rory McIlroy,64.76,373,576,-0.24
27,0,28455,Will Claxton,64.71,816,1261,-0.19
28,0,20691,Greg Owen,64.66,719,1112,-0.15
29,0,28307,Matt Every,64.61,597,924,-0.19
30,0,24846,Ricky Barnes,64.56,796,1233,-0.15
31,0,26287,Roland Thatcher,64.53,422,654,-0.16
32,0,24358,Robert Garrigus,64.46,673,1044,-0.20
32,0,23325,Vaughn Taylor,64.46,613,951,-0.19
34,0,32200,Roberto Castro,64.41,704,1093,-0.17
35,0,27095,Nick Watney,64.36,706,1097,-0.17
36,0,23204,Gary Christian,64.34,738,1147,-0.18
37,0,32334,Charlie Beljan,64.30,380,591,-0.14
37,0,25892,Steve Wheatcroft,64.30,389,605,-0.15
39,0,23548,Bill Lunde,64.28,619,963,-0.17
40,0,35139,Richard Lee,64.24,546,850,-0.21
40,0,26476,Chez Reavie,64.24,643,1001,-0.16
42,0,30110,Kyle Stanley,64.18,636,991,-0.14
43,0,27302,Garth Mulroy,64.17,428,667,-0.19
44,0,24140,Sean O'Hair,64.14,676,1054,-0.15
45,0,23623,Bo Van Pelt,64.12,613,956,-0.22
46,0,29476,Kyle Reifers,64.09,696,1086,-0.15
47,0,20645,John Senden,64.08,569,888,-0.20
48,0,27436,Graham DeLaet,64.04,659,1029,-0.16
49,0,34099,Harris English,64.01,811,1267,-0.17
50,0,25818,Scott Piercy,63.99,773,1208,-0.21
51,0,24502,Adam Scott,63.95,376,588,-0.18
52,0,26596,Ryan Moore,63.84,775,1214,-0.23
53,0,25240,D.A. Points,63.79,754,1182,-0.20
54,0,01706,Davis Love III,63.77,491,770,-0.22
55,0,25834,Daniel Summerhays,63.63,642,1009,-0.17
56,0,28087,Kris Blanks,63.52,566,891,-0.14
57,0,23983,Luke Donald,63.46,462,728,-0.20
58,0,29518,Brendan Steele,63.45,585,922,-0.12
59,0,12510,Chad Campbell,63.42,690,1088,-0.17
60,0,29289,S.Y. Noh,63.41,773,1219,-0.17
61,0,31202,William McGirt,63.32,739,1167,-0.15
62,0,21961,Charles Howell III,63.30,714,1128,-0.14
63,0,10885,Robert Allenby,63.29,638,1008,-0.17
64,0,29910,Blake Adams,63.28,817,1291,-0.18
65,0,21209,Sergio Garcia,63.18,405,641,-0.19
66,0,26331,Charl Schwartzel,63.17,367,581,-0.20
66,0,02206,David Toms,63.17,410,649,-0.18
68,0,12652,Cameron Beckman,63.08,651,1032,-0.17
69,0,27214,Kevin Streelman,63.03,704,1117,-0.19
70,0,26758,David Hearn,62.99,844,1340,-0.17
71,0,20574,Mathew Goggin,62.97,500,794,-0.14
71,0,26951,Johnson Wagner,62.97,704,1118,-0.17
73,0,06567,Vijay Singh,62.95,729,1158,-0.17
73,0,33419,Cameron Tringale,62.95,695,1104,-0.15
75,0,01116,Michael Bradley,62.86,501,797,-0.16
76,0,34021,Bud Cauley,62.70,817,1303,-0.16
77,0,34174,John Huh,62.67,799,1275,-0.18
78,0,30944,Jason Kokrak,62.60,611,976,-0.15
79,0,24507,Jason Bohn,62.56,625,999,-0.19
80,0,30926,Chris Kirk,62.49,763,1221,-0.20
81,0,27064,Jhonattan Vegas,62.46,604,967,-0.16
82,0,23718,Nathan Green,62.43,525,841,-0.18
83,0,30925,Dustin Johnson,62.38,461,739,-0.18
84,0,29479,Scott Brown,62.22,466,749,-0.17
84,0,06522,Ernie Els,62.22,593,953,-0.15
86,0,23788,D.J. Trahan,62.13,566,911,-0.14
87,0,20623,Gavin Coles,62.03,549,885,-0.21
87,0,24361,Pat Perez,62.03,637,1027,-0.17
89,0,27060,John Mallinger,62.02,601,969,-0.17
90,0,08075,Jerry Kelly,61.98,688,1110,-0.18
91,0,25345,Carl Pettersson,61.94,729,1177,-0.23
92,0,01724,Jeff Maggert,61.93,719,1161,-0.17
92,0,30692,Scott Stallings,61.93,589,951,-0.13
