RANK,MOVEMENT,PLAYER_ID,PLAYER,STATUS,PAR 4 AVG,TOTAL PAR
1,0,08793,Tiger Woods,-62,3.92,3256
2,0,06567,Vijay Singh,-43,3.96,4744
3,0,01810,Phil Mickelson,-23,3.97,3228
4,0,10809,Jim Furyk,-12,3.99,4060
5,0,02206,David Toms,-6,3.99,3360
6,0,26420,Richard Johnson,-2,4.00,2120
6,0,01945,Kenny Perry,-2,4.00,3568
8,0,21209,Sergio Garcia,+1,4.00,3040
9,0,01361,Dan Forsman,+2,4.00,2064
10,0,01139,Olin Browne,+4,4.00,4012
10,0,06034,Marco Dawson,+4,4.00,3420
12,0,12782,Tim Herron,+7,4.01,4240
13,0,22046,Geoff Ogilvy,+10,4.01,4012
14,0,02223,Bob Tway,+11,4.01,3588
15,0,06373,José María Olazábal,+13,4.02,2320
16,0,01766,Billy Mayfair,+16,4.01,4684
17,0,08123,Jeff Brehaut,+17,4.02,2808
18,0,21407,Arjun Atwal,+18,4.03,2768
18,0,24980,Scott Gutschewski,+18,4.02,3516
20,0,10860,Justin Leonard,+19,4.02,3348
21,0,21350,Ryuji Imada,+20,4.02,3316
21,0,22405,Justin Rose,+20,4.02,4000
23,0,20099,Doug Barron,+21,4.03,2928
23,0,19972,José Coceres,+21,4.04,2288
23,0,06575,Dudley Hart,+21,4.02,3560
23,0,02101,Joey Sindelar,+21,4.02,4320
23,0,22295,Darron Stiles,+21,4.03,3212
23,0,02239,Scott Verplank,+21,4.02,3772
29,0,20229,Stewart Cink,+22,4.02,3896
29,0,23353,J.J. Henry,+22,4.02,4216
31,0,01706,Davis Love III,+23,4.03,3244
31,0,20628,Arron Oberholser,+23,4.03,2712
31,0,20645,John Senden,+23,4.02,4172
31,0,06527,Steve Stricker,+23,4.03,2640
35,0,06251,Chris DiMarco,+24,4.03,3272
35,0,20094,Jonathan Kaye,+24,4.03,3140
37,0,23541,Ben Crane,+25,4.03,3264
37,0,06573,Brandt Jobe,+25,4.03,3948
39,0,23983,Luke Donald,+27,4.04,2728
39,0,01320,Bob Estes,+27,4.03,3980
39,0,21878,Mark Wilson,+27,4.04,2900
42,0,01142,Bart Bryant,+28,4.03,4004
42,0,01226,Fred Couples,+28,4.04,2932
42,0,01329,Brad Faxon,+28,4.04,3072
45,0,01313,Steve Elkington,+29,4.04,2872
46,0,20098,Stuart Appleby,+30,4.03,3532
46,0,20157,Retief Goosen,+30,4.04,2696
46,0,26287,Roland Thatcher,+30,4.04,3036
49,0,21753,Brian Davis,+31,4.04,3112
49,0,06621,Joe Durant,+31,4.04,3452
49,0,12680,Shigeki Maruyama,+31,4.03,4268
49,0,23322,Brett Wetterich,+31,4.04,3132
53,0,24507,Jason Bohn,+32,4.03,3880
53,0,23325,Vaughn Taylor,+32,4.03,4192
55,0,26758,David Hearn,+33,4.05,2876
56,0,21805,Harrison Frazar,+34,4.03,4260
56,0,20378,Mathias Grönberg,+34,4.05,2480
56,0,21731,Freddie Jacobson,+34,4.04,3096
56,0,24024,Zach Johnson,+34,4.03,4152
56,0,01797,Rocco Mediate,+34,4.04,3080
56,0,24140,Sean O'Hair,+34,4.03,4304
56,0,02010,Loren Roberts,+34,4.06,2296
56,0,22293,Heath Slocum,+34,4.03,4232
56,0,20812,Tjaart van der Walt,+34,4.06,2340
65,0,21961,Charles Howell III,+35,4.04,3860
65,0,21951,Joey Snyder III,+35,4.03,4148
65,0,12454,Mario Tiziani,+35,4.05,2744
68,0,10201,Matt Gogel,+37,4.05,3220
68,0,01941,Tom Pernice Jr.,+37,4.03,4532
68,0,12602,Dean Wilson,+37,4.04,3612
71,0,20663,Brenden Pappas,+38,4.07,2160
72,0,12660,Jesper Parnevik,+39,4.04,3468
72,0,24502,Adam Scott,+39,4.05,3000
74,0,01161,Mark Calcavecchia,+40,4.04,3904
74,0,20850,Daniel Chopra,+40,4.04,4396
74,0,23135,Tim Clark,+40,4.04,3808
74,0,20474,Phillip Price,+40,4.05,3024
74,0,06595,Kevin Sutherland,+40,4.04,3692
79,0,08537,J.P. Hayes,+41,4.06,2676
79,0,20691,Greg Owen,+41,4.05,3340
81,0,02104,Jeff Sluman,+42,4.04,3932
81,0,20548,Hidemichi Tanaka,+42,4.04,4260
81,0,02214,Kirk Triplett,+42,4.08,2200
84,0,23320,Ryan Palmer,+43,4.04,4132
85,0,10425,Jay Williamson,+44,4.08,2200
86,0,07749,Brett Quigley,+45,4.05,3844
87,0,01457,Jay Haas,+46,4.09,2136
88,0,24227,Justin Bolli,+47,4.07,2648
88,0,24357,K.J. Choi,+47,4.06,3220
88,0,01666,Bernhard Langer,+47,4.06,2896
88,0,20382,Stephen Leaney,+47,4.05,3588
88,0,27095,Nick Watney,+47,4.05,3748
93,0,24604,Hunter Haas,+48,4.06,3332
93,0,01677,Tom Lehman,+48,4.07,2924
93,0,23788,D.J. Trahan,+48,4.06,3260
93,0,23623,Bo Van Pelt,+48,4.04,4756
97,0,10885,Robert Allenby,+49,4.05,3828
97,0,24925,Jonathan Byrd,+49,4.05,4228
97,0,23108,Matt Kuchar,+49,4.08,2552
97,0,08385,Omar Uresti,+49,4.05,3596
101,0,01042,Paul Azinger,+50,4.07,2772
101,0,19846,Brian Gay,+50,4.05,4200
101,0,25900,Lucas Glover,+50,4.06,3620
104,0,20498,Briny Baird,+51,4.05,4076
104,0,19824,Craig Barlow,+51,4.06,3212
104,0,12652,Cameron Beckman,+51,4.05,3876
104,0,12823,Carlos Franco,+51,4.06,3192
108,0,20766,Padraig Harrington,+52,4.10,2076
108,0,01724,Jeff Maggert,+52,4.07,3192
108,0,01887,Mark O'Meara,+52,4.08,2736
108,0,02246,Duffy Waldorf,+52,4.06,3492
112,0,01035,Tommy Armour III,+53,4.05,4348
112,0,08931,Glen Day,+53,4.06,3316
112,0,12645,Brent Geiberger,+53,4.08,2532
112,0,08545,Glen Hnatiuk,+53,4.09,2320
