RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND- COURSE,HOLE
1,0,29223,Sam Saunders,230,Humana,3,5 - Par 3 -
2,0,34359,Diego Velásquez,223,Texas Open,2,13 - Par 3
3,0,25396,Kevin Na,221,Hyundai T of C,2,17 - Par 4
4,0,28087,Kris Blanks,218,Transitions Chp,4,17 - Par 3
5,0,10213,Dicky Pride,218,St. Jude,2,18 - Par 4
6,0,21209,Sergio Garcia,207,Northern Trust,4,15 - Par 4
7,0,01766,Billy Mayfair,202,RBC Heritage,1,7 - Par 3 -
8,0,26596,Ryan Moore,201,Arnold Palmer,1,7 - Par 3 -
9,0,29718,Anthony Kim,201,Arnold Palmer,1,17 - Par 3
10,0,32200,Roberto Castro,199,Wells Fargo,1,3 - Par 4 -
11,0,06527,Steve Stricker,199,BMW Champ,2,6 - Par 3 -
12,0,26951,Johnson Wagner,198,Northern Trust,3,15 - Par 4
13,0,28475,Jeff Overton,196,Wyndham Champ.,3,12 - Par 3
14,0,01706,Davis Love III,196,Honda Classic,1,5 - Par 3 -
15,0,20623,Gavin Coles,194,Sony Open,1,5 - Par 4 -
16,0,26476,Chez Reavie,194,AT&T National,4,13 - Par 3
17,0,22348,Nick O'Hern,194,Farmers Ins.,4,3 - Par 3 -
18,0,21961,Charles Howell III,192,Honda Classic,4,7 - Par 3 -
19,0,30926,Chris Kirk,190,The Barclays,2,17 - Par 3
20,0,20229,Stewart Cink,190,Transitions Chp,3,8 - Par 3 -
22,0,12510,Chad Campbell,188,John Deere Clas,2,15 - Par 4
24,0,01320,Bob Estes,184,RBC Heritage,2,4 - Par 3 -
25,0,21805,Harrison Frazar,183,Crowne Plaza,2,16 - Par 3
26,0,36670,Jonathan Fly,179,St. Jude,2,1 - Par 4 -
27,0,23135,Tim Clark,179,THE PLAYERS,2,7 - Par 4 -
28,0,29476,Kyle Reifers,178,Wyndham Champ.,3,18 - Par 4
29,0,24924,Bill Haas,175,Wyndham Champ.,2,14 - Par 4
30,0,22892,Jason Gore,175,True South Cl,3,15 - Par 3
31,0,10885,Robert Allenby,172,RBC Heritage,1,11 - Par 4
32,0,23548,Bill Lunde,172,Northern Trust,2,13 - Par 4
33,0,10809,Jim Furyk,172,RBC Heritage,4,11 - Par 4
34,0,24024,Zach Johnson,166,The Barclays,4,15 - Par 4
35,0,25364,Paul Casey,166,WGC-Cadillac,4,15 - Par 3
36,0,27060,John Mallinger,165,Honda Classic,3,2 - Par 4 -
38,0,21949,Joe Ogilvie,162,Northern Trust,2,16 - Par 3
39,0,23621,Rory Sabbatini,161,Travelers Champ,4,16 - Par 3
