RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS,RTP-GOING FOR THE GREEN,RTP-NOT GOING FOR THE GRN
1,0,25804,Bubba Watson,78.97,154,41,-76,+1
2,0,28237,Rory McIlroy,78.76,178,48,-118,+3
3,0,30925,Dustin Johnson,75.12,163,54,-90,-13
4,0,39546,Keith Mitchell,74.55,167,57,-94,+5
5,0,35450,Patrick Cantlay,74.53,158,54,-97,-6
6,0,36689,Brooks Koepka,73.58,156,56,-92,-6
7,0,46970,Jon Rahm,73.46,155,56,-91,-3
8,0,27129,Luke List,72.68,149,56,-90,E
9,0,33448,Justin Thomas,72.46,150,57,-112,-9
10,0,45157,Cam Davis,72.25,151,58,-90,+4
11,0,33948,Byeong Hun An,71.67,172,68,-102,+14
12,0,29725,Tony Finau,71.60,179,71,-100,+9
13,0,27064,Jhonattan Vegas,71.37,172,69,-110,-4
13,0,31323,Gary Woodland,71.37,177,71,-126,-4
15,0,47959,Bryson DeChambeau,70.68,176,73,-114,-4
16,0,46601,Trey Mullinax,70.56,163,68,-79,-4
17,0,52372,Cameron Champ,70.43,181,76,-115,+18
18,0,48081,Xander Schauffele,70.10,143,61,-85,-8
19,0,47856,Seth Reeves,70.05,138,59,-77,E
20,0,51766,Wyndham Clark,69.12,188,84,-126,-13
21,0,34306,John Chin,69.06,96,43,-47,+5
22,0,49960,Sepp Straka,68.69,147,67,-87,-4
23,0,35421,Brandon Harkins,68.60,177,81,-89,-8
24,0,27349,Alex Noren,68.46,102,47,-58,-5
25,0,24502,Adam Scott,68.42,104,48,-67,-11
26,0,30911,Tommy Fleetwood,68.28,127,59,-78,+5
27,0,49964,Aaron Wise,68.04,149,70,-99,-2
28,0,34360,Patrick Reed,67.87,188,89,-107,-2
29,0,30944,Jason Kokrak,67.84,192,91,-102,-3
30,0,39971,Sungjae Im,67.77,246,117,-164,-12
31,0,36799,Stephan Jaeger,66.83,139,69,-76,-1
32,0,47504,Sam Burns,66.26,163,83,-98,-2
33,0,37455,Si Woo Kim,66.08,150,77,-91,E
33,0,39324,J.J. Spaun,66.08,150,77,-77,-4
35,0,21209,Sergio Garcia,65.52,95,50,-54,-7
36,0,37275,Sam Ryder,65.35,149,79,-86,-5
37,0,40026,Daniel Berger,65.22,135,72,-67,+1
38,0,29926,Danny Lee,65.12,168,90,-83,+6
39,0,28089,Jason Day,65.03,119,64,-70,-2
40,0,22405,Justin Rose,64.97,115,62,-62,-7
41,0,32839,Hideki Matsuyama,64.96,178,96,-103,-14
41,0,48822,Sebastián Muñoz,64.96,152,82,-103,+3
43,0,23320,Ryan Palmer,64.92,124,67,-66,-11
44,0,27974,Sung Kang,64.48,167,92,-92,-7
45,0,26300,Matt Jones,64.37,159,88,-103,-12
46,0,29970,Dylan Frittelli,64.26,169,94,-98,-12
47,0,29221,Webb Simpson,64.14,161,90,-106,-5
48,0,40009,Dominic Bozzelli,63.91,108,61,-65,+2
49,0,46435,Austin Cook,63.24,117,68,-68,+7
50,0,33667,Carlos Ortiz,63.16,168,98,-100,-7
51,0,32333,Kevin Tway,63.11,154,90,-93,-16
52,0,34099,Harris English,63.10,183,107,-113,+4
52,0,27141,J.B. Holmes,63.10,118,69,-55,E
54,0,27958,Ryan Blaum,62.83,169,100,-79,-17
55,0,46523,Joey Garber,62.75,96,57,-36,-5
56,0,35732,Wes Roach,62.57,112,67,-66,-8
57,0,25364,Paul Casey,62.56,127,76,-75,-23
57,0,30946,Alex Prugh,62.56,132,79,-73,-12
59,0,47993,Denny McCarthy,62.45,163,98,-102,-19
60,0,29223,Sam Saunders,62.35,154,93,-88,+14
61,0,21961,Charles Howell III,62.32,172,104,-104,-2
62,0,46402,Talor Gooch,62.28,104,63,-61,-6
63,0,47128,Richy Werenski,61.90,169,104,-97,+11
64,0,27330,Josh Teater,61.66,119,74,-59,-4
65,0,36699,Patrick Rodgers,61.59,101,63,-72,+1
66,0,27936,Martin Laird,61.46,177,111,-118,-3
66,0,45486,Joaquin Niemann,61.46,177,111,-98,-11
66,0,37340,Chase Wright,61.46,126,79,-77,-2
69,0,25900,Lucas Glover,61.33,184,116,-104,-10
70,0,39977,Max Homa,61.26,155,98,-86,-17
71,0,01810,Phil Mickelson,61.03,119,76,-56,+9
72,0,29974,Branden Grace,60.69,105,68,-63,-15
73,0,35461,Beau Hossler,60.54,158,103,-73,E
74,0,31646,Emiliano Grillo,60.49,124,81,-65,-9
75,0,35532,Tom Hoge,60.45,162,106,-74,+3
76,0,37189,Harold Varner III,60.44,165,108,-88,-9
77,0,24781,Hunter Mahan,60.34,108,71,-51,-1
78,0,35617,Martin Trainer,60.32,114,75,-68,+2
79,0,33399,Adam Hadwin,60.26,138,91,-83,-12
80,0,49766,Hank Lebioda,60.19,124,82,-70,-17
80,0,26851,Marc Leishman,60.19,130,86,-75,-14
82,0,28252,Seamus Power,60.17,142,94,-70,-5
83,0,27644,Brian Harman,60.08,152,101,-94,+3
84,0,30978,Kiradech Aphibarnrat,60.00,99,66,-42,-14
85,0,46501,Ollie Schniederjans,59.75,141,95,-86,-8
86,0,35506,Mackenzie Hughes,59.57,140,95,-75,-5
87,0,34021,Bud Cauley,59.50,166,113,-110,-9
88,0,49771,J.T. Poston,59.46,198,135,-109,-19
89,0,30692,Scott Stallings,59.40,158,108,-93,-5
90,0,36852,Jim Knous,59.18,87,60,-40,-1
91,0,24924,Bill Haas,59.11,133,92,-93,-18
92,0,29479,Scott Brown,58.90,139,97,-78,-15
93,0,32640,Troy Merritt,58.88,126,88,-82,-10
94,0,29268,Bronson Burgoon,58.86,93,65,-43,-1
95,0,49303,Anders Albertson,58.79,117,82,-55,+1
96,0,32150,Michael Thompson,58.62,136,96,-62,-8
97,0,45609,Tyler Duncan,58.55,137,97,-62,-9
98,0,20572,Rod Pampling,58.39,87,62,-32,-1
99,0,33141,Keegan Bradley,58.14,150,108,-78,+3
99,0,39954,Cody Gribble,58.14,125,90,-79,-5
