RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES/EAGLES,# HOLES
1,0,08793,Tiger Woods,24.55,358,1458
2,0,01418,Bill Glasson,23.61,289,1224
3,0,09011,David Duval,23.24,410,1764
4,0,01161,Mark Calcavecchia,22.57,394,1746
5,0,12660,Jesper Parnevik,22.54,284,1260
6,0,01226,Fred Couples,22.32,229,1026
7,0,01810,Phil Mickelson,22.30,305,1368
8,0,01960,Don Pooley,22.07,286,1296
9,0,01577,Lee Janzen,22.00,392,1782
10,0,01876,Greg Norman,21.79,200,918
11,0,06613,Tommy Tolles,21.72,348,1602
12,0,01887,Mark O'Meara,21.65,300,1386
13,0,01682,Wayne Levi,21.48,259,1206
14,0,01707,Steve Lowery,21.38,381,1782
15,0,02256,Tom Watson,21.37,200,936
16,0,01706,Davis Love III,21.30,345,1620
17,0,08375,Paul Stankowski,21.29,387,1818
18,0,01968,Nick Price,21.26,222,1044
19,0,10809,Jim Furyk,21.20,374,1764
20,0,01329,Brad Faxon,21.19,286,1350
21,0,02170,Hal Sutton,21.06,364,1728
22,0,01157,Tom Byrum,21.03,371,1764
23,0,02133,Craig Stadler,21.01,261,1242
24,0,01723,Andrew Magee,20.97,385,1836
25,0,01388,Robert Gamez,20.93,309,1476
26,0,01334,Keith Fergus,20.79,217,1044
27,0,01677,Tom Lehman,20.76,269,1296
28,0,10569,Mike Brisky,20.72,373,1800
29,0,12387,Michael Christie,20.70,354,1710
30,0,01024,Billy Andrade,20.67,372,1800
31,0,01096,Phil Blackmar,20.65,342,1656
32,0,02214,Kirk Triplett,20.64,327,1584
33,0,01599,Steve Jones,20.58,289,1404
34,0,01331,Rick Fehr,20.53,255,1242
35,0,12782,Tim Herron,20.46,372,1818
35,0,02010,Loren Roberts,20.46,302,1476
37,0,02206,David Toms,20.45,324,1584
38,0,06617,Brian Henninger,20.35,282,1386
39,0,01320,Bob Estes,20.29,252,1242
40,0,01035,Tommy Armour III,20.27,343,1692
41,0,01374,Robin Freeman,20.26,237,1170
42,0,01203,Russ Cochran,20.23,375,1854
43,0,01943,Chris Perry,20.18,385,1908
44,0,01249,John Daly,20.11,181,900
44,0,01527,Scott Hoch,20.11,315,1566
46,0,12645,Brent Geiberger,20.01,335,1674
47,0,01185,Brandel Chamblee,19.97,284,1422
47,0,10860,Justin Leonard,19.97,363,1818
