RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 280-300,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,26596,Ryan Moore,50.57,88,174,-0.20
2,0,22582,Kyle Thompson,50.00,45,90,-0.11
2,0,33419,Cameron Tringale,50.00,84,168,-0.14
2,0,20396,Lee Westwood,50.00,40,80,+0.03
5,0,25562,Andres Romero,49.11,55,112,-0.02
6,0,24361,Pat Perez,48.00,72,150,-0.26
7,0,24925,Jonathan Byrd,47.32,53,112,-0.21
8,0,06034,Marco Dawson,47.22,51,108,-0.08
9,0,27895,Jonas Blixt,47.14,66,140,-0.08
10,0,23541,Ben Crane,46.97,62,132,-0.27
10,0,27644,Brian Harman,46.97,93,198,-0.04
12,0,26679,Kevin Stadler,46.75,72,154,-0.11
13,0,21731,Freddie Jacobson,46.59,41,88,-0.10
14,0,24138,Ian Poulter,46.25,37,80,-0.11
15,0,29926,Danny Lee,46.21,61,132,+0.05
16,0,20645,John Senden,46.09,59,128,-0.25
17,0,01766,Billy Mayfair,45.93,79,172,-0.05
18,0,22046,Geoff Ogilvy,45.69,53,116,-0.19
19,0,28455,Will Claxton,45.26,86,190,-0.19
20,0,27649,Brandt Snedeker,44.85,61,136,-0.26
21,0,12782,Tim Herron,44.77,77,172,-0.12
22,0,01810,Phil Mickelson,44.62,58,130,-0.16
23,0,24924,Bill Haas,44.53,57,128,-0.12
24,0,32150,Michael Thompson,44.44,64,144,-0.30
25,0,23409,James Driscoll,44.16,68,154,-0.12
26,0,24781,Hunter Mahan,44.12,60,136,+0.05
27,0,27214,Kevin Streelman,43.98,73,166,-0.03
28,0,01797,Rocco Mediate,43.75,56,128,-0.02
29,0,22405,Justin Rose,43.52,47,108,-0.15
30,0,25240,D.A. Points,43.45,73,168,-0.03
31,0,30926,Chris Kirk,43.26,77,178,+0.06
32,0,30750,Tommy Gainey,43.23,83,192,-0.08
33,0,06522,Ernie Els,43.18,57,132,-0.04
33,0,21209,Sergio Garcia,43.18,38,88,-0.13
35,0,10885,Robert Allenby,43.06,62,144,+0.02
36,0,32200,Roberto Castro,42.86,72,168,-0.15
36,0,19970,Robert Karlsson,42.86,36,84,-0.25
38,0,34021,Bud Cauley,42.78,83,194,-0.01
39,0,08725,Tom Gillis,42.67,64,150,-0.06
40,0,29478,Kevin Kisner,42.62,52,122,-0.15
41,0,24846,Ricky Barnes,42.61,75,176,-0.03
42,0,20766,Padraig Harrington,42.55,40,94,-0.10
43,0,29221,Webb Simpson,42.42,56,132,-0.11
44,0,27933,John Merrick,42.41,67,158,-0.16
45,0,20098,Stuart Appleby,42.25,60,142,-0.17
46,0,25572,Graeme McDowell,42.11,32,76,-0.28
47,0,26951,Johnson Wagner,42.07,69,164,-0.14
48,0,23108,Matt Kuchar,41.91,57,136,-0.19
49,0,21407,Arjun Atwal,41.78,61,146,-0.08
50,0,27974,Sung Kang,41.55,59,142,-0.10
51,0,31558,J.J. Killeen,41.40,77,186,+0.03
52,0,23623,Bo Van Pelt,41.30,57,138,-0.05
53,0,20160,Charlie Wi,41.25,66,160,-0.17
54,0,10809,Jim Furyk,41.18,56,136,+0.02
55,0,31202,William McGirt,41.11,74,180,-0.15
56,0,20572,Rod Pampling,40.79,62,152,-0.10
57,0,23325,Vaughn Taylor,40.67,61,150,-0.08
58,0,23621,Rory Sabbatini,40.63,65,160,-0.15
59,0,32102,Rickie Fowler,40.58,56,138,-0.11
60,0,26758,David Hearn,40.53,77,190,-0.09
60,0,28475,Jeff Overton,40.53,77,190,-0.13
62,0,27963,Chris Stroud,40.48,68,168,-0.07
63,0,34174,John Huh,40.32,75,186,E
64,0,06036,Scott Dunlap,40.20,41,102,-0.07
65,0,24507,Jason Bohn,40.14,57,142,-0.25
66,0,29910,Blake Adams,40.00,76,190,-0.13
66,0,29420,Billy Horschel,40.00,44,110,-0.23
66,0,26331,Charl Schwartzel,40.00,32,80,-0.19
66,0,25892,Steve Wheatcroft,40.00,40,100,+0.08
70,0,06527,Steve Stricker,39.81,43,108,-0.07
71,0,23638,Brendon de Jonge,39.72,85,214,-0.12
72,0,27302,Garth Mulroy,39.62,42,106,-0.12
73,0,24490,George McNeill,39.61,61,154,-0.10
74,0,20691,Greg Owen,39.53,68,172,-0.26
75,0,20574,Mathew Goggin,39.34,48,122,-0.13
76,0,20070,Matt Bettencourt,39.29,55,140,-0.07
77,0,28093,Miguel Angel Carballo,39.23,51,130,-0.14
78,0,24494,Erik Compton,39.04,57,146,-0.12
79,0,25345,Carl Pettersson,39.02,64,164,-0.09
80,0,22371,Aaron Baddeley,38.79,45,116,-0.02
81,0,26329,Louis Oosthuizen,38.78,38,98,-0.21
82,0,25686,Jason Dufner,38.64,51,132,-0.12
83,0,27060,John Mallinger,38.57,54,140,+0.07
84,0,01706,Davis Love III,38.39,43,112,+0.12
85,0,01116,Michael Bradley,38.14,45,118,-0.20
86,0,27095,Nick Watney,38.13,61,160,+0.08
87,0,27556,Ted Potter Jr.,38.06,51,134,-0.29
88,0,34099,Harris English,37.77,71,188,-0.03
89,0,24604,Hunter Haas,37.70,46,122,-0.09
90,0,23718,Nathan Green,37.69,49,130,-0.22
91,0,23788,D.J. Trahan,37.68,52,138,+0.06
92,0,23548,Bill Lunde,37.67,55,146,-0.11
