RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,01116,Michael Bradley,12.61,97,769,+0.175
2,0,22348,Nick O'Hern,11.71,111,948,+0.270
3,0,01941,Tom Pernice Jr.,10.62,77,725,+0.208
4,0,23718,Nathan Green,9.65,77,798,+0.286
5,0,30711,Colt Knost,9.51,89,936,+0.180
6,0,22378,Trevor Immelman,8.78,70,797,+0.100
7,0,23800,Bryce Molder,8.16,81,993,+0.235
8,0,23353,J.J. Henry,8.09,80,989,+0.138
9,0,29222,Billy Hurley III,8.02,64,798,+0.438
10,0,20160,Charlie Wi,7.97,81,1016,+0.160
11,0,01320,Bob Estes,7.95,72,906,+0.208
11,0,06573,Brandt Jobe,7.95,50,629,+0.220
13,0,20623,Gavin Coles,7.90,63,797,+0.143
14,0,24507,Jason Bohn,7.84,72,918,+0.069
15,0,27060,John Mallinger,7.76,68,876,+0.118
16,0,21350,Ryuji Imada,7.68,74,963,+0.351
17,0,27974,Sung Kang,7.65,66,863,+0.576
18,0,32150,Michael Thompson,7.63,69,904,+0.174
19,0,08075,Jerry Kelly,7.57,77,1017,+0.078
20,0,27797,Derek Lamely,7.30,57,781,+0.211
21,0,10860,Justin Leonard,7.19,68,946,+0.324
22,0,25632,Jimmy Walker,7.10,90,1268,+0.144
23,0,20593,Greg Chalmers,7.08,74,1045,+0.338
24,0,25396,Kevin Na,7.05,64,908,+0.172
24,0,21878,Mark Wilson,7.05,67,950,+0.134
26,0,08793,Tiger Woods,6.99,47,672,+0.021
27,0,20104,Ken Duke,6.94,87,1254,+0.241
28,0,19846,Brian Gay,6.91,75,1086,+0.213
29,0,24846,Ricky Barnes,6.89,79,1146,+0.329
30,0,06251,Chris DiMarco,6.79,68,1002,+0.162
31,0,20098,Stuart Appleby,6.73,61,907,+0.213
32,0,28087,Kris Blanks,6.71,56,835,+0.161
33,0,22961,David Mathis,6.65,64,963,+0.313
34,0,21407,Arjun Atwal,6.64,61,919,+0.213
35,0,26331,Charl Schwartzel,6.63,37,558,+0.108
35,0,21528,Henrik Stenson,6.63,39,588,+0.051
37,0,32698,Bobby Gates,6.60,70,1060,+0.200
38,0,21209,Sergio Garcia,6.54,40,612,+0.125
39,0,26851,Marc Leishman,6.51,69,1060,+0.188
39,0,25834,Daniel Summerhays,6.51,62,952,+0.032
41,0,23204,Gary Christian,6.50,68,1046,+0.162
42,0,28259,Sangmoon Bae,6.44,51,792,+0.216
42,0,23983,Luke Donald,6.44,43,668,+0.279
44,0,20766,Padraig Harrington,6.39,40,626,+0.225
45,0,24357,K.J. Choi,6.38,50,784,+0.120
46,0,02206,David Toms,6.35,39,614,+0.205
47,0,22371,Aaron Baddeley,6.33,49,774,+0.408
47,0,20070,Matt Bettencourt,6.33,53,837,+0.302
49,0,28089,Jason Day,6.27,41,654,+0.220
50,0,01249,John Daly,6.25,33,528,+0.030
51,0,20850,Daniel Chopra,6.15,37,602,+0.405
52,0,25457,Alexandre Rocha,6.14,43,700,-0.093
53,0,20229,Stewart Cink,6.12,46,752,+0.283
54,0,24604,Hunter Haas,6.05,44,727,+0.273
55,0,22548,Patrick Sheehan,6.01,37,616,+0.162
55,0,29518,Brendan Steele,6.01,54,898,+0.241
57,0,21753,Brian Davis,5.99,66,1101,+0.273
58,0,26476,Chez Reavie,5.88,54,918,+0.148
59,0,23903,Stephen Gangluff,5.82,35,601,+0.314
60,0,33419,Cameron Tringale,5.78,62,1072,+0.129
61,0,06036,Scott Dunlap,5.75,37,644,+0.243
62,0,24925,Jonathan Byrd,5.74,45,784,-0.089
63,0,29476,Kyle Reifers,5.73,59,1030,+0.068
64,0,12652,Cameron Beckman,5.71,55,963,+0.164
65,0,27770,Camilo Villegas,5.70,58,1018,+0.224
66,0,27556,Ted Potter Jr.,5.63,48,852,+0.333
67,0,26679,Kevin Stadler,5.61,55,980,+0.036
68,0,26596,Ryan Moore,5.58,63,1130,+0.111
69,0,06004,Stephen Ames,5.54,30,542,+0.233
69,0,31558,J.J. Killeen,5.54,65,1173,+0.185
71,0,27963,Chris Stroud,5.53,58,1049,+0.121
72,0,10809,Jim Furyk,5.52,50,906,+0.020
73,0,24663,Y.E. Yang,5.51,37,672,+0.378
74,0,23621,Rory Sabbatini,5.47,55,1006,+0.255
74,0,30927,Brendon Todd,5.47,48,878,+0.438
76,0,26758,David Hearn,5.45,67,1229,+0.060
77,0,22582,Kyle Thompson,5.42,28,517,+0.286
78,0,27214,Kevin Streelman,5.41,58,1073,+0.207
79,0,30944,Jason Kokrak,5.40,52,963,+0.096
80,0,33122,Russell Knox,5.36,42,783,+0.167
80,0,25240,D.A. Points,5.36,60,1120,+0.067
82,0,10885,Robert Allenby,5.33,49,920,+0.306
83,0,12510,Chad Campbell,5.30,54,1019,+0.019
84,0,11123,Chris Couch,5.19,39,751,+0.154
84,0,01797,Rocco Mediate,5.19,42,809,+0.262
84,0,26287,Roland Thatcher,5.19,32,616,E
87,0,27064,Jhonattan Vegas,5.17,50,967,+0.380
88,0,26951,Johnson Wagner,5.16,55,1066,+0.109
89,0,32200,Roberto Castro,5.15,54,1048,+0.185
90,0,27436,Graham DeLaet,5.14,51,992,+0.078
90,0,23409,James Driscoll,5.14,50,973,+0.400
92,0,27466,Spencer Levin,5.10,47,922,+0.128
92,0,24361,Pat Perez,5.10,49,960,+0.102
94,0,12782,Tim Herron,5.09,54,1061,+0.185
94,0,20572,Rod Pampling,5.09,49,963,+0.184
96,0,29479,Scott Brown,5.06,36,711,-0.056
97,0,29910,Blake Adams,5.05,62,1228,+0.177
97,0,34174,John Huh,5.05,60,1188,-0.017
97,0,24024,Zach Johnson,5.05,52,1030,+0.135
97,0,29289,S.Y. Noh,5.05,60,1187,+0.033
101,0,20848,Ángel Cabrera,5.04,26,516,+0.346
102,0,28093,Miguel Angel Carballo,5.03,40,796,+0.250
102,0,24494,Erik Compton,5.03,45,894,+0.333
104,0,08725,Tom Gillis,4.99,48,961,+0.083
104,0,31323,Gary Woodland,4.99,37,742,+0.189
106,0,29926,Danny Lee,4.98,41,824,+0.049
107,0,24490,George McNeill,4.96,49,988,+0.245
108,0,24358,Robert Garrigus,4.95,51,1030,+0.098
108,0,30926,Chris Kirk,4.95,59,1192,+0.271
108,0,01706,Davis Love III,4.95,36,728,+0.139
111,0,28307,Matt Every,4.92,44,894,+0.114
112,0,21805,Harrison Frazar,4.89,33,675,+0.273
112,0,24138,Ian Poulter,4.89,26,532,-0.038
114,0,23788,D.J. Trahan,4.86,42,865,+0.167
115,0,06034,Marco Dawson,4.83,31,642,+0.258
116,0,31202,William McGirt,4.82,53,1100,+0.132
117,0,10213,Dicky Pride,4.81,33,686,+0.212
118,0,33120,Mark Anderson,4.80,41,854,+0.220
118,0,23325,Vaughn Taylor,4.80,43,895,E
120,0,23638,Brendon de Jonge,4.78,68,1424,+0.176
121,0,20645,John Senden,4.76,41,862,+0.073
122,0,27120,Troy Matteson,4.75,55,1157,+0.055
123,0,22405,Justin Rose,4.74,35,738,-0.057
124,0,22046,Geoff Ogilvy,4.70,36,766,+0.250
125,0,27895,Jonas Blixt,4.69,42,895,+0.119
125,0,24140,Sean O'Hair,4.69,50,1066,+0.200
127,0,20691,Greg Owen,4.66,50,1074,+0.320
128,0,21961,Charles Howell III,4.65,50,1076,+0.240
128,0,25562,Andres Romero,4.65,35,752,+0.371
128,0,27649,Brandt Snedeker,4.65,42,904,-0.024
131,0,34099,Harris English,4.61,56,1214,+0.214
131,0,30750,Tommy Gainey,4.61,58,1257,+0.190
133,0,01766,Billy Mayfair,4.59,50,1089,+0.200
134,0,22293,Heath Slocum,4.58,48,1048,+0.188
135,0,21731,Freddie Jacobson,4.55,28,616,+0.250
135,0,22913,John Rollins,4.55,45,990,+0.067
137,0,23320,Ryan Palmer,4.53,45,993,+0.133
138,0,35139,Richard Lee,4.52,36,797,+0.306
139,0,28455,Will Claxton,4.42,53,1200,+0.075
140,0,27933,John Merrick,4.38,44,1005,+0.023
141,0,29221,Webb Simpson,4.33,40,924,+0.025
142,0,23542,Tommy Biershenk,4.32,35,810,+0.514
142,0,24924,Bill Haas,4.32,37,856,+0.135
144,0,06522,Ernie Els,4.30,39,906,+0.026
145,0,23541,Ben Crane,4.25,37,870,+0.135
146,0,27095,Nick Watney,4.23,45,1064,+0.067
147,0,33141,Keegan Bradley,4.21,42,998,E
148,0,28500,Martin Flores,4.19,48,1146,+0.229
149,0,22621,Ben Curtis,4.17,28,672,+0.036
150,0,25818,Scott Piercy,4.16,50,1203,+0.120
151,0,25572,Graeme McDowell,4.14,22,532,-0.045
152,0,24781,Hunter Mahan,4.13,37,896,+0.027
153,0,30692,Scott Stallings,4.09,39,954,+0.077
154,0,30852,Ryo Ishikawa,4.07,21,516,-0.048
154,0,06567,Vijay Singh,4.07,46,1130,+0.174
156,0,28475,Jeff Overton,4.06,52,1282,+0.077
157,0,32102,Rickie Fowler,4.00,37,924,+0.162
158,0,34021,Bud Cauley,3.94,50,1268,+0.260
159,0,20396,Lee Westwood,3.93,22,560,+0.136
160,0,32366,Kevin Chappell,3.89,39,1002,+0.231
161,0,25345,Carl Pettersson,3.85,43,1116,+0.302
162,0,06527,Steve Stricker,3.82,29,760,-0.172
163,0,20574,Mathew Goggin,3.77,29,769,+0.241
164,0,27302,Garth Mulroy,3.73,24,644,+0.375
165,0,23135,Tim Clark,3.72,26,698,+0.231
166,0,28308,Troy Kelly,3.65,26,712,+0.154
167,0,25686,Jason Dufner,3.60,32,890,-0.094
168,0,29420,Billy Horschel,3.57,24,672,+0.083
169,0,30110,Kyle Stanley,3.47,34,979,+0.118
170,0,27644,Brian Harman,3.42,42,1228,+0.024
170,0,26300,Matt Jones,3.42,21,614,+0.238
172,0,12716,Charley Hoffman,3.31,35,1059,+0.400
172,0,24502,Adam Scott,3.31,19,574,+0.053
174,0,27330,Josh Teater,3.28,38,1158,+0.237
175,0,23108,Matt Kuchar,3.27,30,918,+0.100
176,0,28237,Rory McIlroy,3.21,18,560,+0.111
176,0,23623,Bo Van Pelt,3.21,29,904,-0.069
178,0,32334,Charlie Beljan,3.17,19,600,+0.211
179,0,27141,J.B. Holmes,3.11,34,1092,+0.647
179,0,23548,Bill Lunde,3.11,29,933,+0.172
181,0,26289,Boo Weekley,3.09,25,810,+0.160
182,0,26329,Louis Oosthuizen,3.08,21,682,+0.381
183,0,25804,Bubba Watson,3.06,22,718,+0.455
184,0,27936,Martin Laird,3.04,23,756,+0.304
185,0,24940,Edward Loar,2.99,18,602,+0.500
186,0,25892,Steve Wheatcroft,2.89,17,588,+0.412
187,0,29478,Kevin Kisner,2.84,21,740,+0.190
188,0,01724,Jeff Maggert,2.76,30,1088,+0.067
189,0,30925,Dustin Johnson,2.56,19,741,-0.158
190,0,01810,Phil Mickelson,2.51,21,838,-0.190
191,0,19970,Robert Karlsson,2.44,14,574,+0.214
