RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND,HOLE,COURSE
1,0,31323,Gary Woodland,450,Hyundai T of C,1,18,656
2,0,33141,Keegan Bradley,442,WGC-Bridgestone,2,16,036
2,0,25804,Bubba Watson,442,WGC-Bridgestone,3,16,036
4,0,26329,Louis Oosthuizen,430,WGC-Bridgestone,3,16,036
5,0,30110,Kyle Stanley,429,WGC-Bridgestone,3,16,036
6,0,29974,Branden Grace,427,WGC-Bridgestone,1,16,036
7,0,28300,Joost Luiten,425,WGC-Bridgestone,3,16,036
8,0,19904,Paul Lawrie,422,WGC-Bridgestone,3,16,036
8,0,20645,John Senden,422,WGC-Bridgestone,3,16,036
10,0,01116,Michael Bradley,421,Hyundai T of C,2,7,656
11,0,23452,Nicolas Colsaerts,420,WGC-Bridgestone,1,16,036
11,0,27936,Martin Laird,420,Hyundai T of C,1,12,656
13,0,32102,Rickie Fowler,415,WGC-Bridgestone,3,16,036
13,0,24140,Sean O'Hair,415,Hyundai T of C,3,18,656
13,0,27072,Alvaro Quiros,415,WGC-Bridgestone,3,16,036
13,0,27064,Jhonattan Vegas,415,Hyundai T of C,2,12,656
17,0,26951,Johnson Wagner,414,Hyundai T of C,4,7,656
18,0,06527,Steve Stricker,411,Hyundai T of C,2,7,656
19,0,22371,Aaron Baddeley,409,Hyundai T of C,2,18,656
19,0,28237,Rory McIlroy,409,WGC-Bridgestone,3,9,036
19,0,29221,Webb Simpson,409,Hyundai T of C,3,7,656
22,0,21805,Harrison Frazar,408,Hyundai T of C,2,7,656
22,0,23621,Rory Sabbatini,408,Hyundai T of C,1,7,656
22,0,27095,Nick Watney,408,WGC-Bridgestone,3,16,036
25,0,30925,Dustin Johnson,407,WGC-Bridgestone,1,16,036
25,0,24502,Adam Scott,407,WGC-Bridgestone,3,16,036
27,0,26331,Charl Schwartzel,406,WGC-Bridgestone,2,16,036
28,0,25818,Scott Piercy,405,WGC-Bridgestone,3,16,036
29,0,29478,Kevin Kisner,404,Wyndham Champ.,1,18,752
29,0,25396,Kevin Na,404,Hyundai T of C,1,18,656
31,0,25191,Gonzalo Fernandez-Castaño,402,WGC-Bridgestone,2,16,036
31,0,22792,Peter Hanson,402,WGC-Bridgestone,3,8,036
33,0,20157,Retief Goosen,401,WGC-Cadillac,4,7,008
33,0,30926,Chris Kirk,401,Hyundai T of C,3,18,656
33,0,30692,Scott Stallings,401,Hyundai T of C,1,12,656
36,0,24924,Bill Haas,400,Hyundai T of C,1,7,656
37,0,30944,Jason Kokrak,399,Sony Open,2,13,006
37,0,23800,Bryce Molder,399,Hyundai T of C,1,7,656
37,0,01941,Tom Pernice Jr.,399,Wyndham Champ.,2,18,752
40,0,29518,Brendan Steele,398,Hyundai T of C,2,6,656
41,0,26499,Rafa Cabrera Bello,397,WGC-Bridgestone,3,8,036
42,0,27141,J.B. Holmes,396,Northern Trust,1,3,500
42,0,25240,D.A. Points,396,Hyundai T of C,1,7,656
42,0,21878,Mark Wilson,396,Hyundai T of C,1,7,656
45,0,24925,Jonathan Byrd,395,Hyundai T of C,2,18,656
45,0,24357,K.J. Choi,395,Hyundai T of C,1,7,656
45,0,24358,Robert Garrigus,395,John Deere Clas,4,17,669
48,0,01766,Billy Mayfair,394,The Greenbrier,2,6,771
49,0,01810,Phil Mickelson,392,WGC-Bridgestone,4,16,036
50,0,24781,Hunter Mahan,391,WGC-Bridgestone,1,16,036
50,0,27120,Troy Matteson,391,Northern Trust,1,3,500
50,0,23320,Ryan Palmer,391,Phoenix Open,4,10,510
53,0,25345,Carl Pettersson,389,WGC-Bridgestone,3,8,036
54,0,24461,Thomas Aiken,388,Mayakoba,2,5,733
54,0,23541,Ben Crane,388,Hyundai T of C,4,7,656
54,0,27808,Robert McClellan,388,The Greenbrier,1,7,771
54,0,27649,Brandt Snedeker,388,WGC-Bridgestone,3,8,036
54,0,25632,Jimmy Walker,388,HP Byron Nelson,3,10,019
59,0,01706,Davis Love III,387,The Greenbrier,2,17,771
59,0,32139,Danny Willett,387,WGC-Bridgestone,2,8,036
59,0,08793,Tiger Woods,387,WGC-Bridgestone,2,8,036
62,0,34099,Harris English,386,Phoenix Open,4,10,510
63,0,21731,Freddie Jacobson,385,Northern Trust,1,3,500
64,0,10809,Jim Furyk,384,WGC-Bridgestone,3,18,036
65,0,32200,Roberto Castro,383,AT&T National,1,18,024
65,0,21209,Sergio Garcia,383,WGC-Bridgestone,4,16,036
65,0,26851,Marc Leishman,383,Phoenix Open,4,10,510
65,0,29461,Jamie Lovemark,383,The Greenbrier,2,13,771
69,0,27895,Jonas Blixt,382,Northern Trust,1,3,500
70,0,25572,Graeme McDowell,381,WGC-Bridgestone,3,9,036
71,0,25686,Jason Dufner,380,WGC-Bridgestone,3,8,036
71,0,27974,Sung Kang,380,Phoenix Open,1,15,510
