RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOT DIST. (FT),TOT BIRDIE PUTTS MADE,LONGEST MADE (FT),SHORTEST MADE (FT)
1,0,01116,Michael Bradley,11' 5",1687.083,148,49,8"
1,0,22621,Ben Curtis,11' 5",2004.500,176,53,3"
1,0,27974,Sung Kang,11' 5",1868.417,164,55,7"
4,0,27797,Derek Lamely,11' 4",1936.833,171,53,4"
5,0,29926,Danny Lee,11' 3",2204.583,196,68,5"
6,0,21528,Henrik Stenson,11' 2",1512.333,135,55,2"
7,0,23135,Tim Clark,11' 1",1690.417,153,54,4"
8,0,28500,Martin Flores,11' 0",2969.167,269,59,2"
9,0,23204,Gary Christian,10' 11",2688.500,247,54,5"
9,0,28308,Troy Kelly,10' 11",1545.417,142,53,6"
9,0,27649,Brandt Snedeker,10' 11",2568.833,236,48,6"
9,0,32150,Michael Thompson,10' 11",2343.000,215,51,4"
13,0,20623,Gavin Coles,10' 10",2070.750,191,67,7"
13,0,23541,Ben Crane,10' 10",2515.833,233,54,2"
13,0,20104,Ken Duke,10' 10",3445.750,318,51,2"
16,0,21805,Harrison Frazar,10' 9",1690.583,157,63,1"
16,0,27064,Jhonattan Vegas,10' 9",2478.000,231,70,3"
16,0,26951,Johnson Wagner,10' 9",2714.667,252,50,5"
16,0,25892,Steve Wheatcroft,10' 9",1324.250,123,37,8"
20,0,30750,Tommy Gainey,10' 8",3212.917,302,50,3"
21,0,29222,Billy Hurley III,10' 7",1564.583,148,35,5"
21,0,06573,Brandt Jobe,10' 7",1456.333,138,43,5"
21,0,08075,Jerry Kelly,10' 7",2511.750,238,55,3"
21,0,31202,William McGirt,10' 7",2641.083,249,55,3"
21,0,23800,Bryce Molder,10' 7",2458.750,232,56,5"
26,0,21350,Ryuji Imada,10' 6",2214.250,211,55,2"
26,0,30711,Colt Knost,10' 6",2038.250,194,50,3"
26,0,25457,Alexandre Rocha,10' 6",1539.750,147,54,5"
29,0,23638,Brendon de Jonge,10' 5",3809.917,367,49,2"
29,0,23409,James Driscoll,10' 5",2397.833,230,84,2"
29,0,31558,J.J. Killeen,10' 5",2580.083,247,69,3"
29,0,20572,Rod Pampling,10' 5",2166.583,208,64,4"
29,0,22548,Patrick Sheehan,10' 5",1218.167,117,44,5"
34,0,10885,Robert Allenby,10' 4",2033.750,197,53,2"
34,0,24494,Erik Compton,10' 4",2130.583,207,41,2"
34,0,21209,Sergio Garcia,10' 4",1614.750,156,59,8"
34,0,23718,Nathan Green,10' 4",2051.583,198,53,4"
34,0,01724,Jeff Maggert,10' 4",2538.167,245,49,3"
34,0,26329,Louis Oosthuizen,10' 4",1883.500,182,45,3"
34,0,29476,Kyle Reifers,10' 4",2250.167,218,47,10"
34,0,25834,Daniel Summerhays,10' 4",2168.833,210,42,4"
34,0,30927,Brendon Todd,10' 4",1841.667,178,42,3"
34,0,20160,Charlie Wi,10' 4",2305.250,223,52,4"
44,0,28093,Miguel Angel Carballo,10' 3",1796.750,176,42,2"
44,0,27644,Brian Harman,10' 3",2940.417,287,52,3"
44,0,23353,J.J. Henry,10' 3",2128.000,207,37,6"
44,0,22378,Trevor Immelman,10' 3",1847.750,180,59,6"
44,0,24024,Zach Johnson,10' 3",2781.083,272,77,4"
44,0,27060,John Mallinger,10' 3",1975.667,192,56,4"
44,0,27556,Ted Potter Jr.,10' 3",1861.000,181,49,7"
44,0,29221,Webb Simpson,10' 3",2755.583,269,63,5"
44,0,21878,Mark Wilson,10' 3",2029.583,198,50,3"
