RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,ATTEMPTS,TOTAL DISTANCE (FEET)
1,0,22621,Ben Curtis,2' 0",528,1065.750
1,0,24604,Hunter Haas,2' 0",546,1106.333
1,0,23353,J.J. Henry,2' 0",829,1676.583
1,0,01797,Rocco Mediate,2' 0",623,1270.667
1,0,26679,Kevin Stadler,2' 0",790,1608.333
6,0,06034,Marco Dawson,2' 1",499,1031.417
6,0,06251,Chris DiMarco,2' 1",750,1569.750
6,0,06522,Ernie Els,2' 1",708,1487.750
6,0,01320,Bob Estes,2' 1",669,1368.250
6,0,22348,Nick O'Hern,2' 1",742,1543.667
6,0,25804,Bubba Watson,2' 1",579,1198.750
12,0,24507,Jason Bohn,2' 2",722,1544.083
12,0,01116,Michael Bradley,2' 2",639,1404.667
12,0,24357,K.J. Choi,2' 2",619,1354.833
12,0,23638,Brendon de Jonge,2' 2",1126,2414.000
12,0,25686,Jason Dufner,2' 2",676,1473.667
12,0,06036,Scott Dunlap,2' 2",532,1171.667
12,0,21209,Sergio Garcia,2' 2",464,993.333
12,0,19846,Brian Gay,2' 2",790,1735.000
12,0,20766,Padraig Harrington,2' 2",458,983.583
12,0,12782,Tim Herron,2' 2",875,1914.250
12,0,21961,Charles Howell III,2' 2",864,1864.167
12,0,30925,Dustin Johnson,2' 2",550,1170.417
12,0,24024,Zach Johnson,2' 2",739,1602.667
12,0,26300,Matt Jones,2' 2",481,1035.083
12,0,28308,Troy Kelly,2' 2",551,1214.417
12,0,10860,Justin Leonard,2' 2",723,1593.333
12,0,27466,Spencer Levin,2' 2",686,1490.333
12,0,01706,Davis Love III,2' 2",553,1188.833
12,0,27060,John Mallinger,2' 2",690,1511.500
12,0,27933,John Merrick,2' 2",828,1799.333
12,0,23800,Bryce Molder,2' 2",754,1664.500
12,0,27302,Garth Mulroy,2' 2",497,1082.917
12,0,26476,Chez Reavie,2' 2",743,1608.250
12,0,22548,Patrick Sheehan,2' 2",475,1014.000
12,0,30110,Kyle Stanley,2' 2",801,1767.083
12,0,20396,Lee Westwood,2' 2",447,982.000
12,0,21878,Mark Wilson,2' 2",747,1635.833
12,0,08793,Tiger Woods,2' 2",510,1100.333
40,0,10885,Robert Allenby,2' 3",757,1727.417
40,0,24846,Ricky Barnes,2' 3",924,2093.667
40,0,20848,Ángel Cabrera,2' 3",412,930.833
40,0,20593,Greg Chalmers,2' 3",744,1654.417
40,0,20229,Stewart Cink,2' 3",597,1333.500
40,0,24494,Erik Compton,2' 3",675,1522.417
40,0,20104,Ken Duke,2' 3",924,2101.583
40,0,10809,Jim Furyk,2' 3",693,1544.750
40,0,24924,Bill Haas,2' 3",665,1481.000
40,0,27644,Brian Harman,2' 3",929,2086.500
40,0,29420,Billy Horschel,2' 3",528,1187.333
40,0,22378,Trevor Immelman,2' 3",620,1398.417
40,0,30852,Ryo Ishikawa,2' 3",406,904.333
40,0,21731,Freddie Jacobson,2' 3",473,1061.083
40,0,08075,Jerry Kelly,2' 3",784,1759.333
40,0,30711,Colt Knost,2' 3",726,1607.417
40,0,30944,Jason Kokrak,2' 3",762,1685.167
40,0,23108,Matt Kuchar,2' 3",667,1528.500
40,0,24490,George McNeill,2' 3",758,1706.667
40,0,29289,S.Y. Noh,2' 3",932,2112.917
40,0,20691,Greg Owen,2' 3",877,1985.417
40,0,25240,D.A. Points,2' 3",886,1995.500
40,0,10213,Dicky Pride,2' 3",529,1197.000
40,0,22913,John Rollins,2' 3",782,1789.500
40,0,22405,Justin Rose,2' 3",575,1296.667
40,0,20645,John Senden,2' 3",675,1504.333
40,0,29221,Webb Simpson,2' 3",684,1550.917
40,0,22293,Heath Slocum,2' 3",865,1980.333
40,0,27214,Kevin Streelman,2' 3",843,1929.667
40,0,06527,Steve Stricker,2' 3",583,1313.583
40,0,25834,Daniel Summerhays,2' 3",770,1733.417
40,0,23325,Vaughn Taylor,2' 3",694,1541.250
40,0,23788,D.J. Trahan,2' 3",709,1594.333
40,0,24663,Y.E. Yang,2' 3",473,1069.333
