RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (FEET),TOTAL PUTTS
1,0,23983,Luke Donald,24' 8",11909.083,483
2,0,20229,Stewart Cink,24' 6",13901.833,567
3,0,20623,Gavin Coles,24' 4",13471.000,553
4,0,34099,Harris English,24' 3",22419.917,926
4,0,28500,Martin Flores,24' 3",20323.750,838
4,0,27797,Derek Lamely,24' 3",13492.667,557
4,0,27556,Ted Potter Jr.,24' 3",14560.667,600
4,0,29518,Brendan Steele,24' 3",16595.083,684
9,0,27895,Jonas Blixt,24' 2",14672.083,607
10,0,33141,Keegan Bradley,24' 1",16788.833,698
10,0,23409,James Driscoll,24' 1",17164.000,712
12,0,06573,Brandt Jobe,24' 0",11786.083,491
12,0,29289,S.Y. Noh,24' 0",21451.167,893
14,0,23800,Bryce Molder,23' 11",17333.917,724
14,0,21528,Henrik Stenson,23' 11",10204.250,427
16,0,29910,Blake Adams,23' 9",22033.417,928
16,0,23718,Nathan Green,23' 9",13761.917,580
16,0,23353,J.J. Henry,23' 9",18916.583,797
19,0,28089,Jason Day,23' 8",10469.333,442
19,0,27649,Brandt Snedeker,23' 8",14447.000,610
19,0,32150,Michael Thompson,23' 8",15514.250,656
19,0,33419,Cameron Tringale,23' 8",18816.417,795
19,0,25632,Jimmy Walker,23' 8",22211.833,940
24,0,20850,Daniel Chopra,23' 7",9975.833,423
24,0,19846,Brian Gay,23' 7",18149.417,770
24,0,20574,Mathew Goggin,23' 7",14008.417,593
24,0,21961,Charles Howell III,23' 7",19365.667,821
24,0,34174,John Huh,23' 7",20548.750,872
24,0,01766,Billy Mayfair,23' 7",18975.250,804
24,0,01810,Phil Mickelson,23' 7",13394.000,568
24,0,25892,Steve Wheatcroft,23' 7",10743.417,455
32,0,12782,Tim Herron,23' 6",19710.667,839
32,0,26300,Matt Jones,23' 6",10710.500,455
32,0,29476,Kyle Reifers,23' 6",18761.083,798
32,0,25834,Daniel Summerhays,23' 6",17230.167,732
32,0,27064,Jhonattan Vegas,23' 6",17503.750,746
32,0,08793,Tiger Woods,23' 6",11387.250,485
38,0,08725,Tom Gillis,23' 5",15779.583,675
38,0,24924,Bill Haas,23' 5",14765.000,630
38,0,26758,David Hearn,23' 5",21340.250,911
38,0,27120,Troy Matteson,23' 5",19859.333,847
38,0,31202,William McGirt,23' 5",19661.667,839
38,0,22913,John Rollins,23' 5",17403.250,742
44,0,33120,Mark Anderson,23' 4",14094.833,605
44,0,32200,Roberto Castro,23' 4",18414.750,790
44,0,20593,Greg Chalmers,23' 4",16723.500,718
44,0,10809,Jim Furyk,23' 4",15701.833,673
44,0,27933,John Merrick,23' 4",18254.667,782
44,0,26596,Ryan Moore,23' 4",19200.250,824
44,0,26951,Johnson Wagner,23' 4",18521.083,795
51,0,20572,Rod Pampling,23' 3",17155.750,737
51,0,24361,Pat Perez,23' 3",15826.750,681
51,0,06527,Steve Stricker,23' 3",13095.583,563
51,0,27963,Chris Stroud,23' 3",18062.583,777
55,0,20098,Stuart Appleby,23' 2",15544.750,670
55,0,22371,Aaron Baddeley,23' 2",11807.667,510
55,0,23542,Tommy Biershenk,23' 2",13298.083,574
55,0,24925,Jonathan Byrd,23' 2",12740.583,549
55,0,30927,Brendon Todd,23' 2",14805.750,638
60,0,22621,Ben Curtis,23' 1",11828.083,512
60,0,29222,Billy Hurley III,23' 1",13129.333,569
60,0,26851,Marc Leishman,23' 1",17664.250,765
63,0,21209,Sergio Garcia,23' 0",10280.250,447
63,0,24781,Hunter Mahan,23' 0",16251.000,706
63,0,27060,John Mallinger,23' 0",15108.417,656
63,0,25457,Alexandre Rocha,23' 0",12968.583,564
63,0,26331,Charl Schwartzel,23' 0",9291.000,404
68,0,28093,Miguel Angel Carballo,22' 11",13748.167,601
68,0,27141,J.B. Holmes,22' 11",17986.333,785
68,0,29478,Kevin Kisner,22' 11",12426.417,542
68,0,27936,Martin Laird,22' 11",12389.833,541
68,0,23548,Bill Lunde,22' 11",15387.500,672
68,0,22961,David Mathis,22' 11",15589.917,681
68,0,22046,Geoff Ogilvy,22' 11",12264.667,536
68,0,26329,Louis Oosthuizen,22' 11",11955.000,522
68,0,25345,Carl Pettersson,22' 11",18142.500,791
68,0,24138,Ian Poulter,22' 11",8538.417,372
68,0,20645,John Senden,22' 11",14888.833,649
68,0,27770,Camilo Villegas,22' 11",18280.917,798
80,0,20848,Ángel Cabrera,22' 10",8994.667,394
80,0,32366,Kevin Chappell,22' 10",16504.667,724
80,0,11123,Chris Couch,22' 10",12514.917,549
80,0,23903,Stephen Gangluff,22' 10",10286.583,450
80,0,32698,Bobby Gates,22' 10",18218.750,798
80,0,22378,Trevor Immelman,22' 10",13257.500,580
80,0,33122,Russell Knox,22' 10",13939.333,610
80,0,35139,Richard Lee,22' 10",13984.583,613
80,0,24940,Edward Loar,22' 10",10627.500,465
89,0,21350,Ryuji Imada,22' 9",15193.333,667
89,0,28475,Jeff Overton,22' 9",20648.583,908
89,0,10213,Dicky Pride,22' 9",11575.167,508
89,0,02206,David Toms,22' 9",10433.583,459
93,0,23638,Brendon de Jonge,22' 8",24290.833,1072
93,0,29420,Billy Horschel,22' 8",11285.083,498
93,0,24140,Sean O'Hair,22' 8",18643.917,824
93,0,24502,Adam Scott,22' 8",9783.917,432
93,0,27214,Kevin Streelman,22' 8",18253.417,805
93,0,23623,Bo Van Pelt,22' 8",14408.583,636
99,0,12652,Cameron Beckman,22' 7",15945.333,707
99,0,32334,Charlie Beljan,22' 7",10669.333,472
99,0,01116,Michael Bradley,22' 7",13803.333,611
99,0,34021,Bud Cauley,22' 7",20724.417,917
99,0,24604,Hunter Haas,22' 7",11735.250,520
99,0,30711,Colt Knost,22' 7",15615.750,692
99,0,23108,Matt Kuchar,22' 7",14619.500,647
99,0,24490,George McNeill,22' 7",16259.083,721
99,0,20691,Greg Owen,22' 7",18618.917,823
99,0,20160,Charlie Wi,22' 7",16237.917,719
99,0,21878,Mark Wilson,22' 7",16015.667,710
99,0,31323,Gary Woodland,22' 7",12361.250,547
111,0,28455,Will Claxton,22' 6",20581.333,915
111,0,24494,Erik Compton,22' 6",14399.583,640
111,0,06522,Ernie Els,22' 6",15237.500,677
111,0,24024,Zach Johnson,22' 6",15910.667,708
111,0,27466,Spencer Levin,22' 6",14811.500,659
111,0,23320,Ryan Palmer,22' 6",15753.167,701
111,0,27330,Josh Teater,22' 6",18865.250,838
111,0,24663,Y.E. Yang,22' 6",10248.833,456
119,0,29479,Scott Brown,22' 5",11991.667,535
119,0,12510,Chad Campbell,22' 5",17676.167,789
119,0,20104,Ken Duke,22' 5",19516.750,871
119,0,28307,Matt Every,22' 5",14363.500,641
119,0,28308,Troy Kelly,22' 5",11668.083,521
119,0,01706,Davis Love III,22' 5",11912.000,531
119,0,28237,Rory McIlroy,22' 5",8670.833,387
119,0,01941,Tom Pernice Jr.,22' 5",11828.583,527
119,0,25818,Scott Piercy,22' 5",19191.667,857
119,0,22405,Justin Rose,22' 5",12278.083,547
119,0,06567,Vijay Singh,22' 5",18890.417,844
130,0,06004,Stephen Ames,22' 4",8839.000,396
130,0,28259,Sangmoon Bae,22' 4",12570.833,563
130,0,25396,Kevin Na,22' 4",14279.000,639
130,0,25240,D.A. Points,22' 4",18626.833,835
134,0,23204,Gary Christian,22' 3",17808.417,799
134,0,23541,Ben Crane,22' 3",13489.000,606
134,0,27436,Graham DeLaet,22' 3",16272.750,732
134,0,27644,Brian Harman,22' 3",19655.083,884
134,0,30944,Jason Kokrak,22' 3",16079.417,722
134,0,29926,Danny Lee,22' 3",13255.833,596
134,0,30692,Scott Stallings,22' 3",16250.167,731
134,0,27095,Nick Watney,22' 3",17106.167,770
134,0,25804,Bubba Watson,22' 3",12396.083,558
143,0,24846,Ricky Barnes,22' 2",18958.750,856
143,0,25686,Jason Dufner,22' 2",14227.000,641
143,0,06036,Scott Dunlap,22' 2",10838.417,489
143,0,30750,Tommy Gainey,22' 2",19887.167,897
143,0,30925,Dustin Johnson,22' 2",11657.750,526
143,0,08075,Jerry Kelly,22' 2",16462.750,744
143,0,27302,Garth Mulroy,22' 2",10454.167,472
143,0,26476,Chez Reavie,22' 2",15515.583,701
143,0,22293,Heath Slocum,22' 2",18104.083,818
152,0,21407,Arjun Atwal,22' 1",15288.250,692
152,0,32102,Rickie Fowler,22' 1",14719.083,666
152,0,25562,Andres Romero,22' 1",11482.500,519
155,0,30852,Ryo Ishikawa,22' 0",8621.167,392
155,0,01797,Rocco Mediate,22' 0",13087.083,595
157,0,28087,Kris Blanks,21' 11",13955.083,636
157,0,24507,Jason Bohn,21' 11",15158.583,691
157,0,24357,K.J. Choi,21' 11",12924.417,590
157,0,27974,Sung Kang,21' 11",13393.417,612
157,0,26287,Roland Thatcher,21' 11",10328.000,471
162,0,10885,Robert Allenby,21' 10",15501.833,710
162,0,21753,Brian Davis,21' 10",16891.083,774
162,0,12716,Charley Hoffman,21' 10",17119.917,785
162,0,01724,Jeff Maggert,21' 10",18021.000,824
162,0,25572,Graeme McDowell,21' 10",8612.417,395
162,0,23788,D.J. Trahan,21' 10",14503.500,665
168,0,20766,Padraig Harrington,21' 9",9461.750,435
168,0,31558,J.J. Killeen,21' 9",17983.833,827
168,0,30926,Chris Kirk,21' 9",18660.417,858
168,0,26679,Kevin Stadler,21' 9",16401.083,753
172,0,06251,Chris DiMarco,21' 8",15403.167,712
172,0,23325,Vaughn Taylor,21' 8",14273.667,660
174,0,01249,John Daly,21' 6",8166.833,380
174,0,06034,Marco Dawson,21' 6",10283.333,478
174,0,21805,Harrison Frazar,21' 6",10264.083,477
174,0,30110,Kyle Stanley,21' 6",16270.000,756
174,0,20396,Lee Westwood,21' 6",9126.500,424
179,0,01320,Bob Estes,21' 5",13765.750,643
179,0,24358,Robert Garrigus,21' 5",16161.833,755
179,0,21731,Freddie Jacobson,21' 5",9645.917,450
179,0,29221,Webb Simpson,21' 5",14035.667,655
179,0,26289,Boo Weekley,21' 5",14138.500,660
184,0,22548,Patrick Sheehan,21' 2",9511.000,449
185,0,22348,Nick O'Hern,21' 1",14791.083,701
186,0,10860,Justin Leonard,21' 0",14290.167,681
187,0,20070,Matt Bettencourt,20' 11",12517.167,598
187,0,19970,Robert Karlsson,20' 11",7811.583,374
189,0,23135,Tim Clark,20' 10",10750.833,517
190,0,22582,Kyle Thompson,19' 9",7911.083,400
191,0,23621,Rory Sabbatini,19' 8",13696.583,695
