RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# SAVES,# BUNKERS,TOTAL O/U PAR
1,0,34021,Bud Cauley,66.99,69,103,+21.00
2,0,28089,Jason Day,65.49,74,113,+11.00
3,0,33399,Adam Hadwin,65.05,67,103,+18.00
4,4,47959,Bryson DeChambeau,62.89,61,97,+8.00
5,0,33448,Justin Thomas,62.50,65,104,+21.00
6,0,30927,Brendon Todd,61.60,77,125,+26.00
7,0,33204,Shane Lowry,61.54,40,65,+12.00
8,0,46442,Maverick McNealy,61.36,81,132,+34.00
9,1,22405,Justin Rose,61.29,38,62,+13.00
10,1,27644,Brian Harman,60.98,75,123,+29.00
11,1,34360,Patrick Reed,60.61,80,132,+30.00
12,1,23621,Rory Sabbatini,59.83,70,117,+27.00
13,16,40026,Daniel Berger,59.81,64,107,+18.00
14,0,48887,Matt Wallace,59.30,51,86,+35.00
15,0,39971,Sungjae Im,58.82,90,153,+33.00
15,38,46970,Jon Rahm,58.82,50,85,+14.00
17,0,27349,Alex Noren,58.59,58,99,+23.00
18,0,23108,Matt Kuchar,58.43,52,89,+21.00
19,0,26300,Matt Jones,58.33,84,144,+27.00
20,0,28679,Fabián Gómez,58.23,46,79,+19.00
21,0,46550,Brandon Hagy,58.21,39,67,+13.00
22,0,24361,Pat Perez,57.83,48,83,+29.00
23,0,27554,Scott Harrington,57.72,71,123,+23.00
24,0,29484,Peter Uihlein,57.69,30,52,+10.00
25,-9,35891,Cameron Smith,57.52,65,113,+40.00
26,-1,49771,J.T. Poston,57.25,79,138,+31.00
27,-1,32150,Michael Thompson,57.14,60,105,+25.00
28,-1,45157,Cam Davis,56.99,53,93,+19.00
29,-1,30911,Tommy Fleetwood,56.92,37,65,+11.00
30,0,32139,Danny Willett,56.76,42,74,+8.00
31,0,26476,Chez Reavie,56.67,68,120,+32.00
32,0,01810,Phil Mickelson,56.60,60,106,+27.00
33,35,48081,Xander Schauffele,56.44,57,101,+17.00
34,15,29221,Webb Simpson,56.34,40,71,+10.00
35,-1,22371,Aaron Baddeley,56.25,45,80,+20.00
35,-1,32618,Rhein Gibson,56.25,45,80,+24.00
37,-1,34098,Russell Henley,55.70,44,79,+22.00
38,-5,25396,Kevin Na,55.56,85,153,+37.00
38,-1,27649,Brandt Snedeker,55.56,50,90,+23.00
40,-2,33122,Russell Knox,55.43,51,92,+22.00
41,-2,35450,Patrick Cantlay,55.41,41,74,+7.00
42,0,21209,Sergio Garcia,55.07,38,69,+14.00
42,0,24502,Adam Scott,55.07,38,69,+17.00
44,7,32839,Hideki Matsuyama,55.04,71,129,+26.00
45,-1,53165,Doc Redman,55.00,66,120,+38.00
46,-1,33120,Mark Anderson,54.88,45,82,+26.00
47,8,35310,Lanto Griffin,54.49,91,167,+32.00
48,0,33486,Roger Sloan,54.44,49,90,+41.00
49,-2,35506,Mackenzie Hughes,54.40,68,125,+35.00
50,-10,30925,Dustin Johnson,54.17,39,72,+26.00
51,1,24138,Ian Poulter,54.00,54,100,+35.00
52,-11,50525,Collin Morikawa,53.97,68,126,+35.00
53,1,27129,Luke List,53.85,56,104,+36.00
54,3,51766,Wyndham Clark,53.40,55,103,+40.00
54,3,12716,Charley Hoffman,53.40,55,103,+30.00
56,3,29268,Bronson Burgoon,53.33,40,75,+17.00
56,3,27963,Chris Stroud,53.33,40,75,+20.00
58,3,32791,K.H. Lee,53.28,73,137,+38.00
59,3,29974,Branden Grace,53.13,34,64,+16.00
60,3,29926,Danny Lee,53.08,69,130,+35.00
61,5,27214,Kevin Streelman,52.94,63,119,+45.00
62,6,27942,Rob Oppenheim,52.69,49,93,+33.00
63,7,52375,Doug Ghim,52.63,30,57,+24.00
64,7,25686,Jason Dufner,52.58,51,97,+31.00
65,7,49964,Aaron Wise,52.38,33,63,+10.00
66,7,34256,Andrew Putnam,51.90,41,79,+38.00
67,8,35461,Beau Hossler,51.82,57,110,+36.00
68,8,49960,Sepp Straka,51.79,58,112,+34.00
69,8,31420,Anirban Lahiri,51.67,31,60,+14.00
70,-5,45486,Joaquin Niemann,51.35,57,111,+32.00
70,8,28252,Seamus Power,51.35,19,37,+15.00
72,2,34099,Harris English,51.30,59,115,+25.00
73,6,33141,Keegan Bradley,51.28,60,117,+45.00
74,6,46402,Talor Gooch,51.02,75,147,+58.00
75,8,47128,Richy Werenski,50.94,54,106,+30.00
76,5,29478,Kevin Kisner,50.89,57,112,+37.00
77,8,40058,Zac Blair,50.79,64,126,+57.00
77,8,32662,Michael Gligic,50.79,32,63,+26.00
77,8,24924,Bill Haas,50.79,32,63,+15.00
80,8,33404,Chris Baker,50.77,33,65,+21.00
81,8,33948,Byeong Hun An,50.71,71,140,+44.00
81,8,34076,Joel Dahmen,50.71,71,140,+48.00
83,8,29970,Dylan Frittelli,50.69,73,144,+42.00
84,8,24024,Zach Johnson,50.56,45,89,+39.00
85,8,21961,Charles Howell III,50.48,53,105,+34.00
86,8,21407,Arjun Atwal,50.00,23,46,+12.00
86,8,56762,Will Gordon,50.00,17,34,+8.00
86,28,29420,Billy Horschel,50.00,69,138,+51.00
86,14,48822,Sebastián Muñoz,50.00,62,124,+36.00
86,-4,23320,Ryan Palmer,50.00,58,116,+39.00
86,8,31560,Brian Stuard,50.00,64,128,+46.00
86,8,33419,Cameron Tringale,50.00,43,86,+28.00
86,8,32254,Xinjun Zhang,50.00,69,138,+52.00
94,5,47993,Denny McCarthy,49.64,68,137,+50.00
95,6,36871,Matthew NeSmith,49.48,48,97,+21.00
96,6,29518,Brendan Steele,49.46,46,93,+35.00
97,6,49766,Hank Lebioda,49.45,45,91,+28.00
98,6,28420,Ryan Brehm,49.32,36,73,+39.00
98,6,37455,Si Woo Kim,49.32,72,146,+34.00
