RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF SAVES,# OF BUNKERS
1,0,56762,Will Gordon,100.00,1,1
1,0,33413,Ben Martin,100.00,2,2
3,2,49298,Kramer Hickok,80.00,4,5
3,2,28775,Nate Lashley,80.00,4,5
3,2,01810,Phil Mickelson,80.00,4,5
6,2,49766,Hank Lebioda,75.00,3,4
7,2,33404,Chris Baker,66.67,2,3
7,2,32662,Michael Gligic,66.67,2,3
7,2,33399,Adam Hadwin,66.67,2,3
7,2,39324,J.J. Spaun,66.67,2,3
7,2,30927,Brendon Todd,66.67,8,12
12,2,34021,Bud Cauley,63.64,7,11
12,2,39971,Sungjae Im,63.64,7,11
14,2,21407,Arjun Atwal,60.00,3,5
14,2,33141,Keegan Bradley,60.00,3,5
14,2,33490,Bo Hoag,60.00,6,10
14,2,35461,Beau Hossler,60.00,6,10
14,2,39953,Chase Seiffert,60.00,3,5
14,2,34431,Robert Streb,60.00,3,5
14,2,25349,Tim Wilkinson,60.00,3,5
21,2,12716,Charley Hoffman,58.33,7,12
22,2,33120,Mark Anderson,57.14,4,7
22,2,34099,Harris English,57.14,4,7
22,2,34563,Chesson Hadley,57.14,4,7
22,2,24024,Zach Johnson,57.14,4,7
22,2,27649,Brandt Snedeker,57.14,4,7
27,2,52372,Cameron Champ,54.55,6,11
27,2,51766,Wyndham Clark,54.55,6,11
27,2,29926,Danny Lee,54.55,6,11
30,2,34076,Joel Dahmen,50.00,3,6
30,2,30911,Tommy Fleetwood,50.00,5,10
30,2,29970,Dylan Frittelli,50.00,7,14
30,2,29974,Branden Grace,50.00,3,6
30,2,26758,David Hearn,50.00,2,4
30,2,30925,Dustin Johnson,50.00,1,2
30,2,27974,Sung Kang,50.00,5,10
30,35,29478,Kevin Kisner,50.00,4,8
30,2,32757,Patton Kizzire,50.00,3,6
30,2,35230,Nelson Ledesma,50.00,1,2
30,2,27129,Luke List,50.00,4,8
30,35,32839,Hideki Matsuyama,50.00,4,8
30,2,46442,Maverick McNealy,50.00,5,10
30,2,23320,Ryan Palmer,50.00,5,10
