RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF SAVES,# OF BUNKERS
1,0,22405,Justin Rose,88.24,15,17
2,0,28420,Ryan Brehm,80.00,12,15
3,0,23108,Matt Kuchar,74.07,20,27
4,0,33204,Shane Lowry,73.33,11,15
5,0,30911,Tommy Fleetwood,72.73,8,11
6,1,37189,Harold Varner III,70.59,12,17
7,1,32662,Michael Gligic,70.00,7,10
8,3,35891,Cameron Smith,69.57,16,23
8,-3,33448,Justin Thomas,69.57,16,23
10,-1,23621,Rory Sabbatini,69.23,18,26
11,-1,28679,Fabián Gómez,68.75,11,16
12,0,28089,Jason Day,66.67,16,24
12,4,47959,Bryson DeChambeau,66.67,20,30
12,0,29484,Peter Uihlein,66.67,10,15
12,0,48887,Matt Wallace,66.67,10,15
16,1,47347,Adam Schenk,65.00,13,20
17,1,26476,Chez Reavie,64.71,11,17
18,2,31560,Brian Stuard,64.52,20,31
19,2,49298,Kramer Hickok,64.29,9,14
20,2,24502,Adam Scott,63.64,14,22
21,4,32150,Michael Thompson,61.54,16,26
22,4,12716,Charley Hoffman,61.11,11,18
23,5,26300,Matt Jones,60.71,17,28
24,5,32618,Rhein Gibson,60.00,12,20
24,5,01810,Phil Mickelson,60.00,12,20
24,5,27349,Alex Noren,60.00,12,20
24,-6,23320,Ryan Palmer,60.00,12,20
24,5,28252,Seamus Power,60.00,3,5
24,5,30110,Kyle Stanley,60.00,9,15
24,5,49964,Aaron Wise,60.00,9,15
31,-7,52372,Cameron Champ,59.09,13,22
31,4,24024,Zach Johnson,59.09,13,22
31,4,33122,Russell Knox,59.09,13,22
31,4,23325,Vaughn Taylor,59.09,13,22
35,4,29268,Bronson Burgoon,58.82,10,17
35,31,34360,Patrick Reed,58.82,20,34
37,6,46717,Viktor Hovland,58.62,17,29
37,4,39546,Keith Mitchell,58.62,17,29
37,4,53165,Doc Redman,58.62,17,29
40,3,39997,Corey Conners,58.33,14,24
40,3,33597,Harry Higgs,58.33,21,36
42,4,34255,Joseph Bramlett,57.89,11,19
43,5,25364,Paul Casey,57.14,8,14
43,5,21209,Sergio Garcia,57.14,4,7
45,5,27554,Scott Harrington,56.67,17,30
46,5,49771,J.T. Poston,56.41,22,39
47,5,35230,Nelson Ledesma,56.25,9,16
47,5,32791,K.H. Lee,56.25,18,32
49,5,34021,Bud Cauley,56.00,14,25
49,5,34098,Russell Henley,56.00,14,25
49,5,36871,Matthew NeSmith,56.00,14,25
52,5,47993,Denny McCarthy,55.88,19,34
53,5,24924,Bill Haas,55.56,5,9
53,5,46442,Maverick McNealy,55.56,15,27
53,5,46441,Robby Shelton,55.56,15,27
53,5,29518,Brendan Steele,55.56,10,18
53,5,35658,Kris Ventura,55.56,5,9
58,5,33141,Keegan Bradley,55.17,16,29
59,5,32640,Troy Merritt,55.00,11,20
59,20,46970,Jon Rahm,55.00,11,20
59,5,39953,Chase Seiffert,55.00,11,20
62,5,34256,Andrew Putnam,54.55,6,11
62,63,48081,Xander Schauffele,54.55,12,22
64,4,29535,Brice Garnett,54.17,13,24
64,-29,50525,Collin Morikawa,54.17,13,24
64,4,31323,Gary Woodland,54.17,13,24
67,4,25686,Jason Dufner,53.57,15,28
67,-20,32839,Hideki Matsuyama,53.57,15,28
69,3,35450,Patrick Cantlay,53.33,8,15
69,3,46402,Talor Gooch,53.33,16,30
69,3,27644,Brian Harman,53.33,16,30
69,3,39977,Max Homa,53.33,16,30
69,3,25818,Scott Piercy,53.33,8,15
74,3,46550,Brandon Hagy,52.94,9,17
75,3,25493,Nick Taylor,52.78,19,36
76,-37,45486,Joaquin Niemann,52.38,11,21
77,7,39971,Sungjae Im,51.85,14,27
77,24,48822,Sebastián Muñoz,51.85,14,27
79,1,29926,Danny Lee,51.72,15,29
79,5,29221,Webb Simpson,51.72,15,29
81,0,29970,Dylan Frittelli,51.61,16,31
81,0,27974,Sung Kang,51.61,16,31
81,0,28775,Nate Lashley,51.61,16,31
84,0,22371,Aaron Baddeley,50.00,9,18
84,46,40026,Daniel Berger,50.00,14,28
84,0,40098,Matt Fitzpatrick,50.00,11,22
84,0,33399,Adam Hadwin,50.00,10,20
84,0,35506,Mackenzie Hughes,50.00,14,28
84,0,37455,Si Woo Kim,50.00,15,30
84,0,32757,Patton Kizzire,50.00,9,18
84,0,27129,Luke List,50.00,13,26
84,0,34466,Peter Malnati,50.00,8,16
84,30,28237,Rory McIlroy,50.00,15,30
84,0,33486,Roger Sloan,50.00,10,20
84,0,49960,Sepp Straka,50.00,14,28
84,0,27095,Nick Watney,50.00,7,14
84,0,25804,Bubba Watson,50.00,11,22
98,-14,25396,Kevin Na,48.84,21,43
99,1,47128,Richy Werenski,48.57,17,35
100,1,33419,Cameron Tringale,48.00,12,25
101,2,45157,Cam Davis,47.83,11,23
101,2,27214,Kevin Streelman,47.83,11,23
101,2,35617,Martin Trainer,47.83,11,23
104,2,35461,Beau Hossler,47.62,10,21
105,2,33948,Byeong Hun An,47.37,18,38
106,2,51766,Wyndham Clark,47.06,8,17
107,2,19803,Ryan Armour,46.67,7,15
107,2,36689,Brooks Koepka,46.67,7,15
107,2,26329,Louis Oosthuizen,46.67,7,15
107,2,37275,Sam Ryder,46.67,14,30
107,2,33449,Zack Sucher,46.67,7,15
112,2,31646,Emiliano Grillo,46.15,6,13
112,2,26596,Ryan Moore,46.15,6,13
114,3,34563,Chesson Hadley,45.45,10,22
114,3,31420,Anirban Lahiri,45.45,5,11
114,3,24361,Pat Perez,45.45,5,11
114,3,27649,Brandt Snedeker,45.45,10,22
114,33,30927,Brendon Todd,45.45,15,33
114,3,32139,Danny Willett,45.45,5,11
120,2,36801,Mark Hubbard,45.16,14,31
121,2,33410,Andrew Landry,45.00,9,20
122,3,21407,Arjun Atwal,44.44,4,9
122,3,40009,Dominic Bozzelli,44.44,8,18
122,3,46435,Austin Cook,44.44,8,18
125,-2,29478,Kevin Kisner,44.00,11,25
125,5,24138,Ian Poulter,44.00,11,25
127,6,33404,Chris Baker,43.75,7,16
127,6,34076,Joel Dahmen,43.75,14,32
127,25,30925,Dustin Johnson,43.75,7,16
127,6,25349,Tim Wilkinson,43.75,7,16
131,12,46046,Scottie Scheffler,43.59,17,39
132,-2,26851,Marc Leishman,43.33,13,30
132,4,33667,Carlos Ortiz,43.33,13,30
