RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL FAIRWAY BUNKERS,POSSIBLE FWYS,RELATIVE TO PAR
1,0,34265,Will Wilcox,2.8,16,68,+0.250
2,0,20771,Steven Alker,4.0,28,121,+0.107
3,0,02206,David Toms,4.1,31,129,+0.065
4,0,08075,Jerry Kelly,4.2,39,162,+0.256
4,0,27214,Kevin Streelman,4.2,43,178,+0.372
6,0,20104,Ken Duke,4.3,46,192,+0.130
6,0,10860,Justin Leonard,4.3,32,137,+0.031
8,0,34262,Jon Curran,4.4,40,164,+0.300
9,0,26596,Ryan Moore,4.5,38,162,+0.132
10,0,32334,Charlie Beljan,4.6,36,155,+0.250
10,0,23541,Ben Crane,4.6,33,140,+0.182
10,0,33399,Adam Hadwin,4.6,51,215,+0.255
13,0,40058,Zac Blair,4.7,57,242,+0.158
14,0,12510,Chad Campbell,4.8,61,259,+0.230
14,0,20472,Alex Cejka,4.8,52,221,+0.269
14,0,25720,Chad Collins,4.8,42,183,E
14,0,26758,David Hearn,4.8,56,239,+0.179
14,0,01706,Davis Love III,4.8,28,120,+0.500
14,0,33413,Ben Martin,4.8,52,220,+0.231
14,0,23623,Bo Van Pelt,4.8,43,180,+0.395
14,0,21878,Mark Wilson,4.8,54,228,+0.130
22,0,31557,Jim Herman,4.9,53,227,+0.151
22,0,29222,Billy Hurley III,4.9,43,181,+0.116
22,0,34264,Hudson Swafford,4.9,56,244,+0.196
25,0,27933,John Merrick,5.0,40,165,+0.400
25,0,23800,Bryce Molder,5.0,54,228,+0.167
25,0,25198,Francesco Molinari,5.0,30,130,+0.067
25,0,30927,Brendon Todd,5.0,53,225,+0.283
29,0,24925,Jonathan Byrd,5.1,36,156,+0.083
29,0,22892,Jason Gore,5.1,41,173,+0.073
31,0,32366,Kevin Chappell,5.2,54,232,+0.204
31,0,27436,Graham DeLaet,5.2,39,171,+0.308
31,0,29535,Brice Garnett,5.2,46,194,+0.217
31,0,26476,Chez Reavie,5.2,36,154,+0.333
35,0,24846,Ricky Barnes,5.3,46,195,+0.109
35,0,21753,Brian Davis,5.3,52,217,+0.250
35,0,37273,Derek Ernst,5.3,46,199,+0.370
35,0,36801,Mark Hubbard,5.3,45,189,+0.244
35,0,24024,Zach Johnson,5.3,52,220,+0.442
35,0,26851,Marc Leishman,5.3,40,167,+0.250
35,0,21528,Henrik Stenson,5.3,32,135,E
35,0,25834,Daniel Summerhays,5.3,66,283,+0.076
43,0,10809,Jim Furyk,5.4,39,166,+0.282
43,0,24358,Robert Garrigus,5.4,41,174,+0.341
43,0,27141,J.B. Holmes,5.4,48,208,+0.021
43,0,34174,John Huh,5.4,67,281,+0.104
43,0,29478,Kevin Kisner,5.4,71,298,+0.169
43,0,30711,Colt Knost,5.4,56,243,+0.250
43,0,24140,Sean O'Hair,5.4,60,263,+0.033
43,0,26329,Louis Oosthuizen,5.4,35,152,+0.114
43,0,36699,Patrick Rodgers,5.4,34,142,+0.294
43,0,22293,Heath Slocum,5.4,29,120,+0.414
43,0,25804,Bubba Watson,5.4,42,183,+0.262
54,0,35545,Blayne Barber,5.5,48,206,+0.250
54,0,24507,Jason Bohn,5.5,66,281,+0.030
54,0,31202,William McGirt,5.5,74,315,+0.135
54,0,24361,Pat Perez,5.5,63,267,+0.222
54,0,28023,Byron Smith,5.5,33,139,+0.333
54,0,29518,Brendan Steele,5.5,58,246,+0.103
60,0,25191,Gonzalo Fernandez-Castaño,5.6,49,203,+0.408
60,0,22056,Cameron Percy,5.6,45,193,+0.178
60,0,31560,Brian Stuard,5.6,61,258,+0.246
60,0,25349,Tim Wilkinson,5.6,45,193,+0.111
64,0,34098,Russell Henley,5.7,53,225,+0.283
64,0,33122,Russell Knox,5.7,69,297,+0.087
64,0,27466,Spencer Levin,5.7,66,278,+0.197
64,0,29221,Webb Simpson,5.7,51,218,+0.275
64,0,27095,Nick Watney,5.7,64,276,+0.188
69,0,33141,Keegan Bradley,5.8,51,219,+0.196
69,0,25364,Paul Casey,5.8,51,217,+0.275
69,0,29725,Tony Finau,5.8,73,311,E
69,0,39977,Max Homa,5.8,50,213,+0.140
69,0,37454,Whee Kim,5.8,45,186,+0.222
69,0,32839,Hideki Matsuyama,5.8,57,247,+0.263
69,0,24490,George McNeill,5.8,72,303,+0.194
76,0,28259,Sangmoon Bae,5.9,72,310,+0.319
76,0,20229,Stewart Cink,5.9,53,228,+0.208
76,0,23638,Brendon de Jonge,5.9,76,326,+0.263
76,0,30925,Dustin Johnson,5.9,44,193,+0.182
76,0,29289,S.Y. Noh,5.9,44,190,+0.136
76,0,33667,Carlos Ortiz,5.9,68,292,+0.103
76,0,29476,Kyle Reifers,5.9,65,278,+0.077
76,0,20645,John Senden,5.9,42,180,+0.310
84,0,40026,Daniel Berger,6.0,69,304,+0.159
84,0,27895,Jonas Blixt,6.0,43,182,+0.209
84,0,25900,Lucas Glover,6.0,60,256,+0.350
84,0,29720,Andres Gonzales,6.0,62,260,+0.194
84,0,26300,Matt Jones,6.0,56,236,+0.321
84,0,34409,David Lingmerth,6.0,62,263,+0.113
84,0,35451,Scott Pinckney,6.0,62,261,+0.226
84,0,34256,Andrew Putnam,6.0,44,184,+0.227
84,0,31193,Jim Renner,6.0,46,199,+0.174
84,0,32150,Michael Thompson,6.0,63,263,+0.238
94,0,29479,Scott Brown,6.1,68,289,+0.147
94,0,30736,Oscar Fraustro,6.1,34,142,+0.382
94,0,28679,Fabián Gómez,6.1,59,253,+0.153
94,0,32640,Troy Merritt,6.1,69,294,+0.145
94,0,20691,Greg Owen,6.1,34,148,-0.059
94,0,33418,Shawn Stefani,6.1,74,313,+0.257
94,0,33448,Justin Thomas,6.1,81,345,+0.099
94,0,28780,Nicholas Thompson,6.1,59,252,+0.322
102,0,10885,Robert Allenby,6.2,44,186,+0.250
102,0,28089,Jason Day,6.2,49,205,E
102,0,34130,Sung Joon Park,6.2,54,233,+0.333
102,0,29223,Sam Saunders,6.2,54,230,+0.296
106,0,23983,Luke Donald,6.3,47,203,+0.085
106,0,28500,Martin Flores,6.3,69,287,+0.188
106,0,23353,J.J. Henry,6.3,66,278,+0.167
106,0,34261,Scott Langley,6.3,69,289,+0.014
106,0,34358,Jonathan Randolph,6.3,49,210,+0.204
106,0,23621,Rory Sabbatini,6.3,57,241,+0.018
106,0,34046,Jordan Spieth,6.3,57,240,+0.035
113,0,20766,Padraig Harrington,6.4,43,183,+0.209
113,0,30946,Alex Prugh,6.4,64,276,+0.250
113,0,33486,Roger Sloan,6.4,35,151,+0.400
116,0,20593,Greg Chalmers,6.5,32,134,+0.156
116,0,27936,Martin Laird,6.5,65,278,+0.246
116,0,25396,Kevin Na,6.5,64,266,+0.266
116,0,35541,John Peterson,6.5,70,300,+0.071
116,0,26331,Charl Schwartzel,6.5,37,154,+0.378
116,0,27770,Camilo Villegas,6.5,66,280,+0.182
122,0,32200,Roberto Castro,6.6,33,140,+0.091
122,0,34099,Harris English,6.6,79,338,+0.114
122,0,20157,Retief Goosen,6.6,54,226,+0.315
122,0,23108,Matt Kuchar,6.6,71,296,+0.239
122,0,23548,Bill Lunde,6.6,33,143,+0.303
122,0,29425,Andrew Svoboda,6.6,64,272,+0.438
122,0,26951,Johnson Wagner,6.6,52,218,+0.115
129,0,28486,Michael Putnam,6.7,63,270,+0.159
129,0,34431,Robert Streb,6.7,90,381,+0.333
131,0,32102,Rickie Fowler,6.8,54,232,+0.185
131,0,27644,Brian Harman,6.8,74,308,+0.095
131,0,06567,Vijay Singh,6.8,65,272,+0.092
131,0,27064,Jhonattan Vegas,6.8,67,283,-0.015
131,0,26289,Boo Weekley,6.8,63,265,+0.222
136,0,35539,Luke Guthrie,6.9,65,279,+0.338
136,0,27963,Chris Stroud,6.9,65,281,+0.092
138,0,31416,Derek Fathauer,7.0,63,270,+0.206
138,0,30944,Jason Kokrak,7.0,77,326,+0.286
138,0,27649,Brandt Snedeker,7.0,73,318,+0.192
141,0,23048,Eric Axley,7.1,42,179,+0.405
141,0,25274,Steven Bowditch,7.1,86,364,+0.058
141,0,24357,K.J. Choi,7.1,56,234,+0.250
141,0,12716,Charley Hoffman,7.1,75,317,+0.280
141,0,30852,Ryo Ishikawa,7.1,73,318,-0.068
141,0,29926,Danny Lee,7.1,98,420,+0.235
141,0,28475,Jeff Overton,7.1,73,301,+0.397
141,0,33419,Cameron Tringale,7.1,78,333,+0.154
141,0,25892,Steve Wheatcroft,7.1,71,301,+0.239
150,0,25686,Jason Dufner,7.2,48,203,+0.229
150,0,30692,Scott Stallings,7.2,49,212,+0.388
152,0,28307,Matt Every,7.3,56,234,+0.125
152,0,29420,Billy Horschel,7.3,74,310,+0.203
152,0,25345,Carl Pettersson,7.3,97,414,E
155,0,36689,Brooks Koepka,7.5,67,286,+0.119
155,0,25818,Scott Piercy,7.5,86,363,+0.256
155,0,25632,Jimmy Walker,7.5,66,282,+0.030
155,0,31323,Gary Woodland,7.5,56,239,+0.196
159,0,24781,Hunter Mahan,7.6,69,298,+0.188
160,0,21209,Sergio Garcia,7.7,38,159,+0.184
160,0,25240,D.A. Points,7.7,61,261,+0.082
162,0,34563,Chesson Hadley,7.8,96,407,+0.104
162,0,32448,James Hahn,7.8,84,355,+0.167
162,0,22046,Geoff Ogilvy,7.8,38,158,+0.237
162,0,25493,Nick Taylor,7.8,90,381,+0.211
166,0,24924,Bill Haas,7.9,78,328,+0.103
166,0,35532,Tom Hoge,7.9,71,305,+0.113
166,0,30926,Chris Kirk,7.9,62,262,+0.065
169,0,33461,Morgan Hoffmann,8.0,76,325,+0.250
170,0,24494,Erik Compton,8.1,78,329,+0.115
171,0,28132,Tyrone Van Aswegen,8.3,48,200,+0.229
172,0,22371,Aaron Baddeley,8.4,76,323,+0.171
173,0,24138,Ian Poulter,8.5,56,240,+0.268
174,0,20848,Ángel Cabrera,8.9,52,220,+0.192
174,0,23320,Ryan Palmer,8.9,66,276,+0.152
176,0,34360,Patrick Reed,9.0,95,410,+0.074
177,0,06522,Ernie Els,9.1,49,208,+0.204
177,0,21961,Charles Howell III,9.1,124,523,+0.185
177,0,25562,Andres Romero,9.1,68,286,+0.235
180,0,24502,Adam Scott,9.3,41,176,E
181,0,01810,Phil Mickelson,9.8,74,314,+0.135
182,0,25369,Jamie Donaldson,9.9,44,190,+0.114
183,0,22405,Justin Rose,10.3,70,299,+0.371
184,0,20396,Lee Westwood,10.9,48,202,+0.313
