RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,DISTANCE RANK,ACCURACY RANK
1,0,01690,Bruce Lietzke,52,28,24
2,0,01355,Raymond Floyd,71,53,18
3,0,01724,Jeff Maggert,73,53,20
4,0,01968,Nick Price,74,58,16
5,0,01958,Dan Pohl,80,13,67
6,0,02246,Duffy Waldorf,82,7,75
7,0,01385,Jim Gallagher Jr.,90,20,70
8,0,01475,Donnie Hammond,95,47,48
8,0,02322,Richard Zokol,95,62,33
10,0,01014,Fulton Allem,99,90,9
11,0,01313,Steve Elkington,101,30,71
12,0,01042,Paul Azinger,106,34,72
13,0,01677,Tom Lehman,109,11,98
14,0,02190,Doug Tewell,112,111,1
15,0,01837,Gil Morgan,115,58,57
16,0,02321,Fuzzy Zoeller,116,56,60
17,0,01550,Ed Humenik,117,6,111
18,0,01706,Davis Love III,120,10,110
19,0,02133,Craig Stadler,121,28,93
20,0,01633,Tom Kite,122,86,36
20,0,01797,Rocco Mediate,122,80,42
22,0,02135,Mike Standly,125,19,106
23,0,01723,Andrew Magee,126,17,109
24,0,01388,Robert Gamez,128,55,73
25,0,01361,Dan Forsman,130,16,114
25,0,01725,John Mahaffey,130,105,25
27,0,02146,Payne Stewart,132,45,87
28,0,06124,Patrick Burke,133,68,65
29,0,01414,Bob Gilder,135,66,69
30,0,06090,Jim McGovern,138,39,99
31,0,01569,Peter Jacobsen,139,88,51
31,0,01766,Billy Mayfair,139,126,13
33,0,01226,Fred Couples,141,5,136
34,0,01200,Keith Clearwater,142,110,32
34,0,01783,Mark McCumber,142,83,59
36,0,01823,Larry Mize,143,141,2
37,0,01887,Mark O'Meara,144,99,45
37,0,01971,Dillard Pruitt,144,138,6
37,0,01975,Tom Purtzer,144,22,122
40,0,01331,Rick Fehr,145,114,31
41,0,01306,David Edwards,147,139,8
41,0,01938,David Peoples,147,47,100
43,0,01510,Nolan Henke,148,113,35
43,0,01876,Greg Norman,148,32,116
45,0,01418,Bill Glasson,149,36,113
46,0,01771,Blaine McCallister,151,73,78
46,0,02049,Gene Sauers,151,46,105
46,0,02067,Ted Schulz,151,43,108
46,0,02303,Robert Wrenn,151,67,84
50,0,01381,Fred Funk,152,147,5
50,0,01945,Kenny Perry,152,37,115
52,0,06044,Scott Gump,153,74,79
53,0,01132,Mark Brooks,154,115,39
53,0,02100,Tim Simpson,154,90,64
55,0,01139,Olin Browne,155,75,80
55,0,07569,Mark Carnevale,155,105,50
55,0,01307,Joel Edwards,155,81,74
58,0,01196,Brian Claar,156,145,11
59,0,01457,Jay Haas,158,128,30
59,0,06128,Steve Lamontagne,158,17,141
61,0,02225,Howard Twitty,159,93,66
62,0,01203,Russ Cochran,160,72,88
62,0,01577,Lee Janzen,160,111,49
62,0,01946,Peter Persons,160,153,7
65,0,01249,John Daly,163,1,162
65,0,01928,Corey Pavin,163,153,10
