RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS PER EVENT,TOTAL POINTS
1,0,34046,Jordan Spieth,198.515,4168.809
2,0,28237,Rory McIlroy,174.159,1567.433
3,0,25804,Bubba Watson,160.441,2406.614
4,0,28089,Jason Day,153.667,2458.666
5,0,22405,Justin Rose,108.847,1741.559
6,0,30925,Dustin Johnson,101.072,1718.219
7,0,25632,Jimmy Walker,100.717,2014.333
8,0,32102,Rickie Fowler,88.094,1497.597
9,0,10809,Jim Furyk,87.556,1400.900
10,0,36689,Brooks Koepka,81.284,1544.405
11,0,21528,Henrik Stenson,79.363,952.357
12,0,21209,Sergio Garcia,75.037,1050.512
13,0,24024,Zach Johnson,74.226,1558.742
14,0,27141,J.B. Holmes,70.660,1483.853
15,0,25364,Paul Casey,69.467,1389.348
16,0,34360,Patrick Reed,69.253,1592.809
17,0,27649,Brandt Snedeker,66.841,1537.353
18,0,34431,Robert Streb,66.156,1720.066
19,0,32839,Hideki Matsuyama,65.441,1374.252
20,0,26329,Louis Oosthuizen,63.976,1087.590
21,0,12716,Charley Hoffman,63.020,1512.475
22,0,24924,Bill Haas,61.023,1281.489
23,0,30926,Chris Kirk,60.409,1087.369
24,0,26596,Ryan Moore,57.538,1208.300
25,0,23108,Matt Kuchar,55.405,1163.500
26,0,29478,Kevin Kisner,54.473,1416.303
27,0,01810,Phil Mickelson,53.031,848.500
28,0,34409,David Lingmerth,52.196,1304.904
29,0,33413,Ben Martin,50.717,1217.199
30,0,29221,Webb Simpson,50.148,952.809
31,0,31323,Gary Woodland,49.373,1036.833
32,0,29926,Danny Lee,48.791,1561.327
33,0,24138,Ian Poulter,48.549,776.791
34,0,25818,Scott Piercy,46.970,1127.270
35,0,34098,Russell Henley,46.961,986.175
36,0,25396,Kevin Na,46.168,1061.871
37,0,25274,Steven Bowditch,45.977,1287.355
38,0,24507,Jason Bohn,43.199,1036.770
39,0,23320,Ryan Palmer,43.003,817.056
40,0,33418,Shawn Stefani,42.921,987.186
41,0,29518,Brendan Steele,42.614,894.900
42,0,24502,Adam Scott,41.762,584.667
43,0,26851,Marc Leishman,40.655,853.750
