RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG DTP,TOTAL DISTANCE (FEET),ATTEMPTS
1,0,29221,Webb Simpson,6' 10",1937.500,284
2,0,34099,Harris English,7' 2",3029.917,425
2,0,52375,Doug Ghim,7' 2",2476.167,347
4,0,22371,Aaron Baddeley,7' 3",1463.417,202
4,0,37455,Si Woo Kim,7' 3",3273.667,452
4,0,30926,Chris Kirk,7' 3",2745.083,378
4,0,33419,Cameron Tringale,7' 3",2991.417,411
8,0,35450,Patrick Cantlay,7' 4",2421.667,332
8,0,25364,Paul Casey,7' 4",2100.583,287
10,0,33120,Mark Anderson,7' 5",1249.583,168
10,0,28775,Nate Lashley,7' 5",2413.083,324
10,0,24361,Pat Perez,7' 5",3005.333,407
10,0,28252,Seamus Power,7' 5",1452.500,196
14,0,33948,Byeong Hun An,7' 6",3069.833,410
14,0,28679,Fabián Gómez,7' 6",1482.583,197
14,0,27644,Brian Harman,7' 6",3690.583,493
14,0,23325,Vaughn Taylor,7' 6",2547.917,341
18,0,25396,Kevin Na,7' 7",3357.417,445
18,0,26329,Louis Oosthuizen,7' 7",2370.750,311
18,0,33448,Justin Thomas,7' 7",2574.083,339
18,0,27770,Camilo Villegas,7' 7",2673.583,351
22,0,48045,Michael Gellerman,7' 8",1054.500,138
23,0,46402,Talor Gooch,7' 9",3508.000,451
23,0,33122,Russell Knox,7' 9",2925.917,379
23,0,27349,Alex Noren,7' 9",3383.167,438
23,0,30163,Henrik Norlander,7' 9",2894.417,373
23,0,26331,Charl Schwartzel,7' 9",2965.250,384
23,0,30110,Kyle Stanley,7' 9",2761.250,356
23,0,31560,Brian Stuard,7' 9",3560.583,458
30,0,34255,Joseph Bramlett,7' 10",2149.500,273
30,0,29970,Dylan Frittelli,7' 10",2642.333,338
30,0,35230,Nelson Ledesma,7' 10",1473.000,188
30,0,47993,Denny McCarthy,7' 10",3514.333,447
30,0,50525,Collin Morikawa,7' 10",2391.083,306
35,0,29974,Branden Grace,7' 11",2823.167,358
35,0,21961,Charles Howell III,7' 11",2265.583,286
35,0,49766,Hank Lebioda,7' 11",2047.917,259
35,0,26476,Chez Reavie,7' 11",2994.750,379
35,0,34360,Patrick Reed,7' 11",3206.500,405
35,0,49964,Aaron Wise,7' 11",2640.333,333
41,0,45526,Abraham Ancer,8' 0",3322.667,414
41,0,40026,Daniel Berger,8' 0",2837.500,353
41,0,33141,Keegan Bradley,8' 0",2908.250,364
41,0,23983,Luke Donald,8' 0",1879.250,236
41,0,31420,Anirban Lahiri,8' 0",2522.167,314
41,0,33413,Ben Martin,8' 0",1387.500,174
41,0,32839,Hideki Matsuyama,8' 0",3536.750,442
41,0,27942,Rob Oppenheim,8' 0",2445.833,305
41,0,34256,Andrew Putnam,8' 0",3155.250,395
41,0,46970,Jon Rahm,8' 0",2297.500,288
