RANK,MOVEMENT,PLAYER_ID,PLAYER,LOW RND
1,0,20498,Briny Baird,28
1,0,01313,Steve Elkington,28
1,0,12309,Bob Sowards,28
4,0,19846,Brian Gay,29
4,0,20433,Mark Hensby,29
4,0,12782,Tim Herron,29
4,0,29718,Anthony Kim,29
4,0,23621,Rory Sabbatini,29
4,0,06567,Vijay Singh,29
4,0,10425,Jay Williamson,29
11,0,06197,Michael Allen,30
11,0,01035,Tommy Armour III,30
11,0,07867,Woody Austin,30
11,0,12652,Cameron Beckman,30
11,0,20229,Stewart Cink,30
11,0,23135,Tim Clark,30
11,0,23541,Ben Crane,30
11,0,28089,Jason Day,30
11,0,06251,Chris DiMarco,30
11,0,20104,Ken Duke,30
11,0,07457,Steve Flesch,30
11,0,12823,Carlos Franco,30
11,0,30750,Tommy Gainey,30
11,0,25900,Lucas Glover,30
11,0,20574,Mathew Goggin,30
11,0,22892,Jason Gore,30
11,0,06643,Paul Goydos,30
11,0,23353,J.J. Henry,30
11,0,01553,John Huston,30
11,0,21731,Freddie Jacobson,30
11,0,06573,Brandt Jobe,30
11,0,12705,Cliff Kresge,30
11,0,23108,Matt Kuchar,30
11,0,11032,Frank Lickliter II,30
11,0,20634,Peter Lonard,30
11,0,27060,John Mallinger,30
11,0,28158,Steve Marino,30
11,0,10585,Scott McCarron,30
11,0,27933,John Merrick,30
11,0,01810,Phil Mickelson,30
11,0,25842,Jon Mills,30
11,0,24140,Sean O'Hair,30
11,0,20663,Brenden Pappas,30
11,0,24361,Pat Perez,30
11,0,01941,Tom Pernice Jr.,30
11,0,01945,Kenny Perry,30
11,0,23497,Tag Ridings,30
11,0,02002,John Riegger,30
11,0,22913,John Rollins,30
11,0,24502,Adam Scott,30
11,0,08845,Scott Sterling,30
11,0,27214,Kevin Streelman,30
11,0,06595,Kevin Sutherland,30
11,0,28780,Nicholas Thompson,30
11,0,23788,D.J. Trahan,30
11,0,02223,Bob Tway,30
11,0,23623,Bo Van Pelt,30
11,0,02239,Scott Verplank,30
11,0,25632,Jimmy Walker,30
11,0,23349,Charles Warren,30
11,0,27095,Nick Watney,30
11,0,25804,Bubba Watson,30
11,0,20160,Charlie Wi,30
11,0,12602,Dean Wilson,30
11,0,21878,Mark Wilson,30
66,0,23778,Brad Adamonis,31
66,0,21633,Steve Allan,31
66,0,10885,Robert Allenby,31
66,0,23540,Jason Allred,31
66,0,06004,Stephen Ames,31
66,0,20098,Stuart Appleby,31
66,0,19803,Ryan Armour,31
66,0,23048,Eric Axley,31
66,0,23614,Rich Beem,31
66,0,24227,Justin Bolli,31
66,0,01139,Olin Browne,31
66,0,01142,Bart Bryant,31
66,0,24925,Jonathan Byrd,31
66,0,20848,Ángel Cabrera,31
66,0,01161,Mark Calcavecchia,31
66,0,12510,Chad Campbell,31
66,0,20472,Alex Cejka,31
66,0,20850,Daniel Chopra,31
66,0,20623,Gavin Coles,31
66,0,01226,Fred Couples,31
66,0,22621,Ben Curtis,31
66,0,21753,Brian Davis,31
66,0,23409,James Driscoll,31
66,0,06621,Joe Durant,31
66,0,23125,Brad Elder,31
66,0,06522,Ernie Els,31
66,0,01320,Bob Estes,31
66,0,21461,Kenneth Ferrie,31
66,0,27561,Nick Flanagan,31
66,0,21805,Harrison Frazar,31
66,0,10809,Jim Furyk,31
66,0,21209,Sergio Garcia,31
66,0,24358,Robert Garrigus,31
66,0,20157,Retief Goosen,31
66,0,20105,Jeff Gove,31
66,0,23718,Nathan Green,31
66,0,20378,Mathias Grönberg,31
66,0,01473,Todd Hamilton,31
66,0,20766,Padraig Harrington,31
66,0,06575,Dudley Hart,31
66,0,12716,Charley Hoffman,31
66,0,22378,Trevor Immelman,31
66,0,01577,Lee Janzen,31
66,0,30925,Dustin Johnson,31
66,0,23157,Richard Johnson,31
66,0,26420,Richard Johnson,31
66,0,10733,Kent Jones,31
