RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES (OVERALL)
1,0,34360,Patrick Reed,1.57,22,1404
2,0,27349,Alex Noren,1.63,24,1476
2,0,35891,Cameron Smith,1.63,24,1476
4,0,36801,Mark Hubbard,1.68,29,1728
5,0,47504,Sam Burns,1.72,26,1512
6,0,35506,Mackenzie Hughes,1.73,28,1620
7,0,22371,Aaron Baddeley,1.75,17,972
8,0,27644,Brian Harman,1.78,32,1800
9,0,34363,Tyrrell Hatton,1.79,18,1008
10,0,29974,Branden Grace,1.85,27,1458
11,0,46435,Austin Cook,1.93,25,1296
12,0,30926,Chris Kirk,1.94,30,1548
12,0,23108,Matt Kuchar,1.94,23,1188
14,0,33597,Harry Higgs,2.01,29,1440
15,0,46970,Jon Rahm,2.02,28,1386
16,0,33419,Cameron Tringale,2.05,34,1656
17,0,51766,Wyndham Clark,2.07,29,1404
17,0,32757,Patton Kizzire,2.07,38,1836
19,0,32618,Rhein Gibson,2.08,21,1008
19,0,51894,Vince Whaley,2.08,30,1440
21,0,31420,Anirban Lahiri,2.12,26,1224
21,0,35449,Adam Long,2.12,32,1512
21,0,48081,Xander Schauffele,2.12,29,1368
24,0,28089,Jason Day,2.14,25,1170
24,0,23325,Vaughn Taylor,2.14,30,1404
26,0,33120,Mark Anderson,2.18,22,1008
26,0,45486,Joaquin Niemann,2.18,40,1836
26,0,26329,Louis Oosthuizen,2.18,29,1332
26,0,25632,Jimmy Walker,2.18,29,1332
30,0,33667,Carlos Ortiz,2.23,37,1656
31,0,31560,Brian Stuard,2.24,42,1872
32,0,40026,Daniel Berger,2.25,34,1512
33,0,29420,Billy Horschel,2.26,35,1548
34,0,29725,Tony Finau,2.28,37,1620
34,0,50525,Collin Morikawa,2.28,32,1404
36,0,33413,Ben Martin,2.33,21,900
36,0,30927,Brendon Todd,2.33,36,1548
38,0,35461,Beau Hossler,2.34,37,1584
39,0,34466,Peter Malnati,2.36,34,1440
40,0,27214,Kevin Streelman,2.37,41,1728
41,0,24024,Zach Johnson,2.38,36,1512
42,0,24138,Ian Poulter,2.39,31,1296
43,0,20229,Stewart Cink,2.41,39,1620
43,0,35310,Lanto Griffin,2.41,39,1620
43,0,26851,Marc Leishman,2.41,33,1368
46,0,19803,Ryan Armour,2.42,34,1404
46,0,29478,Kevin Kisner,2.42,34,1404
46,0,47993,Denny McCarthy,2.42,41,1692
49,0,45526,Abraham Ancer,2.44,43,1764
49,0,46046,Scottie Scheffler,2.44,43,1764
51,0,30944,Jason Kokrak,2.46,39,1584
52,0,37189,Harold Varner III,2.47,40,1620
53,0,29535,Brice Garnett,2.48,41,1656
54,0,25396,Kevin Na,2.49,39,1566
54,0,24361,Pat Perez,2.49,43,1728
56,0,39971,Sungjae Im,2.50,55,2196
57,0,34098,Russell Henley,2.51,38,1512
57,0,26300,Matt Jones,2.51,46,1836
57,0,34431,Robert Streb,2.51,37,1476
60,0,47128,Richy Werenski,2.52,39,1548
61,0,56278,Matthew Wolff,2.53,25,990
62,0,24502,Adam Scott,2.55,33,1296
63,0,34256,Andrew Putnam,2.56,41,1602
64,0,34076,Joel Dahmen,2.57,38,1476
65,0,49771,J.T. Poston,2.58,39,1512
65,0,37275,Sam Ryder,2.58,40,1548
65,0,33448,Justin Thomas,2.58,39,1512
68,0,47959,Bryson DeChambeau,2.64,38,1440
69,0,34046,Jordan Spieth,2.65,42,1584
69,0,25493,Nick Taylor,2.65,43,1620
71,0,35532,Tom Hoge,2.66,46,1728
71,0,27330,Josh Teater,2.66,23,864
73,0,28679,Fabián Gómez,2.67,26,972
73,0,48119,Ben Taylor,2.67,24,900
75,0,23983,Luke Donald,2.68,27,1008
76,0,20396,Lee Westwood,2.69,30,1116
77,0,21961,Charles Howell III,2.70,34,1260
77,0,30925,Dustin Johnson,2.70,35,1296
77,0,28775,Nate Lashley,2.70,37,1368
77,0,53165,Doc Redman,2.70,37,1368
77,0,29221,Webb Simpson,2.70,36,1332
82,0,33399,Adam Hadwin,2.71,43,1584
82,0,39977,Max Homa,2.71,42,1548
82,0,26476,Chez Reavie,2.71,41,1512
85,0,30110,Kyle Stanley,2.72,44,1620
86,0,35617,Martin Trainer,2.73,29,1062
87,0,29268,Bronson Burgoon,2.78,36,1296
87,0,34314,Sebastian Cappelen,2.78,27,972
87,0,34099,Harris English,2.78,46,1656
87,0,32102,Rickie Fowler,2.78,39,1404
87,0,46402,Talor Gooch,2.78,45,1620
87,0,32448,James Hahn,2.78,35,1260
93,0,46717,Viktor Hovland,2.81,42,1494
94,0,40006,Erik van Rooyen,2.82,37,1314
95,0,31646,Emiliano Grillo,2.84,49,1728
96,0,46442,Maverick McNealy,2.85,40,1404
97,0,40098,Matt Fitzpatrick,2.86,34,1188
97,0,35658,Kris Ventura,2.86,36,1260
99,0,22056,Cameron Percy,2.89,40,1386
100,0,27649,Brandt Snedeker,2.91,44,1512
101,0,39953,Chase Seiffert,2.92,41,1404
102,0,46550,Brandon Hagy,2.93,39,1332
102,0,28237,Rory McIlroy,2.93,39,1332
104,0,19846,Brian Gay,2.94,37,1260
104,0,33490,Bo Hoag,2.94,46,1566
104,0,32791,K.H. Lee,2.94,56,1908
104,0,31323,Gary Woodland,2.94,37,1260
108,0,49960,Sepp Straka,2.95,51,1728
109,0,37455,Si Woo Kim,2.96,50,1692
110,0,27064,Jhonattan Vegas,2.97,47,1584
111,0,33404,Chris Baker,2.98,29,972
111,0,22405,Justin Rose,2.98,29,972
113,0,39997,Corey Conners,2.99,56,1872
113,0,32839,Hideki Matsuyama,2.99,50,1674
113,0,29908,C.T. Pan,2.99,43,1440
116,0,26499,Rafa Cabrera Bello,3.00,40,1332
116,0,36699,Patrick Rodgers,3.00,55,1836
118,0,32254,Xinjun Zhang,3.02,37,1224
119,0,12716,Charley Hoffman,3.03,54,1782
120,0,33948,Byeong Hun An,3.04,46,1512
120,0,48887,Matt Wallace,3.04,29,954
122,0,32333,Kevin Tway,3.05,34,1116
123,0,29479,Scott Brown,3.06,44,1440
123,0,32662,Michael Gligic,3.06,44,1440
123,0,35104,Tom Lewis,3.06,44,1440
126,0,25364,Paul Casey,3.09,40,1296
126,0,34563,Chesson Hadley,3.09,40,1296
128,0,33410,Andrew Landry,3.11,37,1188
128,0,23621,Rory Sabbatini,3.11,42,1350
130,0,33486,Roger Sloan,3.12,46,1476
131,0,35450,Patrick Cantlay,3.13,44,1404
132,0,27942,Rob Oppenheim,3.15,42,1332
132,0,23320,Ryan Palmer,3.15,42,1332
132,0,32150,Michael Thompson,3.15,42,1332
135,0,33141,Keegan Bradley,3.17,49,1548
136,0,34264,Hudson Swafford,3.18,47,1476
137,0,45157,Cam Davis,3.19,54,1692
137,0,46441,Robby Shelton,3.19,46,1440
137,0,27095,Nick Watney,3.19,31,972
137,0,32139,Danny Willett,3.19,27,846
141,0,26758,David Hearn,3.30,38,1152
142,0,47347,Adam Schenk,3.32,61,1836
142,0,23623,Bo Van Pelt,3.32,43,1296
142,0,27770,Camilo Villegas,3.32,46,1386
145,0,28420,Ryan Brehm,3.35,35,1044
145,0,28252,Seamus Power,3.35,35,1044
147,0,27974,Sung Kang,3.36,52,1548
148,0,39546,Keith Mitchell,3.37,51,1512
149,0,33122,Russell Knox,3.38,56,1656
149,0,24140,Sean O'Hair,3.38,31,918
149,0,47483,Will Zalatoris,3.38,53,1566
152,0,29970,Dylan Frittelli,3.40,44,1296
153,0,48045,Michael Gellerman,3.43,29,846
154,0,27554,Scott Harrington,3.45,49,1422
154,0,36689,Brooks Koepka,3.45,41,1188
156,0,49298,Kramer Hickok,3.46,43,1242
156,0,32640,Troy Merritt,3.46,61,1764
158,0,27141,J.B. Holmes,3.47,30,864
158,0,49766,Hank Lebioda,3.47,45,1296
158,0,35230,Nelson Ledesma,3.47,30,864
161,0,25686,Jason Dufner,3.49,54,1548
161,0,48822,Sebastián Muñoz,3.49,64,1836
163,0,30163,Henrik Norlander,3.51,53,1512
163,0,30692,Scott Stallings,3.51,48,1368
165,0,30911,Tommy Fleetwood,3.52,38,1080
166,0,24924,Bill Haas,3.54,28,792
167,0,34255,Joseph Bramlett,3.56,50,1404
168,0,29518,Brendan Steele,3.58,49,1368
169,0,40042,Tyler McCumber,3.59,44,1224
170,0,26331,Charl Schwartzel,3.62,56,1548
171,0,24357,K.J. Choi,3.63,34,936
172,0,45609,Tyler Duncan,3.64,59,1620
173,0,33204,Shane Lowry,3.65,50,1368
174,0,52375,Doug Ghim,3.68,57,1548
175,0,52372,Cameron Champ,3.70,50,1350
175,0,23788,D.J. Trahan,3.70,44,1188
177,0,36871,Matthew NeSmith,3.72,59,1584
178,0,01810,Phil Mickelson,3.75,50,1332
179,0,25900,Lucas Glover,3.76,65,1728
180,0,56762,Will Gordon,3.79,60,1584
181,0,32816,Satoshi Kodaira,3.80,52,1368
182,0,27129,Luke List,3.81,61,1602
183,0,34174,John Huh,3.83,40,1044
184,0,39324,J.J. Spaun,3.86,50,1296
184,0,25804,Bubba Watson,3.86,48,1242
186,0,31557,Jim Herman,3.87,46,1188
186,0,25818,Scott Piercy,3.87,55,1422
188,0,32070,Rafael Campos,3.98,43,1080
189,0,29926,Danny Lee,4.05,43,1062
190,0,24781,Hunter Mahan,4.19,43,1026
191,0,21209,Sergio Garcia,4.28,57,1332
192,0,34213,Grayson Murray,4.31,38,882
193,0,27936,Martin Laird,4.51,65,1440
194,0,39975,Michael Kim,4.59,57,1242
195,0,49964,Aaron Wise,4.65,67,1440
196,0,27556,Ted Potter Jr.,4.66,57,1224
