RANK,MOVEMENT,PLAYER_ID,PLAYER,BEST STREAK,CURRENT STREAK
1,0,07187,Ron Philo Jr.,35,1
2,0,10809,Jim Furyk,33,10
3,0,01381,Fred Funk,30,6
4,0,22806,Doug LaBelle II,29,0
4,0,10860,Justin Leonard,29,1
6,0,12645,Brent Geiberger,28,0
6,0,24024,Zach Johnson,28,0
8,0,12652,Cameron Beckman,27,3
8,0,01320,Bob Estes,27,5
8,0,01553,John Huston,27,2
11,0,01142,Bart Bryant,26,3
11,0,12510,Chad Campbell,26,18
11,0,06621,Joe Durant,26,4
11,0,21731,Freddie Jacobson,26,3
11,0,01766,Billy Mayfair,26,16
16,0,01139,Olin Browne,25,6
16,0,24357,K.J. Choi,25,0
16,0,27060,John Mallinger,25,3
19,0,20498,Briny Baird,24,0
19,0,01157,Tom Byrum,24,0
19,0,01313,Steve Elkington,24,0
19,0,20572,Rod Pampling,24,0
19,0,20127,Chris Riley,24,0
19,0,22293,Heath Slocum,24,1
25,0,20369,John Bickerton,23,2
25,0,23933,Michael Boyd,23,23
25,0,19846,Brian Gay,23,7
25,0,21806,Paul Gow,23,3
29,0,01378,David Frost,22,2
29,0,06643,Paul Goydos,22,1
29,0,29718,Anthony Kim,22,0
32,0,21753,Brian Davis,21,6
32,0,22378,Trevor Immelman,21,1
32,0,12195,Tom Johnson,21,2
32,0,07547,Craig Kanada,21,3
32,0,24912,Will MacKenzie,21,0
32,0,27120,Troy Matteson,21,2
32,0,01771,Blaine McCallister,21,2
32,0,01797,Rocco Mediate,21,0
32,0,01945,Kenny Perry,21,0
32,0,21660,Jason Schultz,21,6
32,0,26289,Boo Weekley,21,0
32,0,02294,Willie Wood,21,0
44,0,01132,Mark Brooks,20,6
44,0,01161,Mark Calcavecchia,20,2
44,0,08931,Glen Day,20,10
44,0,29720,Andres Gonzales,20,1
44,0,26420,Richard Johnson,20,0
44,0,01599,Steve Jones,20,11
44,0,21470,Daisuke Maruyama,20,1
44,0,12461,Paul McGinley,20,1
44,0,06373,José María Olazábal,20,0
