RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),TOTAL STROKES
1,0,10809,Jim Furyk,17' 9",2255.833,127
2,0,26596,Ryan Moore,17' 10",2675.250,150
3,0,19803,Ryan Armour,18' 2",2857.750,157
4,0,30927,Brendon Todd,18' 9",5343.000,285
5,0,23325,Vaughn Taylor,19' 4",3853.833,199
6,0,30110,Kyle Stanley,19' 11",3384.833,170
7,0,45526,Abraham Ancer,20' 2",5448.583,270
8,1,29478,Kevin Kisner,20' 5",5318.083,260
9,-1,31560,Brian Stuard,20' 7",5299.583,257
10,0,40098,Matt Fitzpatrick,20' 10",4163.083,200
11,0,25900,Lucas Glover,21' 2",4803.083,227
12,4,46717,Viktor Hovland,21' 6",6302.083,293
13,-1,34098,Russell Henley,21' 7",5686.583,263
13,-1,25572,Graeme McDowell,21' 7",3957.333,183
15,-1,26476,Chez Reavie,21' 9",5004.167,230
16,-1,25686,Jason Dufner,21' 10",5736.000,263
17,0,31646,Emiliano Grillo,22' 0",4921.833,224
17,0,26758,David Hearn,22' 0",3359.917,153
17,0,30163,Henrik Norlander,22' 0",5112.917,232
20,0,31557,Jim Herman,22' 1",4833.417,219
21,0,45609,Tyler Duncan,22' 2",6433.333,290
22,0,33404,Chris Baker,22' 5",2940.250,131
23,0,34076,Joel Dahmen,22' 6",6640.750,295
24,1,27330,Josh Teater,22' 8",2584.417,114
25,2,27644,Brian Harman,22' 10",7574.000,332
25,2,24024,Zach Johnson,22' 10",6115.250,268
25,2,28775,Nate Lashley,22' 10",5296.667,232
25,1,34360,Patrick Reed,22' 10",8508.167,372
29,1,23108,Matt Kuchar,23' 0",5084.000,221
30,1,29479,Scott Brown,23' 2",5067.333,219
30,1,39997,Corey Conners,23' 2",6074.917,262
30,1,49298,Kramer Hickok,23' 2",3499.833,151
30,1,53165,Doc Redman,23' 2",6782.833,293
34,1,21407,Arjun Atwal,23' 4",2194.417,94
34,1,29535,Brice Garnett,23' 4",5242.583,225
34,1,36801,Mark Hubbard,23' 4",8485.583,364
37,4,40026,Daniel Berger,23' 7",6111.833,259
37,1,33410,Andrew Landry,23' 7",6173.417,262
39,0,26499,Rafa Cabrera Bello,23' 8",4759.583,201
39,0,27649,Brandt Snedeker,23' 8",5963.667,252
41,0,27214,Kevin Streelman,23' 10",6182.083,259
42,1,27936,Martin Laird,24' 1",3202.417,133
42,2,45486,Joaquin Niemann,24' 1",8636.000,359
44,1,22371,Aaron Baddeley,24' 3",4987.750,206
44,1,27942,Rob Oppenheim,24' 3",5580.500,230
46,1,40058,Zac Blair,24' 5",6320.333,259
46,2,29420,Billy Horschel,24' 5",7243.000,297
48,0,46441,Robby Shelton,24' 6",7157.667,292
49,2,32254,Xinjun Zhang,24' 7",7884.250,321
50,2,28679,Fabián Gómez,24' 9",4481.417,181
50,2,33413,Ben Martin,24' 9",2499.333,101
52,2,29974,Branden Grace,24' 10",5143.500,207
52,2,32150,Michael Thompson,24' 10",6291.833,253
54,2,46435,Austin Cook,24' 11",5090.167,204
54,-6,34099,Harris English,24' 11",8637.333,347
54,2,35532,Tom Hoge,24' 11",8718.833,350
54,2,35449,Adam Long,24' 11",9220.583,370
54,2,47347,Adam Schenk,24' 11",6810.417,273
59,1,29268,Bronson Burgoon,25' 0",6026.000,241
59,1,33490,Bo Hoag,25' 0",6067.750,243
59,1,25818,Scott Piercy,25' 0",6505.167,260
62,2,32791,K.H. Lee,25' 3",6802.583,269
62,5,48822,Sebastián Muñoz,25' 3",9929.833,393
