RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# HIT,TOTAL ATTEMPTS
1,0,10809,Jim Furyk,89.72,489,545
2,0,30110,Kyle Stanley,88.68,658,742
3,0,26476,Chez Reavie,86.72,934,1077
4,0,30163,Henrik Norlander,86.67,897,1035
5,0,31646,Emiliano Grillo,86.64,785,906
6,0,27330,Josh Teater,86.56,496,573
7,0,34098,Russell Henley,86.51,763,882
8,0,26596,Ryan Moore,86.44,529,612
9,0,33404,Chris Baker,86.42,592,685
10,0,26758,David Hearn,86.40,616,713
10,0,53165,Doc Redman,86.40,991,1147
12,1,25364,Paul Casey,86.33,676,783
13,-1,30927,Brendon Todd,86.26,1042,1208
14,1,34563,Chesson Hadley,86.19,699,811
15,1,21407,Arjun Atwal,86.14,373,433
16,1,19803,Ryan Armour,86.07,698,811
17,1,32448,James Hahn,85.88,432,503
18,-4,29221,Webb Simpson,85.85,625,728
19,0,39997,Corey Conners,85.81,889,1036
20,1,21209,Sergio Garcia,85.78,525,612
21,1,29535,Brice Garnett,85.70,695,811
22,1,23788,D.J. Trahan,85.69,563,657
23,1,27214,Kevin Streelman,85.64,871,1017
24,3,27064,Jhonattan Vegas,85.57,599,700
25,3,31560,Brian Stuard,85.53,969,1133
26,3,36871,Matthew NeSmith,85.38,812,951
27,-8,50525,Collin Morikawa,85.36,956,1120
27,3,24361,Pat Perez,85.36,653,765
29,3,49298,Kramer Hickok,85.11,583,685
30,-4,34099,Harris English,85.06,905,1064
31,2,23325,Vaughn Taylor,85.04,722,849
32,2,27556,Ted Potter Jr.,84.88,522,615
33,3,31557,Jim Herman,84.82,715,843
34,4,25900,Lucas Glover,84.78,791,933
35,4,25818,Scott Piercy,84.77,779,919
36,5,22056,Cameron Percy,84.76,534,630
37,5,28679,Fabián Gómez,84.66,651,769
38,5,33490,Bo Hoag,84.63,793,937
39,5,46435,Austin Cook,84.62,710,839
39,5,52375,Doug Ghim,84.62,473,559
41,5,25349,Tim Wilkinson,84.60,544,643
42,5,33410,Andrew Landry,84.56,745,881
