RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND,HOLE,COURSE
1,0,25240,D.A. Points,442,Buick Champ,1,14,503
2,0,20098,Stuart Appleby,427,WGC-NEC Invit'l,3,16,036
3,0,25572,Graeme McDowell,422,Honda Classic,4,9,710
4,0,26420,Richard Johnson,418,Texas Open,3,5,625
5,0,23540,Jason Allred,417,Texas Open,2,14,625
6,0,08075,Jerry Kelly,416,Texas Open,2,14,625
8,0,01706,Davis Love III,408,WGC-NEC Invit'l,2,16,036
8,0,08793,Tiger Woods,408,Mercedes Champ,2,12,656
11,0,22548,Patrick Sheehan,407,Texas Open,2,14,625
12,0,21528,Henrik Stenson,406,WGC-NEC Invit'l,2,16,036
13,0,20848,Ángel Cabrera,402,WGC-NEC Invit'l,2,16,036
13,0,20850,Daniel Chopra,402,Texas Open,2,1,625
13,0,24912,Will MacKenzie,402,Reno-Tahoe Open,2,14,660
16,0,24290,D.J. Brigman,401,Texas Open,2,14,625
16,0,06522,Ernie Els,401,Mercedes Champ,3,12,656
18,0,24140,Sean O'Hair,400,WGC-NEC Invit'l,1,9,036
19,0,01249,John Daly,399,Western Open,2,17,526
19,0,20502,Michael Long,399,Texas Open,2,14,625
19,0,01724,Jeff Maggert,399,Texas Open,4,11,625
22,0,21805,Harrison Frazar,398,Texas Open,3,18,625
22,0,01810,Phil Mickelson,398,WGC-NEC Invit'l,3,16,036
22,0,26287,Roland Thatcher,398,Texas Open,2,14,625
25,0,06567,Vijay Singh,397,Mercedes Champ,2,12,656
27,0,22892,Jason Gore,396,84 LUMBER,2,5,696
27,0,23322,Brett Wetterich,396,84 LUMBER,2,8,696
31,0,01553,John Huston,395,Las Vegas,1,1,538
31,0,23320,Ryan Palmer,395,Mercedes Champ,2,12,656
31,0,20572,Rod Pampling,395,Texas Open,1,11,625
35,0,12823,Carlos Franco,394,Mercedes Champ,3,18,656
35,0,20157,Retief Goosen,394,Mercedes Champ,3,12,656
35,0,20433,Mark Hensby,394,Mercedes Champ,3,12,656
35,0,22913,John Rollins,394,84 LUMBER,2,11,696
39,0,23063,Scott Hend,393,84 LUMBER,2,5,696
39,0,23353,J.J. Henry,393,FBR Open,1,3,510
39,0,22046,Geoff Ogilvy,393,FBR Open,1,10,510
39,0,02206,David Toms,393,Mercedes Champ,3,12,656
44,0,20229,Stewart Cink,392,Mercedes Champ,2,12,656
44,0,06527,Steve Stricker,392,Texas Open,2,14,625
44,0,23325,Vaughn Taylor,392,Texas Open,4,11,625
49,0,21209,Sergio Garcia,391,Mercedes Champ,3,12,656
49,0,06573,Brandt Jobe,391,84 LUMBER,2,11,696
49,0,23552,Hank Kuehne,391,Shell Houston,2,14,699
49,0,07749,Brett Quigley,391,Shell Houston,3,9,699
54,0,24502,Adam Scott,390,WGC-NEC Invit'l,1,16,036
56,0,02106,Chris Smith,389,Texas Open,2,1,625
59,0,21633,Steve Allan,388,FBR Open,1,10,510
59,0,07363,Craig Bowden,388,Texas Open,2,1,625
65,0,24507,Jason Bohn,387,Texas Open,3,14,625
65,0,23623,Bo Van Pelt,387,Las Vegas,3,9,538
68,0,01418,Bill Glasson,386,FBR Open,1,3,510
68,0,08545,Glen Hnatiuk,386,Buick Champ,1,14,503
68,0,01948,Tim Petrovic,386,Texas Open,2,1,625
68,0,23621,Rory Sabbatini,386,Texas Open,3,14,625
