RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,01928,Corey Pavin,20.56,175,851,+0.040
2,0,02010,Loren Roberts,11.94,80,670,+0.113
3,0,01487,Jeff Hart,10.65,85,798,+0.365
4,0,01175,Jim Carter,9.91,75,757,+0.173
5,0,26420,Richard Johnson,9.22,59,640,+0.034
6,0,20127,Chris Riley,9.06,53,585,+0.264
7,0,01132,Mark Brooks,9.03,78,864,+0.103
8,0,01381,Fred Funk,9.02,103,1142,+0.107
9,0,01329,Brad Faxon,8.79,70,796,+0.157
10,0,21878,Mark Wilson,8.64,76,880,-0.105
11,0,01599,Steve Jones,8.58,55,641,+0.109
12,0,12823,Carlos Franco,8.44,79,936,+0.152
13,0,20623,Gavin Coles,8.35,74,886,+0.135
14,0,01157,Tom Byrum,8.30,88,1060,+0.148
15,0,20382,Stephen Leaney,8.13,85,1045,+0.165
16,0,12645,Brent Geiberger,8.01,58,724,+0.138
17,0,01823,Larry Mize,7.94,51,642,+0.157
18,0,12510,Chad Campbell,7.90,83,1050,+0.012
19,0,12602,Dean Wilson,7.89,87,1102,+0.011
20,0,23036,Chris Anderson,7.78,63,810,+0.222
21,0,01313,Steve Elkington,7.74,59,762,+0.186
22,0,23108,Matt Kuchar,7.66,59,770,+0.254
23,0,01139,Olin Browne,7.61,88,1156,+0.091
24,0,22548,Patrick Sheehan,7.39,99,1339,+0.121
25,0,02101,Joey Sindelar,7.37,101,1370,+0.149
26,0,12662,Thomas Levet,7.36,37,503,+0.324
27,0,06527,Steve Stricker,7.28,60,824,-0.033
27,0,10423,Mike Weir,7.28,48,659,+0.188
29,0,01619,Skip Kendall,7.27,71,977,+0.366
30,0,08537,J.P. Hayes,7.18,53,738,+0.075
31,0,12660,Jesper Parnevik,7.16,67,936,+0.119
32,0,21951,Joey Snyder III,7.14,91,1274,+0.088
33,0,25396,Kevin Na,7.07,78,1103,+0.333
34,0,10809,Jim Furyk,7.03,70,996,-0.014
35,0,23541,Ben Crane,7.00,63,900,+0.222
36,0,01761,Len Mattiace,6.99,74,1058,+0.243
37,0,07223,Brian Bateman,6.93,82,1184,+0.183
38,0,01219,John Cook,6.91,56,811,+0.232
39,0,06004,Stephen Ames,6.81,58,852,+0.052
40,0,01142,Bart Bryant,6.77,72,1063,+0.056
41,0,20229,Stewart Cink,6.65,66,992,+0.121
42,0,01035,Tommy Armour III,6.62,84,1268,E
43,0,23540,Jason Allred,6.61,58,878,+0.086
44,0,22371,Aaron Baddeley,6.57,69,1050,+0.406
44,0,24138,Ian Poulter,6.57,33,502,+0.121
46,0,01577,Lee Janzen,6.56,54,823,+0.204
47,0,24290,D.J. Brigman,6.54,56,856,+0.143
47,0,01666,Bernhard Langer,6.54,41,627,+0.341
49,0,06197,Michael Allen,6.51,70,1075,+0.200
49,0,01418,Bill Glasson,6.51,40,614,+0.250
51,0,25847,Rob Rashell,6.47,49,757,+0.347
52,0,19846,Brian Gay,6.46,83,1285,+0.108
