RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL APEX HEIGHT,TOTAL ATTEMPTS
1,0,33448,Justin Thomas,132' 8",3534',102
2,0,36699,Patrick Rodgers,130' 9",6012' 9",46
3,0,33141,Keegan Bradley,125' 3",270' 11",82
4,0,27141,J.B. Holmes,125' 2",8636' 5",69
5,0,01810,Phil Mickelson,122' 1",6224' 6",51
6,0,12716,Charley Hoffman,121' 4",70' 1",83
7,0,20766,Padraig Harrington,119' 6",6811' 0",57
8,0,30946,Alex Prugh,119' 3",9537',80
9,0,32448,James Hahn,118' 5",9001',76
10,0,32102,Rickie Fowler,118' 4",7693',65
11,0,30925,Dustin Johnson,118' 0",5780' 6",49
12,0,36689,Brooks Koepka,117' 9",9891' 3",84
13,0,28089,Jason Day,117' 8",7175' 6",61
14,0,32150,Michael Thompson,117' 6",9751' 6",83
15,0,27436,Graham DeLaet,117' 3",6098',52
16,0,34264,Hudson Swafford,116' 11",52' 8",86
17,0,33461,Morgan Hoffmann,116' 5",9079' 3",78
18,0,29725,Tony Finau,116' 2",807' 3",93
19,0,25818,Scott Piercy,115' 11",9969' 5",86
20,0,23320,Ryan Palmer,113' 9",7506',66
21,0,34046,Jordan Spieth,113' 3",7698' 7",68
22,0,34098,Russell Henley,112' 9",9471' 0",84
23,0,29289,S.Y. Noh,112' 5",6518' 7",58
23,0,33486,Roger Sloan,112' 5",4721' 7",42
23,0,28780,Nicholas Thompson,112' 5",9219',82
26,0,32366,Kevin Chappell,111' 6",6914' 3",62
27,0,29223,Sam Saunders,111' 5",7907' 9",71
28,0,33667,Carlos Ortiz,111' 3",795' 1",97
29,0,25493,Nick Taylor,110' 9",9857' 4",89
30,0,29926,Danny Lee,110' 5",2148' 2",110
31,0,01706,Davis Love III,110' 1",4734' 0",43
31,0,24140,Sean O'Hair,110' 1",7923' 5",72
33,0,20157,Retief Goosen,110' 0",7808',71
34,0,29518,Brendan Steele,109' 6",9967' 6",91
35,0,22405,Justin Rose,109' 4",5794',53
36,0,28307,Matt Every,109' 1",7415' 5",68
37,0,32640,Troy Merritt,108' 9",8697' 5",80
38,0,34563,Chesson Hadley,108' 4",9205' 0",85
39,0,21209,Sergio Garcia,108' 3",4438' 7",41
39,0,27936,Martin Laird,108' 3",7254',67
41,0,25632,Jimmy Walker,107' 7",7636' 2",71
42,0,30736,Oscar Fraustro,107' 5",4081' 9",38
43,0,23983,Luke Donald,107' 4",5473' 8",51
43,0,34099,Harris English,107' 4",515' 0",98
43,0,24358,Robert Garrigus,107' 4",5366' 9",50
46,0,22046,Geoff Ogilvy,107' 2",4287' 3",40
47,0,33399,Adam Hadwin,106' 10",9510' 9",89
48,0,22371,Aaron Baddeley,106' 4",4253' 1",40
49,0,21878,Mark Wilson,106' 3",8714' 9",82
50,0,32334,Charlie Beljan,106' 2",6052' 4",57
51,0,34409,David Lingmerth,106' 0",9115' 3",86
51,0,30692,Scott Stallings,106' 0",5511',52
53,0,22892,Jason Gore,105' 10",6775' 0",64
54,0,32839,Hideki Matsuyama,105' 9",8881' 8",84
55,0,20848,Ángel Cabrera,105' 8",5285' 2",50
56,0,23108,Matt Kuchar,105' 7",9185' 4",87
57,0,40026,Daniel Berger,105' 4",7164' 0",68
58,0,31323,Gary Woodland,105' 0",6196' 2",59
59,0,33419,Cameron Tringale,104' 11",9024',86
60,0,35545,Blayne Barber,104' 7",7217' 9",69
61,0,30944,Jason Kokrak,104' 6",8779' 2",84
61,0,24781,Hunter Mahan,104' 6",7525' 5",72
63,0,26758,David Hearn,104' 3",9799' 2",94
64,0,06567,Vijay Singh,104' 2",7501' 3",72
65,0,27214,Kevin Streelman,104' 1",8431' 7",81
66,0,24024,Zach Johnson,104' 0",8941' 5",86
67,0,24924,Bill Haas,103' 11",8208' 8",79
68,0,39977,Max Homa,103' 9",6433' 3",62
69,0,29420,Billy Horschel,103' 6",8904' 0",86
70,0,06522,Ernie Els,103' 4",3823',37
70,0,22056,Cameron Percy,103' 4",6715' 9",65
72,0,24925,Jonathan Byrd,103' 0",5767' 1",56
73,0,35539,Luke Guthrie,102' 10",8022' 6",78
74,0,25804,Bubba Watson,102' 9",5344',52
75,0,33418,Shawn Stefani,102' 3",9303' 3",91
76,0,28500,Martin Flores,101' 11",9069' 3",89
77,0,32200,Roberto Castro,101' 10",3870' 0",38
78,0,27895,Jonas Blixt,101' 8",5896' 8",58
78,0,34174,John Huh,101' 8",1186' 2",110
78,0,31193,Jim Renner,101' 8",5896' 9",58
78,0,25892,Steve Wheatcroft,101' 8",9153' 5",90
82,0,29720,Andres Gonzales,101' 6",8829',87
83,0,26476,Chez Reavie,101' 3",6077' 0",60
84,0,25562,Andres Romero,101' 2",4958' 3",49
84,0,27095,Nick Watney,101' 2",8901' 3",88
86,0,25274,Steven Bowditch,101' 1",7' 8",99
87,0,21753,Brian Davis,101' 0",8282' 2",82
88,0,26851,Marc Leishman,100' 11",6360' 0",63
88,0,29221,Webb Simpson,100' 11",6961' 8",69
90,0,23353,J.J. Henry,100' 10",7262',72
90,0,23621,Rory Sabbatini,100' 10",7461' 5",74
90,0,28132,Tyrone Van Aswegen,100' 10",3832' 2",38
93,0,20472,Alex Cejka,100' 6",8239' 7",82
94,0,40058,Zac Blair,100' 0",98' 2",101
94,0,25198,Francesco Molinari,100' 0",4998' 8",50
96,0,27064,Jhonattan Vegas,99' 4",7548' 0",76
97,0,25345,Carl Pettersson,99' 2",311' 8",104
97,0,23623,Bo Van Pelt,99' 2",7237' 6",73
99,0,27963,Chris Stroud,98' 11",7122' 3",72
100,0,25240,D.A. Points,98' 9",5332' 6",54
101,0,36801,Mark Hubbard,98' 7",6311' 1",64
102,0,20396,Lee Westwood,98' 4",4030' 2",41
103,0,23548,Bill Lunde,98' 2",3828' 0",39
104,0,34256,Andrew Putnam,98' 1",5786' 5",59
105,0,37454,Whee Kim,98' 0",5388' 8",55
106,0,27644,Brian Harman,97' 11",8128' 0",83
106,0,28475,Jeff Overton,97' 11",8221' 9",84
108,0,20771,Steven Alker,97' 9",5765' 6",59
109,0,34262,Jon Curran,97' 8",7130' 0",73
110,0,35532,Tom Hoge,97' 7",6535',67
111,0,25364,Paul Casey,97' 1",6117' 9",63
112,0,27649,Brandt Snedeker,96' 11",9013' 6",93
113,0,20645,John Senden,96' 8",5801' 5",60
114,0,26951,Johnson Wagner,96' 6",5114' 3",53
115,0,24502,Adam Scott,96' 5",3374',35
115,0,02206,David Toms,96' 5",5879' 6",61
117,0,29222,Billy Hurley III,96' 4",6842' 4",71
118,0,29478,Kevin Kisner,96' 1",471' 2",109
119,0,30852,Ryo Ishikawa,95' 11",8537' 6",89
120,0,26300,Matt Jones,95' 10",6610' 2",69
120,0,34360,Patrick Reed,95' 10",7951' 9",83
122,0,28259,Sangmoon Bae,95' 5",9253' 1",97
123,0,25191,Gonzalo Fernandez-Castaño,95' 3",6192' 8",65
123,0,35541,John Peterson,95' 3",8759' 4",92
125,0,26329,Louis Oosthuizen,95' 2",4284' 3",45
126,0,29535,Brice Garnett,95' 1",6562' 8",69
127,0,29479,Scott Brown,95' 0",7982',84
128,0,30926,Chris Kirk,94' 7",5862' 1",62
129,0,24357,K.J. Choi,94' 5",5096' 8",54
