RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,AVERAGE CARRY DIST. YARDS,AVERAGE CLUB HEAD SPEED,TOTAL ATTEMPTS,HIGHEST CARRY EFFICIENCY
1,0,33448,Justin Thomas,2.560,297.7,116.297,83,0225402840
2,0,06522,Ernie Els,2.548,282.0,110.663,31,0236802692
3,0,23320,Ryan Palmer,2.535,292.1,115.221,55,0230302840
4,0,25493,Nick Taylor,2.533,282.6,111.565,75,0230002763
5,0,28089,Jason Day,2.525,303.5,120.180,53,0223002720
6,0,30925,Dustin Johnson,2.521,305.7,121.260,36,0218902736
7,0,25818,Scott Piercy,2.519,290.6,115.348,74,0225002833
8,0,01706,Davis Love III,2.516,283.8,112.814,36,0217502816
9,0,20157,Retief Goosen,2.513,286.1,113.853,61,0207302901
9,0,32150,Michael Thompson,2.513,282.4,112.357,70,0214602827
11,0,33667,Carlos Ortiz,2.511,289.6,115.315,77,0216302846
12,0,22371,Aaron Baddeley,2.509,295.7,117.868,29,0227702652
13,0,34046,Jordan Spieth,2.508,283.5,113.026,56,0220702801
14,0,33461,Morgan Hoffmann,2.506,284.9,113.673,68,0221502708
15,0,12716,Charley Hoffman,2.502,290.3,116.055,69,0224102916
16,0,27141,J.B. Holmes,2.501,301.6,120.604,55,0220102776
16,0,34409,David Lingmerth,2.501,276.1,110.411,74,0219902761
18,0,24140,Sean O'Hair,2.500,285.9,114.384,55,0206002776
19,0,24358,Robert Garrigus,2.499,294.8,117.944,35,0221202767
19,0,32448,James Hahn,2.499,285.2,114.117,60,0230202770
19,0,02206,David Toms,2.499,254.5,101.862,58,0230302667
22,0,29420,Billy Horschel,2.497,283.2,113.414,72,0196702728
23,0,22056,Cameron Percy,2.496,279.4,111.956,53,0222202665
23,0,26476,Chez Reavie,2.496,272.7,109.239,53,0227502696
25,0,30736,Oscar Fraustro,2.495,276.8,110.933,33,0228902622
25,0,29926,Danny Lee,2.495,273.1,109.456,94,0216802812
25,0,25562,Andres Romero,2.495,284.5,114.033,39,0222002654
28,0,30944,Jason Kokrak,2.494,298.8,119.811,73,0215302823
29,0,27936,Martin Laird,2.493,289.8,116.236,52,0218402745
29,0,28780,Nicholas Thompson,2.493,274.5,110.085,69,0223302743
31,0,34563,Chesson Hadley,2.492,278.9,111.929,69,0216202824
32,0,24781,Hunter Mahan,2.491,278.8,111.924,59,0224402703
32,0,22405,Justin Rose,2.491,291.9,117.195,44,0225602732
34,0,25345,Carl Pettersson,2.488,278.2,111.821,83,0217802694
35,0,30692,Scott Stallings,2.487,285.6,114.845,45,0223502925
36,0,21753,Brian Davis,2.486,261.9,105.343,71,0216102686
36,0,35539,Luke Guthrie,2.486,276.0,111.002,70,0223602703
38,0,27436,Graham DeLaet,2.485,292.4,117.685,45,0226602700
38,0,34099,Harris English,2.485,292.6,117.758,77,0222302718
40,0,30946,Alex Prugh,2.484,287.2,115.646,69,0223502738
41,0,36699,Patrick Rodgers,2.483,298.7,120.281,38,0223102663
42,0,20848,Ángel Cabrera,2.482,290.7,117.102,41,0220702831
43,0,24024,Zach Johnson,2.481,267.2,107.683,74,0227302672
44,0,24357,K.J. Choi,2.480,265.3,107.002,47,0228802713
44,0,23108,Matt Kuchar,2.480,273.9,110.441,70,0220102721
44,0,29223,Sam Saunders,2.480,282.9,114.035,58,0214002707
47,0,33141,Keegan Bradley,2.479,292.5,118.026,65,0219202746
47,0,23548,Bill Lunde,2.479,272.1,109.767,33,0233002696
47,0,29518,Brendan Steele,2.479,292.6,118.050,77,0212402682
50,0,33486,Roger Sloan,2.477,284.2,114.752,34,0223302672
51,0,23541,Ben Crane,2.475,258.9,104.602,45,0223702678
51,0,06567,Vijay Singh,2.475,277.6,112.143,57,0219502648
53,0,26758,David Hearn,2.474,266.9,107.879,83,0220602902
53,0,22046,Geoff Ogilvy,2.474,281.8,113.906,34,0224502699
55,0,25632,Jimmy Walker,2.472,288.6,116.770,51,0217902721
56,0,32839,Hideki Matsuyama,2.469,282.8,114.521,67,0220702705
57,0,32102,Rickie Fowler,2.468,289.6,117.371,48,0215502765
57,0,24924,Bill Haas,2.468,276.8,112.181,66,0203402675
57,0,22293,Heath Slocum,2.468,255.6,103.565,40,0228502651
60,0,10885,Robert Allenby,2.467,271.1,109.897,52,0223202704
61,0,35545,Blayne Barber,2.466,276.1,111.954,55,0220102635
62,0,20771,Steven Alker,2.465,261.8,106.205,50,0220802673
