RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL CLUB HEAD SPEED,TOTAL ATTEMPTS
1,0,29725,Tony Finau,124.07,1191053,96
2,0,32334,Charlie Beljan,124.02,781301,63
3,0,25804,Bubba Watson,123.52,654632,53
4,0,36689,Brooks Koepka,122.77,1055818,86
5,0,27064,Jhonattan Vegas,122.51,967826,79
6,0,21528,Henrik Stenson,121.67,352853,29
7,0,30925,Dustin Johnson,121.49,595309,49
8,0,34264,Hudson Swafford,121.43,1056453,87
9,0,31323,Gary Woodland,121.14,738956,61
10,0,27141,J.B. Holmes,120.62,856375,71
11,0,24502,Adam Scott,120.27,444989,37
12,0,28089,Jason Day,120.16,732966,61
13,0,36699,Patrick Rodgers,120.08,564374,47
14,0,30944,Jason Kokrak,119.82,1018499,85
15,0,21209,Sergio Garcia,119.78,491079,41
16,0,37273,Derek Ernst,119.67,837710,70
17,0,40026,Daniel Berger,119.57,860896,72
18,0,21961,Charles Howell III,119.26,1299931,109
19,0,20645,John Senden,119.07,726322,61
20,0,28500,Martin Flores,118.68,1079968,91
21,0,32366,Kevin Chappell,118.61,759108,64
22,0,01810,Phil Mickelson,118.09,614063,52
22,0,27095,Nick Watney,118.09,1062818,90
24,0,22371,Aaron Baddeley,118.04,483959,41
25,0,29518,Brendan Steele,118.01,1085724,92
26,0,24846,Ricky Barnes,117.94,754835,64
27,0,33141,Keegan Bradley,117.87,966516,82
28,0,24358,Robert Garrigus,117.85,624610,53
28,0,34360,Patrick Reed,117.85,989953,84
30,0,27436,Graham DeLaet,117.83,636271,54
31,0,34099,Harris English,117.74,1165606,99
32,0,20229,Stewart Cink,117.72,788715,67
33,0,25274,Steven Bowditch,117.61,1164365,99
34,0,32102,Rickie Fowler,117.50,775468,66
35,0,26331,Charl Schwartzel,117.41,493123,42
36,0,39977,Max Homa,117.35,751040,64
37,0,25364,Paul Casey,117.16,738114,63
38,0,20848,Ángel Cabrera,117.14,597429,51
39,0,22405,Justin Rose,117.10,632327,54
40,0,29289,S.Y. Noh,116.99,678534,58
41,0,33418,Shawn Stefani,116.95,1099298,94
42,0,34265,Will Wilcox,116.92,502741,43
43,0,28486,Michael Putnam,116.89,853320,73
43,0,25632,Jimmy Walker,116.89,853301,73
45,0,34431,Robert Streb,116.82,1296706,111
46,0,35451,Scott Pinckney,116.53,955573,82
47,0,34098,Russell Henley,116.51,978674,84
48,0,27936,Martin Laird,116.35,814463,70
49,0,25900,Lucas Glover,116.34,965641,83
49,0,33448,Justin Thomas,116.34,1186630,102
51,0,12716,Charley Hoffman,116.30,988534,85
52,0,26300,Matt Jones,116.27,860392,74
53,0,20396,Lee Westwood,115.81,474815,41
54,0,29720,Andres Gonzales,115.75,1053306,91
55,0,26851,Marc Leishman,115.69,728859,63
55,0,24490,George McNeill,115.69,994934,86
57,0,30946,Alex Prugh,115.67,960060,83
