RANK,MOVEMENT,PLAYER_ID,PLAYER,COMBINED RANK,CARRY EFFICIENCY RANK,TOTAL DIST. EFFIC. RANK
1,0,33410,Andrew Landry,3,1,2
2,0,29485,Brett Stegmaier,6,2,4
3,0,30692,Scott Stallings,10,3,7
3,0,02206,David Toms,10,7,3
5,0,24140,Sean O'Hair,13,4,9
6,0,06522,Ernie Els,17,10,7
7,0,20472,Alex Cejka,18,17,1
8,0,35732,Wes Roach,22,10,12
9,0,32876,Martin Piller,25,14,11
10,0,35545,Blayne Barber,27,13,14
11,0,23325,Vaughn Taylor,29,8,21
12,0,25493,Nick Taylor,31,26,5
13,0,34563,Chesson Hadley,38,4,34
13,0,23320,Ryan Palmer,38,15,23
13,0,25349,Tim Wilkinson,38,23,15
16,0,33448,Justin Thomas,40,6,34
17,0,27770,Camilo Villegas,44,24,20
18,0,34046,Jordan Spieth,47,26,21
19,0,27141,J.B. Holmes,49,12,37
20,0,29926,Danny Lee,53,26,27
21,0,27936,Martin Laird,54,15,39
22,0,28089,Jason Day,56,22,34
23,0,25240,D.A. Points,58,17,41
24,0,24461,Thomas Aiken,60,55,5
24,0,20157,Retief Goosen,60,8,52
26,0,24912,Will MacKenzie,61,33,28
26,0,23621,Rory Sabbatini,61,51,10
28,0,26596,Ryan Moore,62,49,13
29,0,27895,Jonas Blixt,66,38,28
30,0,24024,Zach Johnson,71,41,30
31,0,23108,Matt Kuchar,75,43,32
31,0,31420,Anirban Lahiri,75,49,26
33,0,20766,Padraig Harrington,77,31,46
33,0,33461,Morgan Hoffmann,77,36,41
33,0,28475,Jeff Overton,77,60,17
36,0,23541,Ben Crane,78,59,19
37,0,26758,David Hearn,79,31,48
38,0,29223,Sam Saunders,80,55,25
38,0,31560,Brian Stuard,80,62,18
40,0,10885,Robert Allenby,82,43,39
41,0,31416,Derek Fathauer,85,21,64
42,0,28237,Rory McIlroy,87,40,47
43,0,32839,Hideki Matsuyama,91,30,61
44,0,01810,Phil Mickelson,92,54,38
45,0,29478,Kevin Kisner,96,81,15
45,0,33204,Shane Lowry,96,39,57
47,0,33141,Keegan Bradley,97,17,80
47,0,24357,K.J. Choi,97,67,30
49,0,35879,Kelly Kraft,98,43,55
50,0,23353,J.J. Henry,102,70,32
51,0,32150,Michael Thompson,107,29,78
52,0,24781,Hunter Mahan,109,33,76
53,0,29268,Bronson Burgoon,110,20,90
53,0,25804,Bubba Watson,110,43,67
55,0,34099,Harris English,111,33,78
56,0,35539,Luke Guthrie,112,41,71
57,0,26476,Chez Reavie,113,72,41
58,0,29745,Tyler Aldridge,114,51,63
59,0,25818,Scott Piercy,116,43,73
60,0,25632,Jimmy Walker,118,94,24
61,0,30926,Chris Kirk,119,71,48
62,0,34409,David Lingmerth,122,74,48
63,0,26951,Johnson Wagner,127,79,48
64,0,22405,Justin Rose,129,55,74
65,0,22892,Jason Gore,131,64,67
66,0,39975,Michael Kim,133,68,65
67,0,37454,Whee Kim,139,87,52
68,0,27644,Brian Harman,140,99,41
69,0,27963,Chris Stroud,142,75,67
70,0,34174,John Huh,145,87,58
71,0,29479,Scott Brown,148,64,84
72,0,33667,Carlos Ortiz,150,25,125
72,0,36699,Patrick Rodgers,150,37,113
74,0,40026,Daniel Berger,151,93,58
75,0,06567,Vijay Singh,154,94,60
76,0,30944,Jason Kokrak,165,68,97
76,0,28158,Steve Marino,165,84,81
78,0,27649,Brandt Snedeker,168,81,87
79,0,27974,Sung Kang,170,85,85
80,0,24507,Jason Bohn,171,106,65
