RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SPIN SPEED,TOTAL ATTEMPTS
1,0,36801,Mark Hubbard,3179.2,257516,81
2,0,46440,Smylie Kaufman,2984.7,158191,53
3,0,21731,Freddie Jacobson,2963.3,177799,60
4,0,34360,Patrick Reed,2950.3,206519,70
5,0,37273,Derek Ernst,2921.2,105163,36
6,0,20645,John Senden,2920.8,134359,46
7,0,21209,Sergio Garcia,2910.3,43654,15
8,0,25396,Kevin Na,2886.3,164521,57
9,0,06527,Steve Stricker,2873.2,117801,41
10,0,32200,Roberto Castro,2867.0,223623,78
11,0,33413,Ben Martin,2860.0,211640,74
12,0,24490,George McNeill,2856.8,105701,37
13,0,23638,Brendon de Jonge,2840.4,161901,57
14,0,35539,Luke Guthrie,2822.3,104424,37
15,0,26300,Matt Jones,2816.3,101387,36
16,0,25572,Graeme McDowell,2814.2,123826,44
17,0,35451,Scott Pinckney,2812.0,179971,64
18,0,23983,Luke Donald,2811.1,148990,53
19,0,35300,Andrew Loupe,2809.0,168541,60
20,0,24924,Bill Haas,2803.1,154170,55
21,0,27747,Hiroshi Iwata,2792.8,181530,65
22,0,34431,Robert Streb,2777.5,172206,62
23,0,31202,William McGirt,2777.4,197195,71
24,0,25720,Chad Collins,2765.6,138281,50
25,0,27942,Rob Oppenheim,2763.7,116077,42
26,0,34262,Jon Curran,2763.1,215524,78
27,0,27064,Jhonattan Vegas,2746.7,173039,63
28,0,32640,Troy Merritt,2737.0,156009,57
29,0,22046,Geoff Ogilvy,2728.5,139153,51
30,0,28158,Steve Marino,2722.9,114363,42
31,0,26851,Marc Leishman,2722.0,163321,60
32,0,30711,Colt Knost,2721.6,187791,69
33,0,33399,Adam Hadwin,2719.8,228467,84
34,0,01810,Phil Mickelson,2709.4,108374,40
35,0,20104,Ken Duke,2701.1,137756,51
36,0,26331,Charl Schwartzel,2696.2,124025,46
37,0,21961,Charles Howell III,2690.2,177553,66
38,0,12716,Charley Hoffman,2686.3,185352,69
39,0,26758,David Hearn,2671.2,186986,70
40,0,20848,Ángel Cabrera,2669.3,109442,41
41,0,24846,Ricky Barnes,2659.4,186155,70
42,0,32618,Rhein Gibson,2656.4,90317,34
43,0,33419,Cameron Tringale,2656.2,154062,58
44,0,35532,Tom Hoge,2654.3,138026,52
45,0,35891,Cameron Smith,2652.7,108762,41
46,0,29222,Billy Hurley III,2651.3,114005,43
47,0,29461,Jamie Lovemark,2648.3,198625,75
48,0,28092,D.H. Lee,2637.4,105497,40
49,0,32102,Rickie Fowler,2637.0,131852,50
50,0,29725,Tony Finau,2632.7,179024,68
51,0,34265,Will Wilcox,2628.3,110387,42
52,0,32839,Hideki Matsuyama,2625.5,120775,46
53,0,36689,Brooks Koepka,2623.0,112789,43
54,0,32366,Kevin Chappell,2621.2,157272,60
55,0,24461,Thomas Aiken,2621.1,107467,41
56,0,27466,Spencer Levin,2615.6,222328,85
57,0,28679,Fabián Gómez,2613.8,159444,61
58,0,29289,S.Y. Noh,2610.6,172302,66
59,0,29720,Andres Gonzales,2610.5,130526,50
60,0,30925,Dustin Johnson,2610.0,138330,53
61,0,29974,Branden Grace,2608.9,80876,31
62,0,32150,Michael Thompson,2607.0,109493,42
63,0,27649,Brandt Snedeker,2606.6,143365,55
64,0,25274,Steven Bowditch,2605.1,104205,40
64,0,10809,Jim Furyk,2605.1,88575,34
66,0,45526,Abraham Ancer,2604.7,72932,28
67,0,27436,Graham DeLaet,2603.6,132786,51
68,0,27214,Kevin Streelman,2603.5,132777,51
69,0,24507,Jason Bohn,2592.4,85549,33
70,0,20691,Greg Owen,2591.9,158103,61
71,0,20098,Stuart Appleby,2586.1,149993,58
72,0,34264,Hudson Swafford,2585.8,157734,61
73,0,10213,Dicky Pride,2583.6,98177,38
74,0,29420,Billy Horschel,2582.8,134308,52
75,0,33204,Shane Lowry,2582.1,77464,30
76,0,28114,Dawie van der Walt,2581.0,121305,47
77,0,34409,David Lingmerth,2578.9,152153,59
78,0,33122,Russell Knox,2574.5,149320,58
79,0,22371,Aaron Baddeley,2573.2,144100,56
80,0,23108,Matt Kuchar,2567.4,195126,76
81,0,34098,Russell Henley,2566.7,148866,58
82,0,20572,Rod Pampling,2566.1,79549,31
83,0,33418,Shawn Stefani,2564.9,182111,71
84,0,22892,Jason Gore,2562.4,138371,54
85,0,24502,Adam Scott,2559.5,117737,46
