RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL APEX HEIGHT,TOTAL ATTEMPTS
1,0,27141,J.B. Holmes,130' 10",7982' 1",61
2,0,46440,Smylie Kaufman,129' 3",8530' 1",66
3,0,33448,Justin Thomas,126' 11",28' 11",79
4,0,29461,Jamie Lovemark,124' 10",9859',79
5,0,31323,Gary Woodland,124' 1",8065' 0",65
6,0,33141,Keegan Bradley,123' 7",7786' 1",63
7,0,32618,Rhein Gibson,123' 4",4932' 2",40
8,0,01810,Phil Mickelson,121' 7",6442' 2",53
9,0,32102,Rickie Fowler,120' 7",7232' 7",60
10,0,36699,Patrick Rodgers,120' 2",7568',63
11,0,34264,Hudson Swafford,119' 9",8262' 8",69
12,0,28089,Jason Day,119' 8",6342' 3",53
13,0,29420,Billy Horschel,119' 5",7285' 7",61
14,0,30925,Dustin Johnson,118' 6",7229' 8",61
15,0,26758,David Hearn,117' 1",417' 4",89
16,0,29485,Brett Stegmaier,116' 9",9571' 4",82
17,0,27129,Luke List,116' 7",7810' 9",67
18,0,32839,Hideki Matsuyama,116' 4",6513' 5",56
19,0,35300,Andrew Loupe,116' 3",7904' 6",68
20,0,33667,Carlos Ortiz,115' 3",7374',64
21,0,24924,Bill Haas,114' 6",6982',61
22,0,28237,Rory McIlroy,114' 1",5703' 6",50
23,0,20157,Retief Goosen,113' 11",6379' 3",56
24,0,32448,James Hahn,113' 6",7148' 0",63
25,0,29926,Danny Lee,113' 5",8281' 3",73
26,0,20766,Padraig Harrington,113' 0",4746',42
27,0,32366,Kevin Chappell,112' 11",7451' 5",66
28,0,24781,Hunter Mahan,112' 0",6274' 3",56
29,0,12716,Charley Hoffman,111' 10",8496' 9",76
29,0,36689,Brooks Koepka,111' 10",5927' 1",53
31,0,23320,Ryan Palmer,111' 9",8828' 4",79
31,0,25804,Bubba Watson,111' 9",4917' 1",44
33,0,33418,Shawn Stefani,111' 7",9262' 1",83
34,0,22405,Justin Rose,111' 1",4443' 7",40
35,0,25818,Scott Piercy,110' 7",6968' 1",63
36,0,27649,Brandt Snedeker,110' 6",7402' 5",67
37,0,33461,Morgan Hoffmann,110' 3",7053' 9",64
37,0,27747,Hiroshi Iwata,110' 3",7940' 4",72
39,0,29725,Tony Finau,110' 2",7932',72
40,0,35879,Kelly Kraft,109' 10",4612' 8",42
41,0,27936,Martin Laird,109' 1",6873' 0",63
42,0,23983,Luke Donald,109' 0",6756' 8",62
43,0,30944,Jason Kokrak,108' 11",7298' 2",67
44,0,33410,Andrew Landry,108' 10",2939' 1",27
45,0,32876,Martin Piller,108' 9",4893' 3",45
46,0,24140,Sean O'Hair,108' 5",7915',73
47,0,24461,Thomas Aiken,108' 3",4980' 1",46
48,0,29289,S.Y. Noh,108' 2",8005' 0",74
49,0,37189,Harold Varner III,108' 1",8428' 1",78
50,0,35451,Scott Pinckney,108' 0",7238' 2",67
51,0,34563,Chesson Hadley,107' 4",7941',74
51,0,27974,Sung Kang,107' 4",7298' 9",68
53,0,28158,Steve Marino,106' 6",5217',49
54,0,20848,Ángel Cabrera,106' 4",5315' 2",50
55,0,29223,Sam Saunders,106' 1",5411' 3",51
56,0,27436,Graham DeLaet,106' 0",6148' 9",58
57,0,34262,Jon Curran,105' 11",9529' 6",90
