RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (IN INCHES),ATTEMPTS
1,0,06573,Brandt Jobe,246.4,1304076.000,147
2,0,31557,Jim Herman,247.9,999440.000,112
3,0,24358,Robert Garrigus,249.4,1831280.000,204
4,0,22293,Heath Slocum,250.4,901362.000,100
5,0,01577,Lee Janzen,250.6,712685.000,79
6,0,22371,Aaron Baddeley,251.0,1382364.000,153
7,0,24138,Ian Poulter,251.1,560531.000,62
7,0,30946,Alex Prugh,251.1,1193374.000,132
7,0,06527,Steve Stricker,251.1,849871.000,94
7,0,31323,Gary Woodland,251.1,1636445.000,181
11,0,06567,Vijay Singh,251.3,1212053.000,134
12,0,10733,Kent Jones,251.7,770061.000,85
13,0,25345,Carl Pettersson,251.8,1541263.000,170
14,0,27141,J.B. Holmes,252.0,1215837.000,134
15,0,24357,K.J. Choi,252.2,817269.000,90
15,0,19846,Brian Gay,252.2,535570.000,59
17,0,11123,Chris Couch,252.3,1562202.000,172
17,0,25632,Jimmy Walker,252.3,1335064.000,147
19,0,23108,Matt Kuchar,252.5,1163424.000,128
20,0,25686,Jason Dufner,252.7,927792.000,102
20,0,27770,Camilo Villegas,252.7,918657.000,101
22,0,25900,Lucas Glover,252.8,1073733.000,118
23,0,24507,Jason Bohn,252.9,1101740.000,121
23,0,19970,Robert Karlsson,252.9,874156.000,96
25,0,08725,Tom Gillis,253.1,847376.000,93
25,0,28158,Steve Marino,253.1,1148211.000,126
25,0,26331,Charl Schwartzel,253.1,783660.000,86
28,0,27095,Nick Watney,253.3,1395232.000,153
29,0,30692,Scott Stallings,253.7,1141571.000,125
29,0,25804,Bubba Watson,253.7,1707598.000,187
31,0,29720,Andres Gonzales,253.8,676033.000,74
32,0,24490,George McNeill,254.0,1051408.000,115
32,0,21878,Mark Wilson,254.0,1024002.000,112
34,0,20229,Stewart Cink,254.2,878509.000,96
34,0,10809,Jim Furyk,254.2,915020.000,100
34,0,33413,Ben Martin,254.2,1107309.000,121
34,0,01797,Rocco Mediate,254.2,649843.000,71
38,0,35087,Bio Kim,254.3,1016053.000,111
39,0,26851,Marc Leishman,254.4,1520294.000,166
40,0,23983,Luke Donald,254.5,760374.000,83
41,0,24925,Jonathan Byrd,254.7,1457921.000,159
41,0,10860,Justin Leonard,254.7,861816.000,94
43,0,32698,Bobby Gates,254.8,1321082.000,144
43,0,30925,Dustin Johnson,254.8,1421823.000,155
43,0,30926,Chris Kirk,254.8,1283981.000,140
46,0,09011,David Duval,254.9,935882.000,102
46,0,08537,J.P. Hayes,254.9,734185.000,80
46,0,24024,Zach Johnson,254.9,935861.000,102
46,0,31202,William McGirt,254.9,1302848.000,142
50,0,28089,Jason Day,255.0,1285214.000,140
50,0,24924,Bill Haas,255.0,1606222.000,175
50,0,22378,Trevor Immelman,255.0,963809.000,105
50,0,26420,Richard Johnson,255.0,449800.000,49
50,0,08075,Jerry Kelly,255.0,816981.000,89
55,0,20098,Stuart Appleby,255.1,854236.000,93
55,0,25444,Justin Hicks,255.1,505046.000,55
55,0,27797,Derek Lamely,255.1,1138769.000,124
55,0,01706,Davis Love III,255.1,918334.000,100
59,0,21407,Arjun Atwal,255.2,1194325.000,130
59,0,27974,Sung Kang,255.2,946167.000,103
61,0,25572,Graeme McDowell,255.3,689241.000,75
62,0,06522,Ernie Els,255.4,1066669.000,116
62,0,27064,Jhonattan Vegas,255.4,1691598.000,184
64,0,06004,Stephen Ames,255.5,754327.000,82
64,0,12510,Chad Campbell,255.5,1351906.000,147
64,0,20160,Charlie Wi,255.5,1140664.000,124
67,0,20157,Retief Goosen,255.6,634816.000,69
68,0,24663,Y.E. Yang,255.7,736298.000,80
69,0,21805,Harrison Frazar,255.8,727598.000,79
69,0,20766,Padraig Harrington,255.8,764244.000,83
69,0,24140,Sean O'Hair,255.8,966745.000,105
69,0,27649,Brandt Snedeker,255.8,1086574.000,118
73,0,26758,David Hearn,255.9,985626.000,107
74,0,01810,Phil Mickelson,256.0,1373204.000,149
74,0,25818,Scott Piercy,256.0,1483646.000,161
76,0,29478,Kevin Kisner,256.1,756009.000,82
76,0,01948,Tim Petrovic,256.1,1143337.000,124
78,0,20848,Ángel Cabrera,256.2,811688.000,88
79,0,24502,Adam Scott,256.3,996384.000,108
80,0,29910,Blake Adams,256.6,1588762.000,172
81,0,31401,Zack Miller,256.7,1395182.000,151
82,0,24846,Ricky Barnes,256.8,1174293.000,127
82,0,33141,Keegan Bradley,256.8,1423801.000,154
84,0,21731,Freddie Jacobson,257.0,1063862.000,115
84,0,22405,Justin Rose,257.0,1276575.000,138
86,0,28486,Michael Putnam,257.1,971802.000,105
87,0,27466,Spencer Levin,257.2,1481339.000,160
87,0,26476,Chez Reavie,257.2,1435447.000,155
89,0,26881,Jarrod Lyle,257.3,1139355.000,123
89,0,26668,Marc Turnesa,257.3,518807.000,56
91,0,10885,Robert Allenby,257.4,1380842.000,149
92,0,23638,Brendon de Jonge,257.5,1409175.000,152
