RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST AFTER GFG SHOT,TOTAL GFG SHOTS
1,0,01706,Davis Love III,19.1,68668.000,100
2,0,12510,Chad Campbell,19.4,102457.000,147
3,0,06573,Brandt Jobe,20.3,107530.000,147
3,0,31323,Gary Woodland,20.3,132541.000,181
5,0,31401,Zack Miller,20.4,111022.000,151
6,0,11123,Chris Couch,20.5,127167.000,172
7,0,29221,Webb Simpson,20.6,135459.000,183
8,0,29518,Brendan Steele,20.7,112358.000,151
9,0,24490,George McNeill,20.8,86088.000,115
10,0,19970,Robert Karlsson,20.9,72380.000,96
11,0,20848,Ángel Cabrera,21.3,67523.000,88
12,0,32366,Kevin Chappell,21.6,105891.000,136
12,0,30692,Scott Stallings,21.6,97057.000,125
14,0,30946,Alex Prugh,21.7,103091.000,132
14,0,06567,Vijay Singh,21.7,104570.000,134
14,0,06527,Steve Stricker,21.7,73285.000,94
17,0,25686,Jason Dufner,21.9,80428.000,102
18,0,25818,Scott Piercy,22.0,127600.000,161
18,0,34072,Will Strickler,22.0,70504.000,89
20,0,24358,Robert Garrigus,22.1,162128.000,204
20,0,20645,John Senden,22.1,147163.000,185
20,0,27095,Nick Watney,22.1,121811.000,153
23,0,20229,Stewart Cink,22.3,77064.000,96
24,0,21805,Harrison Frazar,22.4,63719.000,79
24,0,12716,Charley Hoffman,22.4,170194.000,211
24,0,27963,Chris Stroud,22.4,117927.000,146
27,0,32102,Rickie Fowler,22.5,111004.000,137
27,0,31557,Jim Herman,22.5,90558.000,112
27,0,27933,John Merrick,22.5,87372.000,108
30,0,32698,Bobby Gates,22.6,116908.000,144
30,0,27120,Troy Matteson,22.6,139782.000,172
30,0,27330,Josh Teater,22.6,169958.000,209
30,0,23623,Bo Van Pelt,22.6,137711.000,169
34,0,22293,Heath Slocum,22.7,81833.000,100
34,0,25804,Bubba Watson,22.7,152564.000,187
36,0,24924,Bill Haas,22.8,143631.000,175
36,0,27974,Sung Kang,22.8,84372.000,103
36,0,28158,Steve Marino,22.8,103203.000,126
36,0,01810,Phil Mickelson,22.8,122248.000,149
36,0,27649,Brandt Snedeker,22.8,96669.000,118
36,0,30110,Kyle Stanley,22.8,160098.000,195
36,0,27214,Kevin Streelman,22.8,119723.000,146
43,0,27936,Martin Laird,22.9,130497.000,158
43,0,31202,William McGirt,22.9,117180.000,142
45,0,24925,Jonathan Byrd,23.0,131599.000,159
45,0,21731,Freddie Jacobson,23.0,95248.000,115
45,0,25345,Carl Pettersson,23.0,140720.000,170
45,0,31193,Jim Renner,23.0,84386.000,102
45,0,27770,Camilo Villegas,23.0,83672.000,101
50,0,33141,Keegan Bradley,23.1,128305.000,154
50,0,23638,Brendon de Jonge,23.1,126255.000,152
50,0,23353,J.J. Henry,23.1,141328.000,170
50,0,24138,Ian Poulter,23.1,51453.000,62
54,0,22913,John Rollins,23.2,127531.000,153
55,0,07867,Woody Austin,23.3,64517.000,77
55,0,24357,K.J. Choi,23.3,75414.000,90
55,0,09011,David Duval,23.3,85538.000,102
55,0,08725,Tom Gillis,23.3,77853.000,93
55,0,24980,Scott Gutschewski,23.3,89585.000,107
55,0,32876,Martin Piller,23.3,70472.000,84
61,0,06522,Ernie Els,23.4,97593.000,116
61,0,22378,Trevor Immelman,23.4,88539.000,105
61,0,08075,Jerry Kelly,23.4,75094.000,89
61,0,23548,Bill Lunde,23.4,133026.000,158
61,0,33413,Ben Martin,23.4,101808.000,121
61,0,26287,Roland Thatcher,23.4,89988.000,107
67,0,28089,Jason Day,23.5,118445.000,140
67,0,26300,Matt Jones,23.5,114911.000,136
67,0,26331,Charl Schwartzel,23.5,72691.000,86
67,0,26289,Boo Weekley,23.5,120831.000,143
71,0,27141,J.B. Holmes,23.6,113761.000,134
71,0,24781,Hunter Mahan,23.6,139457.000,164
71,0,24502,Adam Scott,23.6,91847.000,108
74,0,28087,Kris Blanks,23.7,116243.000,136
74,0,23983,Luke Donald,23.7,70693.000,83
74,0,20157,Retief Goosen,23.7,58778.000,69
74,0,25457,Alexandre Rocha,23.7,65820.000,77
74,0,24663,Y.E. Yang,23.7,68368.000,80
79,0,25562,Andres Romero,23.8,134661.000,157
80,0,25396,Kevin Na,24.0,112226.000,130
80,0,01948,Tim Petrovic,24.0,107147.000,124
80,0,12602,Dean Wilson,24.0,63878.000,74
83,0,26758,David Hearn,24.1,92828.000,107
83,0,21961,Charles Howell III,24.1,158023.000,182
83,0,22405,Justin Rose,24.1,119557.000,138
83,0,26679,Kevin Stadler,24.1,137084.000,158
87,0,06004,Stephen Ames,24.2,71367.000,82
87,0,23673,Michael Connell,24.2,81166.000,93
87,0,06515,Shaun Micheel,24.2,76821.000,88
87,0,25240,D.A. Points,24.2,129050.000,148
91,0,10505,Shane Bertsch,24.3,63937.000,73
91,0,20070,Matt Bettencourt,24.3,137340.000,157
91,0,10860,Justin Leonard,24.3,82349.000,94
91,0,21949,Joe Ogilvie,24.3,88533.000,101
91,0,26476,Chez Reavie,24.3,135678.000,155
91,0,33419,Cameron Tringale,24.3,179868.000,206
97,0,24290,D.J. Brigman,24.4,81852.000,93
97,0,26851,Marc Leishman,24.4,145769.000,166
97,0,26881,Jarrod Lyle,24.4,107975.000,123
97,0,10585,Scott McCarron,24.4,93240.000,106
101,0,22371,Aaron Baddeley,24.5,135012.000,153
101,0,10733,Kent Jones,24.5,74854.000,85
101,0,23621,Rory Sabbatini,24.5,112682.000,128
101,0,26668,Marc Turnesa,24.5,49451.000,56
101,0,27064,Jhonattan Vegas,24.5,162241.000,184
106,0,23718,Nathan Green,24.6,107114.000,121
106,0,27797,Derek Lamely,24.6,109804.000,124
106,0,23800,Bryce Molder,24.6,83308.000,94
109,0,27939,Matt McQuillan,24.7,61315.000,69
110,0,29910,Blake Adams,24.8,153315.000,172
110,0,30750,Tommy Gainey,24.8,164294.000,184
110,0,21209,Sergio Garcia,24.8,99899.000,112
110,0,06643,Paul Goydos,24.8,66075.000,74
110,0,35087,Bio Kim,24.8,98920.000,111
115,0,06621,Joe Durant,24.9,84366.000,94
115,0,25900,Lucas Glover,24.9,105649.000,118
115,0,08537,J.P. Hayes,24.9,71600.000,80
115,0,29718,Anthony Kim,24.9,109460.000,122
115,0,25632,Jimmy Walker,24.9,132005.000,147
115,0,21878,Mark Wilson,24.9,100353.000,112
121,0,10885,Robert Allenby,25.0,134001.000,149
121,0,28679,Fabián Gómez,25.0,112332.000,125
123,0,32150,Michael Thompson,25.1,99474.000,110
124,0,10809,Jim Furyk,25.2,90828.000,100
124,0,27466,Spencer Levin,25.2,145009.000,160
124,0,22961,David Mathis,25.2,79057.000,87
124,0,32640,Troy Merritt,25.2,93412.000,103
124,0,23320,Ryan Palmer,25.2,135895.000,150
129,0,25274,Steven Bowditch,25.3,175026.000,192
130,0,23108,Matt Kuchar,25.4,116939.000,128
130,0,20572,Rod Pampling,25.4,110673.000,121
132,0,24846,Ricky Barnes,25.5,116733.000,127
132,0,21753,Brian Davis,25.5,155104.000,169
132,0,23788,D.J. Trahan,25.5,180882.000,197
135,0,26596,Ryan Moore,25.6,125403.000,136
136,0,21407,Arjun Atwal,25.7,120180.000,130
136,0,12782,Tim Herron,25.7,115609.000,125
138,0,34255,Joseph Bramlett,25.8,123699.000,133
138,0,23541,Ben Crane,25.8,99510.000,107
138,0,30711,Colt Knost,25.8,73400.000,79
141,0,20593,Greg Chalmers,25.9,103369.000,111
142,0,20498,Briny Baird,26.0,66537.000,71
142,0,23409,James Driscoll,26.0,128407.000,137
144,0,30925,Dustin Johnson,26.1,145539.000,155
144,0,20127,Chris Riley,26.1,80701.000,86
146,0,24507,Jason Bohn,26.3,114557.000,121
146,0,01116,Michael Bradley,26.3,85157.000,90
146,0,21350,Ryuji Imada,26.3,118131.000,125
146,0,29478,Kevin Kisner,26.3,77570.000,82
150,0,20098,Stuart Appleby,26.4,88462.000,93
150,0,23614,Rich Beem,26.4,72342.000,76
152,0,12652,Cameron Beckman,26.5,103860.000,109
153,0,06251,Chris DiMarco,26.6,103303.000,108
153,0,24604,Hunter Haas,26.6,160746.000,168
155,0,29720,Andres Gonzales,26.7,71050.000,74
155,0,24361,Pat Perez,26.7,130704.000,136
157,0,19846,Brian Gay,26.8,57004.000,59
157,0,01766,Billy Mayfair,26.8,155613.000,161
159,0,02206,David Toms,26.9,83372.000,86
160,0,07457,Steve Flesch,27.0,107998.000,111
160,0,25572,Graeme McDowell,27.0,72888.000,75
160,0,33911,Nate Smith,27.0,57261.000,59
163,0,20766,Padraig Harrington,27.1,80964.000,83
163,0,24024,Zach Johnson,27.1,99639.000,102
163,0,24140,Sean O'Hair,27.1,102353.000,105
163,0,20160,Charlie Wi,27.1,121103.000,124
167,0,23497,Tag Ridings,27.2,170290.000,174
168,0,20472,Alex Cejka,27.6,77412.000,78
168,0,28475,Jeff Overton,27.6,167701.000,169
170,0,30926,Chris Kirk,27.7,139849.000,140
170,0,28486,Michael Putnam,27.7,104596.000,105
170,0,26951,Johnson Wagner,27.7,97565.000,98
173,0,28620,Aron Price,28.1,71783.000,71
173,0,25834,Daniel Summerhays,28.1,107377.000,106
175,0,29420,Billy Horschel,28.2,118697.000,117
175,0,01577,Lee Janzen,28.2,80108.000,79
177,0,25444,Justin Hicks,28.3,56012.000,55
178,0,01313,Steve Elkington,28.4,74538.000,73
178,0,23325,Vaughn Taylor,28.4,130780.000,128
180,0,26420,Richard Johnson,28.9,51040.000,49
180,0,22348,Nick O'Hern,28.9,93703.000,90
182,0,22046,Geoff Ogilvy,29.0,92987.000,89
183,0,08375,Paul Stankowski,29.1,117416.000,112
184,0,22621,Ben Curtis,29.5,83807.000,79
185,0,20436,Garrett Willis,29.8,113903.000,106
186,0,01797,Rocco Mediate,32.1,82067.000,71
