RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES
1,0,01837,Gil Morgan,73.33,660,900
2,0,01690,Bruce Lietzke,72.87,905,1242
3,0,02170,Hal Sutton,71.91,1165,1620
4,0,01682,Wayne Levi,71.42,1067,1494
5,0,01725,John Mahaffey,71.31,1322,1854
6,0,01958,Dan Pohl,71.30,1232,1728
7,0,01996,Mike Reid,71.27,1270,1782
8,0,02100,Tim Simpson,71.01,1406,1980
9,0,01783,Mark McCumber,70.71,1311,1854
10,0,01060,Dave Barr,70.51,1193,1692
11,0,02256,Tom Watson,70.48,850,1206
12,0,01226,Fred Couples,70.39,1153,1638
13,0,01203,Russ Cochran,70.30,1392,1980
13,0,01457,Jay Haas,70.30,1316,1872
15,0,02159,Curtis Strange,70.18,1238,1764
16,0,01887,Mark O'Meara,70.11,1098,1566
17,0,01156,Curt Byrum,70.07,1400,1998
18,0,01945,Kenny Perry,70.06,971,1386
19,0,01306,David Edwards,69.87,830,1188
20,0,01042,Paul Azinger,69.65,1191,1710
21,0,02241,Bobby Wadkins,69.28,1272,1836
22,0,01935,Calvin Peete,69.18,797,1152
23,0,01527,Scott Hoch,69.13,1207,1746
24,0,01418,Bill Glasson,69.08,1144,1656
24,0,02190,Doug Tewell,69.08,945,1368
26,0,02322,Richard Zokol,69.07,746,1080
27,0,01777,John McComish,69.05,870,1260
28,0,01201,Lennie Clements,68.73,965,1404
29,0,02087,Don Shirey Jr.,68.58,1037,1512
30,0,02023,Clarence Rose,68.57,1407,2052
31,0,02180,Harry Taylor,68.52,999,1458
32,0,01884,Mac O'Grady,68.33,1070,1566
33,0,01723,Andrew Magee,68.32,1156,1692
34,0,01206,Bobby Cole,68.27,1192,1746
34,0,01549,Mike Hulbert,68.27,1401,2052
36,0,01926,Steve Pate,68.25,1425,2088
36,0,02242,Lanny Wadkins,68.25,1032,1512
38,0,01475,Donnie Hammond,68.24,1044,1530
39,0,01975,Tom Purtzer,68.22,1142,1674
40,0,01235,Ben Crenshaw,68.21,1019,1494
41,0,01288,Ed Dougherty,68.19,1031,1512
42,0,02101,Joey Sindelar,68.14,1386,2034
43,0,01093,Ronnie Black,68.06,1176,1728
44,0,02246,Duffy Waldorf,68.01,1114,1638
45,0,01305,Danny Edwards,67.97,942,1386
45,0,01378,David Frost,67.97,1199,1764
47,0,01797,Rocco Mediate,67.92,1137,1674
48,0,02225,Howard Twitty,67.91,1149,1692
49,0,01715,Mark Lye,67.90,1271,1872
50,0,02133,Craig Stadler,67.76,927,1368
51,0,01633,Tom Kite,67.72,1097,1620
52,0,01469,Dan Halldorson,67.69,1060,1566
53,0,02321,Fuzzy Zoeller,67.67,877,1296
54,0,01569,Peter Jacobsen,67.66,1023,1512
54,0,02196,Robert Thompson,67.66,889,1314
56,0,01157,Tom Byrum,67.57,1265,1872
57,0,01346,Ed Fiori,67.56,1058,1566
58,0,01200,Keith Clearwater,67.51,1434,2124
59,0,02033,Dave Rummells,67.47,1336,1980
60,0,01823,Larry Mize,67.43,971,1440
61,0,01998,Jack Renner,67.35,1079,1602
62,0,01168,David Canipe,67.33,1018,1512
62,0,01876,Greg Norman,67.33,812,1206
62,0,02094,Tony Sills,67.33,1115,1656
65,0,01303,Bob Eastwood,67.32,1127,1674
66,0,01390,Buddy Gardner,67.28,1308,1944
66,0,01755,Dick Mast,67.28,1199,1782
68,0,02126,Bruce Soulsby,67.18,1040,1548
69,0,01192,T.C. Chen,67.09,640,954
70,0,01135,Ken Brown,67.02,760,1134
71,0,01891,David Ogrin,66.97,1109,1656
72,0,01499,Mark Hayes,66.88,1252,1872
73,0,02195,Leonard Thompson,66.83,1227,1836
74,0,02099,Scott Simpson,66.79,1082,1620
75,0,01361,Dan Forsman,66.76,1454,2178
76,0,01072,Chip Beck,66.73,1105,1656
77,0,01706,Davis Love III,66.60,1019,1530
78,0,01313,Steve Elkington,66.56,1210,1818
79,0,01355,Raymond Floyd,66.50,778,1170
80,0,01877,Tim Norris,66.49,1101,1656
81,0,01771,Blaine McCallister,66.46,1268,1908
81,0,02104,Jeff Sluman,66.46,1292,1944
83,0,01846,Jodie Mudd,66.44,1160,1746
84,0,01960,Don Pooley,66.43,1100,1656
85,0,01150,George Burns,66.39,1219,1836
86,0,01444,Ken Green,66.37,1111,1674
86,0,02255,Denis Watson,66.37,1123,1692
88,0,01717,Sandy Lyle,66.35,633,954
89,0,01701,Bob Lohr,66.29,1229,1854
90,0,02010,Loren Roberts,66.26,978,1476
91,0,02111,Mike Smith,66.22,882,1332
92,0,01161,Mark Calcavecchia,66.17,1060,1602
93,0,01098,Jay Don Blake,66.15,1155,1746
93,0,02146,Payne Stewart,66.15,1155,1746
95,0,02049,Gene Sauers,66.13,1238,1872
96,0,01952,Billy Pierot,66.08,678,1026
97,0,01068,Andy Bean,65.96,653,990
97,0,01282,Trevor Dodds,65.96,938,1422
99,0,02118,J.C. Snead,65.90,1032,1566
100,0,01219,John Cook,65.82,1161,1764
101,0,01666,Bernhard Langer,65.80,687,1044
102,0,01129,Bill Britton,65.79,971,1476
103,0,01864,Larry Nelson,65.74,852,1296
104,0,01278,Andy Dillard,65.64,957,1458
105,0,01559,Hale Irwin,65.56,826,1260
106,0,01061,Ray Barr Jr.,65.54,932,1422
107,0,01261,Jay Delsing,65.51,1132,1728
107,0,01968,Nick Price,65.51,967,1476
107,0,02067,Ted Schulz,65.51,849,1296
110,0,01928,Corey Pavin,65.48,990,1512
110,0,02016,Bill Rogers,65.48,884,1350
112,0,01006,John Adams,65.46,1143,1746
113,0,01468,Gary Hallberg,65.43,1107,1692
114,0,01736,Roger Maltbie,65.41,989,1512
114,0,01782,Mike McCullough,65.41,836,1278
116,0,02160,Ron Streck,65.39,1130,1728
117,0,01599,Steve Jones,65.34,1082,1656
118,0,01943,Chris Perry,65.33,1176,1800
119,0,02303,Robert Wrenn,65.28,893,1368
120,0,02007,Larry Rinker,65.25,1104,1692
121,0,02223,Bob Tway,65.09,1031,1584
122,0,01175,Jim Carter,65.08,1148,1764
123,0,02239,Scott Verplank,65.03,995,1530
124,0,01892,Aki Ohmachi,64.96,912,1404
125,0,01984,Sam Randolph,64.81,910,1404
126,0,02267,D.A. Weibring,64.75,1014,1566
127,0,02229,Brett Upper,64.68,943,1458
128,0,01179,Antonio Cerda,64.65,1059,1638
129,0,02167,Mike Sullivan,64.64,989,1530
130,0,01648,Billy Kratzert,64.60,1000,1548
131,0,01571,Barry Jaeckel,64.51,1138,1764
132,0,01938,David Peoples,64.40,823,1278
133,0,01329,Brad Faxon,64.29,1053,1638
134,0,01096,Phil Blackmar,64.28,1157,1800
135,0,01871,Mike Nicolette,64.05,588,918
136,0,01197,Bobby Clampett,63.96,944,1476
137,0,01392,Tom Garner,63.89,920,1440
138,0,01214,Frank Conner,63.79,620,972
139,0,02294,Willie Wood,63.69,1112,1746
140,0,01310,Dave Eichelberger,63.68,1089,1710
141,0,01196,Brian Claar,63.65,1180,1854
142,0,01522,Lon Hinkle,63.64,779,1224
143,0,01878,Andy North,63.61,687,1080
144,0,02279,Mark Wiebe,63.53,1315,2070
145,0,01103,Charles Bolling,63.51,1166,1836
145,0,01385,Jim Gallagher Jr.,63.51,1166,1836
147,0,01414,Bob Gilder,63.48,1154,1818
148,0,02041,Bill Sander,63.47,1051,1656
149,0,01248,Rick Dalpos,63.43,1039,1638
150,0,01284,Mike Donald,63.34,1277,2016
151,0,01557,John Inman,63.31,1037,1638
152,0,01641,Gary Koch,63.22,808,1278
153,0,01037,Dewey Arnette,63.11,727,1152
153,0,02148,Ray Stewart,63.11,977,1548
155,0,01448,Tony Grimes,63.05,715,1134
156,0,01501,Vance Heafner,63.01,930,1476
157,0,01436,David Graham,62.78,678,1080
158,0,01851,Bob Murphy,62.75,881,1404
159,0,01446,Brad Greer,62.52,844,1350
160,0,01687,Jeff Lewis,62.46,697,1116
161,0,02201,Jim Thorpe,62.45,652,1044
162,0,01323,Brad Fabel,62.40,820,1314
163,0,02098,Jim Simons,62.22,616,990
164,0,02244,Fred Wadsworth,62.07,1162,1872
165,0,01077,Mike Bender,62.03,882,1422
166,0,01639,Kenny Knox,61.99,1205,1944
167,0,02090,Tom Sieckmann,61.91,1003,1620
168,0,01132,Mark Brooks,61.89,1036,1674
169,0,01949,Mark Pfeil,61.74,589,954
170,0,01654,Gary Krueger,61.58,787,1278
171,0,01425,Ernie Gonzalez,61.43,1161,1890
172,0,01790,Pat McGowan,61.42,995,1620
173,0,02002,John Riegger,61.11,616,1008
174,0,01162,Rex Caldwell,60.93,691,1134
175,0,01039,Perry Arthur,60.66,808,1332
175,0,01331,Rick Fehr,60.66,677,1116
177,0,01443,Hubert Green,60.56,774,1278
178,0,01861,Jim Nelford,60.34,858,1422
179,0,01526,David Hobby,60.27,716,1188
180,0,01513,Denny Hepler,60.22,607,1008
181,0,02287,Jim Wilson,60.13,671,1116
182,0,01584,Doug Johnson,60.05,789,1314
183,0,01495,Morris Hatalsky,59.97,842,1404
184,0,01534,John Horne,59.38,652,1098
185,0,02152,Dave Stockton,59.33,598,1008
186,0,01593,Philip Jonas,56.48,610,1080
187,0,01676,Ted Lehmann,55.03,634,1152
188,0,01095,Woody Blackburn,54.04,535,990
