RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST AFTER GFG SHOT,TOTAL GFG SHOTS
1,0,08845,Scott Sterling,20.7,65562.000,88
2,0,25364,Paul Casey,21.0,48495.000,64
3,0,06522,Ernie Els,21.1,41072.000,54
3,0,06567,Vijay Singh,21.1,109628.000,144
5,0,24781,Hunter Mahan,21.6,103342.000,133
6,0,20623,Gavin Coles,21.9,26836.000,34
6,0,06012,Greg Kraft,21.9,37857.000,48
8,0,01945,Kenny Perry,22.0,139445.000,176
9,0,27141,J.B. Holmes,22.1,142178.000,179
10,0,25804,Bubba Watson,22.2,170671.000,214
11,0,27936,Martin Laird,22.3,155001.000,193
11,0,01706,Davis Love III,22.3,108432.000,135
11,0,27770,Camilo Villegas,22.3,103539.000,129
14,0,06573,Brandt Jobe,22.4,69342.000,86
15,0,26420,Richard Johnson,22.5,45453.000,56
16,0,10809,Jim Furyk,22.6,87735.000,108
16,0,25562,Andres Romero,22.6,88614.000,109
18,0,06004,Stephen Ames,22.7,71147.000,87
18,0,24361,Pat Perez,22.7,143122.000,175
20,0,24358,Robert Garrigus,22.8,207910.000,253
21,0,20229,Stewart Cink,22.9,111911.000,136
21,0,01677,Tom Lehman,22.9,50298.000,61
23,0,27561,Nick Flanagan,23.0,138804.000,168
23,0,22378,Trevor Immelman,23.0,52212.000,63
23,0,24490,George McNeill,23.0,149843.000,181
26,0,22892,Jason Gore,23.2,146960.000,176
26,0,29718,Anthony Kim,23.2,112584.000,135
26,0,02002,John Riegger,23.2,92843.000,111
26,0,24502,Adam Scott,23.2,70162.000,84
26,0,19913,Ron Whittaker,23.2,32538.000,39
31,0,01226,Fred Couples,23.3,96581.000,115
31,0,09011,David Duval,23.3,56258.000,67
31,0,07547,Craig Kanada,23.3,43562.000,52
31,0,23621,Rory Sabbatini,23.3,101570.000,121
35,0,20645,John Senden,23.4,120532.000,143
36,0,23778,Brad Adamonis,23.6,126390.000,149
36,0,10649,Tom Scherrer,23.6,58628.000,69
36,0,27214,Kevin Streelman,23.6,172662.000,203
36,0,23623,Bo Van Pelt,23.6,152752.000,180
40,0,19803,Ryan Armour,23.7,95704.000,112
40,0,01142,Bart Bryant,23.7,57133.000,67
40,0,11032,Frank Lickliter II,23.7,152722.000,179
40,0,07749,Brett Quigley,23.7,113325.000,133
44,0,10885,Robert Allenby,23.8,155215.000,181
44,0,23540,Jason Allred,23.8,89114.000,104
44,0,24924,Bill Haas,23.8,173230.000,202
44,0,21949,Joe Ogilvie,23.8,138719.000,162
48,0,24140,Sean O'Hair,23.9,105948.000,123
49,0,24227,Justin Bolli,24.0,93264.000,108
49,0,19846,Brian Gay,24.0,61289.000,71
49,0,01473,Todd Hamilton,24.0,88040.000,102
52,0,06034,Marco Dawson,24.1,64260.000,74
52,0,21209,Sergio Garcia,24.1,103083.000,119
52,0,01810,Phil Mickelson,24.1,124721.000,144
55,0,22371,Aaron Baddeley,24.2,115160.000,132
55,0,26500,Alejandro Cañizares,24.2,58314.000,67
55,0,27120,Troy Matteson,24.2,167240.000,192
55,0,20663,Brenden Pappas,24.2,95781.000,110
55,0,12309,Bob Sowards,24.2,85233.000,98
55,0,06595,Kevin Sutherland,24.2,148837.000,171
55,0,23788,D.J. Trahan,24.2,150575.000,173
62,0,24663,Y.E. Yang,24.3,133764.000,153
63,0,22621,Ben Curtis,24.4,80879.000,92
63,0,06090,Jim McGovern,24.4,59824.000,68
65,0,26679,Kevin Stadler,24.5,133962.000,152
65,0,28780,Nicholas Thompson,24.5,192615.000,218
67,0,07867,Woody Austin,24.6,149865.000,169
67,0,20766,Padraig Harrington,24.6,54857.000,62
67,0,21961,Charles Howell III,24.6,170900.000,193
70,0,23135,Tim Clark,24.7,65750.000,74
70,0,10733,Kent Jones,24.7,79053.000,89
70,0,23320,Ryan Palmer,24.7,103088.000,116
70,0,27649,Brandt Snedeker,24.7,85350.000,96
74,0,01024,Billy Andrade,24.8,69719.000,78
74,0,20498,Briny Baird,24.8,121524.000,136
74,0,12716,Charley Hoffman,24.8,176433.000,198
74,0,26695,Michael Letzig,24.8,136626.000,153
74,0,27933,John Merrick,24.8,132853.000,149
79,0,12510,Chad Campbell,24.9,119007.000,133
79,0,20378,Mathias Grönberg,24.9,159632.000,178
81,0,24357,K.J. Choi,25.0,79235.000,88
81,0,20105,Jeff Gove,25.0,54988.000,61
81,0,23108,Matt Kuchar,25.0,69386.000,77
81,0,24912,Will MacKenzie,25.0,85469.000,95
81,0,06527,Steve Stricker,25.0,71902.000,80
86,0,01035,Tommy Armour III,25.1,64974.000,72
86,0,23409,James Driscoll,25.1,156300.000,173
86,0,21731,Freddie Jacobson,25.1,74976.000,83
86,0,02206,David Toms,25.1,77592.000,86
90,0,12823,Carlos Franco,25.2,104154.000,115
90,0,25900,Lucas Glover,25.2,145976.000,161
90,0,22913,John Rollins,25.2,133216.000,147
93,0,21753,Brian Davis,25.3,132951.000,146
