RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR 5 BIRDIES OR BETTER,PAR 5 HOLES
1,0,01810,Phil Mickelson,55.56,120,216
2,0,08793,Tiger Woods,51.70,91,176
3,0,24502,Adam Scott,51.44,107,208
4,0,01161,Mark Calcavecchia,49.65,141,284
5,0,25804,Bubba Watson,49.62,131,264
6,0,24925,Jonathan Byrd,49.34,113,229
7,0,24924,Bill Haas,49.00,147,300
8,0,24507,Jason Bohn,48.59,86,177
9,0,22371,Aaron Baddeley,48.13,116,241
10,0,24361,Pat Perez,47.81,109,228
11,0,01249,John Daly,47.54,87,183
12,0,21209,Sergio Garcia,47.40,91,192
13,0,23718,Nathan Green,46.88,150,320
14,0,10885,Robert Allenby,46.77,123,263
15,0,22405,Justin Rose,46.63,76,163
16,0,29718,Anthony Kim,46.59,130,279
17,0,23614,Rich Beem,46.57,129,277
18,0,06567,Vijay Singh,46.44,137,295
19,0,27095,Nick Watney,46.21,128,277
20,0,25345,Carl Pettersson,46.06,158,343
21,0,20645,John Senden,45.93,141,307
22,0,23325,Vaughn Taylor,45.91,129,281
23,0,23349,Charles Warren,45.85,149,325
24,0,06522,Ernie Els,45.83,77,168
24,0,20572,Rod Pampling,45.83,121,264
26,0,06595,Kevin Sutherland,45.82,126,275
27,0,19824,Craig Barlow,45.81,82,179
28,0,28158,Steve Marino,45.77,157,343
29,0,24357,K.J. Choi,45.70,117,256
30,0,20472,Alex Cejka,45.38,118,260
31,0,12660,Jesper Parnevik,45.26,129,285
32,0,23353,J.J. Henry,45.02,113,251
33,0,20160,Charlie Wi,44.78,133,297
34,0,23623,Bo Van Pelt,44.62,141,316
35,0,25396,Kevin Na,44.57,123,276
36,0,27120,Troy Matteson,44.44,120,270
36,0,28475,Jeff Overton,44.44,88,198
38,0,21961,Charles Howell III,44.36,118,266
39,0,25900,Lucas Glover,44.24,142,321
40,0,12716,Charley Hoffman,44.16,140,317
41,0,10809,Jim Furyk,44.13,109,247
42,0,27141,J.B. Holmes,44.10,101,229
43,0,23322,Brett Wetterich,44.06,115,261
44,0,24781,Hunter Mahan,43.89,115,262
45,0,22295,Darron Stiles,43.75,91,208
46,0,20498,Briny Baird,43.63,161,369
47,0,26951,Johnson Wagner,43.34,140,323
48,0,23788,D.J. Trahan,43.13,135,313
49,0,20378,Mathias Grönberg,42.99,135,314
50,0,01707,Steve Lowery,42.97,107,249
51,0,21949,Joe Ogilvie,42.95,137,319
52,0,24140,Sean O'Hair,42.90,130,303
53,0,23497,Tag Ridings,42.86,78,182
54,0,12652,Cameron Beckman,42.77,136,318
55,0,01024,Billy Andrade,42.71,126,295
56,0,01766,Billy Mayfair,42.57,126,296
57,0,01948,Tim Petrovic,42.55,140,329
58,0,08375,Paul Stankowski,42.53,74,174
59,0,12195,Tom Johnson,42.51,105,247
60,0,24980,Scott Gutschewski,42.20,92,218
61,0,27933,John Merrick,42.18,124,294
62,0,01945,Kenny Perry,42.13,107,254
63,0,01941,Tom Pernice Jr.,42.11,136,323
64,0,01706,Davis Love III,42.05,82,195
65,0,20850,Daniel Chopra,42.02,150,357
66,0,23638,Brendon de Jonge,42.00,105,250
67,0,08075,Jerry Kelly,41.84,123,294
68,0,06527,Steve Stricker,41.81,97,232
69,0,01142,Bart Bryant,41.73,116,278
70,0,25892,Steve Wheatcroft,41.70,103,247
71,0,26596,Ryan Moore,41.69,123,295
71,0,22913,John Rollins,41.69,128,307
73,0,06197,Michael Allen,41.67,100,240
74,0,23613,Rich Barcelo,41.60,109,262
75,0,10733,Kent Jones,41.59,136,327
76,0,21350,Ryuji Imada,41.42,140,338
77,0,21805,Harrison Frazar,41.40,118,285
77,0,22892,Jason Gore,41.40,118,285
79,0,21959,Ted Purdy,41.14,137,333
80,0,07363,Craig Bowden,41.13,109,265
81,0,27702,Matt Hendrix,41.04,87,212
82,0,27649,Brandt Snedeker,41.03,128,312
82,0,12714,Chris Tidland,41.03,80,195
84,0,28486,Michael Putnam,40.94,122,298
85,0,20574,Mathew Goggin,40.91,126,308
86,0,24358,Robert Garrigus,40.89,128,313
87,0,22293,Heath Slocum,40.86,123,301
88,0,20229,Stewart Cink,40.84,107,262
89,0,27060,John Mallinger,40.78,126,309
90,0,24912,Will MacKenzie,40.71,127,312
90,0,22046,Geoff Ogilvy,40.71,92,226
92,0,08537,J.P. Hayes,40.48,119,294
93,0,23108,Matt Kuchar,40.37,109,270
94,0,23320,Ryan Palmer,40.33,121,300
94,0,24138,Ian Poulter,40.33,73,181
96,0,21660,Jason Schultz,40.29,83,206
97,0,25273,Andrew Buckle,40.09,93,232
97,0,21731,Freddie Jacobson,40.09,89,222
99,0,01313,Steve Elkington,40.07,109,272
99,0,01320,Bob Estes,40.07,111,277
101,0,20098,Stuart Appleby,40.00,88,220
101,0,12782,Tim Herron,40.00,116,290
101,0,26679,Kevin Stadler,40.00,126,315
104,0,26881,Jarrod Lyle,39.84,98,246
105,0,21806,Paul Gow,39.74,91,229
