RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:APP,MEASURED ROUNDS
1,0,50525,Collin Morikawa,1.170,77.191,66
2,0,25364,Paul Casey,.895,51.920,58
3,0,33448,Justin Thomas,.887,60.283,68
4,0,33141,Keegan Bradley,.856,66.749,78
5,0,40026,Daniel Berger,.834,60.915,73
6,0,34098,Russell Henley,.831,64.800,78
7,0,47483,Will Zalatoris,.751,51.035,68
8,0,46970,Jon Rahm,.717,45.885,64
9,0,39997,Corey Conners,.698,58.661,84
9,0,22056,Cameron Percy,.698,41.854,60
11,0,36871,Matthew NeSmith,.683,54.653,80
12,0,31646,Emiliano Grillo,.669,46.139,69
13,0,34363,Tyrrell Hatton,.651,30.610,47
14,0,48081,Xander Schauffele,.650,40.951,63
15,0,46717,Viktor Hovland,.648,45.336,70
16,0,12716,Charley Hoffman,.646,51.064,79
17,0,32839,Hideki Matsuyama,.614,51.539,84
18,0,30110,Kyle Stanley,.550,40.673,74
19,0,33204,Shane Lowry,.543,34.182,63
20,0,33122,Russell Knox,.522,41.743,80
21,0,52375,Doug Ghim,.516,37.123,72
22,0,26476,Chez Reavie,.505,35.845,71
23,0,45526,Abraham Ancer,.499,40.441,81
24,0,35450,Patrick Cantlay,.486,33.048,68
25,0,36689,Brooks Koepka,.482,25.050,52
26,0,37189,Harold Varner III,.470,37.123,79
27,0,30163,Henrik Norlander,.468,35.108,75
28,0,29725,Tony Finau,.461,33.200,72
29,0,26329,Louis Oosthuizen,.459,27.567,60
30,0,47504,Sam Burns,.458,33.439,73
31,0,48887,Matt Wallace,.443,16.819,38
32,0,46402,Talor Gooch,.435,36.134,83
33,0,27214,Kevin Streelman,.418,35.116,84
34,0,20229,Stewart Cink,.417,32.499,78
35,0,28237,Rory McIlroy,.403,25.411,63
36,0,48045,Michael Gellerman,.399,12.365,31
37,0,35310,Lanto Griffin,.394,31.554,80
38,0,28252,Seamus Power,.393,16.521,42
38,0,29221,Webb Simpson,.393,23.977,61
40,0,39977,Max Homa,.372,24.930,67
41,0,34046,Jordan Spieth,.365,27.013,74
42,0,33419,Cameron Tringale,.363,29.771,82
43,0,23983,Luke Donald,.362,16.291,45
44,0,49964,Aaron Wise,.357,24.977,70
45,0,24502,Adam Scott,.356,20.980,59
46,0,30692,Scott Stallings,.353,23.973,68
47,0,56278,Matthew Wolff,.342,17.425,51
48,0,49766,Hank Lebioda,.332,17.939,54
49,0,45486,Joaquin Niemann,.326,28.982,89
50,0,30925,Dustin Johnson,.315,19.542,62
51,0,30926,Chris Kirk,.314,23.538,75
52,0,35532,Tom Hoge,.304,26.757,88
53,0,47959,Bryson DeChambeau,.291,19.777,68
53,0,35891,Cameron Smith,.291,20.082,69
53,0,31323,Gary Woodland,.291,16.853,58
56,0,30944,Jason Kokrak,.281,21.361,76
57,0,21209,Sergio Garcia,.279,18.956,68
57,0,34360,Patrick Reed,.279,18.389,66
59,0,27064,Jhonattan Vegas,.257,17.222,67
60,0,27129,Luke List,.251,18.828,75
61,0,33490,Bo Hoag,.246,18.444,75
61,0,23320,Ryan Palmer,.246,16.498,67
63,0,29908,C.T. Pan,.245,15.928,65
64,0,48822,Sebastián Muñoz,.243,21.660,89
65,0,39971,Sungjae Im,.237,26.742,113
66,0,27770,Camilo Villegas,.236,15.363,65
67,0,33486,Roger Sloan,.222,13.782,62
68,0,53165,Doc Redman,.215,14.826,69
69,0,34255,Joseph Bramlett,.210,11.741,56
70,0,27936,Martin Laird,.208,14.352,69
71,0,25686,Jason Dufner,.197,14.585,74
72,0,24361,Pat Perez,.185,14.450,78
73,0,26331,Charl Schwartzel,.183,13.701,75
74,0,24357,K.J. Choi,.178,7.663,43
75,0,25900,Lucas Glover,.172,13.934,81
76,0,32757,Patton Kizzire,.169,15.361,91
77,0,20396,Lee Westwood,.167,8.529,51
78,0,29974,Branden Grace,.161,10.128,63
79,0,45157,Cam Davis,.159,14.304,90
80,0,23788,D.J. Trahan,.152,6.981,46
81,0,34076,Joel Dahmen,.148,9.794,66
82,0,39953,Chase Seiffert,.147,8.260,56
83,0,46046,Scottie Scheffler,.145,12.178,84
84,0,40006,Erik van Rooyen,.141,9.570,68
85,0,37275,Sam Ryder,.129,8.761,68
86,0,34099,Harris English,.125,9.738,78
87,0,29926,Danny Lee,.122,6.953,57
88,0,26851,Marc Leishman,.118,7.461,63
89,0,49960,Sepp Straka,.114,8.763,77
90,0,34256,Andrew Putnam,.109,8.060,74
91,0,29518,Brendan Steele,.103,6.899,67
91,0,25804,Bubba Watson,.103,6.161,60
93,0,27942,Rob Oppenheim,.093,5.236,56
94,0,24024,Zach Johnson,.085,6.480,76
95,0,47347,Adam Schenk,.058,4.625,80
96,0,32816,Satoshi Kodaira,.052,3.240,62
97,0,30911,Tommy Fleetwood,.051,2.399,47
98,0,23108,Matt Kuchar,.046,2.698,59
99,0,31560,Brian Stuard,.043,3.752,88
100,0,45609,Tyler Duncan,.042,3.223,76
101,0,33667,Carlos Ortiz,.039,3.200,83
102,0,34174,John Huh,.034,1.759,51
103,0,40098,Matt Fitzpatrick,.026,1.358,53
104,0,32640,Troy Merritt,.025,1.974,80
105,0,39975,Michael Kim,.022,1.204,54
106,0,23325,Vaughn Taylor,.015,.924,62
107,0,33413,Ben Martin,.011,.361,34
108,0,25818,Scott Piercy,.005,.319,68
109,0,27649,Brandt Snedeker,.000,.014,72
110,0,32448,James Hahn,-.004,-.225,62
111,0,29479,Scott Brown,-.020,-1.299,64
112,0,29268,Bronson Burgoon,-.022,-1.234,56
113,0,37455,Si Woo Kim,-.026,-2.174,83
114,0,25396,Kevin Na,-.027,-2.114,78
115,0,26758,David Hearn,-.031,-1.424,46
116,0,34563,Chesson Hadley,-.036,-2.099,58
117,0,36801,Mark Hubbard,-.039,-3.474,89
118,0,28089,Jason Day,-.043,-2.401,56
119,0,22405,Justin Rose,-.045,-1.847,41
120,0,27556,Ted Potter Jr.,-.057,-3.295,58
121,0,32791,K.H. Lee,-.066,-6.157,93
122,0,40042,Tyler McCumber,-.076,-4.114,54
123,0,19803,Ryan Armour,-.082,-5.499,67
123,0,27644,Brian Harman,-.082,-6.985,85
125,0,28775,Nate Lashley,-.099,-5.868,59
126,0,23623,Bo Van Pelt,-.103,-5.684,55
127,0,34466,Peter Malnati,-.109,-7.212,66
127,0,39324,J.J. Spaun,-.109,-5.688,52
127,0,27330,Josh Teater,-.109,-3.585,33
130,0,27349,Alex Noren,-.110,-8.173,74
131,0,56762,Will Gordon,-.142,-9.655,68
131,0,01810,Phil Mickelson,-.142,-8.654,61
133,0,48119,Ben Taylor,-.145,-4.501,31
134,0,33120,Mark Anderson,-.149,-5.053,34
135,0,32150,Michael Thompson,-.151,-10.238,68
136,0,33948,Byeong Hun An,-.152,-10.674,70
137,0,52372,Cameron Champ,-.154,-9.993,65
138,0,32254,Xinjun Zhang,-.161,-8.058,50
139,0,24138,Ian Poulter,-.162,-8.916,55
140,0,30927,Brendon Todd,-.176,-12.476,71
141,0,33404,Chris Baker,-.182,-6.912,38
142,0,47128,Richy Werenski,-.183,-15.180,83
143,0,33597,Harry Higgs,-.184,-13.820,75
144,0,49298,Kramer Hickok,-.187,-10.456,56
145,0,33410,Andrew Landry,-.191,-11.662,61
146,0,29420,Billy Horschel,-.195,-13.488,69
147,0,23621,Rory Sabbatini,-.198,-13.252,67
148,0,27095,Nick Watney,-.205,-8.623,42
149,0,32139,Danny Willett,-.207,-5.790,28
150,0,25493,Nick Taylor,-.217,-17.992,83
151,0,46442,Maverick McNealy,-.223,-14.697,66
152,0,35230,Nelson Ledesma,-.224,-7.849,35
153,0,26499,Rafa Cabrera Bello,-.227,-13.599,60
154,0,34264,Hudson Swafford,-.233,-15.348,66
155,0,46441,Robby Shelton,-.236,-16.755,71
156,0,35104,Tom Lewis,-.238,-16.685,70
157,0,32102,Rickie Fowler,-.244,-15.885,65
158,0,32333,Kevin Tway,-.252,-12.869,51
159,0,31557,Jim Herman,-.254,-14.962,59
159,0,31420,Anirban Lahiri,-.254,-13.703,54
161,0,34213,Grayson Murray,-.260,-9.370,36
162,0,29478,Kevin Kisner,-.266,-18.341,69
163,0,24140,Sean O'Hair,-.290,-12.779,44
164,0,39546,Keith Mitchell,-.310,-20.765,67
165,0,32662,Michael Gligic,-.317,-19.035,60
166,0,33399,Adam Hadwin,-.320,-25.261,79
167,0,29535,Brice Garnett,-.324,-22.331,69
168,0,22371,Aaron Baddeley,-.328,-11.793,36
169,0,29970,Dylan Frittelli,-.333,-19.951,60
170,0,35506,Mackenzie Hughes,-.340,-25.866,76
171,0,25632,Jimmy Walker,-.344,-21.657,63
172,0,27141,J.B. Holmes,-.350,-15.398,44
173,0,28679,Fabián Gómez,-.351,-11.945,34
174,0,47993,Denny McCarthy,-.353,-28.220,80
175,0,28420,Ryan Brehm,-.390,-13.654,35
176,0,36699,Patrick Rodgers,-.400,-31.207,78
177,0,21961,Charles Howell III,-.401,-21.230,53
178,0,51894,Vince Whaley,-.409,-23.741,58
179,0,24924,Bill Haas,-.411,-12.741,31
180,0,35461,Beau Hossler,-.420,-29.404,70
181,0,26300,Matt Jones,-.422,-35.472,84
182,0,34431,Robert Streb,-.451,-31.540,70
183,0,49771,J.T. Poston,-.488,-38.579,79
184,0,46550,Brandon Hagy,-.533,-30.920,58
185,0,27554,Scott Harrington,-.538,-33.890,63
186,0,35449,Adam Long,-.541,-38.440,71
187,0,46435,Austin Cook,-.568,-36.896,65
188,0,51766,Wyndham Clark,-.640,-45.412,71
189,0,27974,Sung Kang,-.647,-48.497,75
190,0,32618,Rhein Gibson,-.722,-27.425,38
191,0,32070,Rafael Campos,-.730,-29.929,41
192,0,35658,Kris Ventura,-.751,-39.070,52
193,0,19846,Brian Gay,-.774,-47.989,62
194,0,34314,Sebastian Cappelen,-.800,-30.402,38
195,0,35617,Martin Trainer,-1.458,-69.993,48
196,0,24781,Hunter Mahan,-1.601,-65.644,41
