RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,46970,Jon Rahm,2.098,134.286,113.113,21.174,64
2,0,47959,Bryson DeChambeau,1.823,123.959,92.967,30.993,68
3,0,35450,Patrick Cantlay,1.820,123.758,96.411,27.349,68
4,0,26329,Louis Oosthuizen,1.599,95.967,50.115,45.852,60
5,0,48081,Xander Schauffele,1.484,93.464,63.250,30.215,63
6,0,33448,Justin Thomas,1.444,98.176,96.414,1.763,68
7,0,28237,Rory McIlroy,1.368,86.205,74.413,11.793,63
8,0,36689,Brooks Koepka,1.357,70.588,60.887,9.700,52
9,0,46717,Viktor Hovland,1.316,92.140,88.383,3.758,70
10,0,34360,Patrick Reed,1.313,86.676,42.522,44.154,66
11,0,40026,Daniel Berger,1.296,94.573,78.982,15.593,73
12,0,30925,Dustin Johnson,1.253,77.661,51.070,26.589,62
12,0,29221,Webb Simpson,1.253,76.433,49.878,26.556,61
14,0,47504,Sam Burns,1.248,91.095,48.801,42.298,73
15,0,45526,Abraham Ancer,1.243,100.646,67.280,33.367,81
16,0,25364,Paul Casey,1.220,70.755,75.005,-4.248,58
17,0,12716,Charley Hoffman,1.194,94.360,68.293,26.073,79
18,0,39997,Corey Conners,1.142,95.915,96.626,-.710,84
19,0,34363,Tyrrell Hatton,1.140,53.583,47.113,6.470,47
20,0,29725,Tony Finau,1.130,81.346,74.880,6.468,72
21,0,45486,Joaquin Niemann,1.124,100.059,72.265,27.795,89
22,0,47483,Will Zalatoris,1.118,76.016,80.525,-4.506,68
23,0,35891,Cameron Smith,1.106,76.304,36.785,39.520,69
24,0,33419,Cameron Tringale,1.079,88.465,49.075,39.393,82
25,0,50525,Collin Morikawa,1.071,70.683,100.835,-30.151,66
26,0,34046,Jordan Spieth,1.069,79.138,50.353,28.787,74
27,0,30944,Jason Kokrak,1.053,80.040,32.344,47.696,76
28,0,28252,Seamus Power,1.013,42.537,35.491,7.048,42
29,0,40098,Matt Fitzpatrick,.988,52.345,32.880,19.464,53
30,0,34099,Harris English,.984,76.772,34.371,42.400,78
31,0,39971,Sungjae Im,.976,110.314,77.278,33.036,113
32,0,34098,Russell Henley,.952,74.223,72.247,1.980,78
33,0,46046,Scottie Scheffler,.932,78.314,76.385,1.931,84
34,0,48887,Matt Wallace,.875,33.253,29.003,4.251,38
35,0,37189,Harold Varner III,.862,68.091,62.603,5.490,79
36,0,33204,Shane Lowry,.825,51.970,62.194,-10.223,63
37,0,24138,Ian Poulter,.819,45.027,6.787,38.241,55
38,0,27644,Brian Harman,.816,69.380,32.698,36.685,85
39,0,33141,Keegan Bradley,.800,62.396,105.174,-42.777,78
40,0,28089,Jason Day,.778,43.564,39.838,3.727,56
41,0,30926,Chris Kirk,.748,56.135,52.657,3.482,75
42,0,24502,Adam Scott,.739,43.589,15.554,28.037,59
43,0,21209,Sergio Garcia,.736,50.068,77.879,-27.810,68
44,0,49766,Hank Lebioda,.693,37.448,14.179,23.271,54
45,0,46402,Talor Gooch,.680,56.476,44.830,11.650,83
46,0,27214,Kevin Streelman,.673,56.557,57.194,-.632,84
47,0,24024,Zach Johnson,.642,48.825,-1.825,50.655,76
48,0,32839,Hideki Matsuyama,.641,53.833,90.206,-36.371,84
49,0,52375,Doug Ghim,.640,46.081,65.441,-19.357,72
50,0,27349,Alex Noren,.634,46.885,7.079,39.808,74
51,0,27064,Jhonattan Vegas,.633,42.442,54.760,-12.316,67
