RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,26329,Louis Oosthuizen,.764,45.852,60
2,0,49771,J.T. Poston,.706,55.768,79
3,0,24138,Ian Poulter,.695,38.241,55
4,0,34360,Patrick Reed,.669,44.154,66
5,0,24024,Zach Johnson,.667,50.655,76
6,0,30944,Jason Kokrak,.628,47.696,76
7,0,32618,Rhein Gibson,.623,23.692,38
8,0,30927,Brendon Todd,.620,44.025,71
9,0,47504,Sam Burns,.579,42.298,73
10,0,35891,Cameron Smith,.573,39.520,69
11,0,34563,Chesson Hadley,.552,32.024,58
12,0,34099,Harris English,.544,42.400,78
13,0,27349,Alex Noren,.538,39.808,74
14,0,24781,Hunter Mahan,.491,20.140,41
15,0,35506,Mackenzie Hughes,.483,36.742,76
16,0,48081,Xander Schauffele,.480,30.215,63
16,0,33419,Cameron Tringale,.480,39.393,82
18,0,24502,Adam Scott,.475,28.037,59
19,0,33399,Adam Hadwin,.471,37.244,79
20,0,47959,Bryson DeChambeau,.456,30.993,68
21,0,48119,Ben Taylor,.450,13.958,31
22,0,47993,Denny McCarthy,.435,34.828,80
22,0,29221,Webb Simpson,.435,26.556,61
22,0,35658,Kris Ventura,.435,22.595,52
25,0,27644,Brian Harman,.432,36.685,85
25,0,32757,Patton Kizzire,.432,39.347,91
27,0,49766,Hank Lebioda,.431,23.271,54
28,0,30925,Dustin Johnson,.429,26.589,62
29,0,45526,Abraham Ancer,.412,33.367,81
30,0,35450,Patrick Cantlay,.402,27.349,68
31,0,29535,Brice Garnett,.396,27.346,69
32,0,29478,Kevin Kisner,.392,27.071,69
33,0,34046,Jordan Spieth,.389,28.787,74
34,0,32662,Michael Gligic,.384,23.054,60
34,0,35310,Lanto Griffin,.384,30.727,80
36,0,22405,Justin Rose,.375,15.376,41
37,0,24361,Pat Perez,.372,29.030,78
38,0,40098,Matt Fitzpatrick,.367,19.464,53
39,0,19803,Ryan Armour,.354,23.686,67
40,0,27649,Brandt Snedeker,.341,24.531,72
41,0,34256,Andrew Putnam,.335,24.782,74
42,0,46970,Jon Rahm,.331,21.174,64
43,0,12716,Charley Hoffman,.330,26.073,79
44,0,25632,Jimmy Walker,.325,20.479,63
45,0,26499,Rafa Cabrera Bello,.318,19.079,60
46,0,22371,Aaron Baddeley,.314,11.316,36
47,0,45486,Joaquin Niemann,.312,27.795,89
48,0,46435,Austin Cook,.309,20.106,65
49,0,23325,Vaughn Taylor,.293,18.137,62
50,0,39971,Sungjae Im,.292,33.036,113
51,0,29420,Billy Horschel,.285,19.644,69
52,0,36801,Mark Hubbard,.282,25.104,89
52,0,32640,Troy Merritt,.282,22.570,80
54,0,35617,Martin Trainer,.277,13.283,48
55,0,26300,Matt Jones,.273,22.931,84
56,0,33597,Harry Higgs,.243,18.255,75
57,0,34466,Peter Malnati,.238,15.737,66
58,0,26758,David Hearn,.232,10.693,46
59,0,31560,Brian Stuard,.230,20.270,88
60,0,40026,Daniel Berger,.214,15.593,73
61,0,35461,Beau Hossler,.206,14.455,70
62,0,19846,Brian Gay,.203,12.597,62
62,0,32333,Kevin Tway,.203,10.349,51
64,0,40006,Erik van Rooyen,.193,13.126,68
65,0,26851,Marc Leishman,.190,11.953,63
66,0,36689,Brooks Koepka,.187,9.700,52
66,0,28237,Rory McIlroy,.187,11.793,63
68,0,34431,Robert Streb,.179,12.514,70
69,0,23621,Rory Sabbatini,.176,11.816,67
70,0,45157,Cam Davis,.173,15.560,90
71,0,24924,Bill Haas,.170,5.268,31
72,0,28252,Seamus Power,.168,7.048,42
73,0,51894,Vince Whaley,.166,9.600,58
74,0,32448,James Hahn,.165,10.243,62
74,0,25493,Nick Taylor,.165,13.693,83
76,0,20229,Stewart Cink,.164,12.790,78
77,0,29974,Branden Grace,.150,9.462,63
78,0,35449,Adam Long,.144,10.211,71
79,0,56278,Matthew Wolff,.141,7.196,51
80,0,46402,Talor Gooch,.140,11.650,83
81,0,34363,Tyrrell Hatton,.138,6.470,47
82,0,47347,Adam Schenk,.137,10.963,80
83,0,46442,Maverick McNealy,.118,7.766,66
84,0,21961,Charles Howell III,.114,6.034,53
85,0,48887,Matt Wallace,.112,4.251,38
86,0,29479,Scott Brown,.106,6.808,64
87,0,25396,Kevin Na,.105,8.222,78
88,0,23108,Matt Kuchar,.104,6.163,59
89,0,23320,Ryan Palmer,.099,6.608,67
90,0,49960,Sepp Straka,.092,7.100,77
91,0,29725,Tony Finau,.090,6.468,72
92,0,37189,Harold Varner III,.069,5.490,79
92,0,20396,Lee Westwood,.069,3.511,51
94,0,47128,Richy Werenski,.068,5.673,83
95,0,28089,Jason Day,.067,3.727,56
96,0,36699,Patrick Rodgers,.062,4.801,78
96,0,32150,Michael Thompson,.062,4.240,68
98,0,37275,Sam Ryder,.056,3.802,68
99,0,46717,Viktor Hovland,.054,3.758,70
100,0,34314,Sebastian Cappelen,.050,1.904,38
101,0,48822,Sebastián Muñoz,.047,4.201,89
102,0,30926,Chris Kirk,.046,3.482,75
103,0,30692,Scott Stallings,.030,2.031,68
104,0,33448,Justin Thomas,.026,1.763,68
105,0,34098,Russell Henley,.025,1.980,78
105,0,26331,Charl Schwartzel,.025,1.898,75
