RANK,MOVEMENT,PLAYER_ID,PLAYER,% MAKES BOGEY,BOGEYS,HOLES PLAYED
1,0,01996,Mike Reid,12.37,167,1350
2,0,01968,Nick Price,12.90,144,1116
3,0,02104,Jeff Sluman,13.01,260,1998
4,0,01706,Davis Love III,13.03,183,1404
5,0,01320,Bob Estes,13.17,256,1944
6,0,08793,Tiger Woods,13.19,178,1350
7,0,10860,Justin Leonard,13.30,249,1872
8,0,10809,Jim Furyk,13.60,235,1728
9,0,09011,David Duval,13.66,182,1332
10,0,06522,Ernie Els,13.98,151,1080
11,0,20229,Stewart Cink,14.01,232,1656
12,0,01677,Tom Lehman,14.03,202,1440
13,0,01381,Fred Funk,14.12,300,2124
14,0,02010,Loren Roberts,14.36,230,1602
15,0,02170,Hal Sutton,14.44,234,1620
16,0,10649,Tom Scherrer,14.46,242,1674
17,0,12782,Tim Herron,14.47,250,1728
18,0,06575,Dudley Hart,14.52,230,1584
19,0,06595,Kevin Sutherland,14.53,251,1728
20,0,20094,Jonathan Kaye,14.61,284,1944
21,0,06004,Stephen Ames,14.65,145,990
22,0,02214,Kirk Triplett,14.66,227,1548
23,0,06078,Esteban Toledo,14.69,283,1926
24,0,01943,Chris Perry,14.72,318,2160
25,0,12645,Brent Geiberger,14.83,275,1854
26,0,06044,Scott Gump,14.85,254,1710
27,0,01361,Dan Forsman,14.86,246,1656
28,0,06567,Vijay Singh,14.91,271,1818
29,0,02223,Bob Tway,14.92,247,1656
30,0,01527,Scott Hoch,14.93,266,1782
31,0,06315,Pete Jordan,15.19,246,1620
32,0,01926,Steve Pate,15.45,267,1728
33,0,01724,Jeff Maggert,15.51,229,1476
33,0,08547,John Maginnes,15.51,254,1638
35,0,08931,Glen Day,15.53,260,1674
36,0,08993,Franklin Langham,15.60,278,1782
37,0,02257,Brian Watts,15.61,236,1512
38,0,10423,Mike Weir,15.62,284,1818
39,0,01553,John Huston,15.64,214,1368
39,0,01927,Dennis Paulson,15.64,290,1854
41,0,01378,David Frost,15.66,234,1494
41,0,01766,Billy Mayfair,15.66,234,1494
43,0,02146,Payne Stewart,15.77,193,1224
44,0,20098,Stuart Appleby,15.80,256,1620
44,0,01175,Jim Carter,15.80,273,1728
46,0,01098,Jay Don Blake,15.82,262,1656
47,0,01928,Corey Pavin,15.85,234,1476
48,0,01533,P.H. Horgan III,15.87,280,1764
49,0,01945,Kenny Perry,15.92,235,1476
50,0,01203,Russ Cochran,15.93,238,1494
51,0,08045,Perry Moss,15.96,204,1278
52,0,11032,Frank Lickliter II,16.03,300,1872
53,0,06036,Scott Dunlap,16.09,249,1548
54,0,06527,Steve Stricker,16.10,200,1242
55,0,01823,Larry Mize,16.11,203,1260
56,0,10885,Robert Allenby,16.14,244,1512
57,0,02245,Grant Waite,16.15,282,1746
58,0,01418,Bill Glasson,16.23,222,1368
59,0,01619,Skip Kendall,16.24,307,1890
60,0,01261,Jay Delsing,16.30,223,1368
61,0,06251,Chris DiMarco,16.33,291,1782
61,0,12660,Jesper Parnevik,16.33,194,1188
63,0,01313,Steve Elkington,16.34,200,1224
63,0,10213,Dicky Pride,16.34,247,1512
65,0,02239,Scott Verplank,16.42,263,1602
66,0,01771,Blaine McCallister,16.43,278,1692
67,0,01797,Rocco Mediate,16.46,240,1458
68,0,01723,Andrew Magee,16.53,250,1512
69,0,01219,John Cook,16.60,242,1458
69,0,08537,J.P. Hayes,16.60,269,1620
71,0,01042,Paul Azinger,16.67,219,1314
71,0,06014,Eric Booker,16.67,270,1620
71,0,06643,Paul Goydos,16.67,285,1710
71,0,01810,Phil Mickelson,16.67,234,1404
75,0,02206,David Toms,16.72,310,1854
76,0,01096,Phil Blackmar,16.73,268,1602
77,0,01132,Mark Brooks,16.76,341,2034
78,0,20593,Greg Chalmers,16.77,320,1908
79,0,01282,Trevor Dodds,16.78,293,1746
79,0,07457,Steve Flesch,16.78,296,1764
81,0,02101,Joey Sindelar,16.82,218,1296
82,0,01887,Mark O'Meara,16.85,179,1062
82,0,02246,Duffy Waldorf,16.85,273,1620
84,0,01599,Steve Jones,16.87,167,990
85,0,07867,Woody Austin,16.95,296,1746
86,0,21805,Harrison Frazar,16.96,293,1728
87,0,01157,Tom Byrum,16.98,272,1602
88,0,01040,Emlyn Aubrey,16.99,156,918
88,0,06062,Charles Raulerson,16.99,312,1836
90,0,01510,Nolan Henke,17.00,254,1494
91,0,02218,Ted Tryba,17.02,337,1980
92,0,01941,Tom Pernice Jr.,17.10,274,1602
93,0,10457,Frank Nobilo,17.12,262,1530
94,0,06012,Greg Kraft,17.13,293,1710
94,0,01748,Doug Martin,17.13,296,1728
96,0,01139,Olin Browne,17.15,247,1440
97,0,02279,Mark Wiebe,17.25,236,1368
98,0,01024,Billy Andrade,17.30,274,1584
98,0,10585,Scott McCarron,17.30,274,1584
100,0,02133,Craig Stadler,17.33,156,900
101,0,08075,Jerry Kelly,17.34,337,1944
102,0,01093,Ronnie Black,17.36,175,1008
102,0,01226,Fred Couples,17.36,175,1008
102,0,02294,Willie Wood,17.36,225,1296
105,0,21007,Gabriel Hjertstedt,17.40,307,1764
106,0,01388,Robert Gamez,17.42,185,1062
107,0,01707,Steve Lowery,17.45,311,1782
108,0,20127,Chris Riley,17.46,264,1512
109,0,01127,Danny Briggs,17.47,239,1368
110,0,01457,Jay Haas,17.54,240,1368
111,0,01549,Mike Hulbert,17.55,319,1818
112,0,20029,Notah Begay III,17.58,307,1746
112,0,01761,Len Mattiace,17.58,307,1746
114,0,07749,Brett Quigley,17.59,190,1080
115,0,01577,Lee Janzen,17.65,270,1530
116,0,01161,Mark Calcavecchia,17.66,302,1710
117,0,19881,Robert Damron,17.74,348,1962
118,0,01569,Peter Jacobsen,17.81,234,1314
119,0,02008,Lee Rinker,17.83,292,1638
120,0,08385,Omar Uresti,17.85,331,1854
121,0,12823,Carlos Franco,17.87,222,1242
122,0,01685,J.L. Lewis,17.89,306,1710
122,0,10425,Jay Williamson,17.89,264,1476
124,0,06617,Brian Henninger,17.94,310,1728
125,0,01331,Rick Fehr,18.00,230,1278
126,0,01905,Joe Ozaki,18.03,172,954
127,0,01323,Brad Fabel,18.06,286,1584
127,0,01920,Craig Parry,18.06,208,1152
129,0,20498,Briny Baird,18.09,254,1404
129,0,20099,Doug Barron,18.09,293,1620
129,0,06599,John Elliott,18.09,254,1404
132,0,11011,Mike Sposa,18.16,291,1602
133,0,01376,Bob Friend,18.18,373,2052
