RANK,MOVEMENT,PLAYER_ID,PLAYER,% UNDER THEN OVER PAR,TOTAL UNDER THEN OVER PAR,UNDER PAR
1,0,02133,Craig Stadler,9.58,16,167
2,0,01361,Dan Forsman,11.49,34,296
3,0,02023,Clarence Rose,11.63,15,129
4,0,08385,Omar Uresti,11.66,40,343
5,0,01313,Steve Elkington,11.96,25,209
6,0,01996,Mike Reid,11.98,26,217
7,0,19881,Robert Damron,12.15,44,362
8,0,10860,Justin Leonard,12.22,43,352
9,0,02214,Kirk Triplett,12.33,36,292
10,0,12645,Brent Geiberger,12.54,43,343
11,0,06315,Pete Jordan,12.64,33,261
12,0,02294,Willie Wood,12.78,23,180
13,0,20229,Stewart Cink,12.82,40,312
14,0,10809,Jim Furyk,12.90,40,310
15,0,01175,Jim Carter,13.04,39,299
16,0,06012,Greg Kraft,13.09,39,298
17,0,01381,Fred Funk,13.14,54,411
18,0,01527,Scott Hoch,13.22,46,348
19,0,01014,Fulton Allem,13.33,28,210
20,0,06595,Kevin Sutherland,13.36,41,307
21,0,06527,Steve Stricker,13.50,32,237
22,0,06004,Stephen Ames,13.59,28,206
23,0,06575,Dudley Hart,13.61,40,294
24,0,01928,Corey Pavin,13.67,35,256
25,0,01941,Tom Pernice Jr.,13.68,39,285
25,0,02223,Bob Tway,13.68,42,307
27,0,01707,Steve Lowery,13.71,44,321
28,0,01219,John Cook,13.72,31,226
28,0,01823,Larry Mize,13.72,31,226
30,0,01378,David Frost,13.73,35,255
31,0,01619,Skip Kendall,13.88,54,389
32,0,08537,J.P. Hayes,13.94,40,287
33,0,06643,Paul Goydos,13.97,44,315
34,0,01418,Bill Glasson,14.06,35,249
35,0,02104,Jeff Sluman,14.08,50,355
36,0,02206,David Toms,14.14,54,382
37,0,10649,Tom Scherrer,14.19,42,296
38,0,01677,Tom Lehman,14.23,35,246
39,0,01943,Chris Perry,14.29,66,462
40,0,06014,Eric Booker,14.34,41,286
40,0,01261,Jay Delsing,14.34,38,265
42,0,02010,Loren Roberts,14.47,44,304
43,0,01096,Phil Blackmar,14.54,41,282
44,0,02279,Mark Wiebe,14.55,32,220
45,0,20098,Stuart Appleby,14.57,44,302
46,0,02170,Hal Sutton,14.71,49,333
47,0,06599,John Elliott,14.72,39,265
48,0,01203,Russ Cochran,14.76,40,271
49,0,21805,Harrison Frazar,14.84,46,310
50,0,06617,Brian Henninger,14.86,48,323
51,0,08931,Glen Day,14.89,46,309
51,0,06621,Joe Durant,14.89,35,235
51,0,06062,Charles Raulerson,14.89,46,309
54,0,01139,Olin Browne,15.04,34,226
55,0,01549,Mike Hulbert,15.05,48,319
56,0,02267,D.A. Weibring,15.07,22,146
57,0,08547,John Maginnes,15.18,46,303
58,0,01320,Bob Estes,15.30,54,353
59,0,01569,Peter Jacobsen,15.32,36,235
60,0,08045,Perry Moss,15.38,36,234
60,0,08793,Tiger Woods,15.38,48,312
62,0,12660,Jesper Parnevik,15.42,35,227
63,0,01706,Davis Love III,15.44,44,285
64,0,20094,Jonathan Kaye,15.51,58,374
65,0,07753,Kevin Wentworth,15.53,34,219
66,0,07867,Woody Austin,15.54,53,341
67,0,01457,Jay Haas,15.55,37,238
68,0,01633,Tom Kite,15.57,26,167
69,0,09011,David Duval,15.59,46,295
70,0,01810,Phil Mickelson,15.61,47,301
71,0,11032,Frank Lickliter II,15.64,61,390
72,0,01553,John Huston,15.66,39,249
73,0,02257,Brian Watts,15.77,44,279
74,0,10457,Frank Nobilo,15.79,36,228
75,0,02218,Ted Tryba,15.86,59,372
76,0,20029,Notah Begay III,15.88,54,340
77,0,01282,Trevor Dodds,15.90,45,283
77,0,08993,Franklin Langham,15.90,52,327
77,0,01761,Len Mattiace,15.90,45,283
80,0,08123,Jeff Brehaut,15.91,35,220
81,0,06613,Tommy Tolles,15.94,40,251
82,0,01093,Ronnie Black,15.96,30,188
83,0,02101,Joey Sindelar,15.98,35,219
84,0,01331,Rick Fehr,16.04,34,212
85,0,07457,Steve Flesch,16.06,53,330
86,0,20498,Briny Baird,16.10,38,236
87,0,01226,Fred Couples,16.15,31,192
88,0,12782,Tim Herron,16.21,53,327
89,0,06251,Chris DiMarco,16.28,49,301
89,0,01766,Billy Mayfair,16.28,42,258
91,0,02008,Lee Rinker,16.37,46,281
92,0,08075,Jerry Kelly,16.43,59,359
93,0,01266,Clark Dennis,16.44,37,225
94,0,01042,Paul Azinger,16.46,39,237
95,0,20593,Greg Chalmers,16.48,60,364
96,0,06567,Vijay Singh,16.53,61,369
97,0,10885,Robert Allenby,16.54,45,272
97,0,10213,Dicky Pride,16.54,44,266
99,0,01533,P.H. Horgan III,16.61,51,307
99,0,01797,Rocco Mediate,16.61,46,277
101,0,07763,Doug Dunakey,16.67,45,270
101,0,01388,Robert Gamez,16.67,29,174
103,0,01926,Steve Pate,16.72,52,311
103,0,06078,Esteban Toledo,16.72,52,311
105,0,10425,Jay Williamson,16.73,41,245
106,0,01161,Mark Calcavecchia,16.77,54,322
107,0,10423,Mike Weir,16.81,60,357
108,0,10585,Scott McCarron,16.82,55,327
109,0,21949,Joe Ogilvie,16.89,51,302
110,0,07749,Brett Quigley,16.94,31,183
111,0,01116,Michael Bradley,17.02,40,235
111,0,01374,Robin Freeman,17.02,40,235
113,0,06581,David Sutherland,17.03,47,276
114,0,01968,Nick Price,17.09,34,199
115,0,01771,Blaine McCallister,17.13,49,286
116,0,01945,Kenny Perry,17.15,47,274
117,0,11011,Mike Sposa,17.19,49,285
118,0,01887,Mark O'Meara,17.37,33,190
119,0,01920,Craig Parry,17.44,34,195
120,0,01132,Mark Brooks,17.54,60,342
121,0,01748,Doug Martin,17.57,52,296
122,0,01685,J.L. Lewis,17.59,51,290
123,0,06044,Scott Gump,17.63,52,295
123,0,01927,Dennis Paulson,17.63,64,363
125,0,01035,Tommy Armour III,17.70,57,322
126,0,23614,Rich Beem,17.73,36,203
127,0,01072,Chip Beck,17.75,41,231
128,0,01329,Brad Faxon,17.78,40,225
129,0,06036,Scott Dunlap,17.79,50,281
130,0,01323,Brad Fabel,17.83,51,286
131,0,01510,Nolan Henke,17.89,44,246
132,0,01024,Billy Andrade,17.92,50,279
133,0,01599,Steve Jones,18.01,29,161
134,0,02146,Payne Stewart,18.07,43,238
135,0,01063,Ben Bates,18.09,53,293
136,0,01127,Danny Briggs,18.18,40,220
136,0,21007,Gabriel Hjertstedt,18.18,60,330
136,0,01723,Andrew Magee,18.18,50,275
139,0,06522,Ernie Els,18.23,37,203
140,0,06809,Bob Burns,18.28,49,268
141,0,02131,Mike Springer,18.29,47,257
142,0,23349,Charles Warren,18.31,39,213
143,0,10962,Bradley Hughes,18.35,58,316
144,0,01191,Barry Cheesman,18.37,54,294
145,0,12663,Phil Tataurangi,18.40,39,212
146,0,06064,Jeff Gallagher,18.43,47,255
147,0,01157,Tom Byrum,18.48,51,276
148,0,19846,Brian Gay,18.54,38,205
149,0,20127,Chris Riley,18.71,52,278
150,0,20099,Doug Barron,18.84,55,292
151,0,01385,Jim Gallagher Jr.,18.85,46,244
152,0,10569,Mike Brisky,18.99,45,237
153,0,01577,Lee Janzen,19.05,56,294
154,0,02245,Grant Waite,19.28,59,306
155,0,01098,Jay Don Blake,19.40,58,299
156,0,01891,David Ogrin,19.41,33,170
157,0,01249,John Daly,19.50,39,200
158,0,06655,Geoffrey Sisk,19.53,42,215
159,0,07781,Ty Armstrong,19.63,43,219
160,0,02239,Scott Verplank,19.71,55,279
