RANK,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF CUTS
1,0,25364,Paul Casey,20
2,0,12716,Charley Hoffman,17
3,0,36689,Brooks Koepka,16
3,0,23108,Matt Kuchar,16
5,0,35450,Patrick Cantlay,13
5,0,29725,Tony Finau,13
5,0,29221,Webb Simpson,13
8,0,26476,Chez Reavie,11
8,0,34046,Jordan Spieth,11
10,0,33141,Keegan Bradley,10
10,0,34098,Russell Henley,10
10,0,27408,Martin Kaymer,10
10,0,34466,Peter Malnati,10
10,0,24138,Ian Poulter,10
15,0,32102,Rickie Fowler,9
15,0,29478,Kevin Kisner,9
17,0,25686,Jason Dufner,8
17,0,28500,Martin Flores,8
17,0,30925,Dustin Johnson,8
20,0,32366,Kevin Chappell,7
20,0,28089,Jason Day,7
20,0,25900,Lucas Glover,7
20,0,28252,Seamus Power,7
20,0,46970,Jon Rahm,7
25,0,24361,Pat Perez,6
25,0,34360,Patrick Reed,6
25,0,26331,Charl Schwartzel,6
25,0,21528,Henrik Stenson,6
25,0,33448,Justin Thomas,6
25,0,47128,Richy Werenski,6
25,0,20396,Lee Westwood,6
32,0,24846,Ricky Barnes,5
32,0,33461,Morgan Hoffmann,5
32,0,28258,K.T. Kim,5
32,0,26329,Louis Oosthuizen,5
32,0,29908,C.T. Pan,5
32,0,49771,J.T. Poston,5
32,0,23497,Tag Ridings,5
32,0,29223,Sam Saunders,5
32,0,34431,Robert Streb,5
32,0,37189,Harold Varner III,5
42,0,20771,Steven Alker,4
42,0,20098,Stuart Appleby,4
42,0,19803,Ryan Armour,4
42,0,40026,Daniel Berger,4
42,0,23541,Ben Crane,4
42,0,20104,Ken Duke,4
42,0,28307,Matt Every,4
42,0,30911,Tommy Fleetwood,4
42,0,36801,Mark Hubbard,4
42,0,32816,Satoshi Kodaira,4
42,0,30944,Jason Kokrak,4
42,0,25396,Kevin Na,4
42,0,22405,Justin Rose,4
42,0,48081,Xander Schauffele,4
42,0,39324,J.J. Spaun,4
42,0,30110,Kyle Stanley,4
42,0,27064,Jhonattan Vegas,4
42,0,49964,Aaron Wise,4
60,0,22371,Aaron Baddeley,3
60,0,19824,Craig Barlow,3
60,0,29479,Scott Brown,3
60,0,48084,Wesley Bryan,3
60,0,28093,Miguel Angel Carballo,3
60,0,24083,Marcus Fraser,3
60,0,21209,Sergio Garcia,3
60,0,31646,Emiliano Grillo,3
60,0,33399,Adam Hadwin,3
60,0,27644,Brian Harman,3
60,0,35506,Mackenzie Hughes,3
60,0,37455,Si Woo Kim,3
60,0,27936,Martin Laird,3
60,0,26851,Marc Leishman,3
60,0,27129,Luke List,3
60,0,32839,Hideki Matsuyama,3
60,0,47994,Lee McCoy,3
60,0,01810,Phil Mickelson,3
60,0,34213,Grayson Murray,3
60,0,27349,Alex Noren,3
60,0,22046,Geoff Ogilvy,3
60,0,33968,Thorbjørn Olesen,3
60,0,25240,D.A. Points,3
60,0,10213,Dicky Pride,3
60,0,39953,Chase Seiffert,3
60,0,27649,Brandt Snedeker,3
60,0,24459,Richard Sterne,3
60,0,34264,Hudson Swafford,3
60,0,35261,Miguel Tabuena,3
60,0,23325,Vaughn Taylor,3
60,0,32333,Kevin Tway,3
60,0,25892,Steve Wheatcroft,3
60,0,22000,Chris Wood,3
60,0,31323,Gary Woodland,3
94,0,40058,Zac Blair,2
94,0,45836,Richard Bland,2
94,0,28783,Sam Brazel,2
94,0,28420,Ryan Brehm,2
94,0,26499,Rafa Cabrera Bello,2
94,0,34021,Bud Cauley,2
94,0,20229,Stewart Cink,2
94,0,34076,Joel Dahmen,2
94,0,49633,Charlie Danielson,2
94,0,47959,Bryson DeChambeau,2
94,0,25191,Gonzalo Fernandez-Castaño,2
94,0,29740,Brad Fritsch,2
94,0,49932,Jonathan Garrick,2
94,0,24924,Bill Haas,2
94,0,32448,James Hahn,2
94,0,26758,David Hearn,2
94,0,24024,Zach Johnson,2
94,0,27974,Sung Kang,2
94,0,30926,Chris Kirk,2
94,0,31420,Anirban Lahiri,2
94,0,46732,Rick Lamb,2
94,0,34261,Scott Langley,2
94,0,34168,Soomin Lee,2
94,0,29461,Jamie Lovemark,2
94,0,33204,Shane Lowry,2
94,0,24912,Will MacKenzie,2
94,0,47741,Wesley McClain,2
94,0,31202,William McGirt,2
94,0,25198,Francesco Molinari,2
94,0,26328,Shaun Norris,2
94,0,20572,Rod Pampling,2
94,0,46441,Robby Shelton,2
94,0,29078,Chan Shih-chang,2
94,0,06567,Vijay Singh,2
94,0,29518,Brendan Steele,2
94,0,21498,Hideto Tanihara,2
94,0,23788,D.J. Trahan,2
94,0,26951,Johnson Wagner,2
94,0,25804,Bubba Watson,2
94,0,20160,Charlie Wi,2
