RANK,MOVEMENT,PLAYER_ID,PLAYER,ROUNDS
1,0,06567,Vijay Singh,75
2,0,10809,Jim Furyk,71
3,0,20498,Briny Baird,70
4,0,01388,Robert Gamez,69
5,0,01381,Fred Funk,66
6,0,07721,Pat Bates,65
7,0,07457,Steve Flesch,64
7,0,01619,Skip Kendall,64
7,0,20645,John Senden,64
7,0,20548,Hidemichi Tanaka,64
11,0,21961,Charles Howell III,63
12,0,08123,Jeff Brehaut,62
12,0,01948,Tim Petrovic,62
14,0,02104,Jeff Sluman,61
14,0,02239,Scott Verplank,61
16,0,12510,Chad Campbell,60
17,0,07867,Woody Austin,59
17,0,08075,Jerry Kelly,59
17,0,01945,Kenny Perry,59
20,0,06251,Chris DiMarco,58
21,0,12782,Tim Herron,57
22,0,20229,Stewart Cink,56
22,0,08931,Glen Day,56
22,0,01361,Dan Forsman,56
22,0,06332,Neal Lancaster,56
22,0,01941,Tom Pernice Jr.,56
22,0,06078,Esteban Toledo,56
28,0,06004,Stephen Ames,55
28,0,01024,Billy Andrade,55
28,0,01938,David Peoples,55
31,0,01139,Olin Browne,54
31,0,01766,Billy Mayfair,54
31,0,20095,Carl Paulson,54
34,0,19824,Craig Barlow,53
34,0,24925,Jonathan Byrd,53
34,0,24357,K.J. Choi,53
34,0,08337,Mike Heinen,53
34,0,23353,J.J. Henry,53
34,0,20663,Brenden Pappas,53
34,0,22548,Patrick Sheehan,53
34,0,02214,Kirk Triplett,53
34,0,20436,Garrett Willis,53
43,0,06621,Joe Durant,52
43,0,08339,Spike McRoy,52
45,0,01320,Bob Estes,51
45,0,12705,Cliff Kresge,51
45,0,01706,Davis Love III,51
48,0,23541,Ben Crane,50
48,0,01329,Brad Faxon,50
48,0,12823,Carlos Franco,50
48,0,20572,Rod Pampling,50
48,0,02223,Bob Tway,50
53,0,12652,Cameron Beckman,49
53,0,02101,Joey Sindelar,49
53,0,06595,Kevin Sutherland,49
56,0,21805,Harrison Frazar,48
56,0,01553,John Huston,48
56,0,08633,Per-Ulrik Johansson,48
56,0,01723,Andrew Magee,48
56,0,06515,Shaun Micheel,48
56,0,12660,Jesper Parnevik,48
56,0,20127,Chris Riley,48
56,0,02246,Duffy Waldorf,48
64,0,23338,David Gossett,47
64,0,10860,Justin Leonard,47
64,0,07749,Brett Quigley,47
64,0,22293,Heath Slocum,47
64,0,02170,Hal Sutton,47
69,0,10885,Robert Allenby,46
69,0,23983,Luke Donald,46
69,0,20121,Todd Fischer,46
69,0,01378,David Frost,46
69,0,01457,Jay Haas,46
69,0,06573,Brandt Jobe,46
69,0,01677,Tom Lehman,46
69,0,01685,J.L. Lewis,46
77,0,20098,Stuart Appleby,45
77,0,21739,Aaron Barber,45
77,0,01157,Tom Byrum,45
77,0,01161,Mark Calcavecchia,45
77,0,20634,Peter Lonard,45
77,0,02206,David Toms,45
83,0,20593,Greg Chalmers,44
83,0,19846,Brian Gay,44
83,0,26420,Richard Johnson,44
83,0,12680,Shigeki Maruyama,44
83,0,10585,Scott McCarron,44
83,0,10423,Mike Weir,44
83,0,08793,Tiger Woods,44
90,0,19881,Robert Damron,43
90,0,08545,Glen Hnatiuk,43
90,0,23552,Hank Kuehne,43
90,0,01797,Rocco Mediate,43
90,0,20628,Arron Oberholser,43
90,0,22046,Geoff Ogilvy,43
90,0,23621,Rory Sabbatini,43
97,0,20029,Notah Begay III,42
97,0,20472,Alex Cejka,42
97,0,06034,Marco Dawson,42
97,0,01475,Donnie Hammond,42
97,0,01577,Lee Janzen,42
97,0,01928,Corey Pavin,42
97,0,08375,Paul Stankowski,42
104,0,11032,Frank Lickliter II,41
104,0,01761,Len Mattiace,41
104,0,25345,Carl Pettersson,41
104,0,10213,Dicky Pride,41
104,0,02106,Chris Smith,41
109,0,23135,Tim Clark,40
109,0,06643,Paul Goydos,40
109,0,08537,J.P. Hayes,40
109,0,10733,Kent Jones,40
109,0,01810,Phil Mickelson,40
109,0,02010,Loren Roberts,40
109,0,22913,John Rollins,40
109,0,06581,David Sutherland,40
117,0,10201,Matt Gogel,39
117,0,01569,Peter Jacobsen,39
117,0,20094,Jonathan Kaye,39
117,0,10425,Jay Williamson,39
117,0,12602,Dean Wilson,39
122,0,23036,Chris Anderson,38
122,0,08725,Tom Gillis,38
122,0,20574,Mathew Goggin,38
122,0,20940,Kenichi Kuboya,38
122,0,22295,Darron Stiles,38
127,0,20099,Doug Barron,37
127,0,06809,Bob Burns,37
127,0,20157,Retief Goosen,37
130,0,01175,Jim Carter,36
130,0,07941,Mike Grob,36
130,0,01724,Jeff Maggert,36
133,0,01132,Mark Brooks,35
133,0,24361,Pat Perez,35
133,0,10912,Craig Perks,35
133,0,25692,Akio Sadakata,35
137,0,20771,Steven Alker,34
137,0,06522,Ernie Els,34
137,0,06575,Dudley Hart,34
137,0,10107,Deane Pappas,34
141,0,22371,Aaron Baddeley,33
141,0,23614,Rich Beem,33
141,0,01226,Fred Couples,33
141,0,22892,Jason Gore,33
141,0,10565,Ian Leggatt,33
141,0,01707,Steve Lowery,33
147,0,12662,Thomas Levet,32
147,0,11011,Mike Sposa,32
149,0,01042,Paul Azinger,31
149,0,20573,Scott Laycock,31
149,0,08547,John Maginnes,31
149,0,02049,Gene Sauers,31
149,0,21878,Mark Wilson,31
154,0,07223,Brian Bateman,30
154,0,01098,Jay Don Blake,30
154,0,21806,Paul Gow,30
154,0,25031,Andy Miller,30
154,0,26950,John Morgan,30
154,0,20568,Anthony Painter,30
160,0,01035,Tommy Armour III,29
160,0,01968,Nick Price,29
160,0,02002,John Riegger,29
163,0,19825,Darren Clarke,28
163,0,23034,Brent Schwarzrock,28
163,0,07101,Dave Stockton Jr.,28
166,0,21209,Sergio Garcia,27
167,0,22621,Ben Curtis,26
167,0,01666,Bernhard Langer,26
167,0,12755,Vance Veazey,26
170,0,12661,Todd Barranger,25
170,0,23656,Jason Caron,25
170,0,19972,José Coceres,25
170,0,12645,Brent Geiberger,25
170,0,01887,Mark O'Meara,25
170,0,01927,Dennis Paulson,25
176,0,06617,Brian Henninger,24
176,0,06527,Steve Stricker,24
178,0,01307,Joel Edwards,23
178,0,23108,Matt Kuchar,23
180,0,23177,Kenneth Staton,22
181,0,25034,James McLean,21
181,0,02245,Grant Waite,21
183,0,21633,Steve Allan,20
183,0,24356,Jason Buha,20
185,0,12388,Michael Clark II,19
185,0,01249,John Daly,19
187,0,07003,David Berganio Jr.,18
187,0,01306,David Edwards,18
187,0,01313,Steve Elkington,18
187,0,12760,Danny Ellis,18
187,0,06064,Jeff Gallagher,18
187,0,01418,Bill Glasson,18
187,0,24502,Adam Scott,18
194,0,20623,Gavin Coles,17
194,0,01261,Jay Delsing,17
194,0,23125,Brad Elder,17
194,0,01408,Kelly Gibson,17
194,0,01926,Steve Pate,17
199,0,01142,Bart Bryant,16
199,0,20585,Niclas Fasth,16
199,0,21731,Freddie Jacobson,16
199,0,06090,Jim McGovern,16
199,0,22405,Justin Rose,16
199,0,25450,Ty Tryon,16
199,0,02294,Willie Wood,16
206,0,01185,Brandel Chamblee,15
206,0,01599,Steve Jones,15
206,0,06475,Jeff Klein,15
206,0,06350,Bob May,15
210,0,20766,Padraig Harrington,14
210,0,06373,José María Olazábal,14
210,0,02099,Scott Simpson,14
210,0,02257,Brian Watts,14
210,0,20566,Kaname Yokoo,14
215,0,01219,John Cook,13
215,0,22624,Joel Kribel,13
215,0,01823,Larry Mize,13
215,0,10649,Tom Scherrer,13
215,0,12663,Phil Tataurangi,13
215,0,02230,Stan Utley,13
215,0,26489,Cameron Yancey,13
222,0,01771,Blaine McCallister,12
222,0,01920,Craig Parry,12
222,0,20474,Phillip Price,12
222,0,02131,Mike Springer,12
226,0,01374,Robin Freeman,11
226,0,06012,Greg Kraft,11
226,0,02135,Mike Standly,11
229,0,12394,Tom Carter,10
229,0,01203,Russ Cochran,10
229,0,22378,Trevor Immelman,10
229,0,02133,Craig Stadler,10
233,0,06214,Guy Boros,9
233,0,20848,Ángel Cabrera,9
233,0,01326,Nick Faldo,9
233,0,01334,Keith Fergus,9
237,0,24846,Ricky Barnes,8
237,0,01527,Scott Hoch,8
237,0,24781,Hunter Mahan,8
240,0,01143,Brad Bryant,7
240,0,09011,David Duval,7
240,0,01385,Jim Gallagher Jr.,7
240,0,01444,Ken Green,7
240,0,20382,Stephen Leaney,7
240,0,02322,Richard Zokol,7
246,0,19904,Paul Lawrie,6
246,0,20676,Patrick Moore,6
246,0,07235,John Morse,6
246,0,19817,Michael Muehr,6
246,0,01876,Greg Norman,6
251,0,01282,Trevor Dodds,5
251,0,01468,Gary Hallberg,5
251,0,06016,Brad Lardon,5
251,0,25572,Graeme McDowell,5
251,0,08535,Gary Nicklaus,5
251,0,25190,Jeff Quinney,5
251,0,23497,Tag Ridings,5
251,0,20396,Lee Westwood,5
259,0,01014,Fulton Allem,4
259,0,25364,Paul Casey,4
259,0,01191,Barry Cheesman,4
259,0,24427,Chris Downes,4
259,0,20378,Mathias Grönberg,4
259,0,22034,Yasuharu Imano,4
259,0,19795,Kelly Mitchum,4
259,0,08635,Colin Montgomerie,4
259,0,23091,Alan Morin,4
259,0,24138,Ian Poulter,4
259,0,02020,Eduardo Romero,4
270,0,10944,Thomas Bjørn,3
270,0,01116,Michael Bradley,3
270,0,21753,Brian Davis,3
270,0,10705,Paul Dietsche,3
270,0,20043,Edward Fryatt,3
270,0,20473,Ignacio Garrido,3
270,0,01425,Ernie Gonzalez,3
270,0,01510,Nolan Henke,3
270,0,20433,Mark Hensby,3
270,0,01549,Mike Hulbert,3
270,0,06315,Pete Jordan,3
