RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,TOURN/COURSE,ROUND
1,0,12510,Chad Campbell,61,THE TOUR Champ/,3
1,0,01457,Jay Haas,61,Bob Hope Chrysl,2
1,0,12782,Tim Herron,61,Bob Hope Chrysl,3
1,0,10860,Justin Leonard,61,Colonial/Coloni,4
1,0,24361,Pat Perez,61,Bob Hope Chrysl,2
1,0,01945,Kenny Perry,61,Colonial/Coloni,3
1,0,22293,Heath Slocum,61,Texas Open/LaCa,1
1,0,02223,Bob Tway,61,Texas Open/LaCa,1
9,0,20098,Stuart Appleby,62,Las Vegas Inv'l,1
9,0,01035,Tommy Armour III,62,Texas Open/LaCa,2
9,0,22371,Aaron Baddeley,62,Texas Open/LaCa,4
9,0,20498,Briny Baird,62,FUNAI-Disney/Pa,2
9,0,19824,Craig Barlow,62,Las Vegas Inv'l,1
9,0,24357,K.J. Choi,62,Texas Open/LaCa,2
9,0,06251,Chris DiMarco,62,Phoenix Open/TP,3
9,0,09011,David Duval,62,Capital Open/TP,2
9,0,07457,Steve Flesch,62,Las Vegas Inv'l,1
9,0,01361,Dan Forsman,62,Las Vegas Inv'l,1
9,0,21805,Harrison Frazar,62,Bob Hope Chrysl,2
9,0,01381,Fred Funk,62,WGC-NEC Invit'l,2
9,0,23338,David Gossett,62,Bob Hope Chrysl,3
9,0,08337,Mike Heinen,62,Milwaukee Open/,4
9,0,08075,Jerry Kelly,62,Honda Classic/C,2
9,0,01685,J.L. Lewis,62,Pennsylvania/Ne,4
9,0,01707,Steve Lowery,62,Bob Hope Chrysl,3
9,0,10585,Scott McCarron,62,Las Vegas Inv'l,2
9,0,20663,Brenden Pappas,62,So. Farm Bureau,4
9,0,01968,Nick Price,62,FedEx St. Jude/,4
9,0,02010,Loren Roberts,62,Texas Open/LaCa,4
9,0,24502,Adam Scott,62,Deutsche Bank/T,2
9,0,06527,Steve Stricker,62,Phoenix Open/TP,2
9,0,02239,Scott Verplank,62,Las Vegas Inv'l,2
9,0,02246,Duffy Waldorf,62,Texas Open/LaCa,3
34,0,06004,Stephen Ames,63,Bob Hope Chrysl,1
34,0,07867,Woody Austin,63,FUNAI-Disney/Ma,2
34,0,21739,Aaron Barber,63,Las Vegas Inv'l,1
34,0,07721,Pat Bates,63,B.C. Open/En-Jo,2
34,0,12652,Cameron Beckman,63,Texas Open/LaCa,1
34,0,23614,Rich Beem,63,Las Vegas Inv'l,1
34,0,20029,Notah Begay III,63,Texas Open/LaCa,2
34,0,08123,Jeff Brehaut,63,Honda Classic/C,1
34,0,24925,Jonathan Byrd,63,Mercedes Champ/,4
34,0,01157,Tom Byrum,63,Texas Open/LaCa,1
34,0,23135,Tim Clark,63,Texas Open/LaCa,2
34,0,19825,Darren Clarke,63,Las Vegas Inv'l,1
34,0,23541,Ben Crane,63,BellSouth Class,4
34,0,08931,Glen Day,63,Las Vegas Inv'l,2
34,0,06621,Joe Durant,63,Bob Hope Chrysl,2
34,0,01320,Bob Estes,63,FUNAI-Disney/Ma,2
34,0,01329,Brad Faxon,63,Las Vegas Inv'l,4
34,0,01418,Bill Glasson,63,Las Vegas Inv'l,3
34,0,22892,Jason Gore,63,Milwaukee Open/,4
34,0,01475,Donnie Hammond,63,MCI Heritage/Ha,2
34,0,21961,Charles Howell III,63,Las Vegas Inv'l,1
34,0,01553,John Huston,63,FedEx St. Jude/,2
34,0,01569,Peter Jacobsen,63,Greensboro/Fore,1
34,0,20094,Jonathan Kaye,63,Deutsche Bank/T,3
34,0,12705,Cliff Kresge,63,Texas Open/LaCa,1
34,0,01677,Tom Lehman,63,Texas Open/LaCa,2
34,0,11032,Frank Lickliter II,63,Tucson/Tucson N,2
34,0,01797,Rocco Mediate,63,Mercedes Champ/,4
34,0,01810,Phil Mickelson,63,Bob Hope Chrysl,3
34,0,26950,John Morgan,63,Tucson/Tucson N,2
34,0,01948,Tim Petrovic,63,Phoenix Open/TP,2
34,0,25345,Carl Pettersson,63,John Deere Clas,4
34,0,20127,Chris Riley,63,Hartford Open/T,3
34,0,22405,Justin Rose,63,Deutsche Bank/T,1
34,0,23621,Rory Sabbatini,63,Texas Open/LaCa,1
34,0,20645,John Senden,63,Las Vegas Inv'l,1
34,0,06567,Vijay Singh,63,U.S. Open Champ,2
34,0,02104,Jeff Sluman,63,EDS B. Nelson/C,1
34,0,11011,Mike Sposa,63,HP Classic/Engl,2
34,0,02133,Craig Stadler,63,B.C. Open/En-Jo,4
34,0,22295,Darron Stiles,63,Hartford Open/T,2
34,0,02170,Hal Sutton,63,Texas Open/LaCa,2
34,0,02206,David Toms,63,Phoenix Open/TP,3
34,0,02214,Kirk Triplett,63,Reno-Tahoe Open,4
34,0,12602,Dean Wilson,63,Las Vegas Inv'l,2
34,0,08793,Tiger Woods,63,100th Western/C,1
80,0,10885,Robert Allenby,64,Deutsche Bank/T,2
80,0,01024,Billy Andrade,64,Pennsylvania/Ne,2
80,0,24846,Ricky Barnes,64,Las Vegas Inv'l,2
80,0,12661,Todd Barranger,64,Tucson/Tucson N,2
80,0,01098,Jay Don Blake,64,Milwaukee Open/,1
80,0,01127,Danny Briggs,64,Buick Open/Warw,2
80,0,01132,Mark Brooks,64,Las Vegas Inv'l,3
80,0,01139,Olin Browne,64,Texas Open/LaCa,2
80,0,06809,Bob Burns,64,Las Vegas Inv'l,1
80,0,01161,Mark Calcavecchia,64,Phoenix Open/TP,2
80,0,20472,Alex Cejka,64,Phoenix Open/TP,4
80,0,20593,Greg Chalmers,64,Shell Houston/R,3
80,0,01203,Russ Cochran,64,Las Vegas Inv'l,1
80,0,01219,John Cook,64,Bob Hope Chrysl,1
80,0,22621,Ben Curtis,64,WGC-NEC Invit'l,1
80,0,01249,John Daly,64,Bob Hope Chrysl,3
80,0,19881,Robert Damron,64,Hartford Open/T,2
80,0,06034,Marco Dawson,64,Colonial/Coloni,4
80,0,23983,Luke Donald,64,Pennsylvania/Ne,4
80,0,24427,Chris Downes,64,B.C. Open/En-Jo,3
80,0,06522,Ernie Els,64,Mercedes Champ/,1
80,0,10809,Jim Furyk,64,EDS B. Nelson/T,1
80,0,01388,Robert Gamez,64,Capital Open/TP,4
80,0,21209,Sergio Garcia,64,WGC-NEC Invit'l,1
80,0,10201,Matt Gogel,64,Bob Hope Chrysl,3
80,0,20157,Retief Goosen,64,FUNAI-Disney/Pa,2
80,0,06643,Paul Goydos,64,Texas Open/LaCa,2
80,0,07941,Mike Grob,64,B.C. Open/En-Jo,4
80,0,06617,Brian Henninger,64,Hartford Open/T,2
80,0,08545,Glen Hnatiuk,64,Texas Open/LaCa,3
80,0,06573,Brandt Jobe,64,Colonial/Coloni,4
80,0,26420,Richard Johnson,64,FedEx St. Jude/,1
80,0,23552,Hank Kuehne,64,Shell Houston/R,2
80,0,06332,Neal Lancaster,64,Honda Classic/C,2
80,0,01706,Davis Love III,64,THE PLAYERS/TPC,4
80,0,01723,Andrew Magee,64,Buick Open/Warw,2
80,0,01724,Jeff Maggert,64,Shell Houston/R,4
80,0,08547,John Maginnes,64,Bob Hope Chrysl,4
