RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL APEX RANGE,TOTAL ATTEMPTS
1,0,30925,Dustin Johnson,202.0,12927.1,64
2,0,31323,Gary Woodland,201.7,6051.0,30
3,0,27141,J.B. Holmes,201.1,10254.5,51
4,0,25804,Bubba Watson,200.5,9625.0,48
5,0,23497,Tag Ridings,198.9,8155.9,41
6,0,24358,Robert Garrigus,198.4,11907.0,60
7,0,12716,Charley Hoffman,198.0,15836.7,80
7,0,08793,Tiger Woods,198.0,7920.7,40
9,0,27095,Nick Watney,196.2,14322.8,73
10,0,24502,Adam Scott,196.0,8426.1,43
11,0,01810,Phil Mickelson,195.9,8421.7,43
12,0,27936,Martin Laird,195.3,9567.7,49
13,0,20848,Ángel Cabrera,194.7,7008.5,36
14,0,24924,Bill Haas,194.0,15523.2,80
15,0,26851,Marc Leishman,192.6,13672.1,71
16,0,24490,George McNeill,192.2,14220.5,74
17,0,01706,Davis Love III,191.7,12653.0,66
18,0,27120,Troy Matteson,191.2,16247.8,85
18,0,20645,John Senden,191.2,14910.6,78
20,0,25632,Jimmy Walker,190.8,9540.4,50
21,0,21209,Sergio Garcia,190.6,8004.8,42
22,0,20691,Greg Owen,190.0,16149.3,85
23,0,21805,Harrison Frazar,189.9,13670.9,72
24,0,25900,Lucas Glover,189.7,13277.4,70
24,0,27683,Leif Olson,189.7,7210.3,38
26,0,21961,Charles Howell III,189.6,16117.2,85
26,0,26300,Matt Jones,189.6,7393.9,39
28,0,28089,Jason Day,189.3,9087.2,48
29,0,25562,Andres Romero,189.0,9447.5,50
30,0,20850,Daniel Chopra,188.8,16233.6,86
31,0,22371,Aaron Baddeley,188.7,9055.7,48
32,0,29718,Anthony Kim,188.5,10745.7,57
33,0,27214,Kevin Streelman,188.2,15993.7,85
34,0,27933,John Merrick,187.9,12964.4,69
35,0,24846,Ricky Barnes,187.8,9013.0,48
36,0,23623,Bo Van Pelt,187.5,13690.9,73
37,0,24925,Jonathan Byrd,187.4,11616.2,62
37,0,09011,David Duval,187.4,6558.7,35
