RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL APEX HEIGHT,TOTAL ATTEMPTS
1,0,26851,Marc Leishman,120' 7",8560' 3",71
2,0,25632,Jimmy Walker,118' 6",5924' 3",50
3,0,01810,Phil Mickelson,117' 8",5058' 6",43
4,0,24358,Robert Garrigus,116' 11",7014' 2",60
5,0,21805,Harrison Frazar,116' 2",8364' 3",72
6,0,27141,J.B. Holmes,116' 0",5913',51
7,0,31323,Gary Woodland,113' 4",3399' 7",30
8,0,23497,Tag Ridings,111' 0",4551' 2",41
9,0,06567,Vijay Singh,110' 5",6626',60
10,0,06595,Kevin Sutherland,110' 3",7057' 7",64
11,0,12716,Charley Hoffman,109' 2",8734' 4",80
12,0,24925,Jonathan Byrd,107' 11",6690' 3",62
13,0,25804,Bubba Watson,107' 8",5166' 2",48
14,0,07223,Brian Bateman,107' 7",5164' 3",48
14,0,01706,Davis Love III,107' 7",7097' 9",66
16,0,27933,John Merrick,107' 5",7413' 9",69
17,0,22295,Darron Stiles,106' 10",3524' 6",33
18,0,25562,Andres Romero,106' 9",5339' 6",50
19,0,29221,Webb Simpson,106' 8",7892' 4",74
19,0,08793,Tiger Woods,106' 8",4267' 9",40
21,0,28158,Steve Marino,106' 7",8737' 7",82
22,0,30925,Dustin Johnson,106' 6",6813',64
23,0,23320,Ryan Palmer,106' 5",7236' 2",68
24,0,28089,Jason Day,106' 4",5102' 3",48
25,0,20766,Padraig Harrington,106' 0",4877' 5",46
25,0,22046,Geoff Ogilvy,106' 0",7103' 6",67
27,0,21959,Ted Purdy,105' 11",8369' 3",79
28,0,27120,Troy Matteson,105' 8",8983' 7",85
29,0,29718,Anthony Kim,105' 5",6007' 2",57
30,0,21878,Mark Wilson,104' 3",8029' 3",77
31,0,20157,Retief Goosen,103' 10",5607' 9",54
32,0,26679,Kevin Stadler,103' 2",4643' 6",45
33,0,01766,Billy Mayfair,103' 0",6692' 7",65
34,0,28780,Nicholas Thompson,102' 10",8224' 0",80
35,0,09011,David Duval,102' 7",3591' 8",35
36,0,27936,Martin Laird,102' 5",5017' 5",49
37,0,10885,Robert Allenby,101' 8",5593' 8",55
38,0,27214,Kevin Streelman,101' 7",8632' 2",85
39,0,23349,Charles Warren,101' 5",4767' 0",47
40,0,25818,Scott Piercy,101' 4",6180' 9",61
41,0,27963,Chris Stroud,101' 2",5663' 6",56
42,0,24490,George McNeill,101' 1",7479' 8",74
42,0,21949,Joe Ogilvie,101' 1",6569' 1",65
44,0,27649,Brandt Snedeker,101' 0",6160',61
45,0,30927,Brendon Todd,100' 10",4838',48
46,0,06539,Rick Price,100' 8",3924' 6",39
47,0,10585,Scott McCarron,99' 11",7394' 9",74
47,0,01945,Kenny Perry,99' 11",7691' 4",77
49,0,06522,Ernie Els,99' 9",5085' 9",51
50,0,23614,Rich Beem,99' 8",5181' 1",52
50,0,27683,Leif Olson,99' 8",3788' 6",38
52,0,10117,Bob Heintz,99' 2",4265' 3",43
52,0,23623,Bo Van Pelt,99' 2",7238' 6",73
52,0,26498,Matt Weibring,99' 2",4758' 1",48
55,0,06251,Chris DiMarco,98' 10",8005' 8",81
55,0,20574,Mathew Goggin,98' 10",5535' 2",56
57,0,10733,Kent Jones,98' 9",5233' 3",53
58,0,23983,Luke Donald,98' 8",6313' 2",64
59,0,23325,Vaughn Taylor,98' 7",6405' 9",65
60,0,26300,Matt Jones,98' 5",3839' 6",39
61,0,23800,Bryce Molder,98' 3",5108' 8",52
62,0,20229,Stewart Cink,98' 1",6279' 6",64
63,0,24361,Pat Perez,97' 11",6166' 8",63
64,0,20848,Ángel Cabrera,97' 10",3521' 1",36
65,0,21753,Brian Davis,97' 8",9081' 7",93
66,0,24507,Jason Bohn,97' 7",7905' 8",81
67,0,24924,Bill Haas,97' 2",7775',80
67,0,20645,John Senden,97' 2",7576' 7",78
69,0,28620,Aron Price,96' 5",6845' 7",71
70,0,23638,Brendon de Jonge,96' 4",6455' 4",67
70,0,02206,David Toms,96' 4",7706' 8",80
72,0,22913,John Rollins,96' 3",7509',78
73,0,01226,Fred Couples,96' 2",3942' 2",41
74,0,23548,Bill Lunde,96' 1",7204' 8",75
75,0,22371,Aaron Baddeley,96' 0",4609',48
76,0,21209,Sergio Garcia,95' 8",4017' 9",42
76,0,27060,John Mallinger,95' 8",6984' 3",73
