RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,AVERAGE CARRY DIST. YARDS,AVERAGE CLUB HEAD SPEED,TOTAL ATTEMPTS,HIGHEST CARRY EFFICIENCY
1,0,01249,John Daly,2.491,293.8,117.930,25,0216102727
2,0,21878,Mark Wilson,2.482,265.2,106.839,67,0213502774
3,0,25562,Andres Romero,2.467,287.6,116.558,58,0204602736
4,0,23320,Ryan Palmer,2.464,282.4,114.609,63,0218902646
5,0,27141,J.B. Holmes,2.463,302.2,122.668,63,0211802774
6,0,25818,Scott Piercy,2.462,284.8,115.658,55,0207302709
7,0,01810,Phil Mickelson,2.453,293.8,119.756,40,0183902661
8,0,27797,Derek Lamely,2.448,284.5,116.230,49,0226202672
8,0,27933,John Merrick,2.448,274.2,112.000,79,0206202731
10,0,27120,Troy Matteson,2.445,286.7,117.268,67,0196602756
11,0,21959,Ted Purdy,2.444,279.3,114.268,56,0210002676
11,0,22293,Heath Slocum,2.444,261.3,106.918,76,0204502674
13,0,24024,Zach Johnson,2.443,263.7,107.907,74,0215002974
13,0,28620,Aron Price,2.443,263.0,107.686,44,0229802585
15,0,28237,Rory McIlroy,2.442,284.7,116.584,40,0198802768
15,0,02206,David Toms,2.442,261.5,107.096,65,0209202682
17,0,30925,Dustin Johnson,2.440,297.1,121.766,55,0212302707
17,0,21949,Joe Ogilvie,2.440,271.0,111.090,75,0209702684
19,0,27060,John Mallinger,2.439,260.2,106.690,44,0209402658
20,0,06567,Vijay Singh,2.438,277.2,113.716,56,0210402682
21,0,20766,Padraig Harrington,2.435,280.9,115.380,46,0211302690
22,0,01766,Billy Mayfair,2.434,266.5,109.494,52,0223902695
23,0,23541,Ben Crane,2.433,264.9,108.883,67,0217202671
24,0,01161,Mark Calcavecchia,2.432,273.7,112.534,35,0220402703
24,0,23325,Vaughn Taylor,2.432,266.5,109.577,67,0206402660
24,0,23623,Bo Van Pelt,2.432,278.6,114.592,73,0220102727
27,0,25364,Paul Casey,2.430,290.4,119.489,30,0218002629
27,0,28158,Steve Marino,2.430,278.1,114.404,63,0206502636
29,0,01945,Kenny Perry,2.429,269.6,110.978,55,0212602693
30,0,24912,Will MacKenzie,2.428,271.6,111.870,56,0224302633
30,0,06595,Kevin Sutherland,2.428,271.9,111.995,70,0212002633
32,0,27649,Brandt Snedeker,2.427,262.4,108.094,70,0210702764
33,0,20378,Mathias Grönberg,2.426,271.7,111.989,37,0218102610
33,0,08375,Paul Stankowski,2.426,271.1,111.745,34,0219702638
35,0,23621,Rory Sabbatini,2.425,276.1,113.824,45,0203002672
35,0,26287,Roland Thatcher,2.425,269.5,111.117,57,0205402706
37,0,23788,D.J. Trahan,2.423,280.9,115.938,73,0217702796
38,0,01724,Jeff Maggert,2.419,257.4,106.389,55,0223702608
39,0,23307,Roger Tambellini,2.418,271.5,112.275,51,0216202728
40,0,01706,Davis Love III,2.417,284.1,117.536,54,0206602684
41,0,22056,Cameron Percy,2.416,276.7,114.497,45,0226202654
41,0,22913,John Rollins,2.416,277.1,114.705,66,0214602688
43,0,32102,Rickie Fowler,2.415,277.7,115.005,74,0205302651
44,0,08537,J.P. Hayes,2.414,261.3,108.248,62,0210802697
44,0,06527,Steve Stricker,2.414,268.2,111.098,57,0212202756
44,0,27330,Josh Teater,2.414,275.6,114.149,76,0218102668
47,0,06012,Greg Kraft,2.413,255.0,105.675,32,0218202607
48,0,12782,Tim Herron,2.412,271.6,112.577,56,0221802685
48,0,26392,Chris Wilson,2.412,273.9,113.574,40,0216702753
50,0,20229,Stewart Cink,2.411,278.3,115.452,60,0210202813
50,0,06251,Chris DiMarco,2.411,259.8,107.749,56,0214202600
50,0,22046,Geoff Ogilvy,2.411,274.9,114.026,52,0213002705
50,0,07749,Brett Quigley,2.411,271.3,112.537,66,0207902616
54,0,28089,Jason Day,2.410,283.7,117.726,58,0201202721
55,0,28087,Kris Blanks,2.409,268.8,111.609,63,0214302636
55,0,21753,Brian Davis,2.409,260.2,107.993,70,0207202728
55,0,31560,Brian Stuard,2.409,265.4,110.168,63,0216602631
55,0,28780,Nicholas Thompson,2.409,271.3,112.603,63,0204202656
59,0,23673,Michael Connell,2.408,263.8,109.547,66,0219702562
59,0,23548,Bill Lunde,2.408,267.5,111.101,54,0205502654
59,0,23349,Charles Warren,2.408,283.2,117.616,39,0221502588
62,0,27302,Garth Mulroy,2.407,276.9,115.043,32,0213902593
63,0,20472,Alex Cejka,2.406,259.2,107.719,56,0214202646
64,0,23613,Rich Barcelo,2.405,272.3,113.239,42,0222302570
64,0,27436,Graham DeLaet,2.405,291.8,121.313,45,0212502636
64,0,26679,Kevin Stadler,2.405,273.9,113.889,57,0217602667
67,0,32617,Jerod Turner,2.404,260.6,108.400,34,0217802671
68,0,24925,Jonathan Byrd,2.403,278.1,115.704,64,0202602656
68,0,20105,Jeff Gove,2.403,265.6,110.515,32,0210702662
70,0,25345,Carl Pettersson,2.402,263.5,109.713,87,0203502622
71,0,24507,Jason Bohn,2.399,261.9,109.153,72,0197602613
71,0,20848,Ángel Cabrera,2.399,289.1,120.518,45,0173402852
71,0,28475,Jeff Overton,2.399,277.8,115.817,59,0211002655
74,0,22122,Andrew McLardy,2.398,274.9,114.653,30,0218302577
74,0,01797,Rocco Mediate,2.398,259.3,108.131,53,0220702598
76,0,20574,Mathew Goggin,2.397,275.4,114.891,52,0208102708
76,0,08075,Jerry Kelly,2.397,259.9,108.413,69,0201102664
76,0,26851,Marc Leishman,2.397,279.5,116.618,65,0201002626
79,0,20663,Brenden Pappas,2.396,274.4,114.542,38,0213502615
80,0,24490,George McNeill,2.395,279.4,116.675,53,0202302701
80,0,27963,Chris Stroud,2.395,268.2,112.001,56,0201702594
82,0,24358,Robert Garrigus,2.393,291.6,121.843,35,0214002651
82,0,30946,Alex Prugh,2.393,280.1,117.028,64,0196302651
84,0,10885,Robert Allenby,2.392,269.5,112.681,54,0200302641
84,0,22371,Aaron Baddeley,2.392,286.6,119.813,66,0210902601
86,0,22621,Ben Curtis,2.390,259.2,108.429,65,0203402596
86,0,27936,Martin Laird,2.390,282.2,118.083,69,0187302818
86,0,26596,Ryan Moore,2.390,272.1,113.825,59,0206302680
89,0,27613,David Lutterus,2.389,268.1,112.225,37,0211502617
89,0,12714,Chris Tidland,2.389,270.4,113.197,57,0217002645
91,0,24227,Justin Bolli,2.388,256.1,107.224,34,0220702605
91,0,22405,Justin Rose,2.388,271.3,113.623,58,0200102602
93,0,24138,Ian Poulter,2.386,264.6,110.876,34,0214002605
94,0,20850,Daniel Chopra,2.385,279.4,117.159,55,0202502657
94,0,29221,Webb Simpson,2.385,263.6,110.513,82,0213602656
96,0,27466,Spencer Levin,2.384,262.2,109.997,79,0210402688
96,0,26881,Jarrod Lyle,2.384,269.7,113.104,39,0213602589
96,0,24781,Hunter Mahan,2.384,267.7,112.280,71,0182802627
96,0,24140,Sean O'Hair,2.384,270.8,113.578,59,0201602696
100,0,20157,Retief Goosen,2.383,274.0,114.959,45,0204802653
100,0,06514,Kevin Johnson,2.383,258.8,108.628,40,0212402602
100,0,01707,Steve Lowery,2.383,268.2,112.559,42,0212302595
103,0,06522,Ernie Els,2.382,270.8,113.679,51,0199902683
103,0,28500,Martin Flores,2.382,284.0,119.265,49,0195302551
103,0,26300,Matt Jones,2.382,276.3,115.987,62,0220902592
103,0,24663,Y.E. Yang,2.382,269.8,113.273,41,0182702857
107,0,07363,Craig Bowden,2.381,244.6,102.712,37,0210702573
107,0,01577,Lee Janzen,2.381,269.0,112.984,56,0206202596
107,0,32640,Troy Merritt,2.381,270.7,113.702,56,0219102599
110,0,29910,Blake Adams,2.379,274.0,115.196,62,0214502616
110,0,26289,Boo Weekley,2.379,274.7,115.450,67,0213902643
112,0,09011,David Duval,2.378,272.5,114.630,35,0206702600
113,0,23638,Brendon de Jonge,2.376,269.1,113.281,81,0215902611
114,0,22946,Henrik Bjornstad,2.375,267.7,112.723,43,0208702590
114,0,26695,Michael Letzig,2.375,268.7,113.161,65,0209402617
114,0,27770,Camilo Villegas,2.375,272.9,114.920,45,0198402664
114,0,20436,Garrett Willis,2.375,260.6,109.697,62,0217802591
118,0,23322,Brett Wetterich,2.374,282.8,119.117,36,0207102675
119,0,24357,K.J. Choi,2.373,264.0,111.250,57,0191802715
119,0,21209,Sergio Garcia,2.373,282.0,118.848,32,0208902649
119,0,33419,Cameron Tringale,2.373,274.2,115.527,34,0215002526
119,0,08385,Omar Uresti,2.373,250.8,105.687,52,0216202730
123,0,23135,Tim Clark,2.372,251.0,105.817,62,0206602618
124,0,21350,Ryuji Imada,2.371,260.3,109.821,74,0215902651
124,0,01941,Tom Pernice Jr.,2.371,256.7,108.260,40,0209702599
126,0,12716,Charley Hoffman,2.370,281.7,118.855,70,0204602738
126,0,12705,Cliff Kresge,2.370,253.5,106.975,30,0219402553
128,0,12652,Cameron Beckman,2.369,260.3,109.881,50,0205502577
129,0,25892,Steve Wheatcroft,2.368,260.1,109.828,42,0207502572
130,0,25240,D.A. Points,2.367,262.4,110.863,69,0214502570
131,0,01619,Skip Kendall,2.364,251.3,106.327,35,0215202574
131,0,23108,Matt Kuchar,2.364,261.8,110.730,70,0209202641
133,0,25804,Bubba Watson,2.363,291.7,123.486,52,0198602732
134,0,20098,Stuart Appleby,2.362,271.9,115.142,81,0213102663
134,0,10585,Scott McCarron,2.362,268.8,113.798,67,0203902617
136,0,12510,Chad Campbell,2.356,265.1,112.525,60,0205302523
136,0,28307,Matt Every,2.356,271.2,115.110,40,0219802576
136,0,20691,Greg Owen,2.356,273.0,115.908,55,0208502526
136,0,10425,Jay Williamson,2.356,258.0,109.475,51,0211202559
140,0,01313,Steve Elkington,2.354,259.1,110.089,50,0184402702
140,0,27095,Nick Watney,2.354,278.6,118.353,66,0202502617
142,0,25686,Jason Dufner,2.352,261.5,111.167,63,0203502617
142,0,06643,Paul Goydos,2.352,249.5,106.074,62,0216802537
142,0,25632,Jimmy Walker,2.352,280.4,119.246,50,0199802669
145,0,01948,Tim Petrovic,2.351,260.7,110.894,76,0208202517
145,0,24502,Adam Scott,2.351,277.9,118.194,52,0209202666
147,0,23983,Luke Donald,2.348,260.2,110.838,55,0210302592
147,0,25900,Lucas Glover,2.348,273.3,116.402,50,0183002752
149,0,10809,Jim Furyk,2.347,255.1,108.723,66,0205502622
150,0,19846,Brian Gay,2.343,241.4,103.003,84,0195402675
150,0,24361,Pat Perez,2.343,268.9,114.755,68,0205002822
150,0,25190,Jeff Quinney,2.343,246.6,105.287,58,0212102709
150,0,26882,Michael Sim,2.343,264.3,112.773,46,0200002613
154,0,07867,Woody Austin,2.340,264.0,112.806,66,0211102540
155,0,10860,Justin Leonard,2.339,252.7,108.002,68,0202102600
156,0,24924,Bill Haas,2.338,277.2,118.534,67,0198002600
156,0,23353,J.J. Henry,2.338,270.5,115.698,68,0210402590
158,0,27214,Kevin Streelman,2.336,270.2,115.651,69,0204302538
159,0,01116,Michael Bradley,2.334,263.7,112.960,42,0194802566
159,0,23800,Bryce Molder,2.334,255.5,109.469,64,0199202616
159,0,20645,John Senden,2.334,273.4,117.128,73,0203602549
159,0,20160,Charlie Wi,2.334,261.5,112.058,73,0200802610
163,0,26420,Richard Johnson,2.332,254.0,108.928,51,0211402587
164,0,12602,Dean Wilson,2.331,254.4,109.145,31,0209502493
165,0,20498,Briny Baird,2.330,256.0,109.849,61,0197102624
165,0,20070,Matt Bettencourt,2.330,267.2,114.689,47,0187002630
167,0,26951,Johnson Wagner,2.327,257.7,110.727,62,0173502577
168,0,07457,Steve Flesch,2.325,252.7,108.691,51,0203602558
169,0,29285,Brent Delahoussaye,2.324,248.1,106.752,34,0213102506
170,0,20572,Rod Pampling,2.323,261.1,112.412,58,0206702598
171,0,02239,Scott Verplank,2.320,248.1,106.928,58,0199002548
172,0,20593,Greg Chalmers,2.319,255.5,110.182,81,0200302569
172,0,20127,Chris Riley,2.319,253.0,109.104,53,0211202520
174,0,25720,Chad Collins,2.318,256.3,110.532,67,0205302552
174,0,20686,Jeev Milkha Singh,2.318,262.5,113.251,34,0197802538
176,0,26301,James Nitties,2.317,266.1,114.833,49,0198402531
177,0,12755,Vance Veazey,2.315,260.2,112.382,37,0196602574
178,0,23409,James Driscoll,2.314,274.9,118.822,58,0206202526
179,0,21961,Charles Howell III,2.311,272.4,117.845,78,0202402506
180,0,21731,Freddie Jacobson,2.309,263.1,113.957,72,0190302565
181,0,11123,Chris Couch,2.308,281.0,121.736,39,0206402567
182,0,06004,Stephen Ames,2.307,258.5,112.064,52,0205202526
183,0,06515,Shaun Micheel,2.306,255.8,110.924,44,0194902542
184,0,06621,Joe Durant,2.305,260.2,112.853,43,0201602684
184,0,23718,Nathan Green,2.305,256.8,111.416,64,0187702549
186,0,01320,Bob Estes,2.297,257.6,112.128,62,0202502516
187,0,01329,Brad Faxon,2.283,242.6,106.247,43,0183802580
188,0,24846,Ricky Barnes,2.273,266.1,117.067,69,0196402587
188,0,08725,Tom Gillis,2.273,259.9,114.346,78,0205202540
190,0,10423,Mike Weir,2.269,246.9,108.793,35,0175702531
191,0,25396,Kevin Na,2.255,251.3,111.436,68,0198802517
192,0,22378,Trevor Immelman,2.241,258.4,115.320,34,0188002427
