RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SPIN SPEED,TOTAL ATTEMPTS
1,0,06621,Joe Durant,3359.3,131013,39
2,0,11123,Chris Couch,3307.4,82686,25
3,0,22046,Geoff Ogilvy,3157.1,164169,52
4,0,23409,James Driscoll,3128.3,168930,54
5,0,08725,Tom Gillis,3098.9,226220,73
6,0,01116,Michael Bradley,3075.2,132235,43
7,0,20574,Mathew Goggin,3073.3,141372,46
8,0,24361,Pat Perez,3067.4,205518,67
9,0,23983,Luke Donald,3056.2,134471,44
10,0,21209,Sergio Garcia,3040.2,91205,30
11,0,22122,Andrew McLardy,3036.8,88066,29
12,0,20645,John Senden,3031.8,209192,69
13,0,24502,Adam Scott,3029.1,157513,52
14,0,24924,Bill Haas,3015.7,199036,66
15,0,26289,Boo Weekley,3012.4,180745,60
16,0,23718,Nathan Green,3000.9,180053,60
17,0,26882,Michael Sim,2997.8,137900,46
18,0,25396,Kevin Na,2990.8,188421,63
19,0,07867,Woody Austin,2989.5,185347,62
20,0,22371,Aaron Baddeley,2988.3,206194,69
20,0,22378,Trevor Immelman,2988.3,80684,27
22,0,10585,Scott McCarron,2975.2,196361,66
23,0,24846,Ricky Barnes,2969.5,190050,64
24,0,24925,Jonathan Byrd,2960.7,195404,66
25,0,26301,James Nitties,2944.9,144299,49
26,0,08385,Omar Uresti,2940.4,158780,54
27,0,27214,Kevin Streelman,2938.8,188081,64
28,0,21959,Ted Purdy,2929.2,140601,48
29,0,01941,Tom Pernice Jr.,2920.0,108041,37
30,0,23349,Charles Warren,2918.3,119652,41
31,0,25632,Jimmy Walker,2909.7,142575,49
32,0,01948,Tim Petrovic,2901.8,208933,72
33,0,20098,Stuart Appleby,2900.5,205935,71
34,0,12714,Chris Tidland,2898.6,162320,56
35,0,26881,Jarrod Lyle,2895.1,98434,34
36,0,08375,Paul Stankowski,2889.1,98228,34
37,0,20593,Greg Chalmers,2885.7,230857,80
38,0,23673,Michael Connell,2883.6,181667,63
38,0,21350,Ryuji Imada,2883.6,207617,72
40,0,23353,J.J. Henry,2883.1,178750,62
41,0,20691,Greg Owen,2871.5,134961,47
42,0,23613,Rich Barcelo,2871.1,123457,43
43,0,21731,Freddie Jacobson,2864.2,166121,58
44,0,01161,Mark Calcavecchia,2856.8,102844,36
45,0,24490,George McNeill,2848.5,159518,56
46,0,26300,Matt Jones,2839.8,187429,66
47,0,01619,Skip Kendall,2839.6,99387,35
48,0,12510,Chad Campbell,2833.6,184187,65
48,0,32640,Troy Merritt,2833.6,164346,58
50,0,29910,Blake Adams,2832.0,164257,58
51,0,20160,Charlie Wi,2830.7,178334,63
52,0,32102,Rickie Fowler,2829.8,209404,74
53,0,27095,Nick Watney,2827.4,172471,61
54,0,21961,Charles Howell III,2825.7,226053,80
55,0,23638,Brendon de Jonge,2825.1,242960,86
56,0,12602,Dean Wilson,2822.7,79036,28
57,0,28158,Steve Marino,2817.7,163428,58
58,0,27302,Garth Mulroy,2811.2,75903,27
59,0,12716,Charley Hoffman,2809.9,168594,60
60,0,26420,Richard Johnson,2809.3,148893,53
61,0,26951,Johnson Wagner,2807.5,162835,58
62,0,23541,Ben Crane,2803.1,187805,67
63,0,27436,Graham DeLaet,2802.0,126091,45
64,0,22405,Justin Rose,2801.0,176460,63
65,0,12755,Vance Veazey,2800.7,95225,34
66,0,06251,Chris DiMarco,2796.2,164976,59
67,0,26392,Chris Wilson,2795.0,97825,35
68,0,20572,Rod Pampling,2793.2,145248,52
69,0,26851,Marc Leishman,2792.0,164727,59
70,0,25686,Jason Dufner,2791.8,161924,58
71,0,23800,Bryce Molder,2788.4,175670,63
72,0,06004,Stephen Ames,2787.7,139383,50
73,0,25720,Chad Collins,2783.2,180906,65
74,0,19846,Brian Gay,2783.1,242126,87
75,0,01706,Davis Love III,2782.0,150229,54
76,0,22621,Ben Curtis,2781.3,166875,60
77,0,20157,Retief Goosen,2780.9,136265,49
78,0,24663,Y.E. Yang,2777.5,133321,48
79,0,20127,Chris Riley,2775.9,147123,53
80,0,01797,Rocco Mediate,2770.1,141273,51
81,0,25240,D.A. Points,2769.7,180028,65
82,0,27330,Josh Teater,2763.5,201738,73
83,0,27466,Spencer Levin,2758.0,206850,75
84,0,07749,Brett Quigley,2754.8,198343,72
85,0,27120,Troy Matteson,2748.7,178663,65
86,0,20686,Jeev Milkha Singh,2745.3,85104,31
87,0,01707,Steve Lowery,2739.4,106836,39
88,0,06595,Kevin Sutherland,2738.9,188984,69
89,0,32617,Jerod Turner,2728.0,87297,32
90,0,26695,Michael Letzig,2727.1,169081,62
91,0,23621,Rory Sabbatini,2725.1,133530,49
92,0,26596,Ryan Moore,2723.7,133462,49
93,0,07457,Steve Flesch,2722.5,130680,48
94,0,33419,Cameron Tringale,2720.9,97954,36
95,0,10425,Jay Williamson,2712.1,138317,51
96,0,20850,Daniel Chopra,2710.8,140961,52
97,0,06567,Vijay Singh,2701.7,137787,51
98,0,01320,Bob Estes,2694.8,153606,57
98,0,28307,Matt Every,2694.8,105099,39
100,0,25190,Jeff Quinney,2691.9,166897,62
101,0,01766,Billy Mayfair,2687.7,134384,50
102,0,30946,Alex Prugh,2687.6,166629,62
103,0,21753,Brian Davis,2684.8,169143,63
104,0,28237,Rory McIlroy,2684.7,99334,37
105,0,27936,Martin Laird,2681.6,171624,64
106,0,22056,Cameron Percy,2676.5,133827,50
107,0,10809,Jim Furyk,2674.5,157797,59
108,0,06527,Steve Stricker,2673.7,163095,61
109,0,01313,Steve Elkington,2672.8,122947,46
110,0,01329,Brad Faxon,2669.2,106769,40
111,0,23623,Bo Van Pelt,2668.4,205467,77
112,0,24138,Ian Poulter,2667.3,85354,32
113,0,28500,Martin Flores,2663.6,133178,50
114,0,20436,Garrett Willis,2661.6,162358,61
115,0,26287,Roland Thatcher,2660.1,143645,54
116,0,26679,Kevin Stadler,2657.8,138204,52
117,0,20766,Padraig Harrington,2657.7,122254,46
118,0,24140,Sean O'Hair,2657.2,183347,69
119,0,06515,Shaun Micheel,2654.8,108846,41
120,0,25804,Bubba Watson,2645.2,129614,49
121,0,27963,Chris Stroud,2645.1,145481,55
122,0,31560,Brian Stuard,2643.9,158633,60
123,0,20663,Brenden Pappas,2643.6,89883,34
124,0,24227,Justin Bolli,2638.5,89708,34
125,0,20848,Ángel Cabrera,2638.0,123987,47
126,0,23322,Brett Wetterich,2636.7,81739,31
127,0,22913,John Rollins,2632.2,155299,59
128,0,30925,Dustin Johnson,2629.1,163002,62
129,0,27933,John Merrick,2628.8,210304,80
130,0,08075,Jerry Kelly,2628.4,173476,66
131,0,20498,Briny Baird,2621.1,144162,55
132,0,22946,Henrik Bjornstad,2620.7,136278,52
133,0,06514,Kevin Johnson,2619.8,104791,40
134,0,06643,Paul Goydos,2618.2,162331,62
135,0,24507,Jason Bohn,2616.9,183180,70
136,0,24912,Will MacKenzie,2614.9,149048,57
137,0,10860,Justin Leonard,2614.3,185612,71
138,0,12652,Cameron Beckman,2609.4,106984,41
139,0,27797,Derek Lamely,2606.5,127717,49
140,0,23307,Roger Tambellini,2605.9,138112,53
141,0,28780,Nicholas Thompson,2604.3,153654,59
142,0,27141,J.B. Holmes,2603.8,140603,54
143,0,20472,Alex Cejka,2602.6,122320,47
144,0,25892,Steve Wheatcroft,2594.4,108966,42
145,0,25364,Paul Casey,2594.3,88205,34
146,0,27649,Brandt Snedeker,2593.4,191908,74
147,0,12782,Tim Herron,2588.2,126823,49
148,0,27613,David Lutterus,2577.3,100514,39
149,0,28087,Kris Blanks,2575.8,154546,60
150,0,21878,Mark Wilson,2574.4,167336,65
151,0,01810,Phil Mickelson,2573.4,84923,33
152,0,23548,Bill Lunde,2571.9,131167,51
153,0,21949,Joe Ogilvie,2567.2,166865,65
154,0,10885,Robert Allenby,2554.9,125189,49
155,0,29285,Brent Delahoussaye,2543.3,76299,30
156,0,02206,David Toms,2538.4,164993,65
157,0,22293,Heath Slocum,2534.5,190085,75
158,0,25900,Lucas Glover,2534.2,119109,47
159,0,06522,Ernie Els,2532.2,106352,42
160,0,20229,Stewart Cink,2524.8,161585,64
161,0,02239,Scott Verplank,2520.8,143683,57
162,0,09011,David Duval,2513.6,90490,36
163,0,25562,Andres Romero,2501.1,145066,58
164,0,28620,Aron Price,2500.9,112539,45
165,0,10423,Mike Weir,2498.1,84935,34
166,0,23320,Ryan Palmer,2491.0,164405,66
167,0,01577,Lee Janzen,2490.5,129507,52
168,0,23788,D.J. Trahan,2490.3,184280,74
169,0,23108,Matt Kuchar,2488.8,171726,69
170,0,06012,Greg Kraft,2488.6,67192,27
171,0,01249,John Daly,2484.8,57150,23
172,0,20378,Mathias Grönberg,2465.8,81371,33
173,0,25818,Scott Piercy,2458.4,127838,52
174,0,27060,John Mallinger,2455.7,100682,41
175,0,12705,Cliff Kresge,2436.5,80404,33
176,0,24024,Zach Johnson,2433.8,165500,68
177,0,07363,Craig Bowden,2424.1,77571,32
178,0,24358,Robert Garrigus,2406.9,91461,38
179,0,28475,Jeff Overton,2404.4,134649,56
180,0,20105,Jeff Gove,2397.5,74322,31
181,0,29221,Webb Simpson,2392.5,184220,77
182,0,24781,Hunter Mahan,2389.3,162470,68
183,0,27770,Camilo Villegas,2387.6,102665,43
184,0,25345,Carl Pettersson,2385.2,195585,82
185,0,23325,Vaughn Taylor,2364.2,146579,62
186,0,23135,Tim Clark,2364.1,139480,59
187,0,01945,Kenny Perry,2308.0,108477,47
188,0,20070,Matt Bettencourt,2298.3,108021,47
189,0,24357,K.J. Choi,2298.0,114902,50
190,0,28089,Jason Day,2272.1,136326,60
191,0,08537,J.P. Hayes,2242.5,125582,56
192,0,01724,Jeff Maggert,2206.3,132380,60
