RANK,MOVEMENT,PLAYER_ID,PLAYER,TOP 10,2ND,3RD
1,0,01724,Jeff Maggert,12,2,2
2,0,01876,Greg Norman,11,1,3
3,0,01677,Tom Lehman,10,1,1,1
3,0,01810,Phil Mickelson,10,1,3
3,0,01928,Corey Pavin,10,1,3,1
3,0,02010,Loren Roberts,10,1,3,1
7,0,01553,John Huston,9,1,1
8,0,01320,Bob Estes,8,1,1,1
8,0,01527,Scott Hoch,8,1,1,2
8,0,01633,Tom Kite,8,1,1
8,0,01968,Nick Price,8,6,1
8,0,02214,Kirk Triplett,8,1
13,0,01418,Bill Glasson,7,1,1
13,0,01559,Hale Irwin,7,1,1,1
13,0,01771,Blaine McCallister,7,1
16,0,01143,Brad Bryant,6,2,2
16,0,01161,Mark Calcavecchia,6,1,2
16,0,01201,Lennie Clements,6,1
16,0,01219,John Cook,6,1
16,0,01235,Ben Crenshaw,6,1
16,0,01306,David Edwards,6,1
16,0,01329,Brad Faxon,6,2
16,0,01378,David Frost,6,1,1
16,0,01457,Jay Haas,6,1
16,0,01783,Mark McCumber,6,3
16,0,02321,Fuzzy Zoeller,6,5
27,0,01226,Fred Couples,5,1,2
27,0,01385,Jim Gallagher Jr.,5,1
27,0,01388,Robert Gamez,5,1
27,0,01706,Davis Love III,5,1
27,0,01707,Steve Lowery,5,1,1,1
27,0,01926,Steve Pate,5,1
27,0,02131,Mike Springer,5,2,1
27,0,02159,Curtis Strange,5,1
27,0,02256,Tom Watson,5,1
36,0,01060,Dave Barr,4,1
36,0,06214,Guy Boros,4,1
36,0,01132,Mark Brooks,4,1
36,0,01203,Russ Cochran,4
36,0,08931,Glen Day,4,1
36,0,06251,Chris DiMarco,4,1
36,0,06522,Ernie Els,4,1,1
36,0,01331,Rick Fehr,4,1,1
36,0,01381,Fred Funk,4
36,0,01682,Wayne Levi,4
36,0,01690,Bruce Lietzke,4,1
36,0,01823,Larry Mize,4,1
36,0,06373,José María Olazábal,4,2,1
36,0,01945,Kenny Perry,4,1,1
36,0,02104,Jeff Sluman,4,1
36,0,02133,Craig Stadler,4,1,1
36,0,06527,Steve Stricker,4,1,1
36,0,02170,Hal Sutton,4,2
36,0,02246,Duffy Waldorf,4,1
55,0,01024,Billy Andrade,3,1,1
55,0,01116,Michael Bradley,3
55,0,06809,Bob Burns,3
55,0,01200,Keith Clearwater,3
55,0,01249,John Daly,3,1
55,0,01266,Clark Dennis,3
55,0,01313,Steve Elkington,3,1,1
55,0,01374,Robin Freeman,3
55,0,10809,Jim Furyk,3
55,0,06643,Paul Goydos,3
55,0,01475,Donnie Hammond,3
55,0,08337,Mike Heinen,3,1
55,0,01510,Nolan Henke,3,1
55,0,01569,Peter Jacobsen,3
55,0,01607,Brian Kamm,3
55,0,06012,Greg Kraft,3,1,1
55,0,01723,Andrew Magee,3,1
55,0,01837,Gil Morgan,3,1
55,0,01887,Mark O'Meara,3
55,0,01920,Craig Parry,3,1
55,0,06567,Vijay Singh,3,2
55,0,08375,Paul Stankowski,3
55,0,07101,Dave Stockton Jr.,3,2
55,0,02190,Doug Tewell,3
55,0,02201,Jim Thorpe,3
55,0,02267,D.A. Weibring,3,1
81,0,01035,Tommy Armour III,2,1
81,0,01098,Jay Don Blake,2,1
81,0,01156,Curt Byrum,2
81,0,07569,Mark Carnevale,2,1
81,0,01196,Brian Claar,2,1
81,0,01197,Bobby Clampett,2
81,0,01261,Jay Delsing,2
81,0,01307,Joel Edwards,2
81,0,01326,Nick Faldo,2
81,0,01330,David Feherty,2,1
81,0,01408,Kelly Gibson,2
81,0,01414,Bob Gilder,2
81,0,01444,Ken Green,2
81,0,01468,Gary Hallberg,2
81,0,06575,Dudley Hart,2
81,0,06617,Brian Henninger,2,1,1
81,0,01549,Mike Hulbert,2,1
81,0,01577,Lee Janzen,2,1
81,0,10860,Justin Leonard,2,1
81,0,01701,Bob Lohr,2
81,0,01796,Mark McNulty,2
81,0,01824,Yoshinori Mizumaki,2,1
81,0,08635,Colin Montgomerie,2,1
81,0,01891,David Ogrin,2,1
81,0,12660,Jesper Parnevik,2
81,0,10213,Dicky Pride,2,1
81,0,01971,Dillard Pruitt,2
81,0,01975,Tom Purtzer,2,1
81,0,01996,Mike Reid,2
81,0,02049,Gene Sauers,2,1
81,0,02099,Scott Simpson,2,1
81,0,02146,Payne Stewart,2
81,0,02167,Mike Sullivan,2,1,1
81,0,02218,Ted Tryba,2
81,0,02241,Bobby Wadkins,2,1
81,0,06577,John Wilson,2
117,0,01006,John Adams,1
117,0,01014,Fulton Allem,1
117,0,06006,JC Anderson,1
117,0,01049,Ian Baker-Finch,1
117,0,01072,Chip Beck,1,1
117,0,06086,Russell Beiersdorf,1
117,0,01093,Ronnie Black,1
117,0,06020,Steve Brodie,1
117,0,01139,Olin Browne,1
117,0,01157,Tom Byrum,1,1
117,0,01185,Brandel Chamblee,1,1
117,0,06034,Marco Dawson,1
117,0,01282,Trevor Dodds,1
117,0,01284,Mike Donald,1,1
117,0,19911,Billy Downes,1
117,0,09011,David Duval,1
117,0,01346,Ed Fiori,1,1
117,0,01353,Bruce Fleisher,1
117,0,01355,Raymond Floyd,1
117,0,01390,Buddy Gardner,1
117,0,06088,Steve Gotsche,1
