RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,YEAR/TOURN#,ROUND,HOLE
1,0,21407,Arjun Atwal,89' 6",Shell Houston,1,7 - Par 4 -
2,0,01457,Jay Haas,86' 9",FBR Open,4,3 - Par 5 -
3,0,08123,Jeff Brehaut,83' 8",FUNAI-Disney,2,16 - Par 4
4,0,21209,Sergio Garcia,79' 2",THE TOUR Champ,2,8 - Par 4 -
5,0,10733,Kent Jones,77' 2",AT&T Pebble,4,3 - Par 4 -
6,0,20548,Hidemichi Tanaka,77' 0",BellSouth Class,1,10 - Par 5
7,0,20663,Brenden Pappas,75' 8",Deutsche Bank,4,14 - Par 4
9,0,21633,Steve Allan,73' 7",Booz Allen,4,10 - Par 4
10,0,21528,Henrik Stenson,73' 6",WGC-Am Express,4,9 - Par 4 -
11,0,01553,John Huston,73' 0",84 LUMBER,3,5 - Par 5 -
12,0,06567,Vijay Singh,71' 11",Shell Houston,2,4 - Par 4 -
13,0,27095,Nick Watney,71' 11",Las Vegas,4,12 - Par 4
14,0,12759,Patrick Prince,71' 10",Zurich Classic,1,14 - Par 3
15,0,02206,David Toms,71' 8",WGC-NEC Invit'l,4,6 - Par 4 -
16,0,08075,Jerry Kelly,71' 1",Shell Houston,4,7 - Par 4 -
17,0,21951,Joey Snyder III,70' 2",FBR Open,4,5 - Par 4 -
18,0,01142,Bart Bryant,69' 10",Mercedes Champ,4,2 - Par 3 -
19,0,22913,John Rollins,69' 10",FBR Open,1,14 - Par 4
20,0,06573,Brandt Jobe,69' 7",Buick Invitatio,1,10 - Par 4
21,0,02294,Willie Wood,69' 1",John Deere Clas,1,11 - Par 4
22,0,08881,Tripp Isenhour,68' 10",Tucson,1,10 - Par 5
23,0,19972,José Coceres,68' 9",Reno-Tahoe Open,3,7 - Par 3 -
24,0,24925,Jonathan Byrd,68' 9",Las Vegas,3,11 - Par 4
25,0,01388,Robert Gamez,68' 8",84 LUMBER,1,5 - Par 5 -
26,0,12309,Bob Sowards,68' 2",Memorial Tourna,3,1 - Par 4 -
27,0,20569,Richard Green,67' 10",Booz Allen,1,17 - Par 4
28,0,23409,James Driscoll,67' 8",Booz Allen,4,10 - Par 4
29,0,06036,Scott Dunlap,67' 7",Shell Houston,1,1 - Par 5 -
30,0,01313,Steve Elkington,66' 4",Ford Champ,3,8 - Par 5 -
32,0,20766,Padraig Harrington,65' 9",Barclays Class,4,18 - Par 5
34,0,12660,Jesper Parnevik,65' 7",Memorial Tourna,3,11 - Par 5
35,0,25847,Rob Rashell,65' 6",Shell Houston,2,4 - Par 4 -
37,0,01378,David Frost,64' 4",Tucson,4,9 - Par 4 -
38,0,01219,John Cook,63' 11",Buick Open,2,11 - Par 3
39,0,19846,Brian Gay,63' 9",Colonial,1,8 - Par 3 -
41,0,01823,Larry Mize,63' 8",Texas Open,2,8 - Par 4 -
43,0,20382,Stephen Leaney,63' 4",Memorial Tourna,3,16 - Par 3
44,0,23349,Charles Warren,62' 11",Shell Houston,4,7 - Par 4 -
47,0,25345,Carl Pettersson,62' 1",Colonial,1,6 - Par 4 -
48,0,01685,J.L. Lewis,62' 0",Booz Allen,3,6 - Par 5 -
49,0,01577,Lee Janzen,61' 10",Honda Classic,1,16 - Par 4
50,0,07013,Wes Short Jr.,61' 8",Greensboro,4,4 - Par 3 -
51,0,23320,Ryan Palmer,61' 6",Sony Open,1,9 - Par 5 -
52,0,08537,J.P. Hayes,61' 3",Buick Open,3,15 - Par 4
53,0,24140,Sean O'Hair,61' 2",Memorial Tourna,2,1 - Par 4 -
55,0,01619,Skip Kendall,60' 7",FBR Open,2,5 - Par 4 -
56,0,06251,Chris DiMarco,60' 6",Wachovia Champ,2,5 - Par 5 -
59,0,01161,Mark Calcavecchia,59' 10",Tucson,1,17 - Par 3
60,0,21350,Ryuji Imada,59' 10",Ford Champ,4,4 - Par 3 -
61,0,12652,Cameron Beckman,59' 10",Buick Champ,1,11 - Par 3
62,0,23108,Matt Kuchar,59' 9",BellSouth Class,1,11 - Par 3
63,0,01408,Kelly Gibson,59' 9",B.C. Open,1,6 - Par 4 -
64,0,01157,Tom Byrum,59' 9",FUNAI-Disney,1,9 - Par 4 -
65,0,21805,Harrison Frazar,59' 7",Shell Houston,4,8 - Par 3 -
66,0,01361,Dan Forsman,59' 7",Milwaukee,1,16 - Par 4
67,0,12782,Tim Herron,59' 7",84 LUMBER,1,3 - Par 3 -
68,0,23552,Hank Kuehne,59' 7",Greensboro,1,9 - Par 5 -
69,0,01948,Tim Petrovic,59' 5",Greensboro,1,3 - Par 4 -
70,0,21961,Charles Howell III,59' 4",THE TOUR Champ,2,11 - Par 3
72,0,02106,Chris Smith,58' 11",Buick Invitatio,1,5 - Par 4 -
74,0,06575,Dudley Hart,58' 9",Shell Houston,4,1 - Par 5 -
76,0,01941,Tom Pernice Jr.,58' 6",Barclays Class,4,8 - Par 4 -
77,0,20396,Lee Westwood,58' 5",THE PLAYERS,4,1 - Par 4 -
78,0,20229,Stewart Cink,58' 5",Chrysler-Tampa,3,13 - Par 3
80,0,12510,Chad Campbell,58' 2",Shell Houston,2,16 - Par 4
82,0,20029,Notah Begay III,58' 1",FUNAI-Disney,4,4 - Par 5 -
83,0,01487,Jeff Hart,57' 10",Texas Open,2,7 - Par 4 -
85,0,01938,David Peoples,57' 9",Shell Houston,3,11 - Par 4
87,0,06655,Geoffrey Sisk,57' 8",Deutsche Bank,2,14 - Par 4
89,0,21949,Joe Ogilvie,57' 7",Chrysler-Tampa,4,14 - Par 5
90,0,06599,John Elliott,57' 6",AT&T Pebble,2,10 - Par 4
91,0,25900,Lucas Glover,57' 6",BellSouth Class,3,4 - Par 5 -
92,0,10860,Justin Leonard,57' 5",Colonial,3,13 - Par 3
93,0,10809,Jim Furyk,57' 4",Wachovia Champ,2,6 - Par 3 -
94,0,06034,Marco Dawson,57' 4",Buick Open,2,5 - Par 4 -
96,0,20634,Peter Lonard,57' 0",MCI Heritage,3,15 - Par 5
98,0,22378,Trevor Immelman,56' 11",WGC-NEC Invit'l,3,14 - Par 4
99,0,23497,Tag Ridings,56' 7",Nissan Open,2,8 - Par 4 -
101,0,20645,John Senden,56' 6",Barclays Class,3,5 - Par 5 -
102,0,01127,Danny Briggs,56' 5",B.C. Open,1,6 - Par 4 -
104,0,28118,Peter Tomasulo,56' 4",Bell Canadian,2,15 - Par 5
106,0,26420,Richard Johnson,56' 2",John Deere Clas,2,17 - Par 5
107,0,01024,Billy Andrade,56' 0",Barclays Class,2,18 - Par 5
108,0,23353,J.J. Henry,55' 10",Buick Open,1,18 - Par 4
111,0,23541,Ben Crane,55' 10",THE TOUR Champ,2,17 - Par 4
112,0,23325,Vaughn Taylor,55' 7",WGC-Am Express,4,12 - Par 4
113,0,01666,Bernhard Langer,55' 7",Chrysler-Tampa,2,15 - Par 3
116,0,02135,Mike Standly,55' 4",Texas Open,1,15 - Par 4
117,0,20623,Gavin Coles,55' 3",Shell Houston,2,11 - Par 4
118,0,01261,Jay Delsing,55' 3",John Deere Clas,1,2 - Par 5 -
121,0,10423,Mike Weir,55' 1",Western Open,2,4 - Par 4 -
123,0,23322,Brett Wetterich,55' 0",Buick Champ,1,7 - Par 4 -
127,0,22363,Don Yrene,54' 3",FBR Open,1,13 - Par 5
129,0,02246,Duffy Waldorf,54' 2",Wachovia Champ,3,7 - Par 5 -
130,0,06527,Steve Stricker,54' 2",So. Farm Bureau,3,3 - Par 4 -
132,0,01139,Olin Browne,54' 0",Las Vegas,3,12 - Par 4
133,0,22405,Justin Rose,53' 10",Greensboro,2,11 - Par 4
135,0,09011,David Duval,53' 9",John Deere Clas,1,18 - Par 4
136,0,10117,Bob Heintz,53' 9",John Deere Clas,4,7 - Par 3 -
137,0,01329,Brad Faxon,53' 8",Honda Classic,4,6 - Par 5 -
139,0,08793,Tiger Woods,53' 8",Western Open,4,11 - Par 5
140,0,24507,Jason Bohn,53' 8",B.C. Open,1,3 - Par 5 -
141,0,20498,Briny Baird,53' 7",Tucson,1,12 - Par 3
142,0,07223,Brian Bateman,53' 7",Zurich Classic,2,7 - Par 5 -
144,0,12602,Dean Wilson,53' 7",Bell Canadian,2,6 - Par 4 -
147,0,12680,Shigeki Maruyama,53' 5",Ford Champ,1,1 - Par 5 -
148,0,07867,Woody Austin,53' 4",FBR Open,2,7 - Par 3 -
150,0,08545,Glen Hnatiuk,53' 4",Zurich Classic,2,3 - Par 3 -
151,0,01707,Steve Lowery,53' 4",Las Vegas,3,16 - Par 5
152,0,24024,Zach Johnson,53' 3",Mercedes Champ,1,8 - Par 3 -
153,0,02010,Loren Roberts,53' 3",MCI Heritage,1,14 - Par 3
154,0,26287,Roland Thatcher,53' 3",Reno-Tahoe Open,2,6 - Par 4 -
155,0,20095,Carl Paulson,53' 2",BellSouth Class,1,5 - Par 4 -
156,0,23036,Chris Anderson,53' 2",Barclays Class,2,10 - Par 4
157,0,10912,Craig Perks,53' 1",Booz Allen,2,12 - Par 3
158,0,24604,Hunter Haas,53' 0",Zurich Classic,2,12 - Par 4
159,0,22293,Heath Slocum,52' 11",84 LUMBER,1,18 - Par 4
160,0,21878,Mark Wilson,52' 11",Texas Open,2,18 - Par 4
166,0,01945,Kenny Perry,52' 5",WGC-NEC Invit'l,3,9 - Par 4 -
168,0,20850,Daniel Chopra,52' 3",MCI Heritage,2,16 - Par 4
172,0,20474,Phillip Price,52' 1",Buick Champ,1,16 - Par 3
175,0,22371,Aaron Baddeley,52' 0",Colonial,4,15 - Par 4
176,0,07951,Scott Chipokas,52' 0",John Deere Clas,1,15 - Par 4
181,0,12826,Paul Claxton,51' 9",Texas Open,2,18 - Par 4
182,0,01761,Len Mattiace,51' 8",Barclays Class,3,13 - Par 4
187,0,06332,Neal Lancaster,51' 5",B.C. Open,4,1 - Par 4 -
188,0,21806,Paul Gow,51' 4",Buick Invitatio,3,17 - Par 4
191,0,24357,K.J. Choi,51' 4",Texas Open,2,16 - Par 4
194,0,20127,Chris Riley,51' 2",Nissan Open,2,17 - Par 5
197,0,20691,Greg Owen,51' 1",Shell Houston,4,16 - Par 4
200,0,12645,Brent Geiberger,51' 1",Chrysler-Tampa,2,9 - Par 4 -
205,0,01920,Craig Parry,50' 11",THE PLAYERS,4,10 - Par 4
207,0,01418,Bill Glasson,50' 10",Texas Open,1,11 - Par 4
214,0,22295,Darron Stiles,50' 7",Buick Open,3,18 - Par 4
216,0,01928,Corey Pavin,50' 6",AT&T Pebble,3,16 - Par 4
219,0,02033,Dave Rummells,50' 6",B.C. Open,1,11 - Par 4
220,0,12823,Carlos Franco,50' 6",84 LUMBER,4,16 - Par 5
229,0,20580,Andre Stolz,50' 1",Colonial,2,4 - Par 3 -
230,0,02101,Joey Sindelar,50' 1",John Deere Clas,4,7 - Par 3 -
231,0,01887,Mark O'Meara,50' 1",Buick Open,2,17 - Par 3
232,0,19795,Kelly Mitchum,50' 1",Greensboro,2,18 - Par 4
233,0,22548,Patrick Sheehan,50' 0",MCI Heritage,1,14 - Par 3
235,0,02104,Jeff Sluman,49' 10",AT&T Pebble,4,16 - Par 4
242,0,28420,Ryan Brehm,49' 9",Buick Open,3,6 - Par 4 -
244,0,01116,Michael Bradley,49' 8",B.C. Open,3,7 - Par 3 -
247,0,24227,Justin Bolli,49' 6",Nissan Open,1,11 - Par 5
250,0,01533,P.H. Horgan III,49' 5",Barclays Class,1,14 - Par 3
252,0,01723,Andrew Magee,49' 4",Sony Open,4,2 - Par 4 -
253,0,26882,Michael Sim,49' 4",Bay Hill Invita,1,9 - Par 4 -
255,0,24781,Hunter Mahan,49' 3",B.C. Open,2,1 - Par 4 -
256,0,22621,Ben Curtis,49' 2",Bay Hill Invita,2,3 - Par 4 -
259,0,06214,Guy Boros,49' 1",B.C. Open,3,7 - Par 3 -
260,0,20502,Michael Long,49' 1",Buick Open,2,11 - Par 3
261,0,25240,D.A. Points,49' 1",Buick Champ,3,9 - Par 4 -
263,0,23614,Rich Beem,49' 0",Wachovia Champ,2,17 - Par 3
264,0,10201,Matt Gogel,48' 11",FBR Open,1,12 - Par 3
266,0,02239,Scott Verplank,48' 9",THE PLAYERS,4,6 - Par 4 -
267,0,25572,Graeme McDowell,48' 9",MCI Heritage,1,3 - Par 4 -
268,0,01927,Dennis Paulson,48' 9",Booz Allen,2,13 - Par 4
269,0,10585,Scott McCarron,48' 9",Western Open,2,4 - Par 4 -
274,0,27214,Kevin Streelman,48' 6",Milwaukee,4,18 - Par 5
275,0,01320,Bob Estes,48' 5",FBR Open,3,15 - Par 5
278,0,06220,Jaxon Brigman,48' 5",FedEx St. Jude,2,7 - Par 4 -
279,0,23623,Bo Van Pelt,48' 4",Tucson,2,4 - Par 3 -
281,0,06373,José María Olazábal,48' 3",Tucson,2,17 - Par 3
282,0,21498,Hideto Tanihara,48' 3",Shell Houston,1,17 - Par 4
283,0,24912,Will MacKenzie,48' 3",Milwaukee,4,16 - Par 4
285,0,28220,Colby Beckstrom,48' 2",Buick Open,1,14 - Par 4
291,0,11032,Frank Lickliter II,48' 1",Las Vegas,1,5 - Par 3 -
297,0,25818,Scott Piercy,48' 0",B.C. Open,1,8 - Par 5 -
298,0,01599,Steve Jones,47' 11",THE PLAYERS,1,18 - Par 4
300,0,08725,Tom Gillis,47' 10",Honda Classic,3,10 - Par 4
301,0,07749,Brett Quigley,47' 10",Western Open,2,3 - Par 4 -
306,0,25632,Jimmy Walker,47' 8",MCI Heritage,1,11 - Par 4
309,0,19881,Robert Damron,47' 8",FUNAI-Disney,3,14 - Par 5
314,0,10041,Wayne DeFrancesco,47' 6",Booz Allen,2,6 - Par 5 -
315,0,20094,Jonathan Kaye,47' 6",Booz Allen,3,5 - Par 4 -
318,0,06197,Michael Allen,47' 4",Nissan Open,1,4 - Par 3 -
319,0,01766,Billy Mayfair,47' 4",Tucson,4,9 - Par 4 -
320,0,24361,Pat Perez,47' 4",Bell Canadian,2,7 - Par 5 -
321,0,06004,Stephen Ames,47' 4",Texas Open,2,14 - Par 5
322,0,19824,Craig Barlow,47' 3",THE PLAYERS,3,13 - Par 3
