RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS PER EVENT,TOTAL POINTS
1,0,46970,Jon Rahm,195.278,3319.720
2,0,46046,Scottie Scheffler,157.297,3145.940
3,0,28237,Rory McIlroy,153.606,2304.097
4,0,39977,Max Homa,101.353,2128.416
5,0,46717,Viktor Hovland,89.755,1795.092
6,0,33141,Keegan Bradley,88.695,1773.902
7,0,35450,Patrick Cantlay,80.156,1442.807
8,0,29725,Tony Finau,78.819,1655.195
9,0,32102,Rickie Fowler,78.707,1731.551
10,0,51766,Wyndham Clark,77.752,1943.807
11,0,34363,Tyrrell Hatton,76.735,1381.227
12,0,27644,Brian Harman,76.142,1827.411
13,0,48081,Xander Schauffele,74.001,1406.016
14,0,28089,Jason Day,71.706,1505.829
15,0,30911,Tommy Fleetwood,65.787,1184.160
16,0,55182,Tom Kim,61.828,1422.033
17,0,34098,Russell Henley,61.691,1295.501
18,0,22405,Justin Rose,60.429,1087.719
19,0,50525,Collin Morikawa,59.345,1246.248
20,0,25493,Nick Taylor,58.537,1463.414
21,0,47504,Sam Burns,58.058,1335.324
22,0,34046,Jordan Spieth,57.861,1099.354
23,0,49960,Sepp Straka,56.519,1412.974
24,0,48117,Kurt Kitayama,55.272,1215.980
25,0,37455,Si Woo Kim,54.882,1372.057
26,0,39997,Corey Conners,52.548,1103.498
27,0,40098,Matt Fitzpatrick,52.448,1048.958
28,0,31646,Emiliano Grillo,49.034,1274.886
29,0,28252,Seamus Power,47.227,1133.451
30,0,30926,Chris Kirk,46.450,1161.260
31,0,57366,Cameron Young,44.470,889.403
32,0,49947,Taylor Moore,44.178,1192.810
33,0,47993,Denny McCarthy,43.661,1178.846
34,0,51634,Sahith Theegala,40.961,1064.983
35,0,39971,Sungjae Im,40.651,1097.565
36,0,47347,Adam Schenk,40.432,1212.949
37,0,47529,Mito Pereira,39.282,235.690
38,0,30927,Brendon Todd,37.434,973.295
39,0,35506,Mackenzie Hughes,37.098,890.359
40,0,52453,Nicolai Hojgaard,36.489,437.873
41,0,33399,Adam Hadwin,36.330,908.259
42,0,40115,Adam Svensson,36.211,1013.909
43,0,33948,Byeong Hun An,35.908,1041.344
44,0,33653,Thomas Detry,35.464,851.137
45,0,25900,Lucas Glover,35.395,884.864
46,0,24502,Adam Scott,35.117,596.988
47,0,54628,Lee Hodges,35.072,1052.156
48,0,55708,Hayden Buckley,34.254,753.583
49,0,34099,Harris English,33.851,913.988
50,0,49771,J.T. Poston,33.582,906.718
51,0,34256,Andrew Putnam,32.772,917.629
52,0,32839,Hideki Matsuyama,32.248,741.702
53,0,35532,Tom Hoge,32.021,896.588
54,0,47591,Eric Cole,31.662,949.851
55,0,55789,Taylor Montgomery,31.636,822.536
56,0,33204,Shane Lowry,31.265,562.770
57,0,46340,Alex Smalley,30.875,864.486
58,0,37378,Min Woo Lee,30.691,398.986
59,0,47483,Will Zalatoris,30.497,243.975
60,0,36699,Patrick Rodgers,30.456,913.667
61,0,33448,Justin Thomas,30.412,608.236
62,0,23108,Matt Kuchar,30.223,695.136
63,0,47988,Nick Hardy,29.917,867.590
64,0,45157,Cam Davis,28.528,684.681
65,0,52955,Ludvig Åberg,28.208,253.871
66,0,39546,Keith Mitchell,27.914,697.847
67,0,45242,Kevin Yu,27.812,444.994
68,0,58696,Peter Kuest,26.876,241.886
69,0,47995,Davis Riley,26.471,767.653
70,0,52374,Brandon Wu,26.312,763.035
71,0,36799,Stephan Jaeger,24.699,691.576
72,0,51070,Vincent Norrman,24.480,636.472
73,0,39324,J.J. Spaun,24.383,633.969
74,0,37275,Sam Ryder,24.118,675.313
75,0,58168,Davis Thompson,23.850,596.248
76,0,36871,Matt NeSmith,23.761,641.536
77,0,29908,C.T. Pan,23.715,308.300
78,0,35461,Beau Hossler,23.511,658.296
79,0,29936,Ryan Fox,23.412,304.356
80,0,32139,Danny Willett,23.221,510.852
81,0,55893,Sam Stevens,23.105,670.047
82,0,46414,Aaron Rai,23.100,669.889
83,0,56630,Akshay Bhatia,22.887,434.856
84,0,36801,Mark Hubbard,22.493,697.282
85,0,29420,Billy Horschel,22.067,485.474
86,0,57362,Austin Eckroat,22.000,594.007
87,0,46442,Maverick McNealy,21.787,413.954
88,0,40058,Zac Blair,21.142,465.116
89,0,48887,Matt Wallace,21.065,547.685
90,0,32791,K.H. Lee,21.009,567.241
91,0,54591,Ben Griffin,20.552,616.558
92,0,48119,Ben Taylor,20.400,591.589
93,0,54421,Garrick Higgo,20.209,586.048
94,0,34409,David Lingmerth,20.033,560.927
95,0,22371,Aaron Baddeley,19.896,457.603
96,0,39975,Michael Kim,19.403,562.691
97,0,31323,Gary Woodland,19.359,464.627
98,0,49964,Aaron Wise,19.283,289.252
99,0,34076,Joel Dahmen,19.236,519.372
100,0,20766,Padraig Harrington,19.061,133.424
101,0,27349,Alex Noren,18.992,436.815
102,0,59018,Ryan Gerard,18.918,321.607
103,0,54783,Dylan Wu,18.840,508.674
104,0,34255,Joseph Bramlett,18.800,488.812
105,0,27214,Kevin Streelman,18.709,505.148
106,0,50493,Justin Suh,18.279,548.373
107,0,57975,Harry Hall,17.811,498.706
108,0,51997,Andrew Novak,17.682,424.372
109,0,28775,Nate Lashley,17.505,455.126
110,0,50188,S.H. Kim,17.073,546.332
111,0,26476,Chez Reavie,16.577,464.157
112,0,48699,Callum Tarren,16.337,473.763
113,0,45522,Christiaan Bezuidenhout,16.202,405.054
114,0,46441,Robby Shelton,16.120,467.468
115,0,51349,Nico Echavarria,16.044,417.156
116,0,27064,Jhonattan Vegas,16.020,112.143
117,0,29221,Webb Simpson,15.733,251.733
118,0,27936,Martin Laird,15.624,390.602
119,0,36326,David Lipsky,15.509,449.757
120,0,33408,Tyson Alexander,15.175,424.892
120,0,56762,Will Gordon,15.175,440.063
122,0,51890,Greyson Sigg,14.472,419.692
123,0,40162,Justin Lower,14.320,429.608
124,0,34213,Grayson Murray,14.297,171.564
125,0,40250,Taylor Pendrith,14.052,379.406
126,0,45609,Tyler Duncan,13.891,402.835
127,0,33413,Ben Martin,13.818,386.898
128,0,52375,Doug Ghim,13.785,344.619
129,0,29518,Brendan Steele,13.313,133.125
130,0,52513,Carson Young,13.249,397.477
131,0,39058,Lucas Herbert,13.244,198.661
132,0,34466,Peter Malnati,12.213,354.191
133,0,27129,Luke List,11.884,308.979
134,0,25632,Jimmy Walker,11.751,293.766
135,0,39954,Cody Gribble,11.635,209.432
136,0,39067,MJ Daffue,11.384,330.130
137,0,47983,Chad Ramey,11.317,362.134
138,0,30692,Scott Stallings,11.271,281.774
139,0,34563,Chesson Hadley,11.256,303.909
140,0,32757,Patton Kizzire,11.213,302.750
141,0,46601,Trey Mullinax,11.197,291.120
142,0,37338,Zecheng Dou,11.079,299.123
143,0,22056,Cameron Percy,11.075,199.351
144,0,40006,Erik van Rooyen,10.999,274.971
145,0,33597,Harry Higgs,10.957,273.927
146,0,24140,Sean O'Hair,10.879,184.943
147,0,47079,Harrison Endycott,10.434,281.709
148,0,29926,Danny Lee,10.211,112.325
149,0,50095,Austin Smotherman,10.101,292.940
150,0,34374,Erik Barnes,9.932,148.975
151,0,12716,Charley Hoffman,9.837,245.923
152,0,24024,Zach Johnson,9.798,195.967
153,0,32640,Troy Merritt,9.752,273.042
154,0,29289,S.Y. Noh,9.661,183.563
155,0,37278,Nicholas Lindheim,9.583,28.750
156,0,52372,Cameron Champ,9.533,219.250
157,0,01226,Fred Couples,9.350,9.350
158,0,25818,Scott Piercy,9.322,279.672
159,0,32150,Michael Thompson,9.293,139.388
160,0,35901,Paul Haley II,8.946,259.446
161,0,30163,Henrik Norlander,8.815,229.187
162,0,27963,Chris Stroud,8.616,155.081
