RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,WGC POINTS
1,0,36689,Brooks Koepka,930,0
2,0,52215,Robert MacIntyre,303,0
3,0,35891,Cameron Smith,277,0
4,0,01810,Phil Mickelson,276,0
5,0,33974,Dean Burmester,219,0
6,0,34360,Patrick Reed,206,0
7,0,45426,Nathan Kimsey,186,0
8,0,51287,Ryo Hisatsune,185,0
9,0,47959,Bryson DeChambeau,176,0
10,0,33674,Adrian Meronk,158,46
11,0,47679,Victor Perez,153,18
12,0,47987,Cole Hammer,133,0
13,0,30852,Ryo Ishikawa,127,0
14,0,46464,Jordan Smith,114,0
15,0,59652,Sam Bennett,101,0
16,0,36884,Ben Kohles,100,0
17,0,33459,Jens Dantorp,93,0
17,0,28340,Julien Guerrier,93,0
17,0,34371,Adrien Saddier,93,0
20,0,30925,Dustin Johnson,92,0
21,0,39113,Shubhankar Sharma,91,0
22,0,49120,Kensei Hirata,89,0
23,0,55930,Fred Biondi,89,0
24,0,38991,Alejandro Tosti,88,0
25,0,28521,Ryutaro Nagano,79,0
26,0,55955,Matthew Jordan,79,0
27,0,56781,Isaiah Salinda,78,0
28,0,45486,Joaquin Niemann,77,0
29,0,39524,Sean Crocker,76,0
30,0,49228,Keita Nakajima,71,0
31,0,55721,Alex Fitzpatrick,71,0
32,0,37066,Grant Forrest,70,0
33,0,34656,Mikumu Horikawa,69,0
34,0,59836,Pierceson Coody,66,0
35,0,55573,John VanDerLaan,65,0
36,0,21528,Henrik Stenson,63,0
37,0,22764,Michael Block,59,0
38,0,37250,Romain Langasque,58,0
39,0,50992,Brett White,57,0
40,0,37189,Harold Varner III,57,0
41,0,46404,Marcus Kinhult,56,0
42,0,63121,William Mouw,56,0
43,0,50223,Ewen Ferguson,56,0
44,0,45847,JC Ritchie,55,0
45,0,34362,Laurie Canter,55,0
46,0,57259,Daniel Brown,53,0
47,0,46646,Antoine Rozner,52,0
48,0,36514,Yuki Inamori,51,0
49,0,46405,Sebastian Soderberg,44,0
50,0,48632,Yuto Katsuragawa,43,0
51,0,34579,Alexander Levy,43,0
52,0,58669,Jacob Solomon,41,0
53,0,32815,Masahiro Kawamura,38,0
53,0,52287,David Ravetto,38,0
55,0,26329,Louis Oosthuizen,36,0
55,0,35174,Matthew Southgate,36,0
57,0,59095,Chris Gotterup,36,0
58,0,45526,Abraham Ancer,34,0
59,0,21209,Sergio Garcia,33,0
60,0,33968,Thorbjørn Olesen,33,0
61,0,29485,Brett Stegmaier,33,0
62,0,48051,Yannik Paul,32,0
63,0,34310,Alexander Björk,31,0
64,0,52514,Trace Crowe,31,0
65,0,45194,Marcus Armitage,29,0
66,0,55707,Calum Hill,29,0
66,0,31242,Marcel Schneider,29,0
68,0,47917,Takumi Kanaya,28,0
69,0,48640,Johannes Veerman,28,0
70,0,52095,Christoffer Bring,28,0
70,0,31681,Louis de Jager,28,0
70,0,57737,Jayden Schaper,28,0
73,0,35376,Roberto Díaz,28,0
74,0,31569,Jason Scrivener,27,0
75,0,33293,Thomas Pieters,27,0
76,0,51696,Rico Hoey,26,0
77,0,35778,Kazuki Higa,24,0
78,0,23481,Marcel Siem,23,0
79,0,46402,Talor Gooch,23,0
80,0,33486,Roger Sloan,22,0
81,0,47393,Jeffrey Kang,22,0
81,0,36521,Young-han Song,22,0
83,0,45836,Richard Bland,22,0
83,0,27506,Oliver Wilson,22,0
85,0,29476,Kyle Reifers,22,0
86,0,35110,Brett Drewitt,22,0
87,0,29256,James Morrison,21,0
88,0,51635,Chris Nido,21,0
89,0,35469,Sebastián Vázquez,21,0
90,0,24494,Erik Compton,20,0
91,0,23814,Edoardo Molinari,19,0
92,0,12195,Tom Johnson,19,0
93,0,35087,Bio Kim,18,0
93,0,50823,Tom McKibbin,18,0
93,0,32394,Tapio Pulkkanen,18,0
96,0,61193,David Puig,18,0
97,0,27330,Josh Teater,17,0
98,0,46550,Brandon Hagy,17,0
99,0,64594,Angel Hidalgo Portillo,16,0
100,0,29939,Fabrizio Zanotti,16,0
101,0,47125,Matt Atkins,16,0
102,0,47056,Rikuya Hoshino,15,0
103,0,29531,Richie Ramsay,14,0
