RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,YEAR/TOURN#,ROUND,HOLE
1,0,24507,Jason Bohn,84' 0",Reno-Tahoe Open,3,15 - Par 4
2,0,20850,Daniel Chopra,83' 0",Deutsche Bank,4,17 - Par 4
3,0,08123,Jeff Brehaut,77' 5",John Deere Clas,4,18 - Par 4
4,0,01042,Paul Azinger,76' 2",John Deere Clas,1,7 - Par 3 -
5,0,12823,Carlos Franco,76' 0",Honda Classic,1,2 - Par 4 -
6,0,08385,Omar Uresti,75' 4",Michelin,4,8 - Par 3 -
7,0,01938,David Peoples,73' 1",Buick Invitatio,1,7 - Par 4 -
8,0,12682,Hirofumi Miyase,72' 2",Texas Open,2,10 - Par 4
9,0,08075,Jerry Kelly,72' 0",THE TOUR Champ,1,8 - Par 4 -
10,0,20229,Stewart Cink,71' 11",Ford Champ,1,13 - Par 3
11,0,06527,Steve Stricker,71' 9",EDS B. Nelson,1,15 - Par 4
12,0,20593,Greg Chalmers,71' 0",EDS B. Nelson,2,17 - Par 3
13,0,02104,Jeff Sluman,70' 5",Ford Champ,1,4 - Par 3 -
14,0,01249,John Daly,70' 3",FBR Open,4,13 - Par 5
15,0,06573,Brandt Jobe,70' 3",Buick Invitatio,3,11 - Par 3
16,0,02214,Kirk Triplett,69' 4",FUNAI-Disney,4,15 - Par 3
17,0,01203,Russ Cochran,69' 3",Ford Champ,3,17 - Par 4
18,0,01685,J.L. Lewis,68' 10",John Deere Clas,1,17 - Par 5
19,0,19972,José Coceres,68' 3",Michelin,4,16 - Par 5
20,0,21961,Charles Howell III,68' 3",Chrysler-Tampa,1,4 - Par 3 -
21,0,23108,Matt Kuchar,68' 2",John Deere Clas,1,8 - Par 4 -
22,0,06373,José María Olazábal,68' 0",Buick Open,2,15 - Par 4
23,0,21878,Mark Wilson,67' 7",Tucson,2,17 - Par 3
24,0,10585,Scott McCarron,67' 3",Shell Houston,1,16 - Par 4
25,0,01261,Jay Delsing,67' 2",Honda Classic,4,10 - Par 4
26,0,01577,Lee Janzen,67' 0",Colonial,2,4 - Par 3 -
27,0,11123,Chris Couch,66' 7",So. Farm Bureau,3,7 - Par 5 -
28,0,08339,Spike McRoy,65' 10",Buick Invitatio,3,12 - Par 4
29,0,06251,Chris DiMarco,65' 6",THE TOUR Champ,2,2 - Par 3 -
30,0,08545,Glen Hnatiuk,65' 5",Honda Classic,3,17 - Par 5
31,0,02106,Chris Smith,65' 4",Michelin,4,6 - Par 4 -
32,0,10201,Matt Gogel,65' 2",Tucson,1,9 - Par 4 -
33,0,10912,Craig Perks,65' 1",Ford Champ,1,1 - Par 5 -
34,0,01927,Dennis Paulson,65' 0",Tucson,2,13 - Par 4
35,0,01968,Nick Price,64' 10",Wachovia Champ,3,7 - Par 5 -
36,0,27770,Camilo Villegas,64' 9",Milwaukee,1,2 - Par 4 -
37,0,24925,Jonathan Byrd,64' 8",Sony Open,1,8 - Par 4 -
38,0,01361,Dan Forsman,64' 7",HP Classic,1,9 - Par 4 -
39,0,12510,Chad Campbell,64' 7",Wachovia Champ,2,12 - Par 4
40,0,26287,Roland Thatcher,64' 1",So. Farm Bureau,2,8 - Par 3 -
41,0,08793,Tiger Woods,63' 11",Western Open,2,6 - Par 3 -
42,0,12394,Tom Carter,63' 8",Milwaukee,1,18 - Par 5
43,0,20382,Stephen Leaney,63' 0",EDS B. Nelson,4,17 - Par 3
44,0,23063,Scott Hend,62' 9",Deutsche Bank,2,7 - Par 5 -
45,0,01024,Billy Andrade,62' 8",Booz Allen,2,2 - Par 5 -
