RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
131,0,10505,Shane Bertsch,46' 11",3329.250,71,+18
132,0,23322,Brett Wetterich,47' 1",2165.333,46,+11
133,0,07749,Brett Quigley,47' 2",3582.083,76,+13
134,0,01577,Lee Janzen,47' 3",3262.000,69,+21
134,0,08075,Jerry Kelly,47' 3",1984.583,42,+6
136,0,24357,K.J. Choi,47' 5",2844.167,60,+10
137,0,01685,J.L. Lewis,47' 8",1431.083,30,+5
138,0,01249,John Daly,47' 9",1241.417,26,+11
139,0,23541,Ben Crane,47' 10",2345.083,49,+9
139,0,01948,Tim Petrovic,47' 10",2725.333,57,+7
139,0,21878,Mark Wilson,47' 10",1865.667,39,+6
142,0,08537,J.P. Hayes,47' 11",1437.750,30,+3
143,0,08123,Jeff Brehaut,48' 0",3312.417,69,+4
143,0,01313,Steve Elkington,48' 0",1295.250,27,+4
143,0,20121,Todd Fischer,48' 0",2638.917,55,+12
143,0,27141,J.B. Holmes,48' 0",2160.667,45,+22
143,0,12662,Thomas Levet,48' 0",2065.250,43,+10
148,0,20574,Mathew Goggin,48' 1",2499.917,52,+18
149,0,01666,Bernhard Langer,48' 2",1829.500,38,+5
150,0,12510,Chad Campbell,48' 3",2752.500,57,+11
150,0,24924,Bill Haas,48' 3",3138.833,65,+11
152,0,26360,Bubba Dickerson,48' 4",3625.333,75,+22
153,0,25345,Carl Pettersson,48' 6",3053.333,63,+15
153,0,02239,Scott Verplank,48' 6",1454.333,30,+8
155,0,01139,Olin Browne,48' 7",1798.333,37,+17
155,0,01473,Todd Hamilton,48' 7",2233.083,46,+16
157,0,20098,Stuart Appleby,48' 8",3015.917,62,+7
157,0,23409,James Driscoll,48' 8",3993.333,82,+18
157,0,20608,David Howell,48' 8",1070.917,22,+4
160,0,20572,Rod Pampling,48' 9",2484.917,51,+5
161,0,21660,Jason Schultz,48' 11",2933.417,60,+19
162,0,01677,Tom Lehman,49' 3",1872.250,38,+9
163,0,21407,Arjun Atwal,49' 5",3359.917,68,+13
163,0,20812,Tjaart van der Walt,49' 5",1383.000,28,+6
163,0,19913,Ron Whittaker,49' 5",2571.000,52,+14
