RANK,MOVEMENT,PLAYER_ID,PLAYER,%,NUMBER OF TIMES,ATTEMPTS,AVG RTP SCORE
1,0,26851,Marc Leishman,34.5,143,415,+1.96
1,0,24449,Parker McLachlin,34.5,133,386,+1.65
3,0,23621,Rory Sabbatini,35.5,130,366,+1.77
4,0,22371,Aaron Baddeley,36.2,113,312,+1.15
5,0,23800,Bryce Molder,37.1,85,229,+2.82
6,0,08793,Tiger Woods,37.2,81,218,+0.62
7,0,25818,Scott Piercy,37.4,156,417,+1.09
8,0,12510,Chad Campbell,37.6,124,330,+1.69
9,0,01766,Billy Mayfair,37.8,105,278,+2.57
10,0,21878,Mark Wilson,37.9,132,348,+1.59
11,0,26301,James Nitties,38.1,143,375,+2.59
12,0,10733,Kent Jones,38.5,92,239,+2.07
13,0,27933,John Merrick,38.9,133,342,+1.95
13,0,02214,Kirk Triplett,38.9,72,185,+0.56
15,0,23623,Bo Van Pelt,39.2,149,380,+1.61
16,0,27120,Troy Matteson,39.3,173,440,+1.45
17,0,20104,Ken Duke,39.9,142,356,+1.41
17,0,30711,Colt Knost,39.9,85,213,+2.59
17,0,20127,Chris Riley,39.9,95,238,+1.79
20,0,28620,Aron Price,40.3,147,365,+1.70
21,0,02239,Scott Verplank,40.4,118,292,+2.29
22,0,01473,Todd Hamilton,40.5,120,296,+3.08
23,0,24781,Hunter Mahan,40.6,147,362,+2.52
24,0,20593,Greg Chalmers,40.9,131,320,+1.53
24,0,23638,Brendon de Jonge,40.9,155,379,+2.26
24,0,24358,Robert Garrigus,40.9,150,367,+1.20
27,0,23548,Bill Lunde,41.2,139,337,+2.01
28,0,01928,Corey Pavin,41.3,85,206,+2.00
28,0,10423,Mike Weir,41.3,140,339,+1.79
30,0,27936,Martin Laird,41.4,121,292,+2.73
31,0,26497,Casey Wittenberg,41.8,100,239,+1.80
32,0,19846,Brian Gay,41.9,126,301,+1.83
33,0,01132,Mark Brooks,42.1,59,140,+0.85
34,0,06251,Chris DiMarco,42.3,162,383,+1.36
35,0,21961,Charles Howell III,42.4,179,422,+0.67
36,0,25632,Jimmy Walker,42.5,148,348,+1.62
37,0,26300,Matt Jones,42.6,98,230,+0.82
37,0,22293,Heath Slocum,42.6,130,305,+2.69
39,0,24138,Ian Poulter,42.8,86,201,+1.16
40,0,27214,Kevin Streelman,43.0,178,414,+0.73
41,0,01707,Steve Lowery,43.1,151,350,+2.19
42,0,20229,Stewart Cink,43.5,137,315,+1.82
43,0,31416,Derek Fathauer,43.6,123,282,+1.38
44,0,06621,Joe Durant,43.7,69,158,+1.74
45,0,24490,George McNeill,44.0,169,384,+1.30
45,0,20691,Greg Owen,44.0,146,332,+1.30
47,0,01161,Mark Calcavecchia,44.2,141,319,+1.91
48,0,22295,Darron Stiles,44.4,63,142,+3.65
49,0,25900,Lucas Glover,44.9,164,365,+1.52
50,0,21805,Harrison Frazar,45.0,227,505,+2.33
50,0,24024,Zach Johnson,45.0,130,289,+1.31
52,0,22405,Justin Rose,45.2,122,270,+1.23
53,0,01320,Bob Estes,45.5,135,297,+2.81
54,0,29718,Anthony Kim,45.6,152,333,+0.99
55,0,10585,Scott McCarron,45.7,127,278,+2.05
55,0,01797,Rocco Mediate,45.7,144,315,+0.69
57,0,06643,Paul Goydos,45.8,114,249,+2.46
57,0,27770,Camilo Villegas,45.8,121,264,+1.57
59,0,08845,Scott Sterling,45.9,84,183,+1.19
60,0,20472,Alex Cejka,46.0,134,291,+1.87
60,0,06522,Ernie Els,46.0,109,237,+1.93
60,0,26881,Jarrod Lyle,46.0,120,261,+1.25
63,0,01142,Bart Bryant,46.1,88,191,+3.86
63,0,24912,Will MacKenzie,46.1,119,258,+2.86
63,0,22046,Geoff Ogilvy,46.1,136,295,+0.44
66,0,25919,Brian Vranesh,46.2,91,197,+2.64
67,0,23778,Brad Adamonis,46.3,157,339,+1.97
67,0,23497,Tag Ridings,46.3,100,216,+1.60
67,0,27649,Brandt Snedeker,46.3,112,242,+1.16
67,0,02206,David Toms,46.3,132,285,+1.67
71,0,06012,Greg Kraft,46.8,87,186,+2.87
71,0,20634,Peter Lonard,46.8,153,327,+2.81
71,0,25240,D.A. Points,46.8,170,363,+1.94
71,0,27963,Chris Stroud,46.8,163,348,+2.27
75,0,28158,Steve Marino,46.9,184,392,+0.11
76,0,10425,Jay Williamson,47.0,102,217,+2.84
77,0,26668,Marc Turnesa,47.1,137,291,+2.85
78,0,22961,David Mathis,47.3,158,334,+1.84
79,0,23541,Ben Crane,47.5,161,339,+1.06
79,0,24503,Jeff Klauk,47.5,162,341,+1.60
79,0,26596,Ryan Moore,47.5,145,305,+1.66
82,0,28087,Kris Blanks,47.7,93,195,+2.37
82,0,12716,Charley Hoffman,47.7,215,451,+0.84
84,0,06004,Stephen Ames,48.0,118,246,+2.37
84,0,26679,Kevin Stadler,48.0,120,250,+2.00
86,0,24846,Ricky Barnes,48.1,126,262,+1.98
86,0,01677,Tom Lehman,48.1,65,135,+2.00
88,0,25686,Jason Dufner,48.3,160,331,+1.88
88,0,01941,Tom Pernice Jr.,48.3,174,360,+1.09
88,0,23788,D.J. Trahan,48.3,154,319,+2.60
91,0,07867,Woody Austin,48.4,164,339,+1.28
91,0,07223,Brian Bateman,48.4,133,275,+3.01
91,0,30925,Dustin Johnson,48.4,163,337,+0.98
94,0,23983,Luke Donald,48.5,150,309,+1.13
95,0,01226,Fred Couples,48.6,118,243,+0.42
95,0,23108,Matt Kuchar,48.6,157,323,+0.13
95,0,26695,Michael Letzig,48.6,219,451,+2.10
95,0,01810,Phil Mickelson,48.6,141,290,+1.99
95,0,23320,Ryan Palmer,48.6,153,315,+2.22
95,0,26951,Johnson Wagner,48.6,153,315,+2.22
101,0,31323,Gary Woodland,48.7,97,199,+3.40
102,0,12782,Tim Herron,49.0,215,439,+2.14
