"Year","Index","Category","Subcategory","StatId","StatTitle","LocalPath"
"2024","0","STROKES_GAINED","Strokes Gained","02675","SG: Total","2024/strokes_gained/strokes_gained/sg_total.csv"
"2024","1","STROKES_GAINED","Strokes Gained","02674","SG: Tee-to-Green","2024/strokes_gained/strokes_gained/sg_tee-to-green.csv"
"2024","2","STROKES_GAINED","Strokes Gained","02567","SG: Off-the-Tee","2024/strokes_gained/strokes_gained/sg_off-the-tee.csv"
"2024","3","STROKES_GAINED","Strokes Gained","02568","SG: Approach the Green","2024/strokes_gained/strokes_gained/sg_approach_the_green.csv"
"2024","4","STROKES_GAINED","Strokes Gained","02569","SG: Around-the-Green","2024/strokes_gained/strokes_gained/sg_around-the-green.csv"
"2024","5","STROKES_GAINED","Strokes Gained","02564","SG: Putting","2024/strokes_gained/strokes_gained/sg_putting.csv"
"2024","6","OFF_TEE","Strokes Gained - SG","02674","SG: Tee-to-Green","2024/off_tee/strokes_gained_sg/sg_tee-to-green.csv"
"2024","7","OFF_TEE","Strokes Gained - SG","02567","SG: Off-the-Tee","2024/off_tee/strokes_gained_sg/sg_off-the-tee.csv"
"2024","8","OFF_TEE","Other","129","Total Driving","2024/off_tee/other/total_driving.csv"
"2024","9","OFF_TEE","Other","158","Ball Striking","2024/off_tee/other/ball_striking.csv"
"2024","10","OFF_TEE","Distance (All Drives)","159","Longest Drives","2024/off_tee/distance_(all_drives)/longest_drives.csv"
"2024","11","OFF_TEE","Distance (All Drives)","101","Driving Distance","2024/off_tee/distance_(all_drives)/driving_distance.csv"
"2024","12","OFF_TEE","Distance (All Drives)","496","Driving Pct. 320+ (Measured)","2024/off_tee/distance_(all_drives)/driving_pct._320+_(measured).csv"
"2024","13","OFF_TEE","Distance (All Drives)","495","Driving Pct. 300-320 (Measured)","2024/off_tee/distance_(all_drives)/driving_pct._300-320_(measured).csv"
"2024","14","OFF_TEE","Distance (All Drives)","454","Driving Pct. 300+ (Measured)","2024/off_tee/distance_(all_drives)/driving_pct._300+_(measured).csv"
"2024","15","OFF_TEE","Distance (All Drives)","455","Driving Pct. 280-300 (Measured)","2024/off_tee/distance_(all_drives)/driving_pct._280-300_(measured).csv"
"2024","16","OFF_TEE","Distance (All Drives)","456","Driving Pct. 260-280 (Measured)","2024/off_tee/distance_(all_drives)/driving_pct._260-280_(measured).csv"
"2024","17","OFF_TEE","Distance (All Drives)","457","Driving Pct. 240-260 (Measured)","2024/off_tee/distance_(all_drives)/driving_pct._240-260_(measured).csv"
"2024","18","OFF_TEE","Distance (All Drives)","458","Driving Pct. <= 240 (Measured)","2024/off_tee/distance_(all_drives)/driving_pct._less-than=_240_(measured).csv"
"2024","19","OFF_TEE","Distance (All Drives)","317","Driving Distance - All Drives","2024/off_tee/distance_(all_drives)/driving_distance_all_drives.csv"
"2024","20","OFF_TEE","Distance (All Drives)","02433","Driving Pct. 320+ (All Drives)","2024/off_tee/distance_(all_drives)/driving_pct._320+_(all_drives).csv"
"2024","21","OFF_TEE","Distance (All Drives)","02432","Driving Pct. 300-320 (All Drives)","2024/off_tee/distance_(all_drives)/driving_pct._300-320_(all_drives).csv"
"2024","22","OFF_TEE","Distance (All Drives)","214","Driving Pct. 300+ (All Drives)","2024/off_tee/distance_(all_drives)/driving_pct._300+_(all_drives).csv"
"2024","23","OFF_TEE","Distance (All Drives)","215","Driving Pct. 280-300 (All Drives)","2024/off_tee/distance_(all_drives)/driving_pct._280-300_(all_drives).csv"
"2024","24","OFF_TEE","Distance (All Drives)","216","Driving Pct. 260-280 (All Drives)","2024/off_tee/distance_(all_drives)/driving_pct._260-280_(all_drives).csv"
"2024","25","OFF_TEE","Distance (All Drives)","217","Driving Pct. 240-260 (All Drives)","2024/off_tee/distance_(all_drives)/driving_pct._240-260_(all_drives).csv"
"2024","26","OFF_TEE","Distance (All Drives)","218","Driving Pct. <= 240 (All Drives)","2024/off_tee/distance_(all_drives)/driving_pct._less-than=_240_(all_drives).csv"
"2024","27","OFF_TEE","Distance (All Drives)","02341","Percentage of Yardage covered by Tee Shots","2024/off_tee/distance_(all_drives)/percentage_of_yardage_covered_by_tee_shots.csv"
"2024","28","OFF_TEE","Distance (All Drives)","02342","Percentage of Yardage covered by Tee Shots - Par 4's","2024/off_tee/distance_(all_drives)/percentage_of_yardage_covered_by_tee_shots_par_4's.csv"
"2024","29","OFF_TEE","Distance (All Drives)","02343","Percentage of Yardage covered by Tee Shots - Par 5's","2024/off_tee/distance_(all_drives)/percentage_of_yardage_covered_by_tee_shots_par_5's.csv"
"2024","30","OFF_TEE","Distance (Measured Drives)","101","Driving Distance","2024/off_tee/distance_(measured_drives)/driving_distance.csv"
"2024","31","OFF_TEE","Distance (Measured Drives)","496","Driving Pct. 320+ (Measured)","2024/off_tee/distance_(measured_drives)/driving_pct._320+_(measured).csv"
"2024","32","OFF_TEE","Distance (Measured Drives)","495","Driving Pct. 300-320 (Measured)","2024/off_tee/distance_(measured_drives)/driving_pct._300-320_(measured).csv"
"2024","33","OFF_TEE","Distance (Measured Drives)","454","Driving Pct. 300+ (Measured)","2024/off_tee/distance_(measured_drives)/driving_pct._300+_(measured).csv"
"2024","34","OFF_TEE","Distance (Measured Drives)","455","Driving Pct. 280-300 (Measured)","2024/off_tee/distance_(measured_drives)/driving_pct._280-300_(measured).csv"
"2024","35","OFF_TEE","Distance (Measured Drives)","456","Driving Pct. 260-280 (Measured)","2024/off_tee/distance_(measured_drives)/driving_pct._260-280_(measured).csv"
"2024","36","OFF_TEE","Distance (Measured Drives)","457","Driving Pct. 240-260 (Measured)","2024/off_tee/distance_(measured_drives)/driving_pct._240-260_(measured).csv"
"2024","37","OFF_TEE","Distance (Measured Drives)","458","Driving Pct. <= 240 (Measured)","2024/off_tee/distance_(measured_drives)/driving_pct._less-than=_240_(measured).csv"
"2024","38","OFF_TEE","Accuracy","102","Driving Accuracy Percentage","2024/off_tee/accuracy/driving_accuracy_percentage.csv"
"2024","39","OFF_TEE","Accuracy","02435","Rough Tendency","2024/off_tee/accuracy/rough_tendency.csv"
"2024","40","OFF_TEE","Accuracy","459","Left Rough Tendency","2024/off_tee/accuracy/left_rough_tendency.csv"
"2024","41","OFF_TEE","Accuracy","460","Right Rough Tendency","2024/off_tee/accuracy/right_rough_tendency.csv"
"2024","42","OFF_TEE","Accuracy","080","Right Rough Tendency (RTP Score)","2024/off_tee/accuracy/right_rough_tendency_(rtp_score).csv"
"2024","43","OFF_TEE","Accuracy","081","Left Rough Tendency (RTP Score)","2024/off_tee/accuracy/left_rough_tendency_(rtp_score).csv"
"2024","44","OFF_TEE","Accuracy","01008","Fairway Bunker Tendency","2024/off_tee/accuracy/fairway_bunker_tendency.csv"
"2024","45","OFF_TEE","Accuracy","461","Missed Fairway Percent - Other","2024/off_tee/accuracy/missed_fairway_percent_other.csv"
"2024","46","OFF_TEE","Accuracy","213","Hit Fairway Percentage","2024/off_tee/accuracy/hit_fairway_percentage.csv"
"2024","47","OFF_TEE","Accuracy","02420","Distance from Edge of Fairway","2024/off_tee/accuracy/distance_from_edge_of_fairway.csv"
"2024","48","OFF_TEE","Accuracy","02421","Distance from Center of Fairway","2024/off_tee/accuracy/distance_from_center_of_fairway.csv"
