RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 1 PUTTS,TOTAL ROUNDS
1,0,27649,Brandt Snedeker,7.97,622,78
2,0,22371,Aaron Baddeley,7.96,573,72
3,0,20593,Greg Chalmers,7.79,678,87
4,0,24663,Y.E. Yang,7.73,479,62
5,0,27895,Jonas Blixt,7.72,556,72
6,0,01810,Phil Mickelson,7.70,608,79
7,0,28089,Jason Day,7.67,422,55
7,0,24024,Zach Johnson,7.67,721,94
9,0,24138,Ian Poulter,7.61,426,56
10,0,20766,Padraig Harrington,7.54,475,63
11,0,19846,Brian Gay,7.52,654,87
12,0,25345,Carl Pettersson,7.51,691,92
13,0,21350,Ryuji Imada,7.50,570,76
14,0,20160,Charlie Wi,7.48,643,86
15,0,08725,Tom Gillis,7.47,560,75
16,0,25396,Kevin Na,7.43,587,79
17,0,23541,Ben Crane,7.42,534,72
18,0,19970,Robert Karlsson,7.40,385,52
18,0,23621,Rory Sabbatini,7.40,622,84
20,0,23108,Matt Kuchar,7.39,606,82
20,0,24361,Pat Perez,7.39,584,79
22,0,22046,Geoff Ogilvy,7.38,531,72
23,0,27644,Brian Harman,7.35,742,101
23,0,28237,Rory McIlroy,7.35,397,54
23,0,25818,Scott Piercy,7.35,698,95
26,0,27466,Spencer Levin,7.34,580,79
27,0,01320,Bob Estes,7.33,572,78
27,0,30925,Dustin Johnson,7.33,491,67
27,0,23320,Ryan Palmer,7.33,594,81
30,0,11123,Chris Couch,7.32,432,59
31,0,26596,Ryan Moore,7.28,648,89
32,0,33141,Keegan Bradley,7.27,640,88
32,0,23623,Bo Van Pelt,7.27,603,83
34,0,01249,John Daly,7.26,334,46
34,0,30750,Tommy Gainey,7.26,711,98
36,0,21805,Harrison Frazar,7.24,391,54
37,0,29221,Webb Simpson,7.22,549,76
38,0,28259,Sangmoon Bae,7.21,555,77
38,0,28475,Jeff Overton,7.21,728,101
38,0,32150,Michael Thompson,7.21,577,80
38,0,08793,Tiger Woods,7.21,483,67
42,0,27797,Derek Lamely,7.20,461,64
43,0,23983,Luke Donald,7.19,446,62
43,0,26331,Charl Schwartzel,7.19,388,54
45,0,25686,Jason Dufner,7.18,589,82
46,0,20104,Ken Duke,7.16,745,104
47,0,06251,Chris DiMarco,7.15,579,81
47,0,10860,Justin Leonard,7.15,536,75
49,0,20098,Stuart Appleby,7.14,507,71
50,0,34021,Bud Cauley,7.12,705,99
50,0,30711,Colt Knost,7.12,548,77
52,0,31558,J.J. Killeen,7.11,690,97
52,0,25572,Graeme McDowell,7.11,384,54
52,0,23800,Bryce Molder,7.11,562,79
55,0,24925,Jonathan Byrd,7.10,483,68
55,0,21731,Freddie Jacobson,7.10,426,60
55,0,02206,David Toms,7.10,412,58
58,0,20623,Gavin Coles,7.09,496,70
58,0,21753,Brian Davis,7.09,645,91
58,0,01941,Tom Pernice Jr.,7.09,411,58
58,0,27963,Chris Stroud,7.09,610,86
62,0,32102,Rickie Fowler,7.08,588,83
63,0,21209,Sergio Garcia,7.07,396,56
64,0,22961,David Mathis,7.04,570,81
65,0,20850,Daniel Chopra,7.02,372,53
66,0,06527,Steve Stricker,7.01,491,70
67,0,27302,Garth Mulroy,7.00,399,57
67,0,27330,Josh Teater,7.00,651,93
69,0,27095,Nick Watney,6.99,657,94
70,0,23409,James Driscoll,6.98,579,83
70,0,25632,Jimmy Walker,6.98,705,101
72,0,32366,Kevin Chappell,6.97,606,87
72,0,29222,Billy Hurley III,6.97,474,68
72,0,01706,Davis Love III,6.97,446,64
75,0,26758,David Hearn,6.96,661,95
76,0,26851,Marc Leishman,6.95,584,84
77,0,28500,Martin Flores,6.94,659,95
78,0,10809,Jim Furyk,6.93,582,84
78,0,34174,John Huh,6.93,686,99
78,0,27974,Sung Kang,6.93,506,73
81,0,24604,Hunter Haas,6.92,450,65
81,0,27936,Martin Laird,6.92,505,73
83,0,30926,Chris Kirk,6.91,615,89
84,0,23542,Tommy Biershenk,6.88,495,72
84,0,28307,Matt Every,6.88,550,80
86,0,23135,Tim Clark,6.87,412,60
86,0,06522,Ernie Els,6.87,536,78
88,0,20070,Matt Bettencourt,6.86,521,76
88,0,22378,Trevor Immelman,6.86,521,76
88,0,22348,Nick O'Hern,6.86,508,74
91,0,26951,Johnson Wagner,6.84,602,88
92,0,24358,Robert Garrigus,6.83,608,89
92,0,28308,Troy Kelly,6.83,437,64
92,0,30944,Jason Kokrak,6.83,512,75
92,0,21878,Mark Wilson,6.83,533,78
96,0,27141,J.B. Holmes,6.81,586,86
96,0,25562,Andres Romero,6.81,436,64
96,0,22405,Justin Rose,6.81,463,68
99,0,01724,Jeff Maggert,6.80,564,83
100,0,33120,Mark Anderson,6.79,496,73
101,0,01766,Billy Mayfair,6.78,583,86
102,0,24494,Erik Compton,6.75,520,77
102,0,12716,Charley Hoffman,6.75,594,88
102,0,24490,George McNeill,6.75,574,85
105,0,25240,D.A. Points,6.74,593,88
105,0,20645,John Senden,6.74,526,78
105,0,06567,Vijay Singh,6.74,667,99
105,0,30927,Brendon Todd,6.74,499,74
109,0,24507,Jason Bohn,6.73,518,77
109,0,08075,Jerry Kelly,6.73,565,84
109,0,33419,Cameron Tringale,6.73,592,88
112,0,21407,Arjun Atwal,6.72,504,75
112,0,24924,Bill Haas,6.72,524,78
112,0,29478,Kevin Kisner,6.72,437,65
115,0,22913,John Rollins,6.71,517,77
116,0,12652,Cameron Beckman,6.70,516,77
116,0,27060,John Mallinger,6.70,469,70
116,0,27556,Ted Potter Jr.,6.70,516,77
119,0,24846,Ricky Barnes,6.69,589,88
120,0,01797,Rocco Mediate,6.66,453,68
120,0,27214,Kevin Streelman,6.66,593,89
