RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE EARLY RDS.
1,0,20157,Retief Goosen,67.60,338,5
2,0,10423,Mike Weir,67.83,407,6
3,0,12680,Shigeki Maruyama,67.92,815,12
4,0,02239,Scott Verplank,68.67,1236,18
5,0,08793,Tiger Woods,68.71,481,7
6,0,02010,Loren Roberts,68.78,619,9
7,0,21805,Harrison Frazar,68.92,827,12
8,0,06567,Vijay Singh,69.00,897,13
9,0,01810,Phil Mickelson,69.14,484,7
10,0,10585,Scott McCarron,69.15,899,13
11,0,19825,Darren Clarke,69.33,416,6
12,0,12652,Cameron Beckman,69.38,1110,16
13,0,21949,Joe Ogilvie,69.41,1180,17
14,0,01457,Jay Haas,69.44,625,9
15,0,06004,Stephen Ames,69.56,1113,16
16,0,01677,Tom Lehman,69.57,974,14
17,0,20029,Notah Begay III,69.58,835,12
18,0,02104,Jeff Sluman,69.60,1044,15
19,0,01797,Rocco Mediate,69.63,557,8
20,0,12510,Chad Campbell,69.64,975,14
21,0,01724,Jeff Maggert,69.70,697,10
22,0,01139,Olin Browne,69.75,1395,20
22,0,01527,Scott Hoch,69.75,558,8
24,0,06527,Steve Stricker,69.79,1326,19
25,0,24357,K.J. Choi,69.82,1187,17
25,0,20433,Mark Hensby,69.82,1187,17
27,0,20127,Chris Riley,69.83,838,12
28,0,06251,Chris DiMarco,69.87,1048,15
29,0,21959,Ted Purdy,69.91,1608,23
30,0,02246,Duffy Waldorf,69.93,979,14
31,0,01685,J.L. Lewis,69.95,1469,21
32,0,22621,Ben Curtis,70.00,420,6
32,0,21209,Sergio Garcia,70.00,560,8
32,0,12782,Tim Herron,70.00,1050,15
32,0,08075,Jerry Kelly,70.00,1190,17
32,0,24502,Adam Scott,70.00,420,6
32,0,23325,Vaughn Taylor,70.00,1120,16
38,0,02214,Kirk Triplett,70.08,911,13
39,0,01928,Corey Pavin,70.09,771,11
40,0,20850,Daniel Chopra,70.15,1403,20
40,0,23541,Ben Crane,70.15,912,13
42,0,23623,Bo Van Pelt,70.21,1685,24
43,0,01329,Brad Faxon,70.22,632,9
44,0,20229,Stewart Cink,70.25,562,8
45,0,19972,José Coceres,70.27,773,11
46,0,01920,Craig Parry,70.29,492,7
47,0,02206,David Toms,70.30,703,10
48,0,01388,Robert Gamez,70.31,914,13
48,0,25345,Carl Pettersson,70.31,1125,16
50,0,07867,Woody Austin,70.33,1055,15
50,0,19846,Brian Gay,70.33,1688,24
50,0,20580,Andre Stolz,70.33,844,12
50,0,21878,Mark Wilson,70.33,1055,15
54,0,23353,J.J. Henry,70.35,1196,17
55,0,06575,Dudley Hart,70.36,774,11
55,0,01577,Lee Janzen,70.36,774,11
57,0,01938,David Peoples,70.37,1337,19
58,0,08931,Glen Day,70.40,1408,20
59,0,06515,Shaun Micheel,70.43,986,14
60,0,06621,Joe Durant,70.44,1127,16
61,0,20094,Jonathan Kaye,70.47,1057,15
62,0,06522,Ernie Els,70.50,282,4
62,0,20572,Rod Pampling,70.50,846,12
64,0,20548,Hidemichi Tanaka,70.59,1200,17
65,0,24507,Jason Bohn,70.61,1271,18
66,0,20472,Alex Cejka,70.62,918,13
66,0,10201,Matt Gogel,70.62,1483,21
68,0,22913,John Rollins,70.63,1130,16
68,0,02099,Scott Simpson,70.63,565,8
70,0,01473,Todd Hamilton,70.64,989,14
71,0,10425,Jay Williamson,70.65,1837,26
72,0,07749,Brett Quigley,70.67,1484,21
73,0,01127,Danny Briggs,70.69,919,13
74,0,01161,Mark Calcavecchia,70.70,707,10
75,0,01142,Bart Bryant,70.71,990,14
75,0,02101,Joey Sindelar,70.71,1202,17
77,0,10885,Robert Allenby,70.74,1344,19
78,0,20121,Todd Fischer,70.75,1132,16
79,0,01941,Tom Pernice Jr.,70.76,1203,17
80,0,10860,Justin Leonard,70.78,637,9
81,0,22548,Patrick Sheehan,70.79,1345,19
82,0,01219,John Cook,70.80,354,5
83,0,24781,Hunter Mahan,70.82,1204,17
84,0,23497,Tag Ridings,70.83,850,12
85,0,12660,Jesper Parnevik,70.85,921,13
86,0,21961,Charles Howell III,70.87,1063,15
87,0,01766,Billy Mayfair,70.88,1134,16
87,0,20628,Arron Oberholser,70.88,1205,17
87,0,23307,Roger Tambellini,70.88,1205,17
90,0,23135,Tim Clark,70.91,780,11
90,0,01249,John Daly,70.91,780,11
92,0,24925,Jonathan Byrd,70.92,851,12
92,0,20382,Stephen Leaney,70.92,922,13
92,0,22405,Justin Rose,70.92,851,12
95,0,12760,Danny Ellis,70.93,993,14
