RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
1,0,46970,Jon Rahm,30' 2",20601.250,683,-0.18
2,0,25900,Lucas Glover,30' 4",30397.250,1002,-0.10
3,0,35532,Tom Hoge,30' 7",30208.250,987,-0.14
4,0,33122,Russell Knox,30' 9",30938.833,1006,-0.11
5,0,50525,Collin Morikawa,30' 10",24440.417,793,-0.16
6,0,46046,Scottie Scheffler,30' 11",26956.333,873,-0.19
7,0,45157,Cam Davis,31' 1",27525.833,886,-0.13
7,0,57366,Cameron Young,31' 1",22809.167,733,-0.12
9,0,47591,Eric Cole,31' 2",37342.250,1198,-0.14
10,0,55182,Tom Kim,31' 3",29911.583,956,-0.16
11,0,46717,Viktor Hovland,31' 4",26512.500,847,-0.17
12,0,28237,Rory McIlroy,31' 5",19338.000,616,-0.18
13,0,26596,Ryan Moore,31' 7",25785.833,816,-0.13
13,0,49960,Sepp Straka,31' 7",30447.167,964,-0.12
15,0,52955,Ludvig Åberg,31' 8",16260.250,514,-0.20
15,0,28775,Nate Lashley,31' 8",32226.833,1019,-0.12
15,0,50095,Austin Smotherman,31' 8",30333.750,959,-0.10
18,0,48117,Kurt Kitayama,31' 9",19258.000,607,-0.12
18,0,26476,Chez Reavie,31' 9",32930.000,1037,-0.10
18,0,22405,Justin Rose,31' 9",21041.667,663,-0.13
21,0,34098,Russell Henley,31' 10",30514.917,958,-0.12
21,0,12716,Charley Hoffman,31' 10",19949.750,627,-0.10
23,0,29725,Tony Finau,31' 11",27271.417,855,-0.14
23,0,58696,Peter Kuest,31' 11",14410.583,452,-0.17
25,0,56630,Akshay Bhatia,32' 0",22035.417,689,-0.11
26,0,52453,Nicolai Hojgaard,32' 1",11104.917,346,-0.14
26,0,31323,Gary Woodland,32' 1",27990.917,873,-0.06
28,0,33141,Keegan Bradley,32' 2",25182.250,783,-0.16
28,0,47988,Nick Hardy,32' 2",32657.917,1014,-0.10
28,0,32839,Hideki Matsuyama,32' 2",26346.167,818,-0.12
31,0,46340,Alex Smalley,32' 3",35372.667,1096,-0.11
32,0,35450,Patrick Cantlay,32' 4",24633.250,761,-0.16
32,0,40162,Justin Lower,32' 4",30654.750,949,-0.11
32,0,39324,J.J. Spaun,32' 4",32270.667,999,-0.13
35,0,45522,Christiaan Bezuidenhout,32' 5",30979.667,955,-0.10
35,0,37455,Si Woo Kim,32' 5",34518.250,1065,-0.11
35,0,40250,Taylor Pendrith,32' 5",28393.667,876,-0.10
35,0,50493,Justin Suh,32' 5",38579.750,1189,-0.09
35,0,45242,Kevin Yu,32' 5",17505.167,540,-0.12
40,0,49771,J.T. Poston,32' 6",32945.083,1014,-0.11
40,0,46441,Robby Shelton,32' 6",31366.000,966,-0.07
40,0,25493,Nick Taylor,32' 6",28568.833,879,-0.13
43,0,39975,Michael Kim,32' 7",25205.250,773,-0.09
43,0,32757,Patton Kizzire,32' 7",30334.333,930,-0.09
43,0,48081,Xander Schauffele,32' 7",23443.250,720,-0.18
46,0,39997,Corey Conners,32' 8",27884.917,853,-0.13
46,0,37338,Zecheng Dou,32' 8",26099.583,799,-0.13
46,0,30926,Chris Kirk,32' 8",29367.083,899,-0.13
46,0,36871,Matt NeSmith,32' 8",32900.417,1008,-0.11
46,0,29908,C.T. Pan,32' 8",15664.000,480,-0.12
46,0,39335,Kevin Roy,32' 8",19473.833,596,-0.09
46,0,55454,Carl Yuan,32' 8",23442.583,717,-0.11
53,0,55708,Hayden Buckley,32' 9",25964.833,792,-0.08
53,0,51890,Greyson Sigg,32' 9",35179.417,1074,-0.13
55,0,19803,Ryan Armour,32' 10",28787.583,877,-0.04
55,0,47995,Davis Riley,32' 10",29436.833,896,-0.07
57,0,25686,Jason Dufner,32' 11",25717.167,781,-0.07
57,0,36799,Stephan Jaeger,32' 11",39362.750,1197,-0.12
57,0,27974,Sung Kang,32' 11",11391.667,346,-0.10
60,0,39977,Max Homa,33' 0",28873.000,874,-0.17
60,0,36801,Mark Hubbard,33' 0",35826.583,1085,-0.11
60,0,32816,Satoshi Kodaira,33' 0",18608.917,564,-0.09
60,0,51070,Vincent Norrman,33' 0",23669.083,717,-0.10
60,0,51997,Andrew Novak,33' 0",25339.083,768,-0.13
60,0,37275,Sam Ryder,33' 0",32563.917,988,-0.12
66,0,46601,Trey Mullinax,33' 1",23528.750,712,-0.09
66,0,55893,Sam Stevens,33' 1",30096.167,909,-0.07
68,0,29535,Brice Garnett,33' 2",26261.833,792,-0.12
68,0,31646,Emiliano Grillo,33' 2",35178.583,1061,-0.10
68,0,31202,William McGirt,33' 2",16106.000,485,-0.11
71,0,48084,Wesley Bryan,33' 3",11058.583,333,-0.05
71,0,33653,Thomas Detry,33' 3",25788.667,776,-0.08
71,0,32102,Rickie Fowler,33' 3",32169.500,967,-0.15
71,0,34563,Chesson Hadley,33' 3",29386.500,883,-0.11
71,0,27644,Brian Harman,33' 3",32149.750,966,-0.11
71,0,34363,Tyrrell Hatton,33' 3",25149.833,756,-0.13
71,0,40115,Adam Svensson,33' 3",40998.583,1234,-0.15
78,0,33948,Byeong Hun An,33' 4",30244.500,908,-0.14
78,0,34255,Joseph Bramlett,33' 4",24521.750,735,-0.11
78,0,52375,Doug Ghim,33' 4",30328.417,910,-0.11
78,0,32640,Troy Merritt,33' 4",27897.833,837,-0.06
78,0,46414,Aaron Rai,33' 4",36979.417,1109,-0.12
78,0,51634,Sahith Theegala,33' 4",30696.250,921,-0.13
78,0,58168,Davis Thompson,33' 4",32626.417,978,-0.14
78,0,52513,Carson Young,33' 4",30495.917,915,-0.10
86,0,30911,Tommy Fleetwood,33' 5",25167.000,753,-0.16
86,0,29289,S.Y. Noh,33' 5",16947.583,507,-0.09
86,0,47347,Adam Schenk,33' 5",36733.667,1100,-0.12
