RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 320+,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,47959,Bryson DeChambeau,47.91,458,956,-0.231
2,0,28420,Ryan Brehm,35.25,172,488,-0.128
3,0,28237,Rory McIlroy,34.85,306,878,-0.209
4,0,52372,Cameron Champ,33.30,303,910,-0.205
5,0,30925,Dustin Johnson,30.56,264,864,-0.280
6,0,56278,Matthew Wolff,29.86,212,710,-0.212
7,0,27064,Jhonattan Vegas,28.60,266,930,-0.173
8,0,56762,Will Gordon,28.27,268,948,-0.190
9,0,46550,Brandon Hagy,27.85,225,808,-0.204
10,0,51766,Wyndham Clark,27.73,274,988,-0.190
11,0,36689,Brooks Koepka,27.49,199,724,-0.342
12,0,45486,Joaquin Niemann,25.68,319,1242,-0.241
13,0,34255,Joseph Bramlett,25.38,198,780,-0.222
14,0,29970,Dylan Frittelli,25.18,210,834,-0.205
15,0,46970,Jon Rahm,24.89,223,896,-0.291
16,0,21209,Sergio Garcia,24.42,233,954,-0.172
17,0,27129,Luke List,24.28,254,1046,-0.272
18,0,40042,Tyler McCumber,24.21,183,756,-0.213
19,0,48081,Xander Schauffele,23.47,207,882,-0.290
20,0,39546,Keith Mitchell,23.18,216,932,-0.236
21,0,24502,Adam Scott,22.88,189,826,-0.291
22,0,30944,Jason Kokrak,22.36,237,1060,-0.224
23,0,33448,Justin Thomas,21.52,204,948,-0.284
24,0,31323,Gary Woodland,21.36,173,810,-0.191
25,0,36699,Patrick Rodgers,21.23,231,1088,-0.126
26,0,25804,Bubba Watson,20.67,172,832,-0.314
27,0,45157,Cam Davis,20.57,258,1254,-0.287
28,0,47483,Will Zalatoris,20.27,193,952,-0.202
29,0,32333,Kevin Tway,20.14,143,710,-0.196
30,0,20229,Stewart Cink,19.47,213,1094,-0.216
31,0,23320,Ryan Palmer,18.95,177,934,-0.288
32,0,47504,Sam Burns,18.64,189,1014,-0.270
33,0,27554,Scott Harrington,18.59,163,877,-0.209
34,0,46717,Viktor Hovland,18.52,180,972,-0.256
35,0,35450,Patrick Cantlay,18.49,176,952,-0.222
36,0,26300,Matt Jones,18.43,216,1172,-0.218
37,0,12716,Charley Hoffman,18.31,201,1098,-0.244
38,0,35617,Martin Trainer,18.11,121,668,-0.132
39,0,29725,Tony Finau,17.63,177,1004,-0.232
40,0,33667,Carlos Ortiz,17.62,204,1158,-0.260
41,0,35461,Beau Hossler,17.15,167,974,-0.305
42,0,34213,Grayson Murray,17.00,85,500,-0.129
43,0,35310,Lanto Griffin,16.88,188,1114,-0.176
44,0,35658,Kris Ventura,16.76,121,722,-0.182
45,0,46046,Scottie Scheffler,16.52,193,1168,-0.264
46,0,26331,Charl Schwartzel,16.38,171,1044,-0.287
47,0,33948,Byeong Hun An,16.26,158,972,-0.120
47,0,32070,Rafael Campos,16.26,93,572,-0.312
49,0,35104,Tom Lewis,16.22,158,974,-0.196
50,0,27141,J.B. Holmes,16.01,98,612,-0.143
51,0,40006,Erik van Rooyen,15.86,150,946,-0.293
52,0,49960,Sepp Straka,15.46,166,1074,-0.211
53,0,34264,Hudson Swafford,15.26,141,924,-0.234
54,0,28089,Jason Day,15.21,118,776,-0.212
55,0,34099,Harris English,14.56,159,1092,-0.321
56,0,34314,Sebastian Cappelen,14.53,77,530,-0.143
57,0,25818,Scott Piercy,14.38,136,946,-0.265
58,0,21961,Charles Howell III,14.23,105,738,-0.314
59,0,34363,Tyrrell Hatton,14.15,92,650,-0.370
60,0,35891,Cameron Smith,13.98,135,966,-0.430
60,0,34046,Jordan Spieth,13.98,144,1030,-0.326
62,0,01810,Phil Mickelson,13.95,118,846,-0.237
63,0,32839,Hideki Matsuyama,13.91,163,1172,-0.270
64,0,48119,Ben Taylor,13.82,60,434,-0.283
65,0,25364,Paul Casey,13.43,108,804,-0.343
66,0,49964,Aaron Wise,13.32,130,976,-0.192
67,0,30911,Tommy Fleetwood,13.30,87,654,-0.218
68,0,37189,Harold Varner III,12.98,143,1102,-0.308
69,0,29926,Danny Lee,12.94,102,788,-0.127
70,0,32757,Patton Kizzire,12.64,160,1266,-0.319
71,0,51894,Vince Whaley,12.62,102,808,-0.284
72,0,47347,Adam Schenk,12.57,140,1114,-0.221
73,0,26851,Marc Leishman,12.47,110,882,-0.255
74,0,30692,Scott Stallings,12.37,117,946,-0.214
75,0,25632,Jimmy Walker,12.34,108,875,-0.176
76,0,40026,Daniel Berger,12.33,126,1022,-0.310
77,0,28252,Seamus Power,12.24,72,588,-0.181
78,0,48887,Matt Wallace,12.22,65,532,-0.262
79,0,33597,Harry Higgs,12.14,127,1046,-0.362
80,0,33204,Shane Lowry,11.96,105,878,-0.276
81,0,46442,Maverick McNealy,11.85,109,920,-0.156
82,0,49771,J.T. Poston,11.57,127,1098,-0.283
83,0,39977,Max Homa,11.51,107,930,-0.140
84,0,29908,C.T. Pan,11.48,104,906,-0.288
85,0,29518,Brendan Steele,11.46,107,934,-0.290
86,0,26329,Louis Oosthuizen,11.36,95,836,-0.242
87,0,22405,Justin Rose,11.27,64,568,-0.219
88,0,47128,Richy Werenski,11.21,130,1160,-0.223
89,0,31646,Emiliano Grillo,11.12,107,962,-0.262
90,0,27095,Nick Watney,11.09,65,586,-0.031
91,0,24140,Sean O'Hair,10.98,67,610,-0.209
92,0,50525,Collin Morikawa,10.93,101,924,-0.287
93,0,33404,Chris Baker,10.90,58,532,-0.276
94,0,34563,Chesson Hadley,10.74,87,810,-0.253
94,0,33486,Roger Sloan,10.74,93,866,-0.226
96,0,31420,Anirban Lahiri,10.71,81,756,-0.358
97,0,29268,Bronson Burgoon,10.67,83,778,-0.120
98,0,39971,Sungjae Im,10.55,166,1574,-0.253
99,0,24781,Hunter Mahan,10.53,60,570,-0.283
100,0,34466,Peter Malnati,10.41,96,922,-0.271
101,0,24924,Bill Haas,10.37,45,434,-0.178
102,0,40098,Matt Fitzpatrick,10.30,76,738,-0.303
103,0,32139,Danny Willett,10.28,40,389,-0.400
104,0,48822,Sebastián Muñoz,10.19,127,1246,-0.362
105,0,33141,Keegan Bradley,10.04,109,1086,-0.248
105,0,29420,Billy Horschel,10.04,97,966,-0.124
107,0,29974,Branden Grace,9.82,86,876,-0.186
108,0,39997,Corey Conners,9.79,114,1164,-0.219
109,0,32791,K.H. Lee,9.72,126,1296,-0.198
110,0,49766,Hank Lebioda,9.71,73,752,-0.247
111,0,32662,Michael Gligic,9.69,81,836,-0.160
112,0,37455,Si Woo Kim,9.66,112,1160,-0.295
113,0,37275,Sam Ryder,9.49,90,948,-0.311
114,0,34360,Patrick Reed,9.44,87,922,-0.287
115,0,46402,Talor Gooch,9.38,108,1152,-0.389
116,0,27936,Martin Laird,9.32,90,966,-0.333
117,0,33419,Cameron Tringale,9.30,106,1140,-0.255
118,0,23788,D.J. Trahan,9.19,59,642,-0.203
119,0,32102,Rickie Fowler,9.16,83,906,-0.072
119,0,36871,Matthew NeSmith,9.16,102,1114,-0.284
121,0,25493,Nick Taylor,9.14,106,1160,-0.255
122,0,27349,Alex Noren,8.97,92,1026,-0.326
123,0,29479,Scott Brown,8.90,79,888,-0.165
124,0,23623,Bo Van Pelt,8.77,67,764,-0.239
125,0,35506,Mackenzie Hughes,8.70,92,1058,-0.239
126,0,22371,Aaron Baddeley,8.57,43,502,-0.209
127,0,19846,Brian Gay,8.51,74,870,-0.230
128,0,33413,Ben Martin,8.40,40,476,-0.050
129,0,27214,Kevin Streelman,8.39,98,1168,-0.245
130,0,29221,Webb Simpson,8.08,69,854,-0.319
131,0,32448,James Hahn,8.00,69,862,-0.232
132,0,46441,Robby Shelton,7.98,79,990,-0.380
133,0,25686,Jason Dufner,7.86,81,1030,-0.160
134,0,27974,Sung Kang,7.84,82,1046,-0.207
135,0,35230,Nelson Ledesma,7.58,37,488,-0.162
136,0,33399,Adam Hadwin,7.55,83,1100,-0.072
137,0,45526,Abraham Ancer,7.52,85,1130,-0.224
138,0,34076,Joel Dahmen,7.50,69,920,-0.290
139,0,39975,Michael Kim,7.45,56,752,-0.161
140,0,25900,Lucas Glover,7.36,83,1128,-0.205
141,0,34098,Russell Henley,7.30,79,1082,-0.342
142,0,47993,Denny McCarthy,7.28,81,1112,-0.259
143,0,27770,Camilo Villegas,7.19,65,904,-0.600
144,0,32618,Rhein Gibson,7.17,38,530,-0.289
145,0,34431,Robert Streb,7.11,70,984,-0.214
146,0,20396,Lee Westwood,7.02,50,712,-0.260
147,0,27330,Josh Teater,6.93,32,462,-0.156
148,0,31557,Jim Herman,6.83,56,820,-0.232
