RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,24357,K.J. Choi,9.50,57,600,+0.228
2,0,27095,Nick Watney,8.19,48,586,E
3,0,49766,Hank Lebioda,7.31,55,752,+0.200
4,0,36801,Mark Hubbard,7.28,90,1236,+0.189
5,0,31560,Brian Stuard,7.26,89,1226,+0.101
6,0,27556,Ted Potter Jr.,7.20,58,806,+0.155
7,0,29974,Branden Grace,7.19,63,876,+0.143
8,0,32139,Danny Willett,6.94,27,389,+0.259
9,0,24361,Pat Perez,6.91,75,1086,-0.107
10,0,34256,Andrew Putnam,6.78,70,1032,+0.057
11,0,23983,Luke Donald,6.73,42,624,+0.310
12,0,24138,Ian Poulter,6.66,51,766,+0.059
13,0,36871,Matthew NeSmith,6.64,74,1114,+0.041
14,0,27349,Alex Noren,6.63,68,1026,+0.074
15,0,27974,Sung Kang,6.60,69,1046,+0.391
16,0,26758,David Hearn,6.56,42,640,+0.119
16,0,47993,Denny McCarthy,6.56,73,1112,+0.123
18,0,30692,Scott Stallings,6.55,62,946,-0.016
19,0,29479,Scott Brown,6.53,58,888,+0.069
20,0,46402,Talor Gooch,6.51,75,1152,-0.080
20,0,35658,Kris Ventura,6.51,47,722,+0.064
22,0,47347,Adam Schenk,6.46,72,1114,+0.069
23,0,27770,Camilo Villegas,6.31,57,904,+0.140
24,0,27942,Rob Oppenheim,6.27,49,782,+0.245
25,0,30927,Brendon Todd,6.24,62,994,+0.065
26,0,32640,Troy Merritt,6.21,69,1112,+0.029
27,0,46435,Austin Cook,6.19,56,904,E
27,0,51894,Vince Whaley,6.19,50,808,+0.140
29,0,30163,Henrik Norlander,6.13,64,1044,+0.094
30,0,32150,Michael Thompson,6.12,58,948,+0.034
31,0,25364,Paul Casey,6.09,49,804,-0.061
32,0,32618,Rhein Gibson,6.04,32,530,+0.094
33,0,25900,Lucas Glover,6.03,68,1128,-0.132
34,0,30110,Kyle Stanley,6.01,62,1032,+0.129
35,0,19803,Ryan Armour,6.00,56,934,+0.232
36,0,45609,Tyler Duncan,5.98,63,1054,+0.143
37,0,34563,Chesson Hadley,5.93,48,810,-0.125
38,0,33122,Russell Knox,5.85,65,1112,+0.123
38,0,26476,Chez Reavie,5.85,58,992,+0.052
40,0,37189,Harold Varner III,5.81,64,1102,-0.047
41,0,32254,Xinjun Zhang,5.75,40,696,+0.150
42,0,33419,Cameron Tringale,5.70,65,1140,+0.062
43,0,26331,Charl Schwartzel,5.65,59,1044,+0.068
44,0,22405,Justin Rose,5.63,32,568,+0.031
44,0,34264,Hudson Swafford,5.63,52,924,+0.154
46,0,56762,Will Gordon,5.59,53,948,+0.132
47,0,33399,Adam Hadwin,5.55,61,1100,+0.131
48,0,29268,Bronson Burgoon,5.53,43,778,+0.047
48,0,32757,Patton Kizzire,5.53,70,1266,-0.086
50,0,28679,Fabián Gómez,5.51,26,472,+0.308
51,0,31557,Jim Herman,5.49,45,820,+0.067
52,0,40026,Daniel Berger,5.48,56,1022,-0.054
53,0,52375,Doug Ghim,5.47,55,1006,-0.109
53,0,27554,Scott Harrington,5.47,48,877,+0.167
53,0,33204,Shane Lowry,5.47,48,878,-0.167
56,0,25396,Kevin Na,5.42,59,1088,+0.051
57,0,27064,Jhonattan Vegas,5.38,50,930,E
58,0,26499,Rafa Cabrera Bello,5.37,45,838,+0.111
58,0,22056,Cameron Percy,5.37,45,838,+0.156
60,0,23325,Vaughn Taylor,5.34,46,862,-0.022
60,0,20396,Lee Westwood,5.34,38,712,+0.132
62,0,34466,Peter Malnati,5.31,49,922,+0.204
63,0,24924,Bill Haas,5.30,23,434,+0.261
63,0,24024,Zach Johnson,5.30,56,1056,+0.036
65,0,29518,Brendan Steele,5.25,49,934,-0.020
66,0,29535,Brice Garnett,5.20,50,962,+0.020
66,0,27649,Brandt Snedeker,5.20,52,1000,+0.096
68,0,29908,C.T. Pan,5.19,47,906,+0.064
69,0,35449,Adam Long,5.18,51,984,+0.235
70,0,47128,Richy Werenski,5.17,60,1160,+0.200
71,0,48045,Michael Gellerman,5.07,22,434,E
71,0,48119,Ben Taylor,5.07,22,434,+0.227
73,0,35104,Tom Lewis,5.03,49,974,+0.041
74,0,34213,Grayson Murray,5.00,25,500,+0.360
75,0,30926,Chris Kirk,4.98,52,1044,-0.019
76,0,34174,John Huh,4.94,35,708,+0.143
77,0,35230,Nelson Ledesma,4.92,24,488,+0.417
77,0,24140,Sean O'Hair,4.92,30,610,+0.200
79,0,35506,Mackenzie Hughes,4.91,52,1058,+0.269
79,0,25632,Jimmy Walker,4.91,43,875,+0.279
81,0,49298,Kramer Hickok,4.90,38,776,+0.237
81,0,32816,Satoshi Kodaira,4.90,42,858,+0.071
83,0,29478,Kevin Kisner,4.88,47,964,E
84,0,32448,James Hahn,4.87,42,862,+0.190
85,0,25818,Scott Piercy,4.86,46,946,+0.109
86,0,35310,Lanto Griffin,4.85,54,1114,+0.019
87,0,22371,Aaron Baddeley,4.78,24,502,+0.292
87,0,31646,Emiliano Grillo,4.78,46,962,+0.065
89,0,25686,Jason Dufner,4.76,49,1030,-0.122
89,0,27330,Josh Teater,4.76,22,462,+0.182
91,0,48822,Sebastián Muñoz,4.74,59,1246,+0.034
92,0,19846,Brian Gay,4.71,41,870,+0.024
93,0,39324,J.J. Spaun,4.68,34,726,+0.147
94,0,32662,Michael Gligic,4.67,39,836,+0.077
94,0,46442,Maverick McNealy,4.67,43,920,+0.023
96,0,33448,Justin Thomas,4.64,44,948,-0.068
96,0,35617,Martin Trainer,4.64,31,668,+0.355
98,0,34431,Robert Streb,4.57,45,984,+0.111
99,0,47504,Sam Burns,4.54,46,1014,E
100,0,26300,Matt Jones,4.52,53,1172,+0.019
100,0,39975,Michael Kim,4.52,34,752,+0.353
100,0,47483,Will Zalatoris,4.52,43,952,+0.116
103,0,28775,Nate Lashley,4.50,37,822,+0.270
104,0,33410,Andrew Landry,4.47,38,850,+0.105
105,0,12716,Charley Hoffman,4.46,49,1098,-0.020
106,0,34098,Russell Henley,4.44,48,1082,+0.063
107,0,37275,Sam Ryder,4.43,42,948,+0.071
108,0,40042,Tyler McCumber,4.37,33,756,+0.061
109,0,24502,Adam Scott,4.36,36,826,+0.139
110,0,51766,Wyndham Clark,4.35,43,988,+0.233
110,0,27936,Martin Laird,4.35,42,966,E
112,0,48887,Matt Wallace,4.32,23,532,+0.087
113,0,34363,Tyrrell Hatton,4.31,28,650,-0.071
114,0,34099,Harris English,4.30,47,1092,E
114,0,39977,Max Homa,4.30,40,930,+0.175
116,0,53165,Doc Redman,4.28,41,958,+0.049
117,0,35532,Tom Hoge,4.25,52,1224,-0.077
118,0,50525,Collin Morikawa,4.22,39,924,-0.179
118,0,25493,Nick Taylor,4.22,49,1160,-0.102
120,0,32070,Rafael Campos,4.20,24,572,+0.208
121,0,33141,Keegan Bradley,4.14,45,1086,+0.044
122,0,34255,Joseph Bramlett,4.10,32,780,+0.031
123,0,32333,Kevin Tway,4.08,29,710,+0.172
124,0,29926,Danny Lee,4.06,32,788,+0.031
124,0,23623,Bo Van Pelt,4.06,31,764,+0.161
126,0,33490,Bo Hoag,4.02,42,1046,+0.119
126,0,40006,Erik van Rooyen,4.02,38,946,+0.079
128,0,33413,Ben Martin,3.99,19,476,+0.158
129,0,29725,Tony Finau,3.98,40,1004,-0.125
130,0,34314,Sebastian Cappelen,3.96,21,530,+0.333
131,0,27214,Kevin Streelman,3.94,46,1168,-0.348
132,0,21961,Charles Howell III,3.93,29,738,+0.069
133,0,27141,J.B. Holmes,3.92,24,612,+0.250
134,0,33667,Carlos Ortiz,3.89,45,1158,+0.111
135,0,26851,Marc Leishman,3.85,34,882,+0.059
136,0,46441,Robby Shelton,3.84,38,990,+0.368
137,0,31323,Gary Woodland,3.83,31,810,+0.032
138,0,39997,Corey Conners,3.78,44,1164,-0.045
138,0,01810,Phil Mickelson,3.78,32,846,+0.438
140,0,30944,Jason Kokrak,3.77,40,1060,+0.125
141,0,32102,Rickie Fowler,3.75,34,906,+0.059
142,0,28252,Seamus Power,3.74,22,588,+0.182
142,0,23788,D.J. Trahan,3.74,24,642,E
144,0,33597,Harry Higgs,3.73,39,1046,+0.231
145,0,49960,Sepp Straka,3.72,40,1074,+0.200
146,0,26329,Louis Oosthuizen,3.71,31,836,-0.161
146,0,39953,Chase Seiffert,3.71,29,782,+0.241
148,0,49964,Aaron Wise,3.69,36,976,+0.222
149,0,49771,J.T. Poston,3.64,40,1098,+0.225
150,0,45486,Joaquin Niemann,3.62,45,1242,+0.089
151,0,28089,Jason Day,3.61,28,776,-0.071
152,0,39971,Sungjae Im,3.56,56,1574,-0.036
153,0,30911,Tommy Fleetwood,3.52,23,654,+0.043
154,0,35461,Beau Hossler,3.49,34,974,-0.059
155,0,29420,Billy Horschel,3.42,33,966,+0.182
155,0,23621,Rory Sabbatini,3.42,32,935,+0.219
157,0,46550,Brandon Hagy,3.34,27,808,+0.259
158,0,36699,Patrick Rodgers,3.31,36,1088,+0.083
159,0,45157,Cam Davis,3.27,41,1254,+0.024
160,0,34076,Joel Dahmen,3.26,30,920,+0.067
161,0,40098,Matt Fitzpatrick,3.25,24,738,+0.125
161,0,34360,Patrick Reed,3.25,30,922,+0.033
163,0,34046,Jordan Spieth,3.20,33,1030,E
164,0,25804,Bubba Watson,3.13,26,832,-0.231
165,0,35891,Cameron Smith,3.11,30,966,-0.067
166,0,33948,Byeong Hun An,3.09,30,972,+0.067
167,0,32839,Hideki Matsuyama,3.07,36,1172,-0.083
168,0,29221,Webb Simpson,3.04,26,854,-0.115
169,0,32791,K.H. Lee,3.01,39,1296,-0.179
170,0,24781,Hunter Mahan,2.98,17,570,+0.118
171,0,56278,Matthew Wolff,2.96,21,710,+0.381
172,0,46046,Scottie Scheffler,2.91,34,1168,+0.235
173,0,39546,Keith Mitchell,2.90,27,932,+0.037
174,0,23320,Ryan Palmer,2.89,27,934,-0.074
175,0,45526,Abraham Ancer,2.83,32,1130,E
176,0,30925,Dustin Johnson,2.78,24,864,-0.042
177,0,33486,Roger Sloan,2.77,24,866,+0.167
178,0,52372,Cameron Champ,2.75,25,910,-0.040
179,0,33120,Mark Anderson,2.73,13,476,+0.077
180,0,37455,Si Woo Kim,2.67,31,1160,+0.161
181,0,20229,Stewart Cink,2.65,29,1094,-0.034
182,0,29970,Dylan Frittelli,2.64,22,834,+0.273
183,0,46717,Viktor Hovland,2.57,25,972,-0.120
184,0,31420,Anirban Lahiri,2.51,19,756,+0.263
184,0,28237,Rory McIlroy,2.51,22,878,+0.182
186,0,27129,Luke List,2.49,26,1046,+0.192
187,0,27644,Brian Harman,2.45,29,1182,E
188,0,46970,Jon Rahm,2.34,21,896,-0.048
189,0,33404,Chris Baker,2.26,12,532,-0.083
190,0,28420,Ryan Brehm,2.25,11,488,+0.091
191,0,35450,Patrick Cantlay,2.10,20,952,-0.150
192,0,36689,Brooks Koepka,1.93,14,724,+0.143
