RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 260-280,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,24357,K.J. Choi,49.04,51,104,-0.10
2,0,26758,David Hearn,46.88,60,128,+0.05
3,0,30927,Brendon Todd,40.12,69,172,-0.13
4,0,23621,Rory Sabbatini,34.67,52,150,+0.08
5,0,31560,Brian Stuard,34.62,72,208,-0.24
6,0,23325,Vaughn Taylor,33.97,53,156,-0.15
7,0,23983,Luke Donald,33.93,38,112,+0.03
8,0,19803,Ryan Armour,33.33,52,156,-0.15
9,0,29535,Brice Garnett,33.15,61,184,-0.11
10,0,36801,Mark Hubbard,32.81,63,192,-0.05
11,0,28679,Fabián Gómez,31.48,34,108,-0.12
12,0,24138,Ian Poulter,30.56,44,144,-0.16
13,0,33120,Mark Anderson,30.36,34,112,-0.03
14,0,32816,Satoshi Kodaira,30.26,46,152,-0.13
15,0,39324,J.J. Spaun,29.17,42,144,-0.21
16,0,27942,Rob Oppenheim,29.05,43,148,-0.05
16,0,29221,Webb Simpson,29.05,43,148,-0.12
16,0,32150,Michael Thompson,29.05,43,148,-0.16
19,0,45609,Tyler Duncan,28.89,52,180,-0.17
20,0,27649,Brandt Snedeker,28.57,48,168,-0.06
21,0,35230,Nelson Ledesma,28.13,27,96,-0.15
22,0,34256,Andrew Putnam,28.09,50,178,-0.22
23,0,26476,Chez Reavie,27.98,47,168,+0.02
24,0,22371,Aaron Baddeley,27.78,30,108,-0.27
25,0,25396,Kevin Na,27.59,48,174,-0.29
26,0,22056,Cameron Percy,27.27,42,154,-0.19
26,0,27770,Camilo Villegas,27.27,42,154,-0.05
28,0,46435,Austin Cook,27.08,39,144,+0.03
29,0,33413,Ben Martin,27.00,27,100,-0.15
30,0,24024,Zach Johnson,26.79,45,168,-0.02
31,0,33122,Russell Knox,26.09,48,184,-0.06
32,0,27330,Josh Teater,26.04,25,96,+0.08
33,0,33410,Andrew Landry,25.76,34,132,+0.09
34,0,29478,Kevin Kisner,25.64,40,156,-0.10
35,0,34098,Russell Henley,25.60,43,168,-0.05
36,0,33490,Bo Hoag,25.29,44,174,-0.14
37,0,25686,Jason Dufner,25.00,43,172,+0.12
37,0,39953,Chase Seiffert,25.00,39,156,-0.18
39,0,35532,Tom Hoge,24.48,47,192,-0.04
40,0,30926,Chris Kirk,24.42,42,172,-0.07
41,0,19846,Brian Gay,24.29,34,140,-0.09
42,0,31557,Jim Herman,24.24,32,132,+0.03
43,0,34174,John Huh,24.14,28,116,+0.07
44,0,49298,Kramer Hickok,23.91,33,138,E
45,0,34466,Peter Malnati,23.75,38,160,-0.13
46,0,26499,Rafa Cabrera Bello,23.65,35,148,-0.11
47,0,40098,Matt Fitzpatrick,23.48,31,132,-0.26
